env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,101.1113,-2.3002,8.021,6.7893
200,16.9601,-10.7258,2.8349,3.2955
300,11.4776,-10.5435,1.18,1.5143
400,9.1824,-10.6239,1.0488,1.1523
500,9.9023,-10.4368,0.8955,1.1517
600,10.8192,-10.0409,1.1713,1.2294
700,11.8306,-10.183,1.3836,2.3126
800,10.1646,-10.5679,1.2402,0.9768
900,8.5094,-10.883,2.5517,4.9013
1000,5.9079,-11.5568,9.0228,15.5375
1100,4.0958,-12.7481,7.3854,14.89
1200,4.1067,-13.5685,4.3791,9.6407
1300,4.1018,-14.2057,6.1941,10.3036
1400,3.9594,-14.8788,5.5051,12.6102
1500,3.8918,-15.4838,11.1831,24.0999
1600,3.8415,-16.0654,10.0768,25.378
1700,3.7062,-16.5487,9.712,21.5592
1800,4.0944,-16.8343,26.3775,60.9713
1900,3.7943,-17.3477,9.8651,22.21
2000,3.5635,-17.6215,12.0437,27.599
2100,3.8299,-17.9393,3.6738,7.8071
2200,3.5277,-18.252,21.3725,50.6097
2300,3.4657,-18.443,9.8596,24.8341
2400,3.3967,-18.5131,8.6935,19.0254
2500,3.2593,-18.7175,16.438,38.8252
2600,3.1868,-18.8297,17.5823,43.5875
2700,3.0394,-18.8255,1.7499,1.7393
2800,3.0328,-19.1325,22.5408,49.8546
2900,2.9277,-19.2525,13.3159,34.1843
3000,2.8113,-19.295,3.9607,8.7536
3100,2.6777,-19.4826,9.9251,25.4444
3200,2.7181,-19.7258,34.1948,76.9333
3300,2.6661,-19.7943,30.5613,72.1252
3400,2.8616,-20.0801,23.3337,53.2844
3500,2.5915,-20.2281,8.0757,17.3767
3600,2.7468,-20.6523,44.267,102.2753
3700,2.6627,-20.8722,15.3538,37.4241
3800,2.5654,-21.0876,7.9167,15.7064
3900,2.6418,-21.4515,8.8053,21.7102
4000,2.5018,-21.6854,23.8056,56.463
4100,2.5496,-22.0029,31.9286,76.1433
4200,2.5057,-22.1676,5.5286,13.6434
4300,2.9685,-22.4543,23.9841,55.955
4400,2.7037,-22.7036,8.334,18.7961
4500,2.5075,-22.8581,12.6894,28.894
4600,2.4211,-23.1968,31.5306,77.0759
4700,2.4541,-23.5497,91.4872,221.5229
4800,2.5619,-23.8479,66.8419,166.8195
4900,2.4613,-24.118,20.928,48.5027
5000,2.5271,-24.2626,6.7394,15.458
5100,2.8135,-24.5054,21.5387,47.8134
5200,2.4976,-24.6817,19.9477,47.151
5300,2.5901,-25.063,23.7243,56.2987
5400,4.0713,-25.2473,21.7441,51.2659
5500,2.8946,-25.4957,11.0453,25.0909
5600,2.5775,-25.718,3.6418,7.4262
5700,2.6188,-25.8879,19.1659,45.4287
5800,2.6751,-26.0734,19.1119,40.8882
5900,2.7443,-26.2215,40.1767,99.4945
6000,3.0751,-26.5276,24.0958,57.263
6100,2.8828,-26.7271,20.21,44.5156
6200,5.0289,-27.0301,33.4733,73.2183
6300,3.203,-27.1979,22.0865,51.1867
6400,2.8574,-27.4453,34.617,80.1614
6500,2.9566,-27.5688,35.1859,84.6971
6600,3.0795,-27.7468,30.195,68.5989
6700,3.1604,-27.7854,46.5217,104.0082
6800,3.4939,-27.9882,80.4793,188.2335
6900,3.517,-28.1564,30.6857,65.6935
7000,3.2478,-28.1384,31.6452,72.6132
7100,3.5512,-28.4638,80.4797,186.0172
7200,3.4401,-28.6781,21.4018,49.4618
7300,3.3631,-28.5923,17.7629,41.0235
7400,3.5729,-28.6593,43.8547,96.6021
7500,3.7383,-28.8581,38.076,91.284
7600,3.6751,-28.9202,33.9178,74.9569
7700,3.7101,-29.1351,80.3072,192.3995
7800,3.6332,-29.205,52.1568,117.9022
7900,3.3314,-29.4057,62.5,151.5901
8000,3.5529,-29.5939,99.0097,230.4982
