env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-15.0,0.1,0.0,100,0.0,1.3469
100,-954.0001,0.07,0.0,100,54.0089,1.8516
200,-780.5,0.09,0.0,100,61.1498,1.6353
300,-19.5,0.15,0.0,100,61.8698,1.6163
400,-901.8,0.15,0.0,100,61.2623,1.6323
500,-633.0,0.1,0.0,100,61.9394,1.6145
600,-30.2,0.12,0.0,100,60.3024,1.6583
700,-795.2001,0.09,0.0,100,60.8153,1.6443
800,-709.1,0.18,0.0,100,40.327,2.4797
900,-20.0,0.1,0.0,100,61.7211,1.6202
1000,-699.7,0.12,0.0,100,0.0,0.6037
1100,-442.8,0.12,0.0,100,61.6857,1.6211
1200,-20.0,0.1,0.0,100,62.944,1.5887
1300,-806.4,0.1,0.0,100,62.1768,1.6083
1400,-357.6,0.09,0.0,100,60.5828,1.6506
1500,-21.3,0.03,0.0,100,64.0428,1.5615
1600,-516.9,0.06,0.0,100,59.7566,1.6735
1700,-451.7,0.11,0.0,100,59.9675,1.6676
1800,-18.6,0.06,0.0,100,60.9811,1.6399
1900,-458.7,0.09,0.0,100,60.3724,1.6564
2000,-315.4,0.06,0.0,100,0.0,0.6419
2100,-22.0,0.1,0.0,100,62.5292,1.5993
2200,-280.0,0.08,0.0,100,62.1036,1.6102
2300,-369.1,0.02,0.0,100,59.2635,1.6874
2400,-14.8,0.08,0.0,100,62.0549,1.6115
2500,-173.7,0.04,0.0,100,62.0168,1.6125
2600,-276.4,0.05,0.0,100,60.7256,1.6468
2700,-9.7,0.17,0.0,100,63.9278,1.5643
2800,-157.6,0.06,0.0,100,61.286,1.6317
2900,-209.7,0.03,0.0,100,61.1864,1.6344
3000,-10.1,0.01,0.0,100,0.0,0.5978
3100,-142.8,0.03,0.0,100,59.4052,1.6834
3200,-202.9,0.04,0.0,100,59.3096,1.6861
3300,-14.3,0.03,0.0,100,62.3444,1.604
3400,-147.3,0.02,0.0,100,61.0286,1.6386
3500,-163.3,0.03,0.0,100,58.4888,1.7097
3600,-5.4,0.04,0.0,100,60.8218,1.6442
3700,-168.0,0.01,0.0,100,61.0357,1.6384
3800,-135.2,0.01,0.0,100,59.5777,1.6785
3900,-6.5,0.05,0.0,100,62.4575,1.6011
4000,-134.3,0.02,0.0,100,0.0,0.6445
4100,-129.4,0.01,0.0,100,59.5868,1.6782
4200,-2.1,0.01,0.0,100,61.4566,1.6272
4300,-52.1,0.01,0.0,100,59.3256,1.6856
4400,-106.7,0.02,0.0,100,60.2992,1.6584
4500,-1.2,0.02,0.0,100,61.3743,1.6293
4600,-17.5,0.0,0.0,100,57.918,1.7266
4700,-79.9,0.0,0.0,100,59.3512,1.6849
4800,-1.0,0.0,0.0,100,59.475,1.6814
4900,-9.6,0.0,0.0,100,58.519,1.7089
5000,-1.1,0.0,0.0,100,0.0,0.6086
5100,0.0,0.0,0.0,100,62.8968,1.5899
5200,0.0,0.0,0.0,100,59.4904,1.6809
5300,-2.3,0.0,0.0,100,60.3912,1.6559
5400,0.0,0.0,0.0,100,60.9036,1.6419
5500,0.0,0.0,0.0,100,58.4715,1.7102
5600,-8.0,0.0,0.0,100,58.8697,1.6987
5700,0.0,0.0,0.0,100,61.3272,1.6306
5800,-0.9,0.0,0.0,100,60.1247,1.6632
5900,-3.5,0.01,0.0,100,60.3678,1.6565
6000,-0.1,0.01,0.0,100,0.0,0.5771
6100,0.0,0.0,0.0,100,60.0681,1.6648
6200,-288.1,0.02,0.0,100,61.5559,1.6245
6300,0.0,0.0,0.0,100,62.3218,1.6046
6400,0.0,0.0,0.0,100,61.7973,1.6182
6500,0.0,0.0,0.0,100,62.4136,1.6022
6600,0.0,0.0,0.0,100,62.4255,1.6019
6700,-0.1,0.0,0.0,100,59.1644,1.6902
6800,-4.6,0.0,0.0,100,60.2195,1.6606
6900,-1.4,0.14,0.0,100,62.4275,1.6019
7000,0.0,0.0,0.0,100,0.0,0.6431
7100,-100.0,0.0,0.0,100,61.4882,1.6263
7200,-0.2,0.02,0.0,100,61.0669,1.6376
7300,-9.5,0.0,0.0,100,58.662,1.7047
7400,-605.3,0.0,0.0,100,61.4753,1.6267
7500,-0.6,0.06,0.0,100,61.3285,1.6306
7600,-96.1,0.0,0.0,100,59.3909,1.6838
7700,-98.3,0.0,0.0,100,60.6743,1.6481
7800,0.0,0.0,0.0,100,62.1195,1.6098
7900,-2.0,0.0,0.0,100,61.0104,1.6391
8000,-283.4,0.0,0.0,100,0.0,0.6349
8100,0.0,0.0,0.0,100,62.554,1.5986
8200,-4.4,0.0,0.0,100,61.1304,1.6359
8300,-74.2,0.0,0.0,100,59.9341,1.6685
8400,-0.1,0.01,0.0,100,60.9856,1.6397
8500,-0.1,0.0,0.0,100,60.4862,1.6533
8600,-8.2,0.01,0.0,100,60.8012,1.6447
8700,-0.3,0.03,0.0,100,60.0988,1.6639
8800,0.0,0.0,0.0,100,60.4994,1.6529
8900,-24.5,0.0,0.0,100,59.8803,1.67
9000,0.0,0.0,0.0,100,0.0,0.5943
9100,0.0,0.0,0.0,100,59.8812,1.67
9200,-126.1,0.0,0.0,100,61.6069,1.6232
9300,-0.1,0.01,0.0,100,60.0142,1.6663
9400,-1.1,0.0,0.0,100,61.2539,1.6326
9500,-0.1,0.0,0.0,100,60.4955,1.653
9600,-0.5,0.05,0.0,100,61.5149,1.6256
9700,-0.7,0.01,0.0,100,59.896,1.6696
9800,0.0,0.0,0.0,100,59.4233,1.6828
9900,-8.0,0.8,0.0,100,61.7206,1.6202
