env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-24.8,0.08,0.0,100,0.0,0.9763
100,-1045.8,0.13,0.0,100,122.811,0.8143
200,-877.5,0.09,0.0,100,131.251,0.7619
300,-26.7,0.07,0.0,100,141.2037,0.7082
400,-1009.4001,0.07,0.0,100,139.9362,0.7146
500,-630.1,0.14,0.0,100,129.6602,0.7713
600,-27.9,0.09,0.0,100,139.1994,0.7184
700,-609.6,0.13,0.0,100,136.7747,0.7311
800,-593.7,0.14,0.0,100,139.8636,0.715
900,-18.9,0.09,0.0,100,144.0774,0.6941
1000,-682.5,0.1,0.0,100,0.0,0.4196
1100,-516.1,0.06,0.0,100,128.9418,0.7755
1200,-18.7,0.17,0.0,100,141.1386,0.7085
1300,-646.6,0.11,0.0,100,134.9926,0.7408
1400,-462.6,0.06,0.0,100,131.7143,0.7592
1500,-14.9,0.09,0.0,100,140.3724,0.7124
1600,-589.3,0.1,0.0,100,129.3368,0.7732
1700,-500.7,0.17,0.0,100,138.3847,0.7226
1800,-14.0,0.1,0.0,100,140.1639,0.7135
1900,-376.2,0.07,0.0,100,126.9831,0.7875
2000,-392.4,0.1,0.0,100,0.0,0.3864
2100,-12.5,0.05,0.0,100,133.4722,0.7492
2200,-463.7,0.11,0.0,100,134.3609,0.7443
2300,-374.0,0.18,0.0,100,129.3509,0.7731
2400,-18.2,0.52,0.0,100,140.0455,0.7141
2500,-473.3,0.27,0.0,100,127.967,0.7815
2600,-352.9,0.18,0.0,100,129.8953,0.7699
2700,-12.4,0.04,0.0,100,139.6335,0.7162
2800,-299.9,0.11,0.0,100,136.93,0.7303
2900,-340.7,0.2,0.0,100,131.5655,0.7601
3000,-19.5,0.35,0.0,100,0.0,0.363
3100,-763.9,0.04,0.0,100,135.1374,0.74
3200,-228.9,0.04,0.0,100,129.635,0.7714
3300,-9.9,0.39,0.0,100,140.2621,0.713
3400,-354.3,0.07,0.0,100,131.3984,0.761
3500,-397.7,0.03,0.0,100,136.5903,0.7321
3600,-14.6,0.66,0.0,100,140.0723,0.7139
3700,-372.6,0.38,0.0,100,132.6528,0.7539
3800,-396.3,0.4,0.0,100,137.5532,0.727
3900,-4.1,0.01,0.0,100,140.6912,0.7108
4000,-288.0,0.03,0.0,100,0.0,0.4139
4100,-266.2,0.02,0.0,100,138.1785,0.7237
4200,-2.8,0.08,0.0,100,140.3856,0.7123
4300,-183.8,0.0,0.0,100,129.9958,0.7693
4400,-112.1,0.0,0.0,100,133.4897,0.7491
4500,-2.1,0.01,0.0,100,142.0843,0.7038
4600,-285.8,0.0,0.0,100,127.8441,0.7822
4700,-326.6,0.0,0.0,100,131.9744,0.7577
4800,0.0,0.0,0.0,100,139.0458,0.7192
4900,-104.8,0.0,0.0,100,134.8622,0.7415
5000,-50.5,0.01,0.0,100,0.0,0.3948
5100,0.0,0.0,0.0,100,136.8851,0.7305
5200,-3.9,0.0,0.0,100,129.0082,0.7751
5300,-568.2,0.0,0.0,100,136.2804,0.7338
5400,-0.8,0.08,0.0,100,133.4836,0.7492
5500,0.0,0.0,0.0,100,137.7785,0.7258
5600,0.0,0.0,0.0,100,137.5259,0.7271
5700,0.0,0.0,0.0,100,132.1662,0.7566
5800,-9.7,0.0,0.0,100,133.9172,0.7467
5900,-296.3,0.0,0.0,100,129.5059,0.7722
6000,0.0,0.0,0.0,100,0.0,0.3633
6100,-251.5,0.0,0.0,100,130.7683,0.7647
6200,0.0,0.0,0.0,100,136.6428,0.7318
6300,0.0,0.0,0.0,100,141.674,0.7058
6400,0.0,0.0,0.0,100,128.515,0.7781
6500,-0.1,0.01,0.0,100,130.9702,0.7635
6600,0.0,0.0,0.0,100,140.125,0.7137
6700,0.0,0.0,0.0,100,136.3746,0.7333
6800,0.0,0.0,0.0,100,130.2114,0.768
6900,0.0,0.0,0.0,100,137.7385,0.726
7000,-324.2,0.05,0.0,100,0.0,0.4579
7100,0.0,0.0,0.0,100,128.6372,0.7774
7200,0.0,0.0,0.0,100,139.3908,0.7174
7300,0.0,0.0,0.0,100,132.1555,0.7567
7400,-4.9,0.0,0.0,100,136.977,0.7301
7500,0.0,0.0,0.0,100,141.3269,0.7076
7600,0.0,0.0,0.0,100,131.4459,0.7608
7700,0.0,0.0,0.0,100,134.4434,0.7438
7800,0.0,0.0,0.0,100,132.522,0.7546
7900,0.0,0.0,0.0,100,137.7967,0.7257
8000,0.0,0.0,0.0,100,0.0,0.4215
8100,-0.1,0.01,0.0,100,137.3785,0.7279
8200,0.0,0.0,0.0,100,129.5251,0.7721
8300,-10.1,0.07,0.0,100,133.9165,0.7467
8400,0.0,0.0,0.0,100,131.889,0.7582
8500,-3.5,0.0,0.0,100,132.8709,0.7526
8600,0.0,0.0,0.0,100,130.6891,0.7652
8700,0.0,0.0,0.0,100,139.5368,0.7167
8800,0.0,0.0,0.0,100,130.1825,0.7682
8900,0.0,0.0,0.0,100,133.7676,0.7476
9000,0.0,0.0,0.0,100,0.0,0.3763
9100,0.0,0.0,0.0,100,128.8625,0.776
9200,0.0,0.0,0.0,100,135.6271,0.7373
9300,0.0,0.0,0.0,100,130.1833,0.7682
9400,-8.2,0.0,0.0,100,139.0356,0.7192
9500,0.0,0.0,0.0,100,131.7098,0.7592
9600,0.0,0.0,0.0,100,137.1499,0.7291
9700,-9.2,0.0,0.0,100,67.6432,1.4783
9800,0.0,0.0,0.0,100,61.8543,1.6167
9900,0.0,0.0,0.0,100,140.6791,0.7108
