env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,39.3301,-2.0432,-2.1576,-0.8949,2.5607,1.0155,1.347,0.0855,0.1489,0.0068
200,40.341,-7.8047,-7.773,3.4519,1.9443,1.0486,2.5338,1.7236,0.0726,0.0186
300,7.651,-8.8068,-8.8061,4.7377,2.1903,1.0818,2.0172,1.6688,0.0199,0.0099
400,3.7904,-8.9066,-8.9076,5.42,2.2781,1.1161,2.6937,2.6568,0.0115,0.0065
500,2.1483,-9.8344,-9.8324,6.4477,2.3686,1.1515,3.9934,4.3656,0.0088,0.0028
600,1.6586,-10.8383,-10.8386,7.3112,2.2308,1.1884,3.8834,4.1129,0.0207,0.0072
700,1.733,-11.8667,-11.8676,8.1021,1.9953,1.2285,5.3404,5.6012,0.0104,0.005
800,1.238,-13.068,-13.0684,9.3325,1.949,1.2715,4.5179,4.5875,0.0228,0.0146
900,1.2584,-13.7265,-13.7262,10.0295,2.0182,1.3164,5.2128,5.4712,0.0114,0.0073
1000,1.2812,-14.5892,-14.5899,10.808,2.0628,1.3627,4.1898,4.2618,0.0407,0.0271
1100,1.0714,-15.4691,-15.4694,11.645,2.1184,1.4108,5.2531,5.8322,0.0213,0.0138
1200,1.0012,-16.2282,-16.2284,12.3647,2.1376,1.461,3.7632,3.9914,0.0069,0.0049
1300,1.0851,-17.093,-17.093,13.1798,2.1967,1.5132,10.5063,11.5065,0.0078,0.0066
1400,1.3326,-17.6518,-17.6518,13.6631,2.2441,1.5675,3.4894,3.5877,0.0239,0.0148
1500,1.2211,-18.4116,-18.4115,14.2644,2.2555,1.6243,7.0243,7.6233,0.0163,0.0123
1600,1.5763,-19.4874,-19.487,15.1866,2.3041,1.6837,10.9508,12.3027,0.0141,0.0086
1700,1.4064,-19.9549,-19.9554,15.569,2.3431,1.7456,4.8464,5.4563,0.0122,0.0078
1800,1.4654,-20.628,-20.628,16.0814,2.3891,1.8103,10.7834,12.4263,0.0097,0.008
1900,1.4101,-21.2654,-21.2659,16.5321,2.4218,1.8779,14.6862,17.7798,0.01,0.007
2000,1.9971,-21.8331,-21.8338,16.9505,2.4476,1.9486,11.5839,13.8244,0.0099,0.0072
2100,1.8269,-22.5265,-22.5269,17.4264,2.4872,2.0227,7.3694,8.9686,0.0104,0.0075
2200,1.8452,-22.849,-22.849,17.4988,2.5128,2.1003,12.8786,15.6353,0.01,0.0062
2300,2.2089,-23.2119,-23.2121,17.6432,2.5326,2.1816,8.0652,9.4282,0.0318,0.0198
2400,2.0616,-23.6408,-23.6416,17.8524,2.5612,2.2669,8.762,10.1783,0.019,0.011
2500,2.0556,-23.9099,-23.91,17.8695,2.5864,2.3564,6.6253,8.1083,0.0135,0.0089
2600,2.4809,-24.0188,-24.019,17.7252,2.5998,2.4503,15.2686,19.0895,0.0137,0.0101
2700,2.4947,-23.877,-23.8768,17.2978,2.6241,2.549,13.0686,16.2708,0.0135,0.0096
2800,2.3764,-23.8114,-23.8115,16.9529,2.6371,2.6526,16.2128,20.358,0.0141,0.0101
2900,2.5833,-23.5562,-23.5559,16.3958,2.6488,2.7616,9.837,12.5368,0.0152,0.0109
3000,2.6343,-23.2188,-23.218,15.7452,2.6623,2.8762,3.7769,4.8215,0.0179,0.0118
3100,2.9561,-23.1908,-23.1887,15.3648,2.6704,2.9967,4.7047,6.0146,0.0101,0.0061
