env_steps,return,restorations,infiltrations,length,FPS,time
0,-772.0,65,447,100,0.0,0.5803
100,-1372.0,79,977,100,21.0797,4.7439
200,-999.0,67,664,100,22.1409,4.5165
300,-805.0,41,600,100,22.1028,4.5243
400,-969.0,39,774,100,21.9991,4.5456
500,-844.0,48,604,100,22.0601,4.5331
600,-768.0,42,558,100,22.0017,4.5451
700,-928.0,26,798,100,22.1509,4.5145
800,-674.0,27,539,100,22.1907,4.5064
900,-747.0,39,552,100,22.2634,4.4917
1000,-822.0,29,677,100,22.0339,4.5385
1100,-744.0,35,569,100,22.0809,4.5288
1200,-787.0,29,642,100,22.1777,4.509
1300,-730.0,44,510,100,22.1624,4.5122
1400,-672.0,35,497,100,22.3468,4.4749
1500,-910.0,46,680,100,22.1835,4.5079
1600,-731.0,33,566,100,22.0389,4.5374
1700,-699.0,39,504,100,22.1272,4.5193
1800,-787.0,46,557,100,22.1058,4.5237
1900,-873.0,53,608,100,22.1052,4.5238
2000,-841.0,47,606,100,22.1911,4.5063
2100,-710.0,56,430,100,22.0739,4.5302
2200,-620.0,47,385,100,22.1144,4.5219
2300,-795.0,48,555,100,22.0653,4.532
2400,-765.0,47,530,100,22.1824,4.5081
2500,-724.0,53,459,100,21.4655,4.6587
2600,-656.0,46,426,100,22.1123,4.5224
2700,-822.0,56,542,100,21.9211,4.5618
2800,-724.0,61,419,100,22.1943,4.5057
2900,-683.0,57,398,100,22.1183,4.5211
3000,-687.0,63,372,100,22.0442,4.5363
3100,-634.0,52,374,100,22.2108,4.5023
3200,-646.0,59,351,100,21.9779,4.55
3300,-630.0,65,305,100,22.1006,4.5248
3400,-612.0,53,347,100,22.0467,4.5358
3500,-669.0,58,379,100,22.2244,4.4996
3600,-697.0,61,392,100,22.011,4.5432
3700,-588.0,61,283,100,22.2628,4.4918
3800,-739.0,61,434,100,21.7064,4.6069
3900,-675.0,59,380,100,18.2637,5.4753
4000,-726.0,63,411,100,21.858,4.575
4100,-741.0,62,431,100,21.9553,4.5547
4200,-710.0,66,380,100,22.1174,4.5213
4300,-643.0,64,323,100,22.0803,4.5289
4400,-759.0,61,454,100,22.0705,4.5309
4500,-715.0,65,390,100,21.9257,4.5609
4600,-676.0,68,336,100,22.0389,4.5374
4700,-614.0,62,304,100,22.1396,4.5168
4800,-681.0,64,361,100,15.753,6.348
4900,-766.0,62,456,100,21.6263,4.624
5000,-720.0,66,390,100,21.3032,4.6941
5100,-713.0,63,398,100,22.1233,4.5201
5200,-766.0,62,456,100,22.2146,4.5015
5300,-798.0,70,448,100,22.0241,4.5405
5400,-677.0,65,352,100,22.0697,4.5311
5500,-671.0,65,346,100,22.0027,4.5449
5600,-802.0,69,457,100,22.0229,4.5407
5700,-650.0,65,325,100,22.0681,4.5314
5800,-658.0,63,343,100,22.2255,4.4993
5900,-726.0,64,406,100,22.2108,4.5023
6000,-650.0,67,315,100,22.0376,4.5377
6100,-663.0,64,343,100,22.21,4.5025
6200,-713.0,71,358,100,22.1115,4.5225
6300,-743.0,61,438,100,22.1662,4.5114
6400,-897.0,68,557,100,22.1723,4.5101
6500,-723.0,67,388,100,22.15,4.5147
6600,-823.0,63,508,100,21.8178,4.5834
6700,-807.0,68,467,100,22.093,4.5263
6800,-678.0,68,338,100,21.9357,4.5588
6900,-817.0,69,472,100,22.0209,4.5411
7000,-732.0,60,432,100,22.1177,4.5213
7100,-715.0,68,375,100,22.0091,4.5436
7200,-714.0,65,389,100,22.0083,4.5437
7300,-633.0,62,323,100,22.046,4.536
7400,-814.0,68,474,100,22.3233,4.4796
7500,-750.0,65,425,100,22.2237,4.4997
7600,-680.0,69,335,100,22.273,4.4897
7700,-681.0,63,366,100,22.3436,4.4756
7800,-739.0,66,409,100,22.308,4.4827
7900,-753.0,67,418,100,22.288,4.4867
8000,-800.0,70,450,100,22.1338,4.518
8100,-664.0,63,349,100,22.1572,4.5132
8200,-771.0,72,411,100,21.9134,4.5634
8300,-804.0,68,464,100,22.0525,4.5346
8400,-770.0,63,455,100,22.1452,4.5156
8500,-661.0,64,341,100,22.3604,4.4722
8600,-790.0,69,445,100,22.2693,4.4905
8700,-777.0,62,467,100,22.1796,4.5086
8800,-705.0,64,385,100,22.1139,4.5221
8900,-885.0,71,530,100,22.1953,4.5055
