env_steps,return,restorations,infiltrations,length,FPS,time
0,-37.3,65,463,100,0.0,1.0464
100,8.9,69,381,100,51.3316,1.9481
200,-40.7,68,432,100,55.4921,1.8021
300,42.5,66,375,100,55.5903,1.7989
400,30.2,68,318,100,56.1577,1.7807
500,-57.5,64,460,100,55.4245,1.8043
600,-62.3,66,488,100,55.2129,1.8112
700,-48.6,70,476,100,55.4005,1.805
800,-30.4,68,354,100,53.3458,1.8746
900,-21.5,63,500,100,55.1359,1.8137
1000,-49.9,69,399,100,55.9195,1.7883
1100,-16.4,71,394,100,54.485,1.8354
1200,-27.4,67,364,100,55.6882,1.7957
1300,12.7,61,378,100,54.425,1.8374
1400,78.7,63,353,100,55.49,1.8021
1500,-74.6,66,611,100,55.6793,1.796
1600,-0.5,65,380,100,55.1125,1.8145
1700,-90.6,67,546,100,52.6266,1.9002
1800,17.8,70,322,100,55.7482,1.7938
1900,53.5,64,310,100,55.4638,1.803
2000,56.2,66,323,100,57.3657,1.7432
2100,-28.7,64,362,100,56.0621,1.7837
2200,11.2,65,413,100,53.4278,1.8717
2300,-45.8,66,418,100,57.1188,1.7507
2400,-34.6,68,396,100,56.4687,1.7709
2500,-30.1,59,431,100,55.6391,1.7973
2600,-25.7,68,402,100,55.6145,1.7981
2700,-18.2,67,382,100,54.8815,1.8221
2800,-48.8,70,448,100,55.7875,1.7925
2900,-52.2,63,492,100,55.2712,1.8093
3000,2.5,66,380,100,54.0775,1.8492
3100,-36.6,67,461,100,55.5448,1.8004
3200,-44.4,65,474,100,56.8961,1.7576
3300,-17.8,64,423,100,55.7775,1.7928
3400,-15.9,66,474,100,56.0076,1.7855
3500,-20.6,68,371,100,55.9238,1.7881
3600,11.5,65,375,100,55.3178,1.8077
3700,-29.3,69,313,100,54.986,1.8186
3800,-36.6,70,461,100,53.6082,1.8654
3900,-52.5,67,445,100,55.2611,1.8096
4000,-10.2,66,387,100,55.5534,1.8001
4100,-51.6,66,426,100,53.4058,1.8725
4200,-19.9,66,459,100,54.5815,1.8321
4300,76.2,66,343,100,55.622,1.7979
4400,29.7,66,368,100,55.8015,1.7921
4500,13.1,66,344,100,55.7755,1.7929
4600,-52.3,64,398,100,55.0555,1.8164
4700,47.0,67,355,100,54.577,1.8323
4800,53.5,64,385,100,55.4854,1.8023
4900,-2.6,68,411,100,54.2564,1.8431
5000,7.4,66,346,100,55.1813,1.8122
5100,-73.6,68,481,100,54.4317,1.8372
5200,13.3,68,407,100,55.394,1.8053
5300,-72.9,68,419,100,54.403,1.8381
5400,-45.4,63,514,100,55.402,1.805
5500,-16.5,66,465,100,55.6804,1.796
5600,-32.1,63,356,100,56.8776,1.7582
5700,29.7,66,358,100,53.4204,1.8719
5800,-36.8,66,488,100,55.2822,1.8089
5900,-12.9,70,394,100,55.7494,1.7937
6000,-36.6,67,511,100,55.3617,1.8063
6100,-23.7,66,387,100,56.4142,1.7726
6200,27.3,65,472,100,57.0936,1.7515
6300,-22.9,65,439,100,53.6036,1.8655
6400,0.8,63,352,100,56.0009,1.7857
6500,15.7,65,413,100,55.578,1.7993
6600,-41.7,68,502,100,55.782,1.7927
