env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,5.0254,1.3352,1.3324,-4.2582,2.7164,1.0312,0.7474,1.2607,0.0016,0.0003
200,1.9998,2.478,2.4778,-5.4934,2.697,1.0971,0.7799,1.4826,0.0003,0.0001
300,2.1303,3.2665,3.2663,-6.4996,2.7343,1.1686,1.0077,2.0248,0.0008,0.0001
400,2.2017,4.2417,4.2415,-7.6881,2.75,1.2468,1.2118,2.4971,0.0018,0.0002
500,2.268,5.4453,5.4451,-9.1296,2.7474,1.3327,2.6181,7.4269,0.0009,0.0003
600,2.916,6.8902,6.8902,-10.8363,2.762,1.4272,1.8502,4.1061,0.0014,0.0005
700,3.1659,8.5705,8.5707,-12.8218,2.762,1.5311,2.3588,5.7229,0.0012,0.0004
800,3.7088,10.3942,10.3942,-14.9674,2.7637,1.6456,3.2953,8.9479,0.0013,0.0004
900,3.9202,12.4108,12.4107,-17.3396,2.7651,1.7719,5.3705,16.9797,0.0025,0.0007
1000,3.6606,14.6528,14.6529,-19.9759,2.7635,1.9113,10.4752,36.7078,0.0026,0.0003
1100,3.541,17.177,17.1771,-22.9237,2.7642,2.0654,10.6408,36.8512,0.0017,0.0002
1200,4.5909,19.9934,19.9937,-26.2253,2.762,2.2358,12.3752,42.9598,0.005,0.0052
1300,3.761,22.8765,22.877,-29.6498,2.7601,2.4243,10.2288,34.9383,0.0042,0.0062
1400,3.975,25.9636,25.9646,-33.3295,2.7616,2.6329,17.7128,60.6723,0.0039,0.0063
1500,4.8363,29.6921,29.6935,-37.7004,2.7625,2.8638,19.7885,67.7782,0.0071,0.0089
1600,5.9748,33.6334,33.6347,-42.3505,2.7636,3.1196,35.8911,123.8954,0.0222,0.0407
1700,7.0992,37.9542,37.9549,-47.442,2.7661,3.4028,17.9921,64.0819,0.0043,0.0044
1800,10.3771,42.4764,42.4767,-52.8411,2.7673,3.7166,14.2705,47.2448,0.0028,0.0016
1900,11.0306,47.8869,47.8878,-59.2155,2.7662,4.0645,13.7734,47.2304,0.0081,0.0104
2000,12.9823,53.4188,53.4191,-65.8236,2.7659,4.4503,80.3221,286.6413,0.0215,0.041
2100,12.9876,59.7285,59.7292,-73.3158,2.7657,4.8782,29.025,99.8707,0.0067,0.0066
2200,15.5186,66.2301,66.2287,-81.1644,2.7639,5.3529,106.5049,380.1101,0.0152,0.0285
2300,20.4525,73.7931,73.7925,-90.2154,2.7634,5.8797,52.4704,188.0305,0.0087,0.0033
2400,26.035,82.2745,82.2744,-100.3226,2.7634,6.4641,73.4292,262.8167,0.0092,0.0127
2500,23.726,91.7084,91.7075,-111.5672,2.7641,7.1125,65.861,226.6001,0.0162,0.0257
2600,26.941,102.028,102.0281,-123.9035,2.7641,7.8318,85.4824,298.0598,0.0187,0.0222
2700,24.5259,113.3384,113.3381,-137.4446,2.7648,8.63,57.5141,212.65,0.0466,0.1061
2800,36.479,126.0734,126.0734,-152.686,2.7645,9.5157,264.6026,963.9329,0.206,0.5342
2900,47.7031,139.481,139.4801,-168.8313,2.7648,10.4987,56.5511,190.2245,0.0484,0.0936
3000,58.0323,154.8554,154.8563,-187.2922,2.7644,11.5896,106.2672,379.1563,0.0242,0.0264
3100,82.0982,171.5371,171.5376,-207.3999,2.7637,12.8005,244.2309,915.2479,0.1289,0.3178
3200,86.7504,189.9877,189.989,-229.6207,2.764,14.1444,62.2582,217.7071,0.1021,0.2303
3300,134.2749,210.5078,210.5094,-254.3398,2.7639,15.6359,159.7128,568.4719,0.0184,0.0211
3400,147.487,233.2327,233.2332,-281.7121,2.7629,17.2915,304.4347,1096.4576,0.0392,0.0542
3500,199.874,259.1969,259.1978,-312.8224,2.7633,19.1292,420.0142,1642.9547,0.1231,0.272
3600,323.4562,286.824,286.8247,-346.118,2.7641,21.1686,1266.2086,4591.0452,0.2231,0.4027
3700,344.5265,318.5585,318.559,-384.1631,2.7653,23.4317,645.044,2425.5582,0.1364,0.2946
3800,434.9607,353.3304,353.3317,-425.9715,2.7656,25.9432,607.449,2295.4655,0.1055,0.1645
3900,583.7966,392.4793,392.4801,-472.8976,2.7657,28.7308,2327.9459,8764.8582,0.1239,0.2644
4000,751.602,434.2536,434.2548,-523.358,2.7656,31.825,1367.3329,5510.3243,0.0703,0.0879
4100,994.9713,481.3593,481.3637,-580.0802,2.7655,35.2595,1947.3954,7706.2032,0.1221,0.205
4200,1303.7238,532.3766,532.3804,-641.7823,2.7655,39.0717,1577.6195,6174.183,0.0922,0.163
4300,1485.7776,589.9652,589.9703,-711.2819,2.7652,43.3034,3887.2054,14630.5132,0.4529,1.0942
4400,1870.4907,653.3315,653.3357,-787.8197,2.7648,48.0008,4331.5286,17385.4114,0.1344,0.2747
4500,2250.1069,724.2309,724.2327,-873.4258,2.7648,53.2149,3498.1767,13878.957,0.8768,1.9545
