env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,50.6837,-4.6728,3.7385,3.4258
200,1.6005,-9.4257,0.2903,0.2129
300,0.5285,-9.8003,0.108,0.0636
400,0.3835,-10.4069,0.215,0.1904
500,0.3825,-10.8968,0.2194,0.2374
600,0.2456,-11.7018,0.6564,0.7023
700,0.1739,-12.5468,0.825,0.8793
800,0.1922,-13.4317,0.9256,0.9801
900,0.1444,-14.3559,0.5472,0.5869
1000,0.1547,-15.3585,0.0751,0.0701
1100,0.1158,-16.3207,1.2536,1.3273
1200,0.1039,-17.3187,0.321,0.31
1300,0.1714,-18.215,0.3135,0.3203
1400,0.1133,-19.3059,0.2743,0.2678
1500,0.1089,-20.305,0.3896,0.3955
1600,0.1479,-21.3884,1.0642,1.096
1700,0.1746,-22.5913,1.2254,1.2513
1800,0.1514,-23.8711,0.5091,0.5123
1900,0.0838,-25.0845,0.6327,0.6202
2000,0.1676,-26.217,1.0323,1.0185
2100,0.1598,-27.3583,1.2387,1.225
2200,0.1799,-28.4069,3.207,3.2112
2300,0.1649,-29.613,0.5573,0.5282
2400,0.1541,-30.7977,1.7924,1.7307
2500,0.247,-32.0458,0.5927,0.5944
2600,0.1724,-33.2521,0.717,0.7387
2700,0.1771,-34.5776,1.7414,1.7433
2800,0.2818,-35.8493,1.3344,1.3399
2900,0.3367,-37.1304,1.4497,1.5966
3000,0.1738,-38.4914,0.3132,0.2927
3100,0.388,-39.7681,3.6942,3.6158
3200,0.4427,-41.1739,0.6454,0.6701
3300,0.2702,-42.5426,0.401,0.3965
3400,0.3039,-43.8967,2.8121,2.7058
3500,0.3326,-45.1698,5.8482,5.6461
3600,0.4346,-46.5227,1.1216,1.0923
3700,0.3127,-47.6841,1.3008,1.4879
3800,0.3515,-48.9887,1.8318,1.8188
3900,0.6037,-50.2099,4.2676,4.2067
4000,0.5193,-51.7072,1.2588,1.1884
4100,0.6082,-53.1992,2.277,2.2655
4200,0.1952,-54.4733,0.5112,0.4907
4300,0.5701,-55.5166,0.7932,0.7994
4400,0.6268,-56.7997,3.1451,2.9929
4500,0.2533,-58.3103,3.8903,3.8651
4600,0.7124,-59.5597,9.4162,8.7829
4700,0.3816,-60.8168,2.5475,2.4263
4800,0.6523,-62.0908,2.3872,2.3449
4900,1.3745,-63.2164,7.3267,7.2661
5000,0.6602,-64.5329,1.8726,1.8007
5100,0.4353,-66.0797,2.5239,2.5724
5200,0.5131,-67.5744,8.0008,7.8235
5300,0.5042,-68.6972,2.3915,2.5229
5400,0.6673,-70.122,25.9946,24.6577
5500,0.9352,-71.5215,2.6334,2.7667
5600,0.6852,-72.9701,2.452,2.6257
5700,0.48,-74.2885,1.5197,1.546
5800,0.5599,-75.4747,4.0107,3.8829
5900,0.7435,-76.8943,10.2483,9.9145
6000,0.6138,-78.1701,2.9746,3.2112
6100,0.858,-79.5157,16.7565,17.5554
6200,0.9572,-81.0649,5.2908,5.1251
6300,0.6546,-82.2384,2.5472,2.6211
6400,0.652,-83.5812,5.1176,4.907
6500,0.6633,-85.0919,12.0544,11.5268
6600,1.4947,-86.4302,16.7073,15.9694
6700,1.7518,-87.6337,10.2121,9.9352
6800,2.1478,-89.3671,6.9239,6.9292
6900,1.0293,-90.5486,4.9523,5.1286
7000,0.8853,-91.8462,9.9346,9.5493
7100,1.0853,-93.2503,7.0373,6.6119
7200,1.3778,-94.7951,10.0473,10.6315
7300,1.2655,-95.8687,5.6255,6.1655
7400,1.5312,-97.0981,10.8341,10.6581
7500,1.5363,-98.6582,8.5398,9.109
7600,3.0271,-100.2647,6.5721,6.6246
7700,1.5448,-101.7724,4.4611,4.5685
7800,2.6116,-103.0422,8.0403,8.2886
7900,1.2037,-103.9838,4.9226,5.0715
8000,1.1197,-105.5542,7.7225,7.4731
8100,1.4611,-106.9892,14.2773,14.2342
8200,1.5921,-108.4874,8.455,9.4458
8300,2.3012,-109.5119,20.0145,20.1245
8400,1.5725,-111.0646,13.8884,13.8441
8500,1.6104,-112.3514,6.8202,7.3303
8600,1.5114,-112.9352,9.6673,9.1324
8700,3.1699,-114.375,10.3746,11.2413
8800,2.0608,-115.7564,12.3532,13.4063
8900,3.2794,-116.9914,16.2324,16.1584
9000,2.5061,-118.0902,15.1341,15.8183
9100,2.6725,-119.2434,21.966,22.5287
9200,1.5815,-120.2162,19.3177,20.47
9300,1.7344,-121.7375,11.8341,12.9416
9400,4.1772,-123.5953,15.9006,16.8781
9500,3.2068,-123.9191,10.4753,11.0242
9600,1.2851,-125.3184,10.3571,10.1921
9700,1.27,-125.8327,7.6424,8.3894
9800,1.5813,-127.7538,27.6068,26.2248
9900,2.1605,-129.0218,38.9541,44.3331
10000,3.8825,-129.9849,52.4378,53.7628
