env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,42.3697,-2.063,-2.0498,-0.6607,2.7467,1.0155,2.8588,1.1456,0.301,0.0178
200,6.9459,-7.7801,-7.784,4.6746,1.209,1.049,3.1279,3.3372,0.1097,0.047
300,3.8932,-8.4526,-8.4476,6.4729,1.8855,1.0835,3.3241,1.71,0.1402,0.0538
400,1.1299,-9.8856,-9.8848,7.3285,1.2679,1.1191,3.739,3.3855,0.0969,0.0481
500,0.7775,-10.931,-10.9304,8.119,1.3175,1.1575,3.7693,3.1799,0.0693,0.0228
600,0.7378,-12.2529,-12.2532,9.3651,1.4146,1.1969,3.9133,3.8916,0.0247,0.0057
700,0.8072,-13.9131,-13.9135,11.1529,1.5312,1.2372,4.1307,4.1395,0.0133,0.0035
800,0.8456,-15.4454,-15.4462,12.6856,1.6598,1.2786,6.9127,7.2838,0.0197,0.0075
900,1.0013,-16.7933,-16.7939,13.972,1.7978,1.3211,3.5444,3.7989,0.0039,0.0021
1000,1.0333,-17.9543,-17.9545,15.1203,1.8865,1.3649,2.9201,3.3456,0.0114,0.0064
1100,1.0831,-19.4076,-19.4076,16.5076,1.9596,1.4104,5.3284,5.936,0.0045,0.0022
1200,1.0505,-20.998,-20.9981,18.0371,2.0607,1.4577,3.888,4.0886,0.0032,0.0008
1300,1.7034,-22.5469,-22.547,19.4988,2.14,1.5068,4.9873,5.3504,0.0093,0.0052
1400,1.3229,-23.7884,-23.7881,20.6328,2.2081,1.5578,7.0458,7.7397,0.0048,0.0029
1500,1.6437,-25.0026,-25.0031,21.735,2.2637,1.611,14.3527,15.8031,0.0193,0.0134
1600,1.9441,-26.1843,-26.1837,22.7667,2.3177,1.6666,8.5935,9.6808,0.0146,0.0089
1700,1.8143,-27.1713,-27.1706,23.5639,2.3734,1.7246,4.6137,5.3154,0.0135,0.008
1800,1.8802,-28.4755,-28.4757,24.7266,2.4079,1.7854,5.9638,6.7981,0.0159,0.008
1900,2.1289,-29.2755,-29.2754,25.3238,2.4589,1.849,7.1684,8.2103,0.0054,0.0034
