env_steps,return,restorations,length,FPS,time
0,-841.0,63,100,0.0,0.5311
100,-967.0,30,100,39.6417,2.5226
200,-1114.0,4,100,45.8224,2.1823
300,-884.0,58,100,45.7125,2.1876
400,-921.0,37,100,45.1936,2.2127
500,-1070.0,23,100,46.0616,2.171
600,-1148.0,20,100,45.8628,2.1804
700,-1106.0,17,100,45.4347,2.201
800,-988.0,24,100,38.0254,2.6298
900,-856.0,16,100,45.8708,2.18
1000,-1068.0,23,100,46.7764,2.1378
1100,-1059.0,20,100,46.0441,2.1718
1200,-1047.0,13,100,46.6069,2.1456
1300,-917.0,23,100,46.0112,2.1734
1400,-945.0,17,100,46.0393,2.1721
1500,-892.0,31,100,46.3369,2.1581
1600,-878.0,30,100,46.3299,2.1584
1700,-1015.0,17,100,46.7048,2.1411
1800,-854.0,39,100,45.9693,2.1754
1900,-966.0,33,100,45.6409,2.191
2000,-1044.0,33,100,45.7366,2.1864
2100,-945.0,33,100,45.6854,2.1889
2200,-954.0,37,100,46.4781,2.1516
2300,-852.0,37,100,45.8829,2.1795
2400,-918.0,42,100,46.1688,2.166
2500,-1053.0,49,100,45.4991,2.1978
2600,-1021.0,43,100,44.6308,2.2406
2700,-897.0,47,100,45.3176,2.2067
2800,-876.0,47,100,44.9756,2.2234
2900,-898.0,49,100,45.9401,2.1768
3000,-937.0,50,100,45.9297,2.1772
3100,-1080.0,53,100,46.1763,2.1656
3200,-898.0,55,100,45.5369,2.196
3300,-904.0,48,100,45.3481,2.2052
3400,-776.0,51,100,45.7807,2.1843
3500,-887.0,54,100,46.0682,2.1707
3600,-848.0,56,100,45.6268,2.1917
3700,-776.0,48,100,45.3941,2.2029
3800,-727.0,49,100,45.8439,2.1813
3900,-955.0,60,100,45.4921,2.1982
4000,-916.0,57,100,46.0368,2.1722
4100,-923.0,50,100,45.5447,2.1956
4200,-902.0,52,100,45.3058,2.2072
4300,-906.0,57,100,45.5637,2.1947
4400,-992.0,62,100,46.1153,2.1685
4500,-1000.0,62,100,46.3972,2.1553
4600,-917.0,64,100,45.5968,2.1931
4700,-938.0,58,100,46.4201,2.1542
4800,-831.0,61,100,45.9635,2.1756
4900,-965.0,60,100,46.2724,2.1611
5000,-874.0,64,100,45.8212,2.1824
5100,-738.0,59,100,45.2288,2.211
5200,-874.0,63,100,45.9996,2.1739
5300,-837.0,61,100,46.2261,2.1633
5400,-772.0,64,100,46.2802,2.1608
5500,-860.0,64,100,45.5764,2.1941
5600,-940.0,63,100,46.2536,2.162
5700,-907.0,62,100,45.2849,2.2082
5800,-875.0,63,100,46.1115,2.1687
5900,-1015.0,62,100,44.9241,2.226
6000,-764.0,58,100,45.6258,2.1917
6100,-829.0,61,100,45.8501,2.181
6200,-914.0,61,100,45.5081,2.1974
6300,-871.0,62,100,44.2782,2.2585
6400,-874.0,67,100,46.3413,2.1579
6500,-880.0,63,100,46.4416,2.1532
6600,-887.0,61,100,45.4893,2.1983
6700,-1030.0,69,100,46.2319,2.163
6800,-885.0,63,100,45.8024,2.1833
6900,-1030.0,63,100,45.9025,2.1785
7000,-825.0,68,100,45.8705,2.1801
7100,-969.0,68,100,45.6937,2.1885
7200,-805.0,67,100,45.9888,2.1744
7300,-871.0,64,100,45.5837,2.1938
7400,-769.0,60,100,45.9494,2.1763
7500,-869.0,65,100,45.5785,2.194
7600,-765.0,65,100,46.195,2.1647
7700,-869.0,62,100,46.4722,2.1518
7800,-870.0,58,100,45.9254,2.1774
7900,-750.0,58,100,46.426,2.154
8000,-890.0,70,100,45.018,2.2213
8100,-933.0,68,100,46.1491,2.1669
8200,-901.0,68,100,45.6232,2.1919
8300,-938.0,66,100,45.8461,2.1812
8400,-944.0,63,100,45.3299,2.2061
8500,-1039.0,70,100,45.3038,2.2073
8600,-1046.0,63,100,45.2288,2.211
8700,-946.0,61,100,41.5177,2.4086
8800,-885.0,69,100,39.9669,2.5021
8900,-916.0,65,100,41.5101,2.4091
9000,-915.0,68,100,38.8614,2.5733
9100,-945.0,65,100,40.1078,2.4933
9200,-879.0,66,100,41.8773,2.3879
9300,-797.0,69,100,43.6412,2.2914
9400,-883.0,66,100,45.4059,2.2024
9500,-892.0,63,100,43.8523,2.2804
9600,-878.0,66,100,43.0234,2.3243
9700,-938.0,64,100,42.2353,2.3677
9800,-810.0,65,100,44.2509,2.2598
9900,-872.0,69,100,43.0683,2.3219
10000,-915.0,65,100,0.0,0.2788
10100,-894.0,61,100,44.5013,2.2471
10200,-862.0,65,100,46.0097,2.1735
10300,-837.0,64,100,45.4727,2.1991
10400,-971.0,68,100,44.063,2.2695
10500,-827.0,68,100,42.0087,2.3805
10600,-911.0,65,100,42.7451,2.3395
