env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,49.9639,-0.4293,-0.4307,-2.3542,2.7714,1.0155,4.3599,5.1249,0.0011,0.0001
200,20.2083,-4.6415,-4.6583,1.4631,2.3048,1.0471,2.8494,4.3854,0.0207,0.0116
300,15.2059,-6.6284,-6.6244,3.4917,2.3999,1.0819,2.687,3.574,0.0245,0.0074
400,14.8382,-6.9665,-6.9595,3.8942,2.444,1.1164,3.6337,4.3414,0.0356,0.0094
500,14.2377,-7.4686,-7.4632,4.357,2.431,1.1524,2.1834,2.1358,0.0399,0.0063
600,14.3044,-7.7471,-7.7434,4.5381,2.4447,1.1903,4.1754,6.2941,0.0258,0.0071
700,14.5638,-8.1629,-8.1609,4.8554,2.4475,1.2298,4.117,5.079,0.0352,0.0053
800,15.3018,-8.9204,-8.9187,5.5387,2.4948,1.2709,3.2459,4.7376,0.0369,0.0245
900,15.3637,-9.6443,-9.6426,6.1581,2.5417,1.3137,4.8459,7.3416,0.0267,0.0149
1000,15.4809,-10.2707,-10.2703,6.701,2.5718,1.3583,7.3488,14.301,0.026,0.0202
1100,15.974,-11.3559,-11.3557,7.7097,2.6128,1.4049,9.2726,18.3798,0.0324,0.0291
1200,16.2386,-12.2332,-12.2331,8.4958,2.6446,1.4534,8.4327,12.8121,0.0624,0.0702
1300,16.9719,-12.5336,-12.5332,8.6266,2.6575,1.5042,6.7774,9.3818,0.0448,0.0411
1400,17.5759,-13.1083,-13.1083,9.0445,2.681,1.5576,6.5343,8.9916,0.0308,0.0133
1500,18.2467,-13.7737,-13.7738,9.5394,2.6915,1.6134,5.4976,8.9567,0.0655,0.0693
1600,18.4892,-14.2777,-14.278,9.8737,2.6931,1.6721,6.079,9.8166,0.0772,0.0769
1700,19.07,-14.892,-14.8923,10.3071,2.6798,1.7339,6.4752,9.9276,0.0267,0.0085
1800,20.5947,-15.4616,-15.4615,10.7023,2.7355,1.7985,14.9901,29.2466,0.0213,0.0041
1900,22.4837,-15.6232,-15.6239,10.6459,2.7218,1.8664,17.8566,36.6504,0.033,0.0112
2000,22.8891,-15.8961,-15.8964,10.7207,2.7154,1.9378,13.5865,32.4609,0.0216,0.0073
2100,22.5287,-16.1265,-16.1271,10.7589,2.7351,2.013,8.2577,12.9787,0.027,0.0147
2200,23.8811,-16.2627,-16.2634,10.6349,2.7382,2.0919,6.617,13.439,0.0278,0.0146
2300,25.2361,-16.5896,-16.59,10.6965,2.7407,2.1748,9.8894,15.3207,0.0336,0.0199
2400,25.2816,-16.8865,-16.8867,10.7883,2.7527,2.262,8.5979,12.8274,0.0329,0.0226
2500,27.1036,-16.5715,-16.5726,10.2114,2.7493,2.3538,20.2194,39.5761,0.0332,0.0184
2600,27.6002,-16.589,-16.5907,9.9631,2.7512,2.4504,13.0167,22.5661,0.0215,0.004
2700,28.8277,-16.474,-16.4752,9.5588,2.7602,2.552,10.0428,18.5919,0.0619,0.054
2800,28.9535,-16.3988,-16.3999,9.1683,2.7636,2.6589,8.8853,13.6853,0.0263,0.012
