env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,86532.6702,-1.7689,815.5471,761.6091
200,81920.4251,-9.0279,740.6118,925.459
300,107706.4204,-19.2388,9982.4804,12459.6138
400,69978.9386,-22.2388,14365.8125,8796.1716
500,60422.9507,-18.9609,8814.3252,9657.1199
600,61240.043,-22.6867,39242.2636,30907.7773
700,68577.2259,-22.5613,17918.905,14958.6052
800,79315.6499,-22.6144,22776.9313,22160.623
900,67683.9154,-19.7955,188.395,67.5194
1000,95909.704,-21.904,1503.2581,1387.4263
1100,89548.9969,-18.9784,284.0329,95.4055
1200,84117.161,-19.4326,50517.8732,42033.5791
1300,60225.0026,-16.5807,11332.2572,9435.8813
1400,64756.3574,-17.4488,43361.2259,39529.6855
1500,66514.6429,-15.3917,228.091,212.3462
1600,92635.0131,-16.4208,40962.5423,17971.7789
1700,97847.4194,-12.8242,5478.9771,5893.58
1800,91598.6893,-13.1382,2979.5369,2412.1445
1900,97837.3976,-8.5799,5110.428,5490.8763
2000,74667.9714,-9.4718,6408.6203,6912.3119
2100,89481.3651,-9.4085,10586.3572,9880.2893
2200,96022.2334,-10.1423,1988.1471,1851.4136
2300,90507.3235,-7.4112,17186.8334,11513.9048
2400,87238.9261,-5.2194,1728.4262,1194.9833
2500,100205.5435,-1.8102,28224.6872,14986.2983
2600,103576.2223,2.3123,10467.2571,9459.304
2700,101439.6562,4.3341,4009.2048,3020.2637
2800,96994.363,7.2093,85160.2274,32261.4819
2900,135580.3704,11.4842,8199.932,6465.4171
3000,108286.3018,11.8881,775.8886,474.5527
3100,133272.7803,11.9624,111901.3602,87206.1914
3200,218972.4356,22.8726,46349.9117,46425.4775
3300,202466.1315,25.6821,81971.7392,60289.5713
3400,206963.9995,31.8282,126750.3394,95972.6309
