env_steps,return,restorations,infiltrations,length,FPS,time
0,-4420.0,62,409,100,0.0,0.9629
100,-5250.0,71,480,100,90.3892,1.1063
200,-5295.0,67,491,100,62.7067,1.5947
300,-4575.0,61,431,100,43.7925,2.2835
400,-4530.0,69,413,100,99.1154,1.0089
500,-4095.0,69,381,100,107.5765,0.9296
600,-4780.0,61,448,100,103.7381,0.964
700,-4525.0,66,419,100,65.2866,1.5317
800,-4455.0,64,413,100,63.5107,1.5745
900,-5835.0,68,543,100,106.4899,0.9391
1000,-4590.0,71,415,100,103.5779,0.9655
1100,-5095.0,71,465,100,106.2078,0.9416
1200,-3985.0,69,361,100,102.2321,0.9782
1300,-5210.0,69,482,100,100.678,0.9933
1400,-5430.0,68,502,100,102.6298,0.9744
1500,-4500.0,70,413,100,107.623,0.9292
1600,-3970.0,66,368,100,103.6425,0.9649
1700,-6165.0,71,571,100,109.0547,0.917
1800,-4965.0,70,457,100,106.9822,0.9347
1900,-5585.0,68,524,100,103.0681,0.9702
2000,-4820.0,67,450,100,106.9039,0.9354
2100,-4765.0,65,448,100,104.3216,0.9586
2200,-5250.0,72,484,100,101.1783,0.9884
2300,-3985.0,65,365,100,106.0023,0.9434
2400,-4145.0,71,375,100,109.7835,0.9109
2500,-7015.0,70,660,100,104.7049,0.9551
2600,-6155.0,68,578,100,105.8401,0.9448
2700,-5200.0,68,481,100,102.9968,0.9709
2800,-4685.0,67,434,100,107.0404,0.9342
2900,-4520.0,70,422,100,102.629,0.9744
3000,-5955.0,70,551,100,102.5496,0.9751
3100,-6060.0,67,568,100,106.3875,0.94
3200,-6805.0,67,646,100,100.9606,0.9905
3300,-5370.0,66,500,100,94.1206,1.0625
3400,-6275.0,62,600,100,106.8609,0.9358
