env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,19.2288,-6.0161,0.7421,1.2201
1100,2.5775,-9.5635,8.7589,18.6533
1200,3.0657,-10.5865,31.415,67.8526
1300,2.0619,-10.2932,3.631,6.6211
1400,1.855,-11.1849,2.26,4.7745
1500,2.3933,-11.6787,91.2053,207.3132
1600,1.7889,-11.3665,9.3108,21.6773
1700,2.4493,-12.4096,11.4311,23.6404
1800,2.057,-12.6868,2.3462,4.2682
1900,1.8676,-12.589,6.0454,14.5189
2000,2.4619,-13.5643,8.0727,16.3004
2100,2.6291,-14.1069,79.147,176.158
2200,2.6709,-13.8807,27.4194,61.2416
2300,3.6126,-14.3698,17.5759,39.9608
2400,3.7699,-15.3346,34.2339,75.7779
2500,3.2007,-14.2073,53.4222,118.6616
2600,3.724,-15.4659,45.1932,101.9145
2700,3.8783,-16.0201,40.551,94.1202
2800,3.5214,-15.6816,33.1449,81.901
2900,3.858,-16.0491,34.9523,80.9962
3000,4.2551,-16.5839,35.7933,81.7327
3100,3.9334,-16.0386,25.341,62.2049
3200,3.9038,-16.9452,53.3041,129.8534
3300,3.9342,-17.4519,55.3798,135.299
3400,3.897,-17.3439,57.1218,133.6875
3500,3.8718,-17.6234,80.5994,195.9098
3600,5.223,-18.0323,46.0257,105.7629
3700,4.2968,-17.8455,71.4298,163.3758
3800,4.5396,-18.2433,60.0908,143.0304
3900,4.9677,-17.9831,34.7964,84.2721
4000,4.6157,-18.11,72.1703,176.747
4100,4.7302,-18.2026,25.5434,55.1867
4200,4.6917,-18.7267,121.8642,284.9165
4300,4.2121,-18.0564,60.9846,152.6831
4400,4.4297,-18.7922,114.109,272.8471
4500,4.3539,-18.7,33.0904,77.0755
4600,3.8849,-17.9146,120.5168,283.5405
4700,4.4649,-19.0631,51.7152,126.443
4800,4.0241,-18.6091,143.5543,354.5907
4900,4.4648,-18.3854,34.7298,87.7344
5000,4.3883,-18.7458,46.8891,118.1869
5100,4.2372,-18.6189,67.8249,163.5812
5200,3.693,-17.6191,20.0372,43.7511
5300,3.9372,-17.9217,27.8099,68.3034
5400,5.0812,-17.6128,194.6159,467.4073
5500,4.0394,-17.1489,88.301,209.746
5600,3.893,-17.5408,161.0294,378.7144
5700,4.5312,-16.9574,189.6295,465.4542
5800,3.9028,-16.6515,70.7595,173.5501
5900,3.362,-16.3317,174.7068,423.1039
6000,3.6906,-16.6252,37.0376,88.273
6100,3.1289,-16.2534,66.2637,149.985
6200,3.2289,-16.1139,54.8037,130.5561
6300,3.6414,-15.8644,72.4009,172.1215
6400,4.1491,-15.4645,65.802,156.8426
6500,3.7988,-15.4441,40.8774,104.4568
6600,3.6604,-15.1483,35.6488,91.2674
6700,3.1292,-14.5105,14.9762,34.0571
6800,3.2617,-15.1873,44.5434,108.5303
6900,3.1916,-14.4443,47.3506,123.2638
7000,3.0589,-14.0298,24.4033,61.8551
7100,2.8814,-13.6484,32.2388,75.5729
7200,2.9537,-13.9533,43.0121,104.7787
7300,2.73,-13.4418,31.1821,80.0931
7400,2.9847,-13.3532,23.1506,58.7666
7500,2.9863,-13.4681,48.0249,119.2942
7600,2.771,-12.8192,34.8971,89.8491
7700,2.6618,-12.8317,21.4301,55.2019
7800,2.6686,-12.5712,40.2666,94.0113
7900,2.5132,-12.38,43.6186,107.9877
8000,2.9439,-12.2775,50.6933,130.7841
8100,3.1994,-12.0049,76.7151,192.5946
8200,2.7019,-11.5578,68.5235,168.138
8300,2.5618,-11.3954,17.1677,42.284
8400,3.0923,-11.3833,107.7759,249.282
8500,2.7093,-11.103,66.2328,159.3671
8600,2.4777,-10.8457,124.9693,301.7794
8700,2.4164,-10.0905,17.454,44.0398
8800,2.4552,-10.4005,60.2842,143.6195
8900,2.3459,-9.9275,57.8153,140.5013
9000,2.5752,-9.7292,97.3427,233.1114
9100,2.285,-9.4611,41.882,99.1087
9200,2.3689,-9.3821,17.1054,42.5773
9300,2.568,-9.2956,117.649,280.6027
9400,2.2713,-8.7179,19.1019,45.9003
9500,2.1366,-8.3021,35.3393,88.3059
9600,2.3358,-8.4705,10.8086,24.7987
9700,2.05,-7.7608,40.9542,98.3858
9800,2.3372,-7.9284,34.4672,82.0828
9900,2.2155,-7.4461,15.0992,37.2223
10000,2.1854,-7.1676,19.3416,47.5919
10100,2.1134,-6.9802,11.3193,26.9091
10200,2.0435,-6.6401,27.571,69.0477
10300,2.1935,-6.6494,17.8117,41.975
10400,2.0377,-5.836,12.597,32.6382
10500,3.5342,-5.789,267.7673,666.7459
10600,2.3312,-5.4077,13.4956,33.257
