env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-22.0,0.1,0.0,100,0.0,1.6008
100,-1129.0001,0.08,0.0,100,82.2493,1.2158
200,-645.4,0.06,0.0,100,84.7657,1.1797
300,-20.1,0.11,0.0,100,62.3053,1.605
400,-1079.1001,0.09,0.0,100,39.608,2.5247
500,-711.5,0.19,0.0,100,35.817,2.792
600,-24.3,0.13,0.0,100,37.3549,2.677
700,-1100.4,0.07,0.0,100,66.5865,1.5018
800,-382.7,0.1,0.0,100,76.2486,1.3115
900,-23.3,0.13,0.0,100,90.1661,1.1091
1000,-1037.8,0.12,0.0,100,1.3372,74.782
1100,-697.5,0.07,0.0,100,8.1331,12.2954
1200,-26.9,0.09,0.0,100,8.6066,11.619
1300,-1152.8,0.11,0.0,100,8.484,11.787
1400,-682.3,0.06,0.0,100,7.9293,12.6115
1500,-21.2,0.12,0.0,100,8.4774,11.796
1600,-1090.4001,0.12,0.0,100,8.3328,12.0008
1700,-790.7,0.16,0.0,100,7.9918,12.5128
1800,-31.7,0.07,0.0,100,7.9385,12.5969
1900,-1042.9,0.12,0.0,100,8.2767,12.0821
2000,-911.2001,0.14,0.0,100,8.9215,11.2089
2100,-29.0,0.1,0.0,100,9.0185,11.0883
2200,-956.6,0.13,0.0,100,8.5397,11.71
2300,-653.2,0.1,0.0,100,7.8178,12.7913
2400,-20.4,0.14,0.0,100,7.871,12.7049
2500,-976.5,0.09,0.0,100,7.8044,12.8133
2600,-726.2,0.15,0.0,100,9.0814,11.0115
2700,-26.7,0.07,0.0,100,8.2081,12.183
2800,-945.3,0.1,0.0,100,7.8111,12.8022
2900,-904.3,0.08,0.0,100,9.1788,10.8947
3000,-29.2,0.12,0.0,100,8.3977,11.908
3100,-1029.8,0.13,0.0,100,7.9383,12.5971
3200,-981.5,0.1,0.0,100,8.209,12.1817
3300,-26.9,0.09,0.0,100,8.7677,11.4055
3400,-949.7001,0.12,0.0,100,8.7576,11.4187
3500,-609.1,0.13,0.0,100,8.9272,11.2017
3600,-17.7,0.07,0.0,100,8.4818,11.7899
3700,-1022.4001,0.13,0.0,100,8.0036,12.4944
3800,-763.9,0.12,0.0,100,8.2021,12.1921
3900,-22.2,0.12,0.0,100,9.2581,10.8014
4000,-1041.9,0.12,0.0,100,8.9258,11.2034
4100,-342.0,0.11,0.0,100,8.3319,12.0021
4200,-21.1,0.11,0.0,100,8.2685,12.0941
4300,-1014.2001,0.08,0.0,100,7.9312,12.6084
4400,-933.5,0.18,0.0,100,7.9341,12.6039
4500,-27.9,0.09,0.0,100,8.1388,12.2869
4600,-1008.6,0.12,0.0,100,8.9232,11.2068
4700,-825.8,0.16,0.0,100,8.537,11.7137
4800,-23.1,0.11,0.0,100,8.7818,11.3872
4900,-1011.3,0.1,0.0,100,8.3272,12.0088
5000,-794.4,0.09,0.0,100,8.1323,12.2966
5100,-20.2,0.12,0.0,100,7.9411,12.5928
5200,-992.7001,0.12,0.0,100,8.1961,12.201
5300,-767.6,0.17,0.0,100,9.806,10.1979
5400,-21.6,0.16,0.0,100,9.1775,10.8962
5500,-1094.0,0.13,0.0,100,8.1256,12.3068
5600,-647.4,0.11,0.0,100,7.936,12.6007
5700,-32.4,0.14,0.0,100,7.9978,12.5035
5800,-940.5,0.09,0.0,100,8.6969,11.4984
5900,-517.3,0.08,0.0,100,8.6295,11.5881
6000,-29.0,0.1,0.0,100,7.9944,12.5087
6100,-908.2001,0.06,0.0,100,8.7772,11.3932
6200,-732.9,0.12,0.0,100,8.252,12.1183
