env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-31.2,0.12,0.0,100,0.0,0.9017
100,-1113.1,0.15,0.0,100,63.2722,1.5805
200,-851.2,0.13,0.0,100,47.3789,2.1106
300,-28.1,0.11,0.0,100,43.7702,2.2847
400,-1056.9,0.1,0.0,100,47.6868,2.097
500,-801.0,0.1,0.0,100,98.9979,1.0101
600,-23.2,0.12,0.0,100,108.5324,0.9214
700,-1046.2001,0.08,0.0,100,59.0002,1.6949
800,-610.1,0.14,0.0,100,46.0343,2.1723
900,-25.2,0.12,0.0,100,52.5887,1.9016
1000,-1126.9,0.07,0.0,100,1.727,57.9033
1100,-921.9,0.12,0.0,100,10.8745,9.1958
1200,-24.8,0.08,0.0,100,10.0681,9.9324
1300,-1103.8,0.13,0.0,100,10.3245,9.6857
1400,-709.8,0.08,0.0,100,10.1116,9.8896
1500,-25.7,0.07,0.0,100,11.7761,8.4918
1600,-1041.6001,0.09,0.0,100,11.4535,8.731
1700,-729.1,0.07,0.0,100,10.8946,9.1789
1800,-26.9,0.09,0.0,100,10.1919,9.8117
1900,-1105.6001,0.19,0.0,100,10.5269,9.4995
2000,-788.6,0.08,0.0,100,10.86,9.2081
2100,-18.5,0.15,0.0,100,11.3854,8.7831
2200,-731.2,0.13,0.0,100,10.4988,9.5249
2300,-724.1,0.13,0.0,100,10.6489,9.3907
2400,-27.7,0.07,0.0,100,10.756,9.2972
2500,-986.5001,0.12,0.0,100,10.4067,9.6092
2600,-522.3,0.1,0.0,100,10.2185,9.7861
2700,-28.3,0.13,0.0,100,10.2247,9.7802
2800,-1041.0,0.17,0.0,100,10.4176,9.5992
2900,-701.1,0.11,0.0,100,11.7647,8.5
3000,-23.1,0.11,0.0,100,11.485,8.707
3100,-1062.8,0.13,0.0,100,10.5197,9.506
3200,-765.5,0.12,0.0,100,10.6153,9.4204
3300,-25.9,0.19,0.0,100,10.4376,9.5808
3400,-1066.4001,0.07,0.0,100,10.76,9.2937
3500,-819.7,0.15,0.0,100,10.6387,9.3997
3600,-23.6,0.16,0.0,100,10.6314,9.4061
3700,-1018.9,0.12,0.0,100,10.4307,9.5871
3800,-507.6,0.12,0.0,100,11.1074,9.003
3900,-26.2,0.12,0.0,100,11.5948,8.6246
4000,-1075.5001,0.1,0.0,100,10.4214,9.5956
4100,-827.8,0.18,0.0,100,10.5279,9.4986
4200,-22.9,0.09,0.0,100,10.32,9.6899
4300,-925.9,0.07,0.0,100,10.7651,9.2893
4400,-810.0,0.16,0.0,100,11.4926,8.7013
4500,-26.1,0.11,0.0,100,11.8656,8.4277
4600,-913.0,0.14,0.0,100,10.8946,9.1789
4700,-613.7,0.16,0.0,100,10.2868,9.7212
4800,-23.4,0.14,0.0,100,10.1307,9.871
4900,-1012.2001,0.1,0.0,100,11.0971,9.0114
5000,-930.8,0.13,0.0,100,10.7333,9.3168
5100,-28.8,0.08,0.0,100,11.1317,8.9833
5200,-1036.4,0.17,0.0,100,10.76,9.2937
5300,-554.8,0.14,0.0,100,10.6411,9.3975
5400,-30.5,0.05,0.0,100,10.3988,9.6165
5500,-1091.7001,0.1,0.0,100,10.1986,9.8053
5600,-818.5,0.09,0.0,100,10.628,9.4091
5700,-25.6,0.16,0.0,100,11.2636,8.8782
5800,-989.4,0.1,0.0,100,11.746,8.5136
