env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,10.7941,-6.8683,0.7911,0.6687
1100,0.2681,-10.0454,0.8408,0.749
1200,0.7653,-10.5374,0.6496,0.5336
1300,0.5977,-9.969,0.8889,0.7154
1400,0.2772,-10.7289,0.4158,0.3396
1500,0.442,-11.0463,0.5473,0.4832
1600,0.1846,-10.5667,0.3079,0.2624
1700,0.5989,-11.2116,0.5653,0.4376
1800,0.6144,-11.409,0.8324,0.676
1900,0.2342,-11.3765,0.2782,0.2176
2000,0.2663,-11.9235,0.4177,0.3457
2100,0.4559,-12.2683,0.3502,0.2874
2200,0.2468,-11.6929,0.6761,0.5603
2300,0.295,-12.5762,0.7147,0.6514
2400,0.2664,-12.8465,0.233,0.1999
2500,0.1376,-12.3438,0.2472,0.1985
2600,0.3943,-12.6659,0.3404,0.2945
2700,0.3205,-12.9832,1.02,0.8999
2800,0.1174,-12.8083,0.1625,0.1237
2900,0.2601,-12.9196,1.1036,0.9435
3000,0.3951,-13.3641,0.6054,0.5002
3100,0.1508,-13.2387,0.2713,0.2248
3200,0.1987,-13.7902,0.342,0.2855
3300,0.5383,-14.2044,1.1601,0.9652
3400,0.1494,-13.3554,0.2456,0.1999
3500,0.1813,-14.08,0.7017,0.6056
3600,0.2005,-14.0645,0.4474,0.3833
3700,0.12,-13.8254,0.4312,0.3444
3800,0.211,-13.8388,1.0994,0.9617
3900,0.4161,-13.9266,1.2581,1.0135
4000,0.1235,-13.7818,0.4474,0.3469
4100,0.2586,-13.7971,0.4391,0.3513
4200,0.2305,-13.9209,0.6351,0.568
4300,0.1479,-13.6021,0.6667,0.5544
4400,0.1585,-14.2171,0.4108,0.3433
4500,0.2326,-13.8157,3.1747,2.6914
4600,0.1234,-13.5929,0.363,0.3111
4700,0.2137,-13.8888,1.6776,1.4245
4800,0.227,-13.7371,0.9439,0.7902
4900,0.1129,-13.3633,0.4325,0.3562
5000,0.1795,-13.9025,0.284,0.2473
5100,0.2213,-13.4858,0.6807,0.581
5200,0.101,-13.1478,0.5879,0.5075
5300,0.2301,-13.5714,1.188,1.0089
5400,0.2194,-13.8786,0.6991,0.5889
5500,0.158,-13.4037,0.5226,0.4831
5600,0.1605,-13.3007,0.4184,0.38
5700,0.1901,-13.6359,0.7477,0.6163
5800,0.1116,-13.0983,0.4678,0.4106
5900,0.1429,-13.3815,1.104,0.9869
6000,0.2047,-13.7617,0.305,0.2809
6100,0.1289,-13.2939,0.9071,0.7944
6200,0.1823,-13.283,1.2915,1.2842
6300,0.2016,-13.3068,0.7317,0.6446
6400,0.1127,-13.1673,0.3581,0.3162
6500,0.1398,-13.2074,0.6338,0.5476
6600,0.222,-13.4466,1.0518,0.9785
6700,0.1087,-13.0749,0.6008,0.604
6800,0.1537,-13.373,0.9823,0.8554
6900,0.2107,-13.4932,1.7588,1.6146
7000,0.1199,-12.7954,3.6382,3.3507
7100,0.1669,-13.0223,1.5292,1.4079
7200,0.2122,-13.2997,0.9682,0.8857
7300,0.1252,-12.8102,0.7694,0.7445
7400,0.1741,-12.8528,0.6491,0.5788
7500,0.1546,-12.9016,1.5607,1.3996
7600,0.1144,-12.6858,1.1113,1.0328
7700,0.1518,-12.6701,1.0929,1.0207
7800,0.1888,-12.7524,0.9138,0.8933
7900,0.1065,-12.8681,2.1842,2.0119
8000,0.2105,-13.0751,1.7172,1.6101
8100,0.218,-13.029,1.3326,1.2757
8200,0.1221,-12.8171,1.3533,1.3074
8300,0.2731,-13.072,0.9358,0.8875
8400,0.2025,-12.8818,1.4463,1.4693
8500,0.11,-13.2109,0.5725,0.5304
8600,0.2031,-13.2035,1.5423,1.4617
8700,0.1583,-13.2088,0.727,0.654
8800,0.1103,-13.4954,0.7767,0.6737
8900,0.3177,-13.2404,1.2222,1.1115
9000,0.2257,-13.3284,1.6471,1.5714
9100,0.1339,-13.3181,0.5765,0.5423
9200,0.1711,-13.2342,0.7197,0.6517
9300,0.221,-13.6195,1.2349,1.1883
9400,0.1522,-13.6947,4.8562,4.4826
9500,0.2182,-13.9153,1.5055,1.3521
9600,0.2059,-13.4659,1.264,1.2044
9700,0.1179,-13.4101,0.5023,0.4597
9800,0.194,-13.6175,1.2351,1.1058
9900,0.3131,-13.6819,2.1133,2.0562
10000,0.1433,-13.5888,1.48,1.3739
10100,0.176,-13.5279,1.563,1.4657
10200,0.2928,-13.9179,2.7545,2.3486
10300,0.143,-13.5675,1.1279,1.0159
10400,0.1742,-14.0985,1.733,1.5813
10500,0.2557,-13.9963,1.1701,1.0856
10600,0.1535,-13.7841,0.8817,0.875
10700,0.2246,-14.0555,2.325,2.1541
10800,0.2413,-14.024,2.1226,1.9274
10900,0.1433,-14.1597,0.7499,0.6403
11000,0.1464,-14.0159,1.218,1.129
11100,0.1742,-14.0255,1.4389,1.2643
11200,0.1392,-13.8528,1.9675,1.7574
11300,0.2198,-14.4932,4.3532,3.7857
11400,0.2983,-14.7424,1.6493,1.4274
11500,0.1816,-13.9789,1.7819,1.5741
11600,0.1599,-14.3892,1.5266,1.435
11700,0.1806,-14.5797,2.2089,1.9433
11800,0.1315,-14.1916,1.6158,1.4988
11900,0.2105,-14.4491,1.1169,1.0311
12000,0.2532,-14.3381,2.3216,2.2657
12100,0.1474,-14.6164,0.7225,0.6136
12200,0.1836,-14.5938,1.6468,1.4717
12300,0.216,-14.3716,2.1762,1.9292
12400,0.1405,-14.703,1.6729,1.4554
12500,0.2261,-14.9604,4.4067,4.1696
12600,0.2338,-15.0388,1.8995,1.7816
12700,0.1581,-14.6952,1.4182,1.3871
12800,0.2348,-14.3529,2.3432,2.1366
12900,0.2564,-14.9023,1.7154,1.4713
13000,0.1445,-14.5118,0.7887,0.7535
13100,0.2276,-14.4727,2.1376,1.9979
13200,0.2179,-15.0825,2.151,1.7397
13300,0.1703,-14.8495,1.4403,1.2951
13400,0.2169,-14.9701,3.9068,3.4257
13500,0.4798,-15.1994,3.1173,2.7439
13600,0.2178,-14.9995,1.0532,0.949
13700,0.3349,-14.9937,1.3544,1.2493
13800,0.241,-14.8608,1.2954,1.0437
13900,0.147,-14.5691,0.8433,0.6947
14000,0.1894,-15.0742,0.7252,0.6669
14100,0.2389,-15.2188,1.801,1.5528
14200,0.1536,-15.1248,1.5055,1.2726
14300,0.2455,-15.4383,2.5752,2.2223
14400,0.3103,-15.6747,4.2577,3.6764
14500,0.1556,-15.2392,1.2647,1.0208
14600,0.2209,-15.4259,1.2343,1.1151
14700,0.2171,-15.3218,1.06,0.9358
14800,0.138,-15.1715,1.0278,0.9249
14900,0.2203,-15.7779,6.7857,5.9467
15000,0.3053,-15.2816,4.4167,3.8423
15100,0.1544,-14.7799,1.6311,1.5118
15200,0.1772,-15.3018,2.8109,2.4188
15300,0.2414,-15.3286,1.4073,1.23
15400,0.1573,-15.366,1.0991,1.0172
15500,0.2275,-15.2924,1.1126,0.9606
15600,0.228,-15.5527,1.9911,1.8716
15700,0.2534,-14.8741,1.9508,1.7322
15800,0.2101,-15.0997,2.0379,1.7692
15900,0.2198,-15.1705,2.1536,1.8176
16000,0.1375,-15.7184,1.546,1.4239
16100,0.3587,-15.6897,6.4769,5.5935
16200,0.3683,-15.3377,2.8356,2.5136
16300,0.1474,-15.5023,1.4654,1.2464
16400,0.181,-15.5564,0.8966,0.8313
16500,0.1862,-15.0877,0.8874,0.7381
16600,0.1259,-15.1184,0.4986,0.4492
16700,0.212,-15.5179,1.7142,1.4063
16800,0.2397,-15.4464,4.0783,3.4749
16900,0.1611,-15.5789,0.8643,0.7835
17000,0.1935,-15.3964,1.7696,1.5911
17100,0.2425,-15.682,1.729,1.6041
17200,0.1211,-15.134,0.7654,0.6999
17300,0.185,-15.572,2.3915,2.0195
17400,0.1973,-15.3159,1.5668,1.3986
17500,0.148,-15.1351,1.117,0.9978
17600,0.206,-15.5862,1.6663,1.5163
17700,0.2771,-15.6424,2.7583,2.2477
17800,0.2156,-15.304,6.1134,5.1907
17900,0.2096,-15.6371,2.1684,1.8124
18000,0.2266,-15.272,3.3674,2.811
18100,0.1882,-14.9688,2.2228,2.0795
18200,0.2061,-15.4643,1.1847,1.125
18300,0.2149,-15.476,2.0157,1.7018
18400,0.1354,-15.1711,2.7941,2.4951
18500,0.2102,-15.7422,0.9145,0.7443
18600,0.1985,-15.4846,2.1101,1.8748
18700,0.1485,-15.5991,1.4269,1.1393
18800,0.1527,-15.0701,1.6361,1.4384
18900,0.2245,-15.0881,4.2278,3.6399
19000,0.1929,-15.0953,3.378,2.9086
19100,0.2269,-15.996,2.3534,2.2049
19200,0.1856,-15.1391,1.9907,1.6896
19300,0.1491,-15.4195,1.6436,1.4146
19400,0.1424,-15.1533,0.7386,0.6709
19500,0.2311,-15.1639,3.4079,3.0527
19600,0.2115,-15.3765,2.1961,1.9687
19700,0.2135,-15.3963,1.3275,1.1737
19800,0.2217,-15.0367,3.9608,3.4994
19900,0.1501,-14.8696,0.6422,0.5954
20000,0.1903,-14.8775,2.2008,1.7643
20100,0.1864,-15.3666,0.8836,0.7306
20200,0.1394,-15.066,1.3219,1.1869
20300,0.1588,-15.5198,1.1735,1.0129
20400,0.2805,-15.1382,1.5569,1.3371
20500,0.1897,-14.8238,3.0306,2.7992
20600,0.233,-15.058,1.6951,1.4067
20700,0.1903,-14.8145,1.6202,1.3317
20800,0.1409,-14.7403,1.0593,0.8878
20900,0.183,-14.8671,1.5394,1.2693
21000,0.228,-14.6397,1.2068,1.0908
21100,0.145,-14.6241,0.7332,0.6434
21200,0.1647,-14.8796,1.5692,1.3994
21300,0.2133,-14.7938,5.0738,4.3256
21400,0.2057,-14.9078,3.4818,3.0701
21500,0.2331,-15.0301,6.4618,5.5465
21600,0.2152,-14.6552,1.5314,1.3381
21700,0.1326,-14.7599,1.3193,1.1708
21800,0.165,-15.0834,1.4671,1.3165
21900,0.1753,-15.0172,1.2922,1.0709
22000,0.1261,-15.3109,1.1092,0.9274
22100,0.1757,-14.66,0.7058,0.6255
22200,0.2106,-14.921,0.9826,0.936
22300,0.1222,-15.0626,1.5548,1.4407
22400,0.1507,-14.9833,1.2988,1.0906
22500,0.1893,-14.5079,1.6695,1.4412
22600,0.1401,-14.4536,1.4422,1.2148
22700,0.1573,-14.7847,1.3355,1.0813
22800,0.2094,-15.0112,1.414,1.2529
22900,0.1278,-14.6008,1.2315,1.1126
23000,0.1544,-14.8475,2.7866,2.5274
23100,0.1816,-14.7194,1.5485,1.2873
23200,0.1495,-14.8748,1.3298,1.2112
23300,0.2207,-14.8862,2.211,1.9223
23400,0.1947,-14.3955,4.2685,3.6993
23500,0.2422,-14.4819,5.2122,4.4301
23600,0.1907,-14.4945,1.406,1.2626
23700,0.2127,-14.739,0.9599,0.8625
23800,0.1212,-14.1387,0.6439,0.564
23900,0.1962,-14.6926,1.3493,1.105
24000,0.1887,-14.4731,3.1272,2.7419
24100,0.1331,-14.4503,1.3635,1.1688
24200,0.1656,-14.5272,1.3225,1.1259
24300,0.1718,-13.9718,1.7833,1.6026
24400,0.1184,-14.1337,1.6015,1.3642
24500,0.1506,-14.079,0.8083,0.6823
24600,0.1965,-14.5596,1.661,1.3578
24700,0.1162,-14.3769,0.8088,0.6687
24800,0.149,-14.4827,0.8981,0.8005
24900,0.149,-14.1417,1.8808,1.6015
25000,0.1188,-14.1864,2.2127,1.9785
25100,0.1513,-14.3946,1.7021,1.4839
25200,0.1903,-14.0854,1.3516,1.1863
25300,0.1115,-14.3925,1.4009,1.1741
25400,0.1628,-14.196,1.1124,0.9706
25500,0.1984,-14.1612,1.4668,1.2711
25600,0.1107,-13.717,0.7874,0.6824
25700,0.1944,-13.9703,1.8095,1.4184
25800,0.1995,-14.0267,1.3049,1.0312
25900,0.1231,-14.204,1.0207,0.9042
26000,0.1416,-14.2754,1.1583,1.0536
26100,0.1652,-14.0435,0.8867,0.7675
26200,0.1308,-13.6513,1.4554,1.2028
26300,0.1377,-13.5602,2.2405,1.9088
26400,0.1603,-13.7187,0.9205,0.7898
26500,0.1161,-13.2573,1.5338,1.2958
26600,0.1459,-13.2342,1.4465,1.2278
26700,0.1506,-13.7828,1.4019,1.2585
26800,0.1098,-13.5977,1.1345,0.9295
26900,0.1428,-13.4403,0.859,0.6868
27000,0.2053,-13.5975,1.5343,1.2992
27100,0.1081,-13.4727,0.7168,0.5781
27200,0.1557,-13.2586,1.1575,1.0164
27300,0.1455,-13.2018,0.6907,0.61
27400,0.1073,-13.2487,0.8936,0.7949
27500,0.1262,-13.3608,0.9271,0.8294
27600,0.1634,-13.5882,1.1367,0.9686
27700,0.1114,-13.3893,1.0279,0.8698
27800,0.1232,-13.4735,0.9876,0.854
27900,0.1888,-13.3181,1.7288,1.4921
28000,0.1339,-13.3288,1.4887,1.3457
28100,0.139,-13.5172,1.0797,0.9646
28200,0.1482,-13.1195,0.8591,0.6845
28300,0.1037,-13.2217,0.8459,0.7074
28400,0.1058,-13.0577,1.4668,1.286
28500,0.1657,-12.8879,1.8692,1.5984
28600,0.1206,-12.8195,1.966,1.6726
28700,0.1635,-12.8178,1.0856,0.992
28800,0.1811,-13.2368,2.5982,2.1657
28900,0.1152,-12.6918,0.6265,0.5415
29000,0.1133,-12.6822,0.5723,0.4897
29100,0.1072,-12.4678,1.7959,1.5326
29200,0.1221,-12.6795,1.4133,1.1332
29300,0.1572,-12.7402,1.0266,0.8698
29400,0.1582,-12.3362,1.1301,0.9836
29500,0.0985,-12.6118,0.6158,0.5368
29600,0.1334,-12.5608,0.9847,0.8082
29700,0.1677,-12.3704,1.0574,0.8974
29800,0.1041,-12.4685,0.7204,0.6432
29900,0.1515,-12.7138,1.4991,1.3019
30000,0.1295,-12.487,0.9743,0.7793
30100,0.0926,-12.1028,0.616,0.492
30200,0.105,-12.237,0.7509,0.6017
30300,0.1241,-12.5961,1.0096,0.9036
30400,0.1056,-12.3608,1.1293,0.9249
30500,0.108,-12.2575,0.6476,0.5452
30600,0.122,-12.4196,0.8031,0.6526
30700,0.0815,-12.4535,0.7375,0.6126
30800,0.1218,-11.8873,0.9854,0.9272
30900,0.1444,-12.2126,1.5087,1.178
31000,0.0927,-12.2011,0.5474,0.5037
31100,0.1416,-12.384,1.5138,1.3494
31200,0.1704,-12.4581,0.9163,0.8539
31300,0.1009,-12.5342,0.7128,0.5988
31400,0.094,-12.0388,0.8649,0.7051
31500,0.129,-11.8769,0.6963,0.6253
31600,0.1003,-12.1063,1.6265,1.3178
31700,0.1072,-12.0081,0.5511,0.4885
31800,0.1302,-12.0206,1.0901,0.89
31900,0.0962,-12.0475,0.949,0.756
32000,0.1272,-11.5511,0.7585,0.6616
32100,0.1145,-11.9022,0.8597,0.7269
32200,0.1046,-12.0415,0.601,0.4969
32300,0.0952,-11.6833,0.453,0.3937
32400,0.0915,-12.2201,0.8343,0.7196
32500,0.0839,-11.8276,0.4856,0.4221
32600,0.1195,-11.6764,0.7165,0.6481
32700,0.1369,-11.9266,2.3504,1.8392
32800,0.1304,-11.9619,2.0469,1.6866
32900,0.145,-11.2612,1.7879,1.5039
33000,0.1164,-11.9803,0.4698,0.4046
33100,0.0818,-11.815,0.3741,0.3126
33200,0.105,-11.7809,0.5248,0.4461
33300,0.1142,-11.8933,0.4694,0.3954
33400,0.0729,-11.8478,0.5355,0.4322
33500,0.1222,-11.3497,0.6992,0.5648
33600,0.0963,-11.7949,0.6823,0.6112
33700,0.0839,-11.7854,0.3616,0.3204
33800,0.1021,-11.5286,0.4883,0.4404
33900,0.1335,-11.513,1.8162,1.5609
34000,0.0978,-11.5623,0.6807,0.6043
34100,0.1235,-11.5841,0.7899,0.6625
34200,0.123,-11.6869,1.1246,0.9024
34300,0.0837,-11.7052,0.887,0.7084
34400,0.1058,-11.6539,0.962,0.8291
34500,0.1164,-11.5556,0.9132,0.7691
34600,0.082,-11.4899,0.4956,0.3992
34700,0.1139,-11.5917,0.8423,0.6857
34800,0.1406,-11.4427,2.7158,2.2836
34900,0.1249,-11.5535,1.544,1.3244
35000,0.107,-11.4195,0.4555,0.4265
35100,0.1074,-11.0972,0.575,0.4665
35200,0.0814,-11.7708,0.4434,0.3691
35300,0.109,-11.4871,0.6648,0.5386
35400,0.1078,-11.905,0.3149,0.2766
35500,0.0822,-11.5296,0.6145,0.4673
35600,0.1012,-11.7365,0.7547,0.6846
35700,0.1114,-11.2953,0.8856,0.7334
35800,0.0929,-11.1554,0.7804,0.6837
35900,0.1205,-11.4616,1.3832,1.1489
36000,0.1172,-11.4051,0.5874,0.511
36100,0.0829,-11.2658,0.6985,0.6182
36200,0.1092,-11.476,0.6084,0.521
36300,0.0952,-11.227,0.9909,0.8574
36400,0.0888,-11.2329,0.8191,0.6699
36500,0.0988,-11.2443,0.6067,0.5122
36600,0.1102,-11.1612,0.9989,0.7865
36700,0.0879,-11.4166,0.5234,0.4499
36800,0.1311,-11.5073,0.8362,0.7116
36900,0.1158,-11.4432,1.4365,1.2413
37000,0.0987,-11.6154,0.9368,0.7605
37100,0.0916,-11.4195,0.7681,0.6282
37200,0.105,-11.1878,0.52,0.4407
37300,0.0777,-11.3929,0.6225,0.5253
37400,0.1045,-11.2898,0.81,0.7105
37500,0.0912,-11.4218,0.5977,0.5156
37600,0.0866,-11.2633,2.222,1.8841
37700,0.1286,-11.2823,1.0847,0.9732
