env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-22.0,0.1,0.0,100,0.0,0.5792
100,-1129.0,0.08,0.0,100,196.2166,0.5096
200,-645.4,0.06,0.0,100,196.9759,0.5077
300,-20.1,0.11,0.0,100,201.0849,0.4973
400,-1079.1,0.09,0.0,100,170.7485,0.5857
500,-711.5,0.19,0.0,100,198.0173,0.505
600,-24.3,0.13,0.0,100,243.8387,0.4101
700,-1100.4,0.07,0.0,100,199.5917,0.501
800,-382.7,0.1,0.0,100,198.6945,0.5033
900,-23.3,0.13,0.0,100,250.5971,0.3991
1000,-1015.1,0.14,0.0,100,6.6213,15.1027
1100,-532.0,0.08,0.0,100,17.5671,5.6925
1200,-21.9,0.19,0.0,100,22.8052,4.385
1300,-813.6,0.1,0.0,100,21.2412,4.7078
1400,-480.8,0.12,0.0,100,18.4791,5.4115
1500,-23.0,0.1,0.0,100,28.7594,3.4771
1600,-1043.1001,0.13,0.0,100,20.379,4.907
1700,-683.7001,0.15,0.0,100,18.8947,5.2925
1800,-33.0,0.1,0.0,100,28.4545,3.5144
1900,-1031.6,0.09,0.0,100,20.8922,4.7865
2000,-864.0001,0.13,0.0,100,19.564,5.1114
2100,-23.3,0.13,0.0,100,27.8345,3.5927
2200,-897.7,0.14,0.0,100,18.7491,5.3336
2300,-463.0,0.11,0.0,100,18.6428,5.364
2400,-23.9,0.09,0.0,100,24.7297,4.0437
2500,-927.1,0.16,0.0,100,16.4915,6.0637
2600,-896.9,0.09,0.0,100,24.3288,4.1104
2700,-27.9,0.09,0.0,100,20.8613,4.7936
2800,-1098.1001,0.09,0.0,100,18.861,5.3019
2900,-666.4,0.21,0.0,100,24.9582,4.0067
3000,-25.9,0.09,0.0,100,21.7819,4.591
3100,-858.1001,0.08,0.0,100,21.7191,4.6042
3200,-482.9,0.08,0.0,100,20.4242,4.8962
3300,-22.9,0.09,0.0,100,23.8846,4.1868
3400,-1086.2,0.1,0.0,100,23.1378,4.3219
3500,-601.0,0.1,0.0,100,17.5686,5.692
3600,-14.7,0.07,0.0,100,27.7654,3.6016
3700,-1039.3,0.17,0.0,100,17.5486,5.6985
3800,-914.9,0.11,0.0,100,20.4669,4.8859
3900,-18.5,0.05,0.0,100,20.7645,4.8159
4000,-1055.2001,0.15,0.0,100,17.261,5.7934
4100,-880.7999,0.13,0.0,100,28.5726,3.4999
4200,-20.8,0.08,0.0,100,18.1603,5.5065
4300,-1052.9,0.16,0.0,100,20.473,4.8845
4400,-679.5,0.1,0.0,100,29.2273,3.4215
4500,-28.8,0.18,0.0,100,20.8476,4.7967
4600,-1028.2,0.17,0.0,100,22.221,4.5003
4700,-529.3,0.09,0.0,100,22.7936,4.3872
4800,-24.0,0.1,0.0,100,22.7142,4.4025
4900,-952.6,0.12,0.0,100,19.6137,5.0985
5000,-741.4,0.13,0.0,100,21.7543,4.5968
5100,-20.7,0.17,0.0,100,25.6332,3.9012
5200,-981.7001,0.12,0.0,100,20.4321,4.8943
5300,-773.0,0.13,0.0,100,20.3998,4.902
5400,-19.3,0.13,0.0,100,26.2573,3.8085
5500,-1034.1001,0.12,0.0,100,18.8306,5.3105
5600,-717.6,0.09,0.0,100,20.4935,4.8796
5700,-20.0,0.1,0.0,100,27.6282,3.6195
5800,-632.3,0.18,0.0,100,16.7202,5.9808
5900,-841.3,0.08,0.0,100,23.758,4.2091
6000,-26.4,0.14,0.0,100,18.4081,5.4324
6100,-1041.1,0.06,0.0,100,16.2289,6.1618
6200,-876.7,0.09,0.0,100,26.3167,3.7999
6300,-22.4,0.14,0.0,100,16.6184,6.0174
6400,-1032.6001,0.11,0.0,100,24.4829,4.0845
6500,-783.2,0.12,0.0,100,19.6181,5.0973
6600,-26.8,0.08,0.0,100,20.4152,4.8983
6700,-1091.5001,0.11,0.0,100,22.2214,4.5002
6800,-496.9,0.08,0.0,100,24.4014,4.0981
6900,-23.8,0.08,0.0,100,23.1531,4.3191
7000,-998.6001,0.11,0.0,100,18.4995,5.4056
7100,-777.1,0.07,0.0,100,25.1434,3.9772
7200,-21.6,0.06,0.0,100,21.2808,4.6991
7300,-918.6,0.14,0.0,100,19.137,5.2255
7400,-676.4,0.07,0.0,100,26.4431,3.7817
7500,-26.5,0.15,0.0,100,21.3066,4.6934
7600,-1049.1001,0.14,0.0,100,19.1294,5.2276
7700,-601.2,0.12,0.0,100,26.4155,3.7857
7800,-23.8,0.08,0.0,100,19.9547,5.0114
7900,-1013.5001,0.08,0.0,100,17.8941,5.5884
8000,-475.4,0.08,0.0,100,27.8708,3.588
8100,-29.1,0.11,0.0,100,17.8585,5.5996
8200,-916.5,0.11,0.0,100,21.1418,4.73
8300,-772.6,0.15,0.0,100,23.2441,4.3022
8400,-25.2,0.12,0.0,100,17.9518,5.5705
8500,-1025.2001,0.16,0.0,100,22.0796,4.5291
8600,-856.6,0.12,0.0,100,21.4189,4.6688
8700,-15.6,0.16,0.0,100,24.2255,4.1279
8800,-918.3,0.16,0.0,100,20.1173,4.9709
8900,-933.4,0.12,0.0,100,25.6343,3.901
9000,-22.4,0.14,0.0,100,21.7489,4.5979
9100,-1057.7001,0.09,0.0,100,17.468,5.7248
9200,-804.0,0.14,0.0,100,30.4685,3.2821
9300,-20.6,0.06,0.0,100,17.7575,5.6314
9400,-990.9001,0.16,0.0,100,18.6433,5.3639
9500,-672.8,0.13,0.0,100,23.6498,4.2284
9600,-16.6,0.16,0.0,100,17.2627,5.7929
9700,-998.9999,0.09,0.0,100,25.1201,3.9809
9800,-612.0001,0.14,0.0,100,20.2844,4.9299
9900,-27.2,0.12,0.0,100,19.6869,5.0795
10000,-892.4,0.07,0.0,100,0.0,4.1376
10100,-781.2,0.09,0.0,100,19.0003,5.2631
10200,-22.7,0.17,0.0,100,26.8215,3.7284
10300,-1048.1001,0.09,0.0,100,18.1434,5.5116
10400,-702.5,0.1,0.0,100,20.1516,4.9624
10500,-24.6,0.16,0.0,100,23.268,4.2977
10600,-924.2,0.1,0.0,100,19.5484,5.1155
10700,-730.4999,0.13,0.0,100,21.8157,4.5839
10800,-14.8,0.18,0.0,100,23.6973,4.2199
10900,-990.4,0.09,0.0,100,22.7389,4.3978
11000,-733.8,0.07,0.0,100,18.8839,5.2955
11100,-25.0,0.1,0.0,100,26.9508,3.7105
11200,-1022.8,0.1,0.0,100,19.6929,5.078
11300,-796.7999,0.18,0.0,100,16.1013,6.2107
11400,-17.7,0.17,0.0,100,26.906,3.7166
11500,-1100.2,0.17,0.0,100,15.1701,6.5919
11600,-327.9,0.06,0.0,100,23.8566,4.1917
11700,-20.9,0.19,0.0,100,19.2077,5.2063
11800,-859.1001,0.16,0.0,100,17.8759,5.5941
11900,-750.4,0.08,0.0,100,28.6023,3.4962
12000,-26.8,0.08,0.0,100,20.8234,4.8023
12100,-960.4,0.09,0.0,100,21.2315,4.71
12200,-667.9001,0.16,0.0,100,22.3127,4.4817
12300,-22.5,0.15,0.0,100,21.1465,4.7289
12400,-889.6,0.13,0.0,100,20.1233,4.9694
12500,-610.2,0.12,0.0,100,23.1915,4.3119
12600,-26.6,0.16,0.0,100,23.2137,4.3078
12700,-906.0,0.15,0.0,100,19.6589,5.0867
12800,-803.2,0.13,0.0,100,23.1416,4.3212
12900,-19.6,0.06,0.0,100,23.4191,4.27
13000,-762.9,0.05,0.0,100,19.5327,5.1196
13100,-618.9,0.1,0.0,100,19.6519,5.0886
13200,-21.8,0.08,0.0,100,24.2548,4.1229
13300,-814.9,0.1,0.0,100,18.9735,5.2705
13400,-703.0,0.1,0.0,100,24.9004,4.016
13500,-24.7,0.07,0.0,100,24.378,4.1021
13600,-984.6,0.09,0.0,100,19.6105,5.0993
13700,-539.8,0.11,0.0,100,21.3451,4.6849
13800,-19.8,0.18,0.0,100,20.8449,4.7973
13900,-803.6,0.13,0.0,100,16.3392,6.1203
14000,-320.1,0.02,0.0,100,27.8699,3.5881
