env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-22.0,0.1,0.0,100,0.0,1.8047
100,-1129.0001,0.08,0.0,100,45.514,2.1971
200,-645.4,0.06,0.0,100,82.1877,1.2167
300,-20.1,0.11,0.0,100,92.3984,1.0823
400,-1079.1001,0.09,0.0,100,70.9057,1.4103
500,-711.5,0.19,0.0,100,49.8294,2.0068
600,-24.3,0.13,0.0,100,49.7611,2.0096
700,-1100.4,0.07,0.0,100,67.4014,1.4837
800,-382.7,0.1,0.0,100,76.294,1.3107
900,-23.3,0.13,0.0,100,71.7413,1.3939
1000,-1137.8,0.1,0.0,100,1.0298,97.1078
1100,-801.5,0.13,0.0,100,7.3531,13.5996
1200,-22.2,0.12,0.0,100,7.9379,12.5978
1300,-1127.9,0.12,0.0,100,7.5278,13.2842
1400,-835.8,0.14,0.0,100,7.2446,13.8033
1500,-20.0,0.1,0.0,100,7.3406,13.6229
1600,-929.3,0.08,0.0,100,7.0046,14.2763
1700,-802.1,0.17,0.0,100,7.456,13.4121
1800,-28.4,0.14,0.0,100,7.5745,13.2022
1900,-1010.6001,0.1,0.0,100,7.4024,13.5092
2000,-854.5,0.14,0.0,100,7.5218,13.2947
2100,-12.9,0.09,0.0,100,7.3574,13.5918
2200,-967.1001,0.07,0.0,100,7.0497,14.185
2300,-804.7,0.14,0.0,100,7.0416,14.2013
2400,-17.8,0.18,0.0,100,7.2398,13.8126
2500,-1071.1001,0.06,0.0,100,7.471,13.3851
2600,-694.6,0.11,0.0,100,7.4024,13.5091
2700,-22.5,0.15,0.0,100,7.5788,13.1947
2800,-1144.3,0.05,0.0,100,7.5085,13.3183
2900,-743.2,0.13,0.0,100,7.5889,13.1771
3000,-27.7,0.17,0.0,100,7.0917,14.101
3100,-946.6001,0.13,0.0,100,7.343,13.6184
3200,-807.4,0.1,0.0,100,7.091,14.1025
3300,-24.0,0.1,0.0,100,7.411,13.4934
3400,-998.0001,0.15,0.0,100,7.4159,13.4846
3500,-618.7,0.08,0.0,100,7.8024,12.8165
3600,-21.0,0.1,0.0,100,7.5828,13.1877
3700,-659.2001,0.12,0.0,100,7.4,13.5136
3800,-703.4,0.11,0.0,100,7.1505,13.9849
3900,-28.2,0.12,0.0,100,7.2402,13.8118
4000,-966.0001,0.13,0.0,100,7.2984,13.7016
4100,-735.5,0.16,0.0,100,7.1469,13.9921
4200,-18.7,0.17,0.0,100,7.5189,13.2997
4300,-1035.7001,0.1,0.0,100,7.4068,13.5011
4400,-655.0,0.11,0.0,100,7.3499,13.6057
4500,-27.0,0.1,0.0,100,6.9964,14.2931
4600,-1040.9,0.13,0.0,100,7.045,14.1946
4700,-714.2,0.17,0.0,100,7.2383,13.8154
4800,-26.6,0.06,0.0,100,7.6346,13.0983
4900,-1034.4,0.19,0.0,100,7.4641,13.3974
5000,-806.1,0.09,0.0,100,7.2977,13.703
5100,-26.0,0.1,0.0,100,7.4636,13.3984
5200,-1064.8,0.13,0.0,100,7.2975,13.7034
5300,-801.5,0.08,0.0,100,7.2004,13.8882
5400,-26.4,0.14,0.0,100,7.04,14.2046
5500,-1031.2001,0.11,0.0,100,7.1878,13.9124
5600,-662.7,0.07,0.0,100,7.2467,13.7993
5700,-22.9,0.09,0.0,100,7.6377,13.0929
5800,-1009.3001,0.1,0.0,100,7.5206,13.2968
5900,-790.8,0.11,0.0,100,7.4148,13.4866
6000,-20.2,0.12,0.0,100,7.2443,13.804
6100,-896.3,0.13,0.0,100,7.3442,13.6162
6200,-825.9,0.18,0.0,100,7.1437,13.9984
6300,-25.0,0.1,0.0,100,7.5237,13.2913
6400,-1063.3,0.09,0.0,100,7.2501,13.793
6500,-714.7,0.09,0.0,100,7.0928,14.0989
6600,-19.6,0.16,0.0,100,7.2444,13.8038
6700,-818.3,0.08,0.0,100,7.0406,14.2032
6800,-585.4,0.14,0.0,100,7.4117,13.4922
6900,-19.4,0.14,0.0,100,7.3984,13.5165
7000,-951.6001,0.13,0.0,100,7.5666,13.216
7100,-669.6,0.16,0.0,100,7.2578,13.7783
7200,-23.4,0.14,0.0,100,7.0938,14.0968
7300,-1029.4,0.12,0.0,100,7.4633,13.3989
7400,-832.7,0.11,0.0,100,7.1898,13.9087
7500,-28.4,0.14,0.0,100,7.3073,13.685
7600,-1146.7001,0.12,0.0,100,7.4592,13.4062
7700,-826.6,0.09,0.0,100,7.4617,13.4019
7800,-26.0,0.1,0.0,100,7.2508,13.7915
7900,-1079.0,0.13,0.0,100,7.3464,13.6121
8000,-789.5,0.19,0.0,100,7.0476,14.1892
8100,-20.1,0.11,0.0,100,7.1769,13.9335
8200,-936.2001,0.14,0.0,100,7.2031,13.8829
8300,-663.5,0.11,0.0,100,7.5815,13.1901
8400,-29.5,0.15,0.0,100,7.4648,13.3962
8500,-803.6,0.13,0.0,100,7.2926,13.7125
8600,-706.0,0.13,0.0,100,7.5063,13.3222
8700,-21.4,0.14,0.0,100,6.9629,14.3618
8800,-1023.5,0.08,0.0,100,7.0339,14.2168
8900,-681.2,0.07,0.0,100,7.1967,13.8953
9000,-22.7,0.07,0.0,100,7.2968,13.7046
9100,-1122.1001,0.15,0.0,100,7.4159,13.4846
9200,-842.2,0.09,0.0,100,7.1821,13.9236
9300,-25.7,0.17,0.0,100,7.3089,13.682
9400,-944.9,0.09,0.0,100,7.1919,13.9045
9500,-830.2,0.12,0.0,100,7.1973,13.8941
9600,-22.7,0.07,0.0,100,7.6949,12.9956
9700,-802.6,0.1,0.0,100,7.3511,13.6033
9800,-590.0,0.08,0.0,100,7.5684,13.2129
9900,-15.3,0.23,0.0,100,7.513,13.3102
10000,-963.8,0.12,0.0,100,0.0,3.4157
10100,-573.6,0.11,0.0,100,7.2577,13.7785
10200,-29.0,0.1,0.0,100,7.4062,13.5023
10300,-996.1001,0.05,0.0,100,7.087,14.1104
10400,-561.2,0.11,0.0,100,7.088,14.1084
10500,-22.1,0.11,0.0,100,7.1523,13.9814
10600,-1065.9,0.14,0.0,100,7.4572,13.4098
10700,-636.3,0.1,0.0,100,7.6976,12.9911
10800,-23.0,0.1,0.0,100,7.6353,13.0971
10900,-1041.1001,0.11,0.0,100,7.63,13.1062
11000,-803.9,0.13,0.0,100,7.2405,13.8112
11100,-31.3,0.13,0.0,100,7.1531,13.98
11200,-920.6001,0.11,0.0,100,6.7064,14.9111
11300,-716.4,0.09,0.0,100,7.2401,13.8119
11400,-17.7,0.17,0.0,100,7.4113,13.4929
11500,-885.7001,0.14,0.0,100,7.4724,13.3826
11600,-777.0,0.09,0.0,100,7.1386,14.0084
11700,-23.8,0.08,0.0,100,7.4007,13.5122
11800,-826.8,0.15,0.0,100,7.1023,14.0799
11900,-674.6,0.12,0.0,100,7.0874,14.1095
12000,-24.6,0.06,0.0,100,7.5815,13.19
12100,-935.9,0.15,0.0,100,7.5703,13.2096
12200,-584.1,0.11,0.0,100,7.0973,14.0898
12300,-18.0,0.1,0.0,100,6.8412,14.6174
12400,-1042.1001,0.06,0.0,100,7.0918,14.1007
12500,-677.8,0.11,0.0,100,7.1415,14.0027
12600,-20.4,0.14,0.0,100,7.2991,13.7003
12700,-876.7001,0.1,0.0,100,7.5133,13.3097
12800,-744.2,0.06,0.0,100,7.1065,14.0715
12900,-22.8,0.08,0.0,100,7.1419,14.0019
13000,-966.7001,0.1,0.0,100,6.6237,15.0973
13100,-607.1,0.12,0.0,100,7.2427,13.807
13200,-26.9,0.09,0.0,100,7.6877,13.0077
13300,-757.8,0.17,0.0,100,7.4083,13.4983
13400,-488.9,0.13,0.0,100,7.412,13.4917
