env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,10.8547,-6.8106,0.3817,0.3454
1100,0.7225,-10.0928,0.6861,0.6437
1200,0.3003,-10.6259,0.5382,0.5349
1300,0.7377,-10.1197,0.9772,0.9168
1400,0.3649,-10.4908,0.2358,0.1963
1500,0.4925,-10.7716,0.3153,0.2555
1600,0.1914,-10.4781,0.2239,0.1869
1700,0.7985,-10.4052,0.3473,0.2967
1800,0.3492,-10.3357,0.1819,0.1325
1900,0.195,-10.0914,0.5352,0.4564
2000,0.2688,-10.716,0.5645,0.5562
2100,0.3034,-10.8114,0.2178,0.1863
2200,0.1914,-10.1994,0.1986,0.1573
2300,0.6979,-10.9616,0.7828,0.7648
2400,0.3174,-11.0123,0.4362,0.4048
2500,0.1871,-10.9353,0.3647,0.312
2600,0.2664,-11.0588,0.2866,0.2539
2700,0.6248,-11.3109,0.399,0.3208
2800,0.2297,-10.9064,0.1751,0.1278
2900,0.2883,-11.595,0.3967,0.3601
3000,0.2838,-11.901,0.4755,0.4281
3100,0.2143,-11.7382,0.4743,0.4013
3200,0.2517,-11.7924,0.3095,0.213
3300,0.5471,-11.8203,0.3633,0.3061
3400,0.3222,-11.6179,1.1936,1.038
3500,0.2854,-11.7862,0.2415,0.1883
3600,0.3847,-12.1488,0.8141,0.7077
3700,0.2947,-12.4199,0.6689,0.597
3800,0.5602,-12.3095,2.034,1.8481
3900,0.3916,-12.4084,0.2595,0.2419
4000,0.2694,-12.2675,0.6517,0.6716
4100,0.3489,-12.9191,0.9927,0.8412
4200,0.2803,-13.2041,0.7737,0.7021
4300,0.2474,-13.1954,1.0118,1.0064
4400,0.3307,-13.1652,1.4927,1.4552
4500,0.2899,-13.4279,0.7977,0.6613
4600,0.2465,-13.1791,1.415,1.2798
4700,0.3221,-13.4509,0.8785,0.799
4800,0.3145,-13.554,0.7637,0.6525
4900,0.2725,-13.5949,0.6128,0.5761
5000,0.3634,-14.0369,0.4917,0.4356
5100,0.3033,-13.8932,1.0873,0.9649
5200,0.2668,-13.6761,1.4882,1.4228
5300,0.3687,-14.2412,2.2645,2.1565
5400,0.3978,-14.6528,0.5473,0.4861
5500,0.3155,-14.2308,1.4487,1.3077
5600,0.2924,-14.5465,1.6277,1.4732
5700,0.3367,-14.5449,1.0651,0.8983
5800,0.27,-14.1746,1.8079,1.6265
5900,0.288,-14.0255,1.7639,1.7122
6000,0.3364,-14.4153,1.4366,1.2946
6100,0.2922,-14.5659,0.6536,0.6132
6200,0.3075,-14.502,1.5664,1.2917
6300,0.3683,-14.5689,1.5621,1.5568
6400,0.2961,-14.5165,1.3966,1.3565
6500,0.2941,-15.0337,1.3717,1.3672
6600,0.353,-14.7318,0.9682,0.7693
6700,0.2969,-14.97,3.2957,3.3221
6800,0.3088,-14.9332,1.394,1.2568
6900,0.3591,-14.7962,1.0407,1.0116
7000,0.3135,-15.063,4.4433,4.3159
7100,0.4204,-14.6771,2.2406,2.1357
7200,0.495,-15.2113,0.5401,0.4948
7300,0.3859,-14.9882,1.7964,1.5083
7400,0.3813,-14.714,2.5288,2.2929
7500,0.4095,-15.34,0.8136,0.9004
7600,0.3732,-15.4042,2.7065,2.8501
7700,0.4153,-15.4165,2.227,2.1442
7800,0.4477,-15.601,2.1397,1.8674
7900,0.348,-15.3314,1.5564,1.5214
8000,0.4166,-15.68,3.1156,2.9003
8100,0.5056,-15.8024,1.1186,1.0847
8200,0.3878,-15.4496,1.2077,1.1649
8300,0.4041,-15.249,1.9143,1.9269
8400,0.4765,-15.222,1.7548,1.6543
8500,0.384,-15.5242,3.1626,3.097
8600,0.4916,-15.2713,6.2693,5.909
8700,0.4009,-15.7136,3.8515,4.0394
8800,0.3452,-15.4221,0.6712,0.5703
8900,0.4006,-15.449,1.3003,1.1262
9000,0.3935,-15.6075,1.6684,1.4021
9100,0.3303,-15.399,3.5027,3.4991
9200,0.4709,-15.6885,1.9067,1.6806
9300,0.452,-15.8041,3.588,2.9717
9400,0.3867,-15.4725,2.7739,2.7286
9500,0.4328,-15.7152,0.7065,0.6067
9600,0.4467,-15.4434,1.8041,1.7413
9700,0.3848,-15.4003,3.4441,3.0924
9800,0.4579,-16.1025,1.9813,1.6777
9900,0.4806,-15.9332,1.4384,1.1764
10000,0.4124,-15.6908,0.9164,0.8274
10100,0.4474,-15.4232,2.5108,2.3469
10200,0.4282,-15.4933,3.4502,3.2071
10300,0.398,-15.7028,1.7767,1.7409
10400,0.4293,-15.4153,4.4171,4.4794
10500,0.5,-15.6263,3.0567,2.7617
10600,0.4056,-15.3673,1.0027,0.9207
10700,0.4273,-15.7895,2.5224,2.4244
10800,0.4753,-15.5992,2.5202,2.1901
10900,0.4043,-15.7548,2.8086,2.8092
11000,0.4479,-15.7786,1.1023,1.0206
11100,0.4328,-15.2873,1.3402,1.2609
11200,0.4177,-15.5346,1.6401,1.5529
11300,0.4549,-15.7675,2.2372,2.009
11400,0.4527,-15.7893,2.5702,2.407
11500,0.4104,-15.6591,2.103,1.745
11600,0.449,-15.4889,1.4192,1.4411
11700,0.527,-15.6592,1.7537,1.5675
11800,0.4423,-15.5383,2.8043,2.385
11900,0.5209,-15.554,3.733,3.6653
12000,0.4661,-15.4871,2.2666,2.1342
12100,0.4362,-15.4431,3.0241,2.6798
12200,0.5179,-15.4793,2.576,2.3512
12300,0.4645,-15.2577,2.9143,2.7522
12400,0.4378,-15.2021,1.8242,1.8063
12500,0.4574,-15.2755,4.692,4.1945
12600,0.5548,-15.1523,3.9339,3.6324
12700,0.4784,-14.6572,5.8556,5.3302
12800,0.4767,-15.4817,5.138,4.655
12900,0.4486,-14.6107,1.0826,1.0979
13000,0.4183,-14.8599,3.5884,3.376
13100,0.4504,-14.6773,3.2642,2.9208
13200,0.4347,-14.674,1.1578,1.0219
13300,0.4317,-15.4051,0.9698,1.0232
13400,0.4095,-14.6177,0.9457,0.8294
13500,0.4612,-14.8295,4.0815,3.8102
13600,0.4081,-14.008,1.3762,1.301
13700,0.4142,-14.3686,4.7689,4.2641
13800,0.4574,-14.289,2.1898,1.9893
13900,0.4307,-14.4722,1.291,1.2354
14000,0.474,-14.6867,1.7579,1.7875
14100,0.4852,-14.4214,1.9609,1.7953
14200,0.4155,-13.9884,4.3073,4.0223
14300,0.5287,-14.1295,3.5475,3.2767
14400,0.5525,-14.3233,2.5194,2.5383
14500,0.4722,-14.7176,5.1347,5.1087
14600,0.4645,-14.1178,2.4567,2.3057
14700,0.4716,-14.0636,2.8583,2.9001
14800,0.4439,-14.2279,1.3664,1.3173
14900,0.4599,-14.2533,1.4529,1.364
15000,0.4661,-13.8146,2.9706,2.8128
15100,0.4291,-14.0226,3.284,2.8998
15200,0.5564,-14.3389,6.4149,5.5931
15300,0.6116,-13.7591,1.2773,1.2106
15400,0.5031,-13.7992,5.8005,5.1986
15500,0.4966,-14.3967,1.4745,1.4343
15600,0.4832,-14.0148,1.6754,1.65
15700,0.4755,-13.6356,1.3281,1.404
15800,0.4786,-13.8951,2.4798,2.2284
15900,0.5476,-14.1641,7.1262,6.5323
16000,0.4758,-13.9721,2.121,2.1194
16100,0.4554,-13.4648,1.4203,1.3157
16200,0.5073,-13.8705,7.7096,7.3075
16300,0.4262,-13.472,5.3701,5.1109
16400,0.4672,-13.7613,1.2609,1.159
16500,0.483,-13.9012,1.43,1.4701
16600,0.4417,-13.7391,5.2943,5.0194
16700,0.4654,-13.7053,8.7259,8.2625
16800,0.5262,-13.4595,3.9508,3.6169
16900,0.4628,-13.5779,4.2238,3.9354
17000,0.4547,-13.4473,1.9112,1.8136
17100,0.478,-13.5542,3.5486,3.444
17200,0.464,-13.455,1.1699,0.9731
17300,0.4702,-13.6392,3.8082,3.4619
17400,0.5438,-13.6397,6.9144,6.7792
17500,0.4522,-13.6133,1.8081,1.7149
17600,0.4931,-13.6418,2.1963,1.9995
17700,0.4957,-13.7805,1.958,1.8598
17800,0.4594,-13.4789,2.6639,2.4917
17900,0.5096,-13.4334,9.3327,8.8078
18000,0.4919,-13.7041,1.6979,1.621
18100,0.4628,-13.566,3.9992,3.8203
18200,0.5069,-13.5926,1.7681,1.6824
18300,0.5109,-13.3224,5.7473,5.4553
18400,0.4832,-13.2687,2.3625,2.2223
18500,0.5164,-13.9494,5.5837,5.4722
18600,0.4966,-13.2322,7.1041,6.902
18700,0.4663,-13.3146,4.0422,3.9153
18800,0.4927,-12.7872,5.0101,4.9136
18900,0.48,-13.3044,0.8458,0.8233
19000,0.447,-13.0436,4.5875,4.6632
19100,0.4803,-13.3248,3.5972,3.6749
19200,0.462,-12.9452,1.6893,1.5176
19300,0.4556,-13.0888,1.0968,1.0259
19400,0.4757,-13.0923,2.3864,2.1563
19500,0.4702,-13.229,1.7996,1.6937
19600,0.4557,-13.0869,2.8658,2.6623
19700,0.5087,-12.7167,3.5951,3.3847
19800,0.4952,-12.9192,3.7978,3.7429
19900,0.4604,-13.1218,1.949,1.8484
20000,0.4814,-12.9329,8.4534,8.26
20100,0.5042,-12.8111,4.7293,4.4413
20200,0.4798,-13.0534,1.6547,1.7234
20300,0.4832,-12.91,3.6882,3.8146
20400,0.4867,-12.8751,2.1318,1.9759
20500,0.4662,-12.798,3.5934,3.549
20600,0.4966,-13.1013,2.2291,2.1504
20700,0.5447,-12.6544,7.2311,7.1114
20800,0.4626,-12.5143,1.3869,1.2973
20900,0.4616,-12.7173,1.2649,1.0545
21000,0.4758,-12.8959,2.2184,2.0624
21100,0.4527,-12.7939,0.8014,0.8149
21200,0.4956,-12.9336,2.7449,2.7581
21300,0.4956,-12.5166,5.6348,5.2415
21400,0.4621,-12.7647,1.438,1.3502
21500,0.5048,-12.4411,6.0655,5.9571
21600,0.5109,-12.6795,1.7596,1.6546
21700,0.4585,-12.4318,2.0801,1.931
21800,0.4841,-12.599,4.2124,4.1215
21900,0.4786,-12.377,1.7965,1.4958
22000,0.4457,-12.5181,1.6914,1.6434
22100,0.4985,-12.5657,3.6341,3.4638
22200,0.487,-12.7538,4.6568,4.5285
22300,0.4624,-12.3664,2.325,2.1902
22400,0.4425,-12.3144,3.1353,2.8766
22500,0.4493,-12.5533,2.0364,1.9882
22600,0.4243,-12.2277,0.981,0.9675
22700,0.4543,-12.0685,5.2099,5.0842
22800,0.4524,-12.1431,4.1243,3.9898
22900,0.4127,-11.6945,1.9669,1.5628
23000,0.4296,-12.367,4.1402,3.7889
23100,0.4363,-12.3382,1.862,1.7698
23200,0.4054,-12.3178,2.6177,2.4154
23300,0.4056,-12.0062,2.9271,2.7852
23400,0.4406,-12.3446,2.3819,2.2431
23500,0.4122,-12.2154,1.7747,1.5477
23600,0.4408,-12.0318,4.859,4.8311
23700,0.4482,-11.9474,3.5578,3.524
23800,0.4102,-12.0724,6.864,6.47
23900,0.4268,-12.0632,1.2483,1.2152
24000,0.4278,-11.9437,2.7726,2.5006
24100,0.3917,-11.8807,1.3651,1.2377
24200,0.4159,-11.8141,5.578,5.2364
24300,0.4216,-12.1542,2.0335,2.0873
24400,0.4012,-12.1956,1.4762,1.4016
24500,0.4063,-12.3269,1.5377,1.3564
24600,0.4337,-12.0481,3.8535,3.628
24700,0.4069,-12.2798,6.7928,6.3899
24800,0.4307,-12.0072,5.3167,4.9572
24900,0.4561,-12.1365,2.7804,2.5599
25000,0.4508,-12.0562,5.0447,4.8101
25100,0.453,-12.0944,3.5632,3.4305
25200,0.4409,-12.3413,2.2841,2.1421
25300,0.4368,-12.1183,2.1045,1.9143
25400,0.4292,-12.0972,1.7709,1.8281
25500,0.4342,-12.2534,2.4536,2.2818
25600,0.3976,-11.8563,7.1996,6.6859
25700,0.4155,-12.0408,0.9244,0.7925
25800,0.3975,-11.6429,1.2308,1.1296
25900,0.3929,-11.9287,3.5137,3.2688
26000,0.4043,-12.1599,2.0465,1.8599
26100,0.4116,-12.0495,2.0689,2.0806
26200,0.3959,-12.0006,0.9426,0.8764
26300,0.4026,-12.1125,2.3537,2.1572
26400,0.4251,-12.062,1.3372,1.2846
26500,0.4161,-12.3289,3.5963,3.3152
26600,0.4319,-12.3655,4.3359,4.2536
26700,0.4285,-12.1583,4.1601,3.8763
26800,0.4148,-12.2598,1.9295,1.9466
26900,0.4469,-11.9729,1.7353,1.5366
27000,0.4515,-12.0475,1.4487,1.5041
27100,0.4453,-12.4659,2.7151,2.6636
27200,0.4339,-12.3754,1.7141,1.5589
27300,0.4282,-12.1113,3.1287,2.7844
27400,0.4431,-12.2262,7.9525,7.2667
27500,0.4436,-12.3425,4.4811,4.0038
27600,0.4748,-12.7238,3.3029,2.9986
27700,0.4421,-12.3334,3.957,3.8504
27800,0.4182,-12.0908,1.0285,0.9831
27900,0.4511,-12.4565,1.8159,1.7781
28000,0.4409,-12.4899,2.0583,1.8861
28100,0.4501,-12.4073,3.3249,3.295
28200,0.4732,-12.4001,4.0111,3.5693
28300,0.4355,-12.2992,2.1357,1.8049
28400,0.4634,-12.5418,2.1064,1.8463
28500,0.4786,-12.1245,7.0929,6.4339
28600,0.4466,-12.4805,1.7626,1.6462
28700,0.4599,-12.2608,2.0497,2.0905
28800,0.4838,-12.6701,3.0638,3.0689
28900,0.4433,-12.3493,1.6273,1.3926
29000,0.4534,-12.1114,3.7932,3.4972
29100,0.4749,-12.4858,3.4372,3.2454
29200,0.4551,-12.3611,1.7709,1.6355
29300,0.4878,-12.3798,4.8033,4.5937
29400,0.4908,-12.375,1.6861,1.5592
29500,0.4818,-12.6811,8.8691,7.9308
29600,0.4651,-12.5448,2.7272,2.5163
29700,0.4611,-12.5511,3.8589,3.48
29800,0.452,-12.1951,1.5241,1.4449
29900,0.4735,-12.6894,2.224,2.1221
30000,0.471,-12.5174,1.2766,1.349
30100,0.4426,-12.4345,1.2904,1.1443
30200,0.4473,-12.2477,4.8802,4.4983
30300,0.4655,-12.2755,5.8238,5.4761
30400,0.4366,-12.3515,2.4992,2.5533
30500,0.4629,-12.571,2.224,2.1475
30600,0.4954,-12.4358,7.2841,7.0089
30700,0.4396,-12.0117,2.5932,2.2267
30800,0.4779,-12.4866,3.4781,3.2125
30900,0.4746,-12.2355,1.3336,1.2571
31000,0.441,-12.3798,1.387,1.2287
31100,0.4542,-12.351,1.2255,1.0791
31200,0.4541,-12.2705,1.4605,1.2625
31300,0.4107,-12.2087,1.7263,1.642
31400,0.4177,-11.8544,2.6401,2.6459
31500,0.4428,-12.3118,1.1636,1.0729
31600,0.4184,-12.439,1.1541,0.9543
31700,0.4277,-12.1292,4.4855,4.1086
31800,0.4391,-12.0353,1.2271,1.1741
31900,0.4282,-12.5117,4.0312,3.9479
32000,0.4269,-11.8159,1.8293,1.7123
32100,0.4246,-12.0986,2.3062,2.0456
32200,0.406,-12.1948,1.5663,1.3403
32300,0.4266,-11.9786,3.2557,2.9542
32400,0.42,-12.0193,4.5645,4.1954
32500,0.4149,-12.0474,1.594,1.5121
32600,0.4298,-12.4573,1.6111,1.5896
32700,0.4359,-12.1049,2.1494,2.1789
32800,0.4047,-11.8018,6.2518,5.9701
32900,0.4276,-12.0214,1.347,1.2998
33000,0.4225,-12.2597,4.6912,4.283
33100,0.4347,-12.0084,1.4604,1.1489
33200,0.4266,-12.01,3.6345,3.2245
33300,0.4272,-11.9616,1.6992,1.6843
33400,0.4177,-12.2646,2.8405,2.5663
33500,0.4047,-12.1564,4.7247,4.3339
33600,0.4146,-11.9325,1.5242,1.4151
33700,0.4191,-12.0638,1.1689,1.1297
33800,0.3996,-12.0618,2.3709,2.2047
33900,0.4334,-12.3912,2.2377,1.8352
34000,0.4219,-12.2663,1.5837,1.2796
34100,0.4151,-11.892,0.9775,0.8738
34200,0.4198,-12.1847,3.727,3.3416
34300,0.3934,-11.9532,0.8485,0.8707
34400,0.3925,-11.9143,1.4945,1.3206
34500,0.4165,-12.2793,2.0211,1.7999
34600,0.4098,-12.0548,1.5965,1.4679
34700,0.418,-12.0425,4.263,3.664
34800,0.4075,-12.2046,1.6663,1.5259
34900,0.3879,-11.9315,1.2401,1.1656
35000,0.3898,-12.0743,1.4767,1.2979
35100,0.4131,-12.4729,1.1581,1.1819
35200,0.4026,-12.4457,2.5419,2.2867
35300,0.4059,-12.3997,3.0777,2.8795
35400,0.4334,-12.1317,4.6257,4.2909
35500,0.4112,-12.0859,4.8635,4.458
35600,0.4071,-12.5515,1.0341,1.0779
35700,0.4184,-12.266,1.7198,1.5411
35800,0.394,-12.2169,2.0995,1.9032
35900,0.4365,-12.3571,5.5051,4.9808
36000,0.4529,-12.6386,1.7893,1.7611
36100,0.3962,-12.168,1.1009,0.9326
36200,0.4338,-12.1396,2.7868,2.6708
36300,0.4175,-12.3009,2.5084,2.2745
36400,0.4115,-12.4683,1.5302,1.5613
36500,0.402,-12.4587,3.109,3.0586
36600,0.3937,-12.1528,1.2591,1.1447
36700,0.4029,-12.3197,3.1413,3.0108
36800,0.4032,-12.3275,3.0415,2.7497
36900,0.4234,-12.4108,3.3049,3.0107
37000,0.4065,-12.1509,1.249,1.2304
37100,0.377,-12.1245,1.0414,0.9915
37200,0.4009,-12.313,4.2314,4.0145
37300,0.4091,-12.5289,1.4197,1.2963
37400,0.3928,-12.1685,1.6647,1.4066
37500,0.4049,-12.0716,5.1885,4.7036
37600,0.4021,-12.2014,3.6625,3.4154
37700,0.3969,-12.0341,1.3096,1.2958
37800,0.4017,-12.1064,0.8232,0.7683
37900,0.4008,-11.9319,2.0258,1.8255
38000,0.4097,-12.0763,2.622,2.3763
38100,0.4464,-12.386,5.919,5.7413
38200,0.382,-12.0241,2.8399,2.6822
38300,0.3783,-12.0074,3.2897,3.1241
38400,0.4068,-12.3311,2.5933,2.451
38500,0.4021,-12.3852,1.0339,1.1134
38600,0.3818,-12.073,3.807,3.6025
38700,0.4102,-12.1761,1.9619,1.7572
38800,0.3794,-12.0674,2.7253,2.6993
