env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-26.2,0.12,0.0,100,0.0,0.387
100,-985.7001,0.1,0.0,100,316.4027,0.3161
200,-970.7,0.16,0.0,100,203.5039,0.4914
300,-28.7,0.17,0.0,100,297.9519,0.3356
400,-1110.5,0.1,0.0,100,329.1628,0.3038
500,-640.9,0.14,0.0,100,264.3573,0.3783
600,-20.2,0.12,0.0,100,255.1638,0.3919
700,-1125.4001,0.17,0.0,100,255.1333,0.392
800,-829.3,0.13,0.0,100,325.0673,0.3076
900,-25.5,0.15,0.0,100,338.0527,0.2958
1000,-1048.8,0.1,0.0,100,6.8429,14.6136
1100,-936.4,0.11,0.0,100,42.0862,2.3761
1200,-29.3,0.13,0.0,100,42.9186,2.33
1300,-903.0,0.19,0.0,100,43.9759,2.274
1400,-673.9,0.1,0.0,100,37.0225,2.7011
1500,-21.0,0.1,0.0,100,40.0577,2.4964
1600,-1107.7001,0.08,0.0,100,41.3313,2.4195
1700,-733.7,0.08,0.0,100,43.6679,2.29
1800,-25.3,0.13,0.0,100,40.1412,2.4912
1900,-1042.3,0.12,0.0,100,44.7676,2.2338
2000,-681.4,0.1,0.0,100,40.6064,2.4627
2100,-39.1,0.11,0.0,100,45.479,2.1988
2200,-907.9,0.11,0.0,100,45.0261,2.2209
2300,-886.4,0.11,0.0,100,41.8674,2.3885
2400,-21.9,0.19,0.0,100,43.5963,2.2938
2500,-1158.5,0.19,0.0,100,42.8841,2.3319
2600,-853.6,0.11,0.0,100,44.1906,2.2629
2700,-27.2,0.12,0.0,100,44.7045,2.2369
2800,-1074.9,0.11,0.0,100,41.7874,2.3931
2900,-393.1,0.11,0.0,100,40.0439,2.4973
3000,-17.3,0.13,0.0,100,43.5816,2.2946
3100,-1068.7002,0.11,0.0,100,45.2245,2.2112
3200,-916.9,0.15,0.0,100,41.6807,2.3992
3300,-17.0,0.1,0.0,100,45.5663,2.1946
3400,-1019.6,0.21,0.0,100,43.3807,2.3052
3500,-899.3,0.13,0.0,100,29.5715,3.3816
3600,-27.1,0.11,0.0,100,31.2377,3.2013
3700,-998.6,0.12,0.0,100,27.1116,3.6885
3800,-650.7,0.07,0.0,100,30.258,3.3049
3900,-25.8,0.08,0.0,100,30.3432,3.2956
4000,-845.5,0.12,0.0,100,30.1351,3.3184
4100,-647.0,0.07,0.0,100,24.5264,4.0772
4200,-21.0,0.1,0.0,100,26.2253,3.8131
4300,-1082.9001,0.13,0.0,100,23.8454,4.1937
4400,-795.3,0.08,0.0,100,12.0474,8.3006
4500,-26.5,0.05,0.0,100,11.7728,8.4942
4600,-877.7001,0.12,0.0,100,11.2357,8.9002
4700,-700.9,0.04,0.0,100,11.9004,8.4031
4800,-19.8,0.08,0.0,100,12.0473,8.3006
4900,-851.6,0.11,0.0,100,11.47,8.7184
5000,-711.2,0.11,0.0,100,21.7574,4.5961
5100,-21.0,0.1,0.0,100,14.9027,6.7102
5200,-1081.6001,0.08,0.0,100,13.569,7.3698
5300,-652.5,0.14,0.0,100,14.2495,7.0178
5400,-27.0,0.1,0.0,100,14.5164,6.8888
5500,-1128.7,0.13,0.0,100,17.1797,5.8208
5600,-772.9,0.13,0.0,100,14.3186,6.9839
5700,-24.0,0.2,0.0,100,15.8587,6.3057
5800,-1058.0,0.05,0.0,100,13.9144,7.1868
5900,-846.4,0.08,0.0,100,14.9127,6.7057
6000,-17.2,0.12,0.0,100,18.5379,5.3944
6100,-983.7,0.16,0.0,100,12.3438,8.1013
6200,-798.9,0.13,0.0,100,9.5229,10.501
6300,-29.9,0.09,0.0,100,11.4887,8.7042
6400,-981.7,0.14,0.0,100,10.6496,9.39
6500,-772.1,0.09,0.0,100,10.2923,9.716
6600,-25.0,0.1,0.0,100,7.4168,13.4829
