env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-26.2,0.12,0.0,100,0.0,2.705
100,-985.7001,0.1,0.0,100,33.3378,2.9996
200,-970.7,0.16,0.0,100,76.7272,1.3033
300,-28.7,0.17,0.0,100,83.089,1.2035
400,-1110.5,0.1,0.0,100,77.0668,1.2976
500,-640.9,0.14,0.0,100,38.6552,2.587
600,-20.2,0.12,0.0,100,36.9729,2.7047
700,-1125.4001,0.17,0.0,100,35.682,2.8025
800,-829.3,0.13,0.0,100,55.5077,1.8016
900,-25.5,0.15,0.0,100,109.5526,0.9128
1000,-1086.6001,0.1,0.0,100,1.3387,74.6989
1100,-771.4,0.07,0.0,100,7.6972,12.9917
1200,-23.9,0.09,0.0,100,8.0039,12.4939
1300,-898.4,0.16,0.0,100,8.685,11.5141
1400,-745.1,0.13,0.0,100,8.4093,11.8917
1500,-26.0,0.1,0.0,100,8.5364,11.7146
1600,-1075.9,0.15,0.0,100,8.9377,11.1886
1700,-687.0,0.1,0.0,100,7.8827,12.686
1800,-21.5,0.15,0.0,100,8.1825,12.2212
1900,-1006.1,0.14,0.0,100,7.9356,12.6015
2000,-504.8,0.13,0.0,100,7.6407,13.0878
2100,-19.6,0.16,0.0,100,8.6148,11.608
2200,-919.9001,0.15,0.0,100,8.5454,11.7022
2300,-644.1,0.1,0.0,100,8.9364,11.1901
2400,-36.3,0.13,0.0,100,8.6965,11.4989
2500,-944.3,0.05,0.0,100,7.9976,12.5038
2600,-849.7,0.11,0.0,100,7.9373,12.5987
2700,-27.2,0.12,0.0,100,8.0648,12.3996
2800,-1132.1001,0.07,0.0,100,8.3403,11.9899
2900,-770.2001,0.1,0.0,100,8.058,12.4101
3000,-25.4,0.14,0.0,100,8.3335,11.9997
3100,-465.3,0.13,0.0,100,8.6282,11.5899
3200,-715.6,0.14,0.0,100,9.1551,10.9229
3300,-22.8,0.08,0.0,100,9.0273,11.0775
3400,-902.8,0.12,0.0,100,8.119,12.3168
3500,-966.6,0.15,0.0,100,8.0083,12.487
3600,-25.1,0.11,0.0,100,8.2508,12.12
3700,-1094.0,0.13,0.0,100,8.1347,12.2931
3800,-688.9,0.13,0.0,100,8.4159,11.8823
3900,-26.5,0.05,0.0,100,9.2592,10.8
4000,-989.6,0.03,0.0,100,8.1299,12.3003
4100,-786.9,0.13,0.0,100,8.1263,12.3057
4200,-27.9,0.09,0.0,100,9.0959,10.994
4300,-1052.7001,0.1,0.0,100,8.8489,11.3008
