env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,13.0756,-6.1704,0.1665,0.0983
1100,1.0377,-9.7029,0.2535,0.187
1200,0.3906,-10.2668,0.1749,0.1139
1300,0.3033,-9.8948,0.1693,0.0992
1400,0.8325,-10.4849,0.7455,0.4877
1500,0.5706,-10.748,0.2162,0.1323
1600,0.3282,-9.9271,0.2134,0.1321
1700,0.443,-10.4196,0.2746,0.1592
1800,0.7924,-10.492,0.651,0.4086
1900,0.3292,-10.1947,0.4274,0.2695
2000,0.3721,-10.5446,0.2195,0.1396
2100,0.547,-10.9349,0.5726,0.3674
2200,0.3277,-10.3712,0.1623,0.1095
2300,0.6374,-10.9968,0.4999,0.3487
2400,0.626,-10.9162,0.5295,0.3624
2500,0.3497,-10.6699,0.2712,0.1849
2600,0.4194,-11.0476,0.7071,0.4699
2700,0.4841,-10.7723,0.2467,0.1815
2800,0.2761,-10.4703,0.1933,0.135
2900,0.4335,-11.1336,0.626,0.4045
3000,0.3547,-10.9404,0.2818,0.1938
3100,0.2654,-10.8456,0.2351,0.1639
3200,0.2757,-10.8722,0.2003,0.1399
3300,0.3108,-10.9758,0.379,0.2756
3400,0.2433,-10.7681,0.4285,0.3077
3500,0.3074,-11.1715,0.2826,0.2047
3600,0.3467,-11.4523,0.3158,0.2426
3700,0.2828,-11.1957,0.2239,0.1462
3800,0.31,-11.4846,0.1884,0.1339
3900,0.5079,-11.4341,0.5643,0.3756
4000,0.2977,-11.4014,0.4855,0.3686
4100,0.3051,-11.6495,0.2691,0.1923
4200,0.3105,-12.2911,0.4558,0.3198
4300,0.2669,-12.3149,0.2202,0.1489
4400,0.3243,-12.3891,0.5331,0.4167
4500,0.3253,-12.7026,0.605,0.4118
4600,0.2547,-12.4916,0.2984,0.2054
4700,0.3869,-12.747,0.6162,0.4414
4800,0.321,-12.7713,0.416,0.2901
4900,0.2779,-12.6901,0.6211,0.4522
5000,0.3372,-13.237,0.7033,0.5505
5100,0.3147,-13.266,0.7247,0.4752
5200,0.2735,-13.0474,0.4061,0.3136
5300,0.286,-13.4682,0.8478,0.5677
5400,0.4189,-13.7157,0.6773,0.4756
5500,0.2903,-13.6916,0.4306,0.3362
5600,0.2894,-14.0336,0.4508,0.3137
5700,0.3118,-13.9466,1.0281,0.7848
5800,0.2758,-13.854,0.5889,0.3981
5900,0.2859,-13.7454,0.9041,0.6019
6000,0.3456,-14.5628,0.5301,0.4049
6100,0.2922,-14.4769,0.9587,0.766
6200,0.3651,-14.5112,0.7924,0.6109
6300,0.3888,-14.5138,0.8386,0.5849
6400,0.3395,-14.4971,0.7087,0.5121
6500,0.3488,-15.1323,0.6651,0.4416
6600,0.4456,-15.0418,0.8667,0.711
6700,0.3551,-15.0928,0.6362,0.4637
6800,0.4564,-15.0153,0.5883,0.4251
6900,0.4363,-15.2837,0.9579,0.7954
7000,0.3459,-14.5463,0.8811,0.6614
7100,0.4623,-14.8349,0.8192,0.6065
7200,0.5488,-15.4958,1.2129,0.8954
7300,0.3772,-15.1828,0.6583,0.5042
7400,0.392,-14.8408,0.456,0.3725
7500,0.456,-15.263,0.9792,0.6975
7600,0.3794,-15.4739,0.5847,0.421
7700,0.5704,-15.6017,0.6683,0.5158
7800,0.4593,-15.5578,1.2919,0.9716
7900,0.3803,-15.3991,0.6602,0.526
8000,0.4292,-15.7102,0.7732,0.5547
8100,0.4796,-15.7127,1.0166,0.7245
8200,0.4297,-15.8005,0.8048,0.6178
8300,0.4654,-15.6632,0.6797,0.4691
8400,0.457,-15.4294,0.7089,0.534
8500,0.4223,-15.7175,0.7338,0.5698
8600,0.5066,-15.4569,0.8246,0.634
8700,0.4872,-15.5828,0.5888,0.4637
8800,0.4581,-15.7394,1.0452,0.754
8900,0.5187,-15.7688,1.6996,1.3496
9000,0.5278,-16.3335,1.9651,1.4662
9100,0.4804,-15.8395,0.8297,0.6224
9200,0.4759,-16.0689,0.7293,0.5612
9300,0.5305,-16.1346,1.1866,0.9079
9400,0.4608,-15.8057,0.8724,0.6921
9500,0.6259,-16.1294,1.0721,0.7719
9600,0.5018,-16.0112,0.9179,0.7061
9700,0.4572,-15.9054,0.6193,0.4783
9800,0.5087,-15.513,1.2025,0.9276
9900,0.5228,-16.4335,0.8244,0.6899
10000,0.4658,-16.1616,1.0953,0.8043
10100,0.4983,-16.2713,0.775,0.6041
10200,0.4624,-16.0679,0.6697,0.4797
10300,0.4438,-15.903,1.1482,0.9048
10400,0.4636,-15.9085,1.1977,0.8965
10500,0.5019,-16.1164,0.8309,0.6619
10600,0.4694,-16.1243,0.7808,0.6043
10700,0.4854,-16.3026,1.5229,1.2066
10800,0.5264,-16.0531,0.8317,0.6211
10900,0.4711,-16.1792,1.4276,1.0866
11000,0.4782,-16.2128,0.7954,0.6457
11100,0.5107,-15.7923,1.0252,0.744
11200,0.4584,-16.0515,1.5056,1.1099
11300,0.4787,-16.3135,1.7639,1.4972
11400,0.5193,-15.9455,1.2303,0.9484
11500,0.4848,-16.2916,0.9462,0.7235
11600,0.5086,-15.9941,1.7538,1.4306
11700,0.5851,-16.1083,1.4585,1.2056
11800,0.4817,-15.7256,1.1816,0.986
11900,0.5328,-16.2371,0.6565,0.5137
12000,0.5292,-16.3299,0.9466,0.7223
12100,0.4916,-16.2608,1.1097,0.8256
12200,0.5451,-16.393,0.945,0.7596
12300,0.5712,-16.5563,1.4796,1.1488
12400,0.5329,-16.121,1.1374,0.8983
12500,0.5204,-16.3842,1.0496,0.7807
12600,0.5334,-16.3135,0.7387,0.5848
12700,0.5049,-15.8487,1.0631,0.8197
12800,0.5424,-16.1644,1.0081,0.8168
12900,0.5444,-16.711,2.0696,1.7781
13000,0.5064,-16.1158,0.6454,0.5232
13100,0.5444,-16.729,0.8603,0.6737
13200,0.5535,-16.6216,2.6072,2.0868
13300,0.5036,-16.129,0.8012,0.6446
13400,0.5381,-16.5197,1.4092,1.0496
13500,0.5929,-16.4865,2.7216,2.088
13600,0.5258,-15.9887,0.9802,0.7875
13700,0.5642,-16.2646,0.9697,0.7674
13800,0.5579,-16.3288,2.0787,1.4678
13900,0.553,-16.4844,1.0907,0.8865
14000,0.5745,-16.3661,0.8076,0.6172
14100,0.5823,-16.4246,1.017,0.8293
14200,0.5481,-15.9802,1.2254,0.9475
14300,0.6255,-16.3647,1.0799,0.8692
14400,0.6168,-16.573,1.2209,1.0473
14500,0.5951,-16.899,1.8616,1.5236
14600,0.5758,-16.5484,1.2493,1.004
14700,0.5885,-16.2857,1.0399,0.792
14800,0.5668,-16.2735,1.3378,1.1298
14900,0.5929,-16.423,1.1264,0.8659
15000,0.638,-16.2471,2.5677,2.1919
15100,0.5501,-16.2706,2.4438,1.9288
15200,0.641,-16.7362,1.3688,1.1006
15300,0.5899,-16.0826,1.1353,0.9309
15400,0.5778,-16.1614,1.1589,0.9612
15500,0.6268,-16.733,1.4491,1.2011
15600,0.6207,-16.5298,1.3917,1.0804
15700,0.6106,-15.8457,1.714,1.4049
15800,0.5999,-16.1202,2.8361,2.3248
15900,0.5893,-16.2411,1.7836,1.5017
16000,0.5812,-16.2111,1.6523,1.4161
16100,0.6189,-15.7256,1.6172,1.2021
16200,0.6589,-16.1217,3.7779,3.0623
16300,0.6425,-16.0232,1.0772,0.8949
16400,0.6398,-16.056,1.6893,1.2577
