env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-22.0,0.1,0.0,100,0.0,0.1407
100,-1129.0001,0.08,0.0,100,564.6491,0.1771
200,-645.4,0.06,0.0,100,555.1186,0.1801
300,-20.1,0.11,0.0,100,651.0367,0.1536
400,-1079.1001,0.09,0.0,100,582.3077,0.1717
500,-711.5,0.19,0.0,100,609.9103,0.164
600,-24.3,0.13,0.0,100,692.6712,0.1444
700,-1100.4,0.07,0.0,100,577.161,0.1733
800,-382.7,0.1,0.0,100,567.6839,0.1762
900,-23.3,0.13,0.0,100,712.5983,0.1403
1000,-1016.8,0.12,0.0,100,6.8104,14.6835
1100,-679.6,0.07,0.0,100,50.6829,1.9731
1200,-26.9,0.09,0.0,100,51.7353,1.9329
1300,-1108.8,0.11,0.0,100,50.2876,1.9886
1400,-812.5001,0.06,0.0,100,50.4328,1.9828
1500,-22.1,0.11,0.0,100,51.7952,1.9307
1600,-1091.4001,0.12,0.0,100,41.7761,2.3937
1700,-687.5,0.16,0.0,100,48.853,2.047
1800,-31.7,0.07,0.0,100,51.7443,1.9326
1900,-1055.9,0.12,0.0,100,50.2757,1.989
2000,-932.0001,0.14,0.0,100,50.3113,1.9876
2100,-27.0,0.1,0.0,100,51.9728,1.9241
2200,-928.8,0.14,0.0,100,49.7768,2.009
2300,-978.4,0.1,0.0,100,44.0904,2.2681
2400,-20.4,0.14,0.0,100,47.2952,2.1144
2500,-1118.4,0.09,0.0,100,49.9697,2.0012
2600,-716.1,0.15,0.0,100,50.3631,1.9856
2700,-27.6,0.06,0.0,100,51.4501,1.9436
2800,-943.3,0.1,0.0,100,50.1806,1.9928
2900,-848.8,0.08,0.0,100,50.5329,1.9789
3000,-29.2,0.12,0.0,100,51.6455,1.9363
3100,-883.5,0.12,0.0,100,43.5292,2.2973
3200,-938.8,0.1,0.0,100,49.9326,2.0027
3300,-26.9,0.09,0.0,100,50.8591,1.9662
3400,-949.8,0.12,0.0,100,49.6553,2.0139
3500,-771.1,0.13,0.0,100,50.4575,1.9819
3600,-17.7,0.07,0.0,100,51.7099,1.9339
3700,-1014.5001,0.13,0.0,100,49.9509,2.002
3800,-857.2001,0.12,0.0,100,42.5802,2.3485
3900,-21.2,0.12,0.0,100,51.0843,1.9576
4000,-1088.9,0.12,0.0,100,50.9524,1.9626
4100,-644.6,0.11,0.0,100,50.6284,1.9752
4200,-21.1,0.11,0.0,100,50.1008,1.996
4300,-982.3,0.08,0.0,100,51.2208,1.9523
4400,-893.8,0.16,0.0,100,49.9173,2.0033
4500,-26.9,0.09,0.0,100,50.4588,1.9818
4600,-1006.6001,0.12,0.0,100,42.9556,2.328
4700,-675.1,0.16,0.0,100,50.4022,1.984
4800,-23.1,0.11,0.0,100,50.8105,1.9681
4900,-1055.3,0.09,0.0,100,50.0544,1.9978
5000,-608.8,0.09,0.0,100,51.3143,1.9488
5100,-20.1,0.11,0.0,100,51.1518,1.955
5200,-1098.9001,0.13,0.0,100,50.3583,1.9858
5300,-821.4,0.17,0.0,100,43.0607,2.3223
5400,-19.7,0.17,0.0,100,51.7259,1.9333
5500,-1051.0,0.14,0.0,100,50.5211,1.9794
5600,-945.3,0.12,0.0,100,50.3477,1.9862
5700,-31.4,0.14,0.0,100,51.4425,1.9439
5800,-1026.4,0.09,0.0,100,49.2654,2.0298
5900,-662.7,0.08,0.0,100,50.0083,1.9997
6000,-26.9,0.09,0.0,100,45.3902,2.2031
6100,-938.3,0.07,0.0,100,46.9205,2.1313
6200,-715.5,0.12,0.0,100,50.2853,1.9887
6300,-22.5,0.15,0.0,100,50.5582,1.9779
6400,-1083.6001,0.08,0.0,100,50.8695,1.9658
6500,-774.1,0.1,0.0,100,50.2163,1.9914
6600,-19.2,0.12,0.0,100,50.3015,1.988
6700,-952.6,0.1,0.0,100,50.6951,1.9726
6800,-617.5,0.13,0.0,100,43.1473,2.3176
6900,-28.0,0.1,0.0,100,50.4741,1.9812
7000,-1004.2001,0.07,0.0,100,50.1151,1.9954
7100,-711.9999,0.11,0.0,100,51.1851,1.9537
7200,-27.1,0.11,0.0,100,50.7793,1.9693
7300,-1127.6001,0.08,0.0,100,50.4355,1.9827
7400,-948.9,0.14,0.0,100,51.237,1.9517
7500,-18.3,0.13,0.0,100,42.9533,2.3281
7600,-962.5001,0.09,0.0,100,49.6715,2.0132
7700,-767.3,0.11,0.0,100,49.5916,2.0165
7800,-21.1,0.11,0.0,100,50.6778,1.9733
7900,-930.8,0.14,0.0,100,49.8927,2.0043
8000,-662.0,0.07,0.0,100,49.3667,2.0257
8100,-26.1,0.11,0.0,100,50.2244,1.9911
8200,-1010.3,0.16,0.0,100,50.3027,1.988
8300,-733.4,0.17,0.0,100,42.6133,2.3467
8400,-24.8,0.08,0.0,100,50.3566,1.9858
8500,-735.1,0.12,0.0,100,49.3149,2.0278
8600,-649.4,0.06,0.0,100,50.0066,1.9997
8700,-26.1,0.11,0.0,100,50.4994,1.9802
8800,-966.8,0.1,0.0,100,49.9423,2.0023
