env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-31.2,0.12,0.0,100,0.0,0.1653
100,-1113.1,0.15,0.0,100,586.7423,0.1704
200,-851.2,0.13,0.0,100,587.8805,0.1701
300,-28.1,0.11,0.0,100,645.7226,0.1549
400,-1056.9,0.1,0.0,100,557.0902,0.1795
500,-801.0,0.1,0.0,100,549.8232,0.1819
600,-23.2,0.12,0.0,100,642.0996,0.1557
700,-1046.2001,0.08,0.0,100,558.3427,0.1791
800,-610.1,0.14,0.0,100,567.0545,0.1764
900,-25.2,0.12,0.0,100,666.6006,0.15
1000,-1126.9,0.07,0.0,100,6.9924,14.3012
1100,-921.9,0.12,0.0,100,50.3946,1.9843
1200,-24.8,0.08,0.0,100,50.3167,1.9874
1300,-1103.8,0.13,0.0,100,49.8321,2.0067
1400,-709.8,0.08,0.0,100,50.0314,1.9987
1500,-24.8,0.08,0.0,100,50.458,1.9819
1600,-1010.6,0.09,0.0,100,49.5769,2.0171
1700,-671.9,0.07,0.0,100,48.2713,2.0716
1800,-26.9,0.09,0.0,100,50.3237,1.9871
1900,-1105.7001,0.19,0.0,100,51.1553,1.9548
2000,-800.2,0.08,0.0,100,49.7743,2.0091
2100,-17.4,0.14,0.0,100,50.8475,1.9667
2200,-857.2,0.13,0.0,100,49.7537,2.0099
2300,-735.3,0.13,0.0,100,49.7302,2.0109
2400,-28.8,0.08,0.0,100,48.8357,2.0477
2500,-986.5001,0.12,0.0,100,49.415,2.0237
2600,-631.1,0.11,0.0,100,50.0182,1.9993
2700,-28.3,0.13,0.0,100,50.3294,1.9869
2800,-1041.0,0.17,0.0,100,49.8959,2.0042
2900,-722.6,0.11,0.0,100,49.7993,2.0081
3000,-23.1,0.11,0.0,100,51.629,1.9369
3100,-1062.7001,0.13,0.0,100,50.0401,1.9984
3200,-922.1,0.12,0.0,100,48.1541,2.0767
3300,-25.7,0.17,0.0,100,50.0651,1.9974
3400,-1047.4001,0.07,0.0,100,49.8857,2.0046
3500,-930.1,0.14,0.0,100,50.3083,1.9877
3600,-23.6,0.16,0.0,100,50.3747,1.9851
3700,-928.9,0.12,0.0,100,49.7961,2.0082
3800,-474.7,0.12,0.0,100,49.899,2.0041
3900,-26.2,0.12,0.0,100,49.6239,2.0152
4000,-1085.6001,0.1,0.0,100,50.5349,1.9788
4100,-768.4,0.18,0.0,100,50.0881,1.9965
4200,-22.9,0.09,0.0,100,50.258,1.9897
4300,-988.0001,0.08,0.0,100,49.725,2.0111
4400,-901.8,0.17,0.0,100,50.0671,1.9973
4500,-27.1,0.11,0.0,100,51.4038,1.9454
4600,-992.0001,0.14,0.0,100,50.1882,1.9925
4700,-784.8,0.16,0.0,100,48.3636,2.0677
4800,-22.4,0.14,0.0,100,49.8164,2.0074
4900,-1045.1001,0.09,0.0,100,49.4677,2.0215
5000,-766.3,0.12,0.0,100,50.5666,1.9776
5100,-28.8,0.08,0.0,100,50.0223,1.9991
5200,-1099.2001,0.17,0.0,100,50.2368,1.9906
5300,-521.4,0.14,0.0,100,49.9816,2.0007
5400,-32.5,0.05,0.0,100,49.3591,2.026
5500,-1079.7001,0.1,0.0,100,50.1978,1.9921
5600,-875.4,0.09,0.0,100,49.5889,2.0166
5700,-24.5,0.15,0.0,100,50.353,1.986
5800,-1128.5001,0.1,0.0,100,49.7774,2.0089
5900,-617.6,0.14,0.0,100,48.4988,2.0619
6000,-20.1,0.11,0.0,100,51.3823,1.9462
6100,-817.3,0.12,0.0,100,48.6032,2.0575
6200,-612.9,0.13,0.0,100,49.1447,2.0348
6300,-24.7,0.07,0.0,100,50.231,1.9908
6400,-1135.2001,0.17,0.0,100,50.4278,1.983
6500,-710.7,0.16,0.0,100,50.2842,1.9887
6600,-36.9,0.09,0.0,100,51.52,1.941
6700,-953.0,0.06,0.0,100,50.027,1.9989
6800,-782.8,0.09,0.0,100,48.6623,2.055
6900,-26.4,0.14,0.0,100,49.5397,2.0186
7000,-850.7001,0.13,0.0,100,49.3417,2.0267
7100,-761.1,0.11,0.0,100,48.532,2.0605
7200,-22.9,0.19,0.0,100,51.084,1.9576
7300,-1014.1001,0.08,0.0,100,50.1847,1.9926
7400,-605.1,0.07,0.0,100,49.909,2.0036
7500,-20.9,0.09,0.0,100,50.1338,1.9947
7600,-799.5,0.12,0.0,100,49.8079,2.0077
7700,-775.6,0.15,0.0,100,48.4234,2.0651
7800,-19.9,0.09,0.0,100,50.5467,1.9784
7900,-1051.6001,0.1,0.0,100,49.9843,2.0006
8000,-519.1,0.08,0.0,100,49.9093,2.0036
8100,-24.6,0.06,0.0,100,51.1762,1.954
8200,-916.3,0.08,0.0,100,49.2117,2.032
8300,-816.1,0.09,0.0,100,49.8336,2.0067
8400,-23.0,0.1,0.0,100,49.2535,2.0303
8500,-769.3,0.09,0.0,100,49.9523,2.0019
8600,-862.4,0.09,0.0,100,49.8863,2.0046
8700,-25.4,0.14,0.0,100,50.3166,1.9874
8800,-1000.2001,0.08,0.0,100,50.0654,1.9974
8900,-713.5,0.21,0.0,100,49.7564,2.0098
9000,-25.8,0.08,0.0,100,49.8631,2.0055
9100,-1098.4,0.16,0.0,100,50.1099,1.9956
9200,-852.3,0.12,0.0,100,48.5175,2.0611
9300,-20.4,0.14,0.0,100,50.0336,1.9987
9400,-1019.1,0.17,0.0,100,49.9862,2.0006
9500,-795.5,0.12,0.0,100,50.8554,1.9664
9600,-23.9,0.09,0.0,100,50.437,1.9827
9700,-1026.3,0.1,0.0,100,49.6015,2.0161
9800,-695.2,0.18,0.0,100,49.0077,2.0405
9900,-25.7,0.07,0.0,100,49.4309,2.023
10000,-1017.6,0.11,0.0,100,0.0,0.6414
10100,-819.7,0.12,0.0,100,50.3531,1.986
10200,-25.0,0.1,0.0,100,50.399,1.9842
10300,-829.8,0.14,0.0,100,49.6546,2.0139
10400,-696.8,0.09,0.0,100,49.5178,2.0195
10500,-25.0,0.1,0.0,100,50.0861,1.9966
10600,-900.8,0.13,0.0,100,48.063,2.0806
10700,-728.0,0.16,0.0,100,49.9908,2.0004
10800,-28.4,0.14,0.0,100,50.2691,1.9893
10900,-844.5,0.1,0.0,100,50.0302,1.9988
11000,-666.4,0.08,0.0,100,50.4304,1.9829
11100,-21.2,0.12,0.0,100,51.2688,1.9505
11200,-1094.5001,0.09,0.0,100,50.5186,1.9795
11300,-493.6,0.12,0.0,100,49.1985,2.0326
11400,-26.5,0.15,0.0,100,50.529,1.9791
11500,-848.7001,0.05,0.0,100,49.2871,2.0289
11600,-817.4,0.15,0.0,100,49.9883,2.0005
11700,-27.2,0.12,0.0,100,49.3007,2.0284
11800,-820.8,0.12,0.0,100,50.8218,1.9677
11900,-574.9,0.06,0.0,100,48.7501,2.0513
12000,-23.2,0.12,0.0,100,50.514,1.9797
12100,-1042.5,0.17,0.0,100,49.0548,2.0385
12200,-528.9,0.08,0.0,100,49.915,2.0034
12300,-22.0,0.1,0.0,100,50.1272,1.9949
12400,-931.8,0.04,0.0,100,49.9904,2.0004
12500,-696.8,0.08,0.0,100,49.7653,2.0094
12600,-23.8,0.08,0.0,100,50.23,1.9908
12700,-813.1,0.13,0.0,100,50.4218,1.9833
12800,-829.3,0.09,0.0,100,49.3872,2.0248
12900,-27.1,0.11,0.0,100,50.5846,1.9769
13000,-877.7,0.11,0.0,100,49.733,2.0107
13100,-760.5,0.16,0.0,100,49.583,2.0168
13200,-24.4,0.14,0.0,100,48.7299,2.0521
13300,-954.0,0.14,0.0,100,49.3757,2.0253
13400,-520.0,0.2,0.0,100,49.9302,2.0028
13500,-30.1,0.11,0.0,100,49.6584,2.0138
13600,-774.2,0.07,0.0,100,48.2225,2.0737
13700,-791.1,0.09,0.0,100,49.6124,2.0156
13800,-25.2,0.12,0.0,100,49.7884,2.0085
13900,-846.5,0.13,0.0,100,49.8185,2.0073
14000,-543.7,0.12,0.0,100,50.0617,1.9975
14100,-27.4,0.14,0.0,100,49.7043,2.0119
14200,-924.0001,0.14,0.0,100,50.1131,1.9955
14300,-850.7001,0.11,0.0,100,48.224,2.0737
14400,-19.4,0.14,0.0,100,50.3797,1.9849
14500,-1105.0001,0.14,0.0,100,49.5905,2.0165
14600,-628.7,0.1,0.0,100,50.1817,1.9928
14700,-22.4,0.14,0.0,100,49.9122,2.0035
14800,-878.2001,0.09,0.0,100,49.7075,2.0118
14900,-581.5,0.13,0.0,100,49.7888,2.0085
15000,-25.4,0.14,0.0,100,48.6997,2.0534
15100,-802.3,0.07,0.0,100,48.7924,2.0495
15200,-752.6,0.13,0.0,100,50.4773,1.9811
