env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,24.6553,-5.9918,10.6971,11.3161
1100,6.3637,-9.7549,6.7561,4.47
1200,5.1049,-10.0337,7.5254,5.1188
1300,3.9915,-9.8342,4.7237,2.2068
1400,5.1887,-10.438,6.1991,3.7868
1500,4.5695,-10.9419,10.1214,9.3149
1600,4.5675,-10.8585,9.1081,7.3614
1700,4.7466,-11.0993,12.0766,12.9304
1800,4.4346,-11.6229,21.6526,22.6231
1900,4.0998,-11.1171,17.9575,18.6953
2000,4.1006,-11.7827,8.3507,6.1238
2100,4.1285,-11.6788,15.1151,15.7886
2200,3.7608,-10.9464,17.8222,19.8079
2300,4.9075,-11.5241,14.7299,15.198
2400,4.6151,-11.562,29.1926,34.7725
2500,4.6537,-11.2072,16.9148,17.6665
2600,4.2003,-11.7367,12.57,12.8881
2700,4.3437,-11.3925,9.1997,6.4195
2800,3.6217,-10.9487,6.222,4.0073
2900,3.9296,-11.4951,9.8867,9.7228
3000,4.0034,-11.3153,8.5152,7.356
3100,3.8953,-10.7962,6.622,4.085
3200,3.5085,-11.0658,6.7269,3.6345
3300,3.2996,-10.9482,7.7739,3.3286
3400,3.4058,-10.6919,10.8525,10.2195
3500,3.6201,-10.7198,14.2727,16.6117
3600,3.2886,-10.3264,11.8048,12.4111
3700,3.6591,-10.6015,6.9706,5.3731
3800,3.197,-10.4932,5.0219,2.9663
3900,2.9504,-10.3537,11.3414,13.0102
4000,3.3258,-10.4965,5.486,3.8984
4100,3.6256,-10.1655,22.5933,27.1651
4200,3.475,-10.2642,8.1652,9.0073
4300,3.0035,-10.1741,14.5548,16.1128
4400,3.2373,-10.1276,15.2158,18.921
4500,3.1762,-10.372,7.7226,5.9512
4600,3.2681,-9.9113,22.8121,27.0073
4700,3.062,-9.9081,11.737,13.5936
4800,3.8254,-10.2228,22.7965,28.0645
4900,3.0897,-9.9768,14.3276,16.3964
5000,3.3697,-10.3418,8.6293,6.9769
5100,3.1784,-10.1985,8.8206,8.9941
5200,2.8783,-9.6691,16.6895,20.9149
5300,3.1311,-9.8332,9.1267,10.0775
5400,3.1618,-10.317,14.8359,18.6562
5500,3.1288,-9.8267,12.6645,15.3316
5600,3.1999,-9.8956,6.3752,6.6724
5700,3.2114,-9.7006,8.3492,5.8129
5800,2.7388,-9.5314,9.9602,10.0937
5900,2.6956,-9.3432,6.3529,5.2309
6000,2.8605,-9.2567,10.0772,9.8987
