env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-31.2,0.12,0.0,100,0.0,0.4187
100,-1113.1001,0.15,0.0,100,200.4329,0.4989
200,-851.2001,0.13,0.0,100,171.1505,0.5843
300,-28.1,0.11,0.0,100,238.7686,0.4188
400,-1056.9,0.1,0.0,100,171.448,0.5833
500,-800.9999,0.1,0.0,100,197.9278,0.5052
600,-23.2,0.12,0.0,100,242.9097,0.4117
700,-1046.2001,0.08,0.0,100,172.9468,0.5782
800,-610.1,0.14,0.0,100,195.6593,0.5111
900,-25.2,0.12,0.0,100,202.7995,0.4931
1000,-1114.9001,0.13,0.0,100,5.489,18.2182
1100,-730.4999,0.15,0.0,100,18.5994,5.3765
1200,-21.0,0.1,0.0,100,16.9418,5.9026
1300,-879.2999,0.13,0.0,100,28.4218,3.5184
1400,-808.6,0.13,0.0,100,16.3976,6.0985
1500,-25.6,0.16,0.0,100,20.9198,4.7802
1600,-1115.0001,0.1,0.0,100,22.1592,4.5128
1700,-657.3,0.14,0.0,100,18.1935,5.4965
1800,-20.9,0.19,0.0,100,22.7077,4.4038
1900,-1042.5,0.09,0.0,100,22.7272,4.4
2000,-814.7,0.15,0.0,100,22.6446,4.4161
2100,-27.0,0.1,0.0,100,18.8958,5.2922
2200,-972.9,0.14,0.0,100,23.3571,4.2814
2300,-741.3,0.08,0.0,100,19.1705,5.2164
2400,-26.7,0.07,0.0,100,18.8787,5.297
2500,-1104.2001,0.08,0.0,100,25.6686,3.8958
2600,-609.6,0.13,0.0,100,18.854,5.3039
2700,-22.4,0.14,0.0,100,20.0079,4.998
2800,-990.5001,0.1,0.0,100,25.0435,3.9931
2900,-895.4999,0.14,0.0,100,18.5154,5.4009
3000,-26.7,0.07,0.0,100,22.1109,4.5227
3100,-1006.2001,0.06,0.0,100,22.8586,4.3747
3200,-812.0,0.14,0.0,100,17.8529,5.6013
3300,-21.4,0.24,0.0,100,23.7662,4.2077
3400,-969.4001,0.09,0.0,100,22.1382,4.5171
3500,-584.4,0.17,0.0,100,17.8454,5.6037
3600,-21.9,0.09,0.0,100,25.099,3.9842
3700,-1049.1001,0.16,0.0,100,19.1477,5.2226
3800,-672.2,0.08,0.0,100,21.4323,4.6659
3900,-23.5,0.15,0.0,100,22.2178,4.5009
4000,-940.2001,0.07,0.0,100,23.6867,4.2218
4100,-961.5,0.08,0.0,100,21.833,4.5802
4200,-22.8,0.08,0.0,100,18.8663,5.3005
4300,-909.2,0.09,0.0,100,25.0491,3.9922
4400,-795.0,0.13,0.0,100,16.635,6.0114
4500,-22.9,0.09,0.0,100,22.7399,4.3976
4600,-964.7001,0.12,0.0,100,18.9054,5.2895
4700,-788.0,0.14,0.0,100,17.7997,5.6181
4800,-17.8,0.08,0.0,100,28.5489,3.5028
4900,-1090.1,0.15,0.0,100,16.7222,5.9801
5000,-777.0001,0.13,0.0,100,21.1695,4.7238
5100,-28.2,0.12,0.0,100,25.0757,3.9879
5200,-1091.4,0.1,0.0,100,19.2397,5.1976
5300,-828.2001,0.05,0.0,100,21.2861,4.6979
5400,-20.4,0.14,0.0,100,23.6521,4.228
5500,-1053.5,0.13,0.0,100,19.3219,5.1755
5600,-594.3,0.1,0.0,100,20.3676,4.9098
5700,-22.3,0.13,0.0,100,24.473,4.0861
5800,-954.8001,0.1,0.0,100,20.0347,4.9913
5900,-702.4999,0.07,0.0,100,19.5752,5.1085
6000,-19.7,0.17,0.0,100,26.2764,3.8057
6100,-930.8,0.09,0.0,100,20.3588,4.9119
6200,-607.6,0.12,0.0,100,18.9432,5.2789
6300,-22.0,0.1,0.0,100,27.746,3.6041
6400,-775.8,0.1,0.0,100,19.4845,5.1323
6500,-871.5,0.11,0.0,100,18.6553,5.3604
6600,-31.8,0.08,0.0,100,24.8923,4.0173
6700,-965.9,0.12,0.0,100,17.8517,5.6017
6800,-718.7999,0.06,0.0,100,22.2246,4.4995
6900,-24.0,0.1,0.0,100,19.2489,5.1951
7000,-885.5001,0.17,0.0,100,16.7062,5.9858
7100,-559.5,0.05,0.0,100,24.7764,4.0361
