env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-28.2,0.12,0.0,100,0.0,3.4033
100,-1051.9,0.13,0.0,100,13.5254,7.3935
200,-572.1,0.14,0.0,100,14.4507,6.9201
300,-27.4,0.04,0.0,100,14.3011,6.9925
400,-961.4001,0.06,0.0,100,14.2727,7.0064
500,-604.4,0.11,0.0,100,13.1783,7.5882
600,-22.3,0.13,0.0,100,13.7105,7.2937
700,-1018.5001,0.08,0.0,100,13.878,7.2057
800,-727.0,0.07,0.0,100,13.8893,7.1998
900,-23.1,0.11,0.0,100,13.3182,7.5085
1000,-928.8,0.13,0.0,100,13.1778,7.5885
1100,-798.1,0.11,0.0,100,12.982,7.703
1200,-17.3,0.13,0.0,100,12.4974,8.0017
1300,-1010.6001,0.14,0.0,100,12.4921,8.0051
1400,-644.5,0.11,0.0,100,13.3304,7.5017
1500,-28.1,0.11,0.0,100,13.1767,7.5891
1600,-1005.0,0.08,0.0,100,13.5001,7.4074
1700,-833.4,0.17,0.0,100,13.164,7.5965
1800,-22.6,0.16,0.0,100,13.1557,7.6013
1900,-855.4,0.19,0.0,100,13.7138,7.292
2000,-650.0,0.11,0.0,100,13.8872,7.2009
2100,-22.1,0.11,0.0,100,13.887,7.201
2200,-852.9,0.12,0.0,100,13.4865,7.4148
2300,-755.5,0.14,0.0,100,13.3491,7.4912
2400,-22.6,0.16,0.0,100,13.881,7.2041
2500,-929.3,0.12,0.0,100,13.3525,7.4892
2600,-519.7,0.11,0.0,100,13.4897,7.4131
2700,-24.6,0.06,0.0,100,13.3613,7.4843
2800,-736.0001,0.08,0.0,100,13.1545,7.602
2900,-364.2,0.08,0.0,100,13.4741,7.4216
3000,-26.9,0.09,0.0,100,13.7115,7.2931
3100,-625.4,0.09,0.0,100,13.3186,7.5083
3200,-569.0,0.11,0.0,100,13.5293,7.3914
3300,-16.1,0.21,0.0,100,13.9007,7.1939
3400,-865.4,0.09,0.0,100,13.1791,7.5878
3500,-694.3,0.14,0.0,100,14.273,7.0063
3600,-26.1,0.11,0.0,100,13.6931,7.3029
3700,-737.5,0.08,0.0,100,13.1696,7.5933
3800,-454.4,0.11,0.0,100,14.2497,7.0177
