env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.0769,-0.1475,0.015,0.0061
200,39.6569,-4.0927,6.2125,6.7985
300,10.4878,-6.4653,0.8034,0.8093
400,3.3476,-4.683,0.5492,0.4852
500,3.6881,-5.7798,0.7521,0.7601
600,3.5425,-6.677,2.2744,2.2836
700,2.8122,-6.1734,1.1891,1.2561
800,3.221,-7.4072,0.3952,0.3403
900,3.1234,-8.182,0.6308,0.8484
1000,2.4012,-8.0292,1.1684,1.6926
1100,2.352,-8.5569,0.6078,0.5293
1200,2.9702,-9.1396,1.027,1.2867
1300,1.6801,-8.8778,3.2074,4.6478
1400,1.5594,-9.6976,0.6157,0.8136
1500,2.2956,-10.134,1.6924,2.7972
1600,1.5178,-9.8304,3.2938,6.9242
1700,1.484,-10.6499,3.0653,6.2296
1800,1.719,-10.6608,4.6643,8.6064
1900,1.2597,-10.4099,1.6602,3.2092
2000,1.369,-10.837,1.6719,3.1256
2100,1.4705,-10.9903,2.9786,6.3054
2200,1.1876,-10.8621,2.6521,5.1799
2300,1.1945,-10.7313,4.0754,8.6958
2400,1.2746,-10.9148,10.7621,21.712
2500,0.9207,-10.0427,2.9529,5.5167
2600,0.9425,-10.68,1.8897,2.9114
2700,1.1304,-10.6263,7.8621,16.1558
2800,0.8107,-10.1881,1.8338,3.6439
2900,0.9738,-10.1213,2.1757,5.0335
3000,0.8975,-10.1636,2.3973,5.68
3100,0.771,-9.8752,2.1509,4.6428
3200,0.9033,-9.9822,1.8826,4.0526
3300,0.7893,-10.0817,1.309,2.6596
3400,0.676,-9.968,1.9165,3.9832
3500,0.7893,-10.0838,3.4383,6.6303
3600,1.0189,-10.1384,5.1988,10.6927
3700,0.7435,-9.7931,2.2431,4.0864
3800,0.6754,-9.9725,1.0712,2.0756
3900,0.757,-10.115,4.4092,9.3468
4000,0.6438,-10.0425,3.2345,6.8263
4100,0.7354,-10.2437,3.9346,8.8182
4200,0.7718,-10.2317,5.4948,12.0162
4300,0.6234,-10.002,2.9786,6.235
4400,0.6749,-10.4373,5.7341,10.9504
4500,0.7474,-10.3933,7.0558,14.2789
4600,0.6207,-10.1232,1.8818,4.4347
4700,0.7014,-10.6935,3.8458,8.0275
4800,0.7188,-10.4694,5.4917,10.494
4900,0.6354,-10.6933,8.1691,16.7557
5000,0.6902,-10.6054,2.5021,4.5327
5100,0.8455,-10.8357,15.0523,34.0193
5200,0.7228,-10.5946,4.4093,9.4505
5300,0.6759,-10.7458,2.2732,4.7443
5400,0.7206,-10.8597,10.7425,22.7623
5500,0.6508,-10.7176,6.0692,13.7452
5600,0.7486,-10.9871,6.0249,12.421
5700,0.8529,-10.8727,10.7531,24.1947
5800,0.6969,-10.8864,5.2943,11.8546
5900,0.7418,-10.8237,7.2883,15.7679
6000,0.8077,-11.1826,4.9558,10.1772
6100,0.7062,-11.183,7.5872,14.944
6200,0.8587,-11.4714,2.7429,5.7284
6300,0.871,-10.996,6.727,15.4938
6400,0.762,-11.1611,4.8396,9.8834
6500,0.8444,-11.0745,7.0683,16.0742
6600,0.9332,-11.3028,5.6036,13.1631
6700,0.759,-11.1658,3.208,5.9022
6800,0.921,-11.6557,4.3011,9.5771
6900,0.9376,-11.7596,15.4982,34.6267
7000,0.9191,-11.8224,4.4832,10.0017
7100,1.583,-11.9167,7.8751,15.6437
