env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.1136,-0.0852,0.0083,0.0032
200,49.714,-2.6521,4.8006,3.252
300,29.5279,-6.179,6.0394,7.2837
400,13.0889,-5.4974,2.6443,3.2643
500,5.3021,-6.2433,1.6605,1.8706
600,6.7253,-6.6844,2.3883,2.5001
700,4.9001,-5.9263,0.8784,0.7807
800,6.4087,-6.6765,3.533,4.4863
900,6.2826,-7.4634,1.9126,2.3563
1000,5.2303,-7.3481,1.4322,1.2041
1100,5.1471,-7.9586,1.2202,1.0165
1200,5.458,-8.3977,1.2798,1.1837
1300,4.7779,-8.3931,2.2289,4.204
1400,5.1636,-9.171,1.4767,1.6447
1500,5.6553,-9.4738,3.3914,6.1984
1600,4.7386,-9.4557,4.8847,9.934
1700,5.0036,-9.9501,5.1986,11.7899
1800,5.3773,-10.334,2.8714,4.6828
1900,4.8439,-10.4984,1.9825,3.7514
2000,4.4539,-10.9523,1.8224,3.2934
2100,4.3749,-11.6688,6.6053,13.7846
2200,4.0161,-11.7761,4.4079,9.1229
2300,3.9631,-12.1654,6.8611,13.395
2400,3.856,-12.56,2.8562,5.1733
2500,3.1971,-11.9639,1.8901,3.2017
2600,3.7686,-12.7896,16.4882,33.6948
2700,3.7974,-12.864,3.297,4.7643
2800,3.3518,-13.1966,2.1365,2.9371
2900,3.4425,-13.5311,3.231,6.4716
3000,3.2867,-13.6345,2.4014,4.3617
3100,2.9949,-13.4516,4.6054,9.3323
3200,2.9528,-14.0183,6.6322,13.224
3300,3.0745,-14.2757,10.0671,23.551
3400,2.8454,-14.2586,16.3743,36.5345
3500,2.8163,-14.5939,6.6349,12.3566
3600,3.0471,-14.6719,39.6997,91.8919
3700,2.7118,-14.525,4.7018,10.778
3800,3.07,-14.7775,23.7369,55.1895
3900,3.0666,-14.5111,3.7708,8.0214
4000,2.8067,-14.008,5.9394,12.204
4100,3.1976,-14.5677,10.4275,24.9886
4200,2.9297,-14.7356,4.2672,9.0544
4300,2.6591,-14.1498,8.0185,15.1873
4400,2.5056,-14.6407,4.0083,8.3468
4500,2.5596,-14.6827,9.6933,22.023
4600,2.3329,-13.9709,4.1563,9.317
4700,2.4726,-14.6312,16.8102,39.4322
4800,2.5982,-14.195,5.8738,12.3106
4900,2.2946,-14.1072,4.0321,8.4363
5000,2.3747,-14.2258,7.283,16.0977
5100,2.3071,-14.2737,3.4927,7.1071
5200,2.1513,-13.851,2.4017,4.6304
5300,2.2809,-13.9015,4.5491,9.2705
5400,2.2289,-14.0521,8.7511,17.4382
5500,2.0912,-13.8872,11.0125,26.3608
5600,2.0737,-14.0466,13.187,30.8569
5700,2.2013,-13.9387,10.3598,26.2047
5800,2.0113,-13.9619,11.7614,28.792
5900,2.1112,-13.764,15.8922,37.9185
6000,2.1351,-14.3367,3.6238,6.2968
6100,2.0269,-14.1994,13.1413,32.1473
6200,2.1056,-13.9434,3.0095,5.1569
6300,2.1555,-13.9703,9.6453,21.5812
6400,2.0804,-14.1038,14.325,35.1566
6500,2.1289,-13.939,9.9591,22.5638
6600,2.3005,-14.2748,14.4215,32.4312
6700,2.1095,-13.9693,3.9068,7.9427
6800,2.4586,-14.9483,13.1679,32.4797
6900,2.2665,-14.4106,10.9668,26.8523
7000,2.2036,-14.5254,33.1269,84.7252
7100,2.2616,-14.477,22.0453,55.1291
7200,2.3149,-14.7118,13.9676,29.6203
7300,2.2938,-14.9855,17.8814,45.0787
7400,2.2899,-14.8511,3.7269,7.9629
7500,2.4546,-15.5544,11.0402,23.737
7600,2.3339,-15.223,12.6327,27.1314
7700,2.2938,-15.673,19.4153,48.8311
7800,2.3523,-15.6892,23.1665,58.2448
7900,2.3216,-15.8484,11.9291,27.9153
8000,2.6913,-15.8915,21.4865,45.3521
8100,2.6027,-16.0712,8.6876,19.4109
8200,2.2794,-15.9549,8.2697,18.6418
8300,2.4908,-16.5722,28.3899,69.8955
8400,2.5538,-16.3735,13.6028,30.2295
8500,2.4646,-16.4656,7.5454,17.9062
8600,2.5931,-16.5808,42.9243,104.7493
8700,2.8433,-16.2083,57.413,143.3718
8800,2.829,-16.6405,25.4562,61.7921
8900,2.8205,-16.8639,5.9735,13.8069
9000,2.9368,-16.5794,18.1311,41.82
9100,2.7254,-16.9212,12.1529,28.8511
9200,3.1397,-17.1685,11.2509,25.9403
9300,3.0381,-17.2578,11.3783,25.1081
9400,2.8632,-17.1062,25.2587,61.9529
9500,3.1509,-17.8281,10.1841,23.8651
9600,3.1295,-17.8646,6.1342,13.2518
9700,2.9333,-17.3832,18.4358,45.1964
9800,3.1588,-17.944,15.7617,36.1061
9900,3.1172,-17.8704,16.7962,38.6042
10000,3.0905,-17.9308,25.8254,60.9663
10100,3.2488,-18.3151,35.0269,84.8859
10200,3.1688,-18.1659,17.6336,43.1325
10300,3.1096,-18.4866,22.6829,56.1578
10400,3.3001,-18.5888,30.4345,72.8876
10500,3.5413,-18.9389,27.9104,70.3446
10600,3.3327,-19.0586,8.0756,15.3712
10700,3.1895,-18.6373,36.4397,88.093
10800,3.3732,-18.7713,25.757,65.5246
10900,3.3011,-18.8386,42.7249,106.4102
11000,3.3384,-19.1912,27.158,67.3296
11100,3.2818,-18.7955,13.8077,31.2164
11200,3.2268,-18.9705,22.7749,56.2483
11300,3.3507,-19.2315,23.4864,58.6391
11400,3.3949,-19.7819,31.988,79.6596
11500,4.8634,-19.5592,38.7197,93.3221
11600,3.6101,-19.9031,30.5099,78.4123
11700,3.6369,-20.0598,14.0364,33.6433
11800,3.5285,-19.9848,5.013,10.5416
11900,3.5076,-20.3634,20.4837,45.1991
12000,3.6502,-20.6186,24.3799,58.9199
12100,3.5009,-20.1955,19.8885,49.7076
12200,3.5989,-20.7131,20.3921,49.719
12300,3.7908,-20.7506,141.9689,306.8916
12400,4.1463,-20.4138,46.0765,111.162
12500,3.8638,-21.1349,38.6401,97.2543
12600,3.8247,-20.9736,15.4005,36.5473
12700,3.6954,-21.1832,26.9304,66.2432
12800,3.7408,-21.0687,65.2437,163.1183
12900,3.7,-21.2903,21.5525,54.527
13000,3.7057,-20.9806,27.2039,63.6696
13100,3.8535,-21.7876,31.1647,79.2722
13200,3.7149,-21.1286,32.8993,80.8486
13300,3.9741,-21.0923,144.5111,366.5138
13400,4.2908,-22.1861,51.4067,119.698
13500,4.1324,-21.4843,32.991,73.899
13600,4.223,-21.8558,37.3821,86.2515
13700,4.3778,-22.0645,22.5976,53.9082
13800,4.2173,-22.3016,41.9093,106.0303
13900,4.2837,-22.2585,29.2229,73.3571
14000,4.3525,-22.3092,112.4318,281.2104
14100,4.5594,-22.7298,51.5409,131.1024
