env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-18.3,0.13,0.0,100,0.0,2.3989
100,-825.8,0.12,0.0,100,21.304,4.694
200,-773.9,0.09,0.0,100,20.8491,4.7964
300,-20.0,0.1,0.0,100,20.3943,4.9033
400,-993.0001,0.17,0.0,100,19.6684,5.0843
500,-671.9,0.13,0.0,100,20.3649,4.9104
600,-20.7,0.07,0.0,100,20.3797,4.9069
700,-809.9,0.07,0.0,100,19.6554,5.0877
800,-690.1,0.13,0.0,100,20.7896,4.8101
900,-27.5,0.15,0.0,100,21.299,4.6951
1000,-1073.8,0.11,0.0,100,20.0158,4.9961
1100,-762.0,0.13,0.0,100,20.383,4.9061
1200,-15.6,0.16,0.0,100,20.8233,4.8023
1300,-1041.9,0.11,0.0,100,20.0728,4.9819
1400,-802.8,0.08,0.0,100,20.7303,4.8239
1500,-28.8,0.08,0.0,100,20.0789,4.9804
1600,-957.8,0.1,0.0,100,19.9354,5.0162
1700,-743.8,0.11,0.0,100,18.5696,5.3852
1800,-26.5,0.15,0.0,100,19.5795,5.1074
1900,-961.4,0.09,0.0,100,19.2484,5.1952
2000,-569.7,0.08,0.0,100,20.0305,4.9924
2100,-14.2,0.12,0.0,100,20.4093,4.8997
2200,-1073.5,0.1,0.0,100,20.3564,4.9125
2300,-719.6,0.14,0.0,100,19.2383,5.198
2400,-20.8,0.08,0.0,100,19.543,5.1169
2500,-683.9,0.1,0.0,100,19.2605,5.192
2600,-530.7,0.1,0.0,100,20.3956,4.903
2700,-25.7,0.07,0.0,100,20.0521,4.987
2800,-949.2001,0.08,0.0,100,19.9536,5.0116
2900,-763.2,0.07,0.0,100,19.6847,5.0801
3000,-26.8,0.08,0.0,100,19.9307,5.0174
3100,-930.3,0.08,0.0,100,19.6865,5.0796
3200,-755.1,0.12,0.0,100,19.9871,5.0032
3300,-16.9,0.09,0.0,100,20.3576,4.9122
3400,-703.4,0.09,0.0,100,20.0563,4.986
3500,-613.2,0.14,0.0,100,20.0273,4.9932
3600,-23.2,0.12,0.0,100,20.7767,4.8131
3700,-797.6,0.13,0.0,100,20.7456,4.8203
3800,-824.1,0.12,0.0,100,20.0945,4.9765
3900,-17.0,0.1,0.0,100,20.7888,4.8103
4000,-882.2001,0.07,0.0,100,20.4088,4.8998
4100,-539.2,0.12,0.0,100,19.6165,5.0978
4200,-20.8,0.08,0.0,100,20.0718,4.9821
4300,-500.5,0.12,0.0,100,19.9675,5.0081
4400,-517.1,0.1,0.0,100,19.2612,5.1918
4500,-23.1,0.11,0.0,100,20.2839,4.93
4600,-830.1001,0.04,0.0,100,19.6808,5.0811
4700,-487.4,0.16,0.0,100,19.6112,5.0991
4800,-20.3,0.13,0.0,100,19.943,5.0143
4900,-709.4,0.09,0.0,100,18.8956,5.2922
5000,-523.8,0.05,0.0,100,18.1905,5.4974
5100,-20.5,0.15,0.0,100,20.3445,4.9153
5200,-671.7,0.1,0.0,100,19.2321,5.1996
5300,-270.1,0.09,0.0,100,20.0556,4.9862
5400,-27.1,0.11,0.0,100,20.0555,4.9862
5500,-662.6,0.11,0.0,100,19.974,5.0065
5600,-651.3,0.13,0.0,100,19.6093,5.0996
5700,-23.7,0.17,0.0,100,20.8333,4.8
5800,-807.2001,0.16,0.0,100,19.9725,5.0069
5900,-506.5,0.15,0.0,100,19.2199,5.2029
6000,-18.3,0.13,0.0,100,20.8474,4.7968
6100,-598.7,0.11,0.0,100,20.4037,4.9011
6200,-555.1,0.16,0.0,100,20.0125,4.9969
6300,-25.1,0.11,0.0,100,20.4092,4.8998
6400,-694.3,0.12,0.0,100,19.581,5.107
6500,-496.5,0.09,0.0,100,18.8536,5.304
6600,-23.1,0.11,0.0,100,20.0851,4.9788
6700,-915.6,0.11,0.0,100,19.5631,5.1117
6800,-664.3,0.07,0.0,100,18.8725,5.2987
6900,-21.1,0.11,0.0,100,19.5705,5.1097
7000,-878.6001,0.12,0.0,100,18.848,5.3056
7100,-393.0,0.15,0.0,100,19.3196,5.1761
7200,-19.6,0.06,0.0,100,19.622,5.0963
7300,-845.6,0.11,0.0,100,18.8631,5.3014
7400,-574.1,0.08,0.0,100,20.4145,4.8985
7500,-25.4,0.04,0.0,100,21.1362,4.7312
7600,-901.9,0.13,0.0,100,19.7275,5.0691
7700,-710.1,0.12,0.0,100,19.5464,5.116
7800,-24.3,0.13,0.0,100,19.9827,5.0043
7900,-737.6,0.07,0.0,100,20.0693,4.9827
8000,-486.2,0.1,0.0,100,19.9947,5.0013
8100,-22.7,0.07,0.0,100,19.9327,5.0169
8200,-837.9,0.07,0.0,100,18.9013,5.2906
8300,-325.7,0.07,0.0,100,19.6523,5.0885
