env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.1759,-0.0341,0.0565,0.0138
200,60.5936,-1.1251,5.0178,4.4223
300,28.6474,-5.8983,5.7046,7.7948
400,16.5359,-5.2516,4.7624,6.8045
500,8.1305,-6.4208,1.6753,2.0848
600,5.0916,-7.689,0.8646,0.7732
700,3.406,-7.7368,0.7232,0.79
800,4.4309,-9.0356,1.218,1.2071
900,5.318,-10.0823,1.3237,1.2045
1000,4.5731,-9.7215,1.8548,2.167
1100,5.2353,-10.9443,1.4262,1.2401
1200,6.5597,-11.7098,9.4577,12.4619
1300,5.4745,-11.4713,3.6285,4.9235
1400,6.4218,-12.6967,3.6736,4.9625
1500,6.2929,-13.3165,1.9614,2.5452
1600,5.3058,-13.0264,1.4164,1.8888
1700,5.5435,-14.2495,3.4701,3.958
1800,7.1392,-14.0082,4.2483,5.049
1900,4.9924,-13.8933,5.1455,7.6458
2000,4.9476,-14.7999,2.8659,4.3587
2100,4.9073,-15.0879,3.1316,5.7877
2200,4.1627,-14.7469,7.3989,16.4392
2300,4.0947,-15.2569,11.7148,27.3208
2400,4.0624,-15.5816,11.1102,21.6945
2500,3.5868,-14.584,26.8884,68.8566
2600,3.8901,-14.9452,23.8506,55.7772
2700,3.9209,-14.9056,4.229,7.6911
2800,3.3275,-13.9629,2.3281,4.4447
2900,3.4057,-13.987,11.8708,28.0746
3000,3.4962,-13.6635,21.3591,51.9974
3100,3.0126,-12.733,10.3031,25.1577
3200,3.2916,-12.3961,14.4319,36.1587
3300,3.025,-12.2256,24.6087,61.3254
3400,2.6806,-11.6417,2.8795,5.9441
3500,2.64,-11.3326,20.7425,52.0572
3600,2.9513,-11.2797,10.1403,23.0403
3700,2.5513,-10.5056,12.9693,28.2479
3800,2.5485,-10.5789,17.3496,40.656
3900,2.5858,-10.2322,4.904,11.4273
4000,2.3032,-9.5081,27.2814,68.0031
4100,2.4434,-9.9202,13.4969,28.838
4200,2.2838,-9.7152,5.1792,12.478
4300,2.0638,-9.1744,4.5067,10.7145
4400,2.2255,-9.738,10.5955,25.6327
4500,2.1625,-9.4404,13.0257,29.2748
4600,1.9474,-8.827,4.8788,11.3557
4700,2.1624,-9.2522,13.248,32.62
4800,2.0131,-8.9171,5.1493,11.8568
4900,1.9797,-8.9728,5.5161,11.7278
5000,1.9638,-8.8728,10.0916,25.0188
5100,2.0234,-8.8318,6.4151,14.5277
5200,1.9175,-8.6969,13.4745,29.9353
5300,1.8918,-8.7326,8.6783,22.0216
5400,2.0966,-8.7705,6.0264,14.937
5500,1.9786,-8.766,6.833,15.2685
5600,2.0102,-9.0174,5.5913,11.8718
5700,2.1781,-9.1152,9.0925,22.061
5800,1.9785,-9.0224,6.4273,16.0696
5900,1.9076,-9.1477,5.7769,14.3931
6000,2.0018,-9.6561,22.9176,54.5656
6100,1.9697,-9.4989,8.4507,20.2688
6200,1.93,-9.4874,17.45,44.0776
6300,1.9434,-9.7859,6.4356,15.8733
6400,1.8519,-9.6293,5.6848,13.68
6500,1.9881,-10.0317,9.6015,21.1892
6600,1.9943,-10.0248,14.33,31.7468
6700,1.9285,-9.8993,18.9544,47.6657
6800,2.174,-10.7111,18.423,45.6024
6900,2.1275,-10.7137,17.8953,45.0367
7000,2.1648,-10.7829,8.531,20.2779
7100,2.1067,-10.9213,7.5002,17.7461
7200,2.1082,-11.2005,11.3915,26.6303
7300,2.0951,-11.4815,3.3964,8.0672
7400,2.2169,-11.6532,10.1863,21.6563
7500,2.149,-11.6479,7.3381,17.5664
7600,2.2176,-11.9288,3.653,7.8919
7700,2.1978,-12.3254,5.2038,11.3343
7800,2.2941,-12.5829,20.1809,50.1466
7900,2.2554,-12.6906,5.9908,12.5568
8000,2.3665,-12.8833,19.8361,51.2157
8100,2.629,-13.6127,23.8969,60.4744
8200,2.433,-13.3796,10.1153,24.4449
8300,2.6574,-14.2271,32.0584,84.8246
8400,2.5932,-14.2799,20.0785,50.0846
8500,2.4847,-14.3768,32.3326,82.2061
8600,2.735,-14.3096,39.1492,99.2061
8700,2.6977,-14.6073,6.8185,16.4026
8800,2.6469,-14.7301,31.8629,84.3188
8900,2.7655,-15.189,58.2191,150.5701
9000,3.1115,-15.5532,16.6564,41.3292
9100,2.8676,-15.7237,16.9269,41.9257
9200,3.0834,-16.1563,25.5976,61.7869
9300,3.1438,-16.429,78.3141,205.0896
9400,3.0892,-16.26,17.1681,42.1283
9500,2.9892,-16.7011,17.6645,45.2929
9600,3.5662,-17.2412,46.187,109.2539
9700,3.0048,-17.0448,17.7015,43.2524
9800,3.0525,-17.5077,9.38,23.7697
9900,3.2713,-17.6679,41.0996,106.3596
10000,3.416,-17.8617,47.6995,121.6515
10100,3.4289,-18.2005,26.3949,63.5306
10200,3.2226,-18.0907,51.9912,130.1351
10300,3.213,-18.5954,66.661,165.0113
10400,3.4812,-18.5896,38.2572,96.6761
10500,3.3268,-19.1979,70.7152,185.1951
10600,3.3868,-18.9807,31.4866,79.9086
10700,3.2498,-18.8753,131.9343,347.8613
10800,3.813,-19.8556,82.189,221.622
10900,3.5881,-19.755,29.1432,72.9991
11000,3.4241,-20.267,43.6084,112.0098
11100,3.6648,-19.8866,21.4915,47.2849
11200,3.5995,-20.1344,93.3646,241.6282
11300,3.8805,-20.3653,141.0081,371.1172
11400,3.7231,-20.448,24.1182,60.9483
11500,3.5128,-20.8325,40.3249,108.0677
11600,3.6259,-21.3028,31.9582,80.3573
11700,3.8411,-21.6389,119.2188,310.189
11800,4.3325,-21.6075,61.6908,153.8478
11900,3.8324,-21.9096,18.3809,45.9414
12000,3.6938,-21.7038,79.0394,199.8619
12100,3.759,-21.9204,34.7932,88.0627
12200,3.6606,-22.4953,55.4732,142.6067
12300,3.651,-22.4992,46.1096,120.1777
12400,3.5197,-22.2369,29.1273,71.3001
12500,3.5374,-22.8726,48.3053,127.6283
12600,3.8811,-22.7553,34.5748,82.0475
12700,3.5199,-22.5107,74.7123,200.8566
12800,3.6428,-23.046,21.5075,56.395
12900,3.5361,-23.2259,44.0879,109.9663
13000,3.7004,-23.8307,113.9004,305.5684
13100,3.6827,-23.8905,147.1526,384.4195
13200,3.6449,-23.1084,79.8597,202.5773
13300,3.5262,-23.1622,94.3561,233.532
13400,3.5401,-23.9692,139.6605,364.5481
13500,3.6095,-23.8708,67.9819,174.4773
13600,3.4761,-23.9761,112.4315,284.5925
13700,4.1423,-24.0487,71.729,180.1589
13800,3.8594,-24.2384,51.1084,120.7502
13900,3.5694,-24.3258,126.5923,321.3589
14000,3.774,-24.2844,75.277,191.95
14100,3.7551,-24.8007,115.1002,308.501
14200,3.585,-24.0069,43.0006,113.3566
14300,4.0082,-24.5908,53.6142,143.4937
14400,3.725,-24.9745,42.0867,111.7828
14500,3.7982,-24.537,50.8908,131.4983
14600,3.7554,-24.7427,151.1984,400.1554
14700,3.7495,-24.6745,64.3345,169.7897
14800,3.753,-24.8028,62.0293,160.5188
14900,3.7223,-25.3431,166.2658,438.5838
15000,8.0045,-24.8108,436.7097,1092.5943
15100,16.0505,-24.4178,79.7675,209.7316
15200,4.3831,-24.3703,16.768,40.8092
15300,4.0417,-24.3636,8.8963,19.244
15400,3.9559,-25.0346,12.4512,28.8723
15500,3.9287,-24.557,26.092,68.8819
15600,3.9023,-25.7827,20.6016,51.5441
15700,3.803,-24.7243,8.003,20.2
15800,3.8018,-24.7454,17.8177,44.7781
15900,3.8825,-24.8131,88.5057,235.6922
16000,3.8487,-25.2531,52.7491,136.1781
16100,3.8328,-24.3168,54.7956,144.1338
16200,3.8917,-24.2353,48.8772,126.8079
16300,3.9015,-24.6026,35.8884,87.3415
16400,3.9158,-24.5902,44.1682,115.4499
16500,3.9707,-25.1667,37.6585,96.9335
16600,3.9247,-24.1166,58.7571,152.3769
16700,3.9815,-24.4649,95.319,253.1595
16800,4.0064,-24.8715,48.4268,119.4593
16900,4.0932,-25.1669,159.4982,426.1053
17000,4.4116,-24.5408,123.3185,322.9744
