env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-28.2,0.12,0.0,100,0.0,1.2314
100,-1051.9,0.13,0.0,100,35.8973,2.7857
200,-572.3,0.16,0.0,100,35.8908,2.7862
300,-27.4,0.04,0.0,100,36.6663,2.7273
400,-961.4001,0.06,0.0,100,36.8939,2.7105
500,-604.4,0.11,0.0,100,34.6542,2.8857
600,-22.3,0.13,0.0,100,36.9809,2.7041
700,-1018.5001,0.08,0.0,100,30.5628,3.272
800,-727.0,0.07,0.0,100,35.3698,2.8273
900,-29.1,0.11,0.0,100,34.5964,2.8905
1000,-928.8,0.13,0.0,100,38.3086,2.6104
1100,-798.1,0.11,0.0,100,36.1127,2.7691
1200,-22.3,0.13,0.0,100,35.6597,2.8043
1300,-1010.7001,0.15,0.0,100,35.5182,2.8155
1400,-644.5,0.11,0.0,100,33.2965,3.0033
1500,-30.5,0.15,0.0,100,35.7224,2.7994
1600,-1005.0,0.08,0.0,100,34.7182,2.8803
1700,-833.4,0.17,0.0,100,29.3867,3.4029
1800,-22.2,0.12,0.0,100,35.5614,2.812
1900,-865.3,0.19,0.0,100,35.6383,2.806
2000,-753.7,0.08,0.0,100,36.8377,2.7146
2100,-21.7,0.07,0.0,100,36.2026,2.7622
2200,-851.8,0.12,0.0,100,34.5043,2.8982
2300,-733.2,0.14,0.0,100,35.6422,2.8057
2400,-21.6,0.16,0.0,100,35.4627,2.8199
2500,-928.3,0.12,0.0,100,33.3785,2.9959
2600,-557.0,0.11,0.0,100,34.3142,2.9142
2700,-24.6,0.06,0.0,100,35.6338,2.8063
2800,-761.1,0.08,0.0,100,34.728,2.8795
2900,-559.2,0.08,0.0,100,35.5945,2.8094
3000,-26.0,0.1,0.0,100,34.7321,2.8792
3100,-649.5,0.09,0.0,100,31.9852,3.1265
3200,-584.7,0.1,0.0,100,33.4524,2.9893
3300,-12.9,0.19,0.0,100,35.9102,2.7847
3400,-897.3,0.09,0.0,100,32.1409,3.1113
3500,-521.8,0.14,0.0,100,34.2286,2.9215
3600,-27.2,0.12,0.0,100,33.6203,2.9744
3700,-703.5,0.08,0.0,100,35.973,2.7799
3800,-458.3,0.13,0.0,100,35.2121,2.8399
3900,-28.2,0.22,0.0,100,34.5863,2.8913
4000,-742.5,0.11,0.0,100,33.3454,2.9989
4100,-452.6,0.13,0.0,100,34.8588,2.8687
4200,-27.7,0.17,0.0,100,36.6409,2.7292
4300,-625.5,0.11,0.0,100,34.3797,2.9087
4400,-545.9,0.14,0.0,100,34.5685,2.8928
4500,-15.3,0.23,0.0,100,33.5605,2.9797
4600,-660.2,0.06,0.0,100,34.5343,2.8957
4700,-535.4,0.09,0.0,100,35.3807,2.8264
4800,-25.4,0.14,0.0,100,35.9948,2.7782
4900,-671.3,0.08,0.0,100,32.3305,3.0931
5000,-502.3,0.07,0.0,100,35.7104,2.8003
5100,-27.7,0.07,0.0,100,31.1097,3.2144
5200,-779.3,0.09,0.0,100,34.5447,2.8948
5300,-585.1,0.08,0.0,100,34.4359,2.9039
5400,-18.5,0.15,0.0,100,28.4944,3.5095
5500,-673.5,0.1,0.0,100,36.7635,2.7201
5600,-472.0,0.11,0.0,100,33.7693,2.9613
5700,-21.0,0.1,0.0,100,38.1768,2.6194
5800,-506.9,0.07,0.0,100,34.4838,2.8999
5900,-523.5,0.08,0.0,100,35.5978,2.8092
6000,-16.5,0.05,0.0,100,35.8758,2.7874
6100,-552.9,0.05,0.0,100,35.7023,2.8009
6200,-673.7,0.12,0.0,100,34.4524,2.9026
6300,-17.0,0.1,0.0,100,35.5627,2.8119
6400,-558.6,0.12,0.0,100,33.5588,2.9798
6500,-364.8,0.05,0.0,100,34.432,2.9043
6600,-20.1,0.11,0.0,100,36.8563,2.7132
6700,-743.4,0.1,0.0,100,35.6161,2.8077
6800,-445.4,0.13,0.0,100,37.187,2.6891
6900,-21.8,0.08,0.0,100,35.9964,2.7781
7000,-676.9,0.08,0.0,100,35.4553,2.8205
7100,-463.1,0.07,0.0,100,33.5135,2.9839
7200,-20.0,0.1,0.0,100,36.7665,2.7199
7300,-707.2,0.14,0.0,100,32.4697,3.0798
7400,-853.9,0.1,0.0,100,35.8354,2.7905
7500,-18.0,0.1,0.0,100,34.0416,2.9376
7600,-539.3,0.08,0.0,100,34.5142,2.8974
7700,-512.7,0.11,0.0,100,35.9167,2.7842
7800,-22.3,0.03,0.0,100,34.353,2.911
7900,-486.6,0.06,0.0,100,35.6513,2.805
8000,-545.0,0.06,0.0,100,32.469,3.0799
8100,-21.0,0.1,0.0,100,34.566,2.893
8200,-666.6,0.11,0.0,100,34.5548,2.894
8300,-511.7,0.1,0.0,100,35.5161,2.8156
8400,-17.7,0.07,0.0,100,34.4888,2.8995
8500,-550.1,0.04,0.0,100,31.4112,3.1836
8600,-376.8,0.06,0.0,100,36.5297,2.7375
8700,-15.8,0.28,0.0,100,33.3879,2.9951
8800,-566.9,0.12,0.0,100,34.752,2.8775
8900,-529.4,0.08,0.0,100,34.1262,2.9303
9000,-23.1,0.31,0.0,100,34.7812,2.8751
9100,-489.8,0.04,0.0,100,27.7365,3.6054
9200,-407.6,0.08,0.0,100,34.3462,2.9115
9300,-20.2,0.22,0.0,100,36.0057,2.7773
9400,-516.5,0.09,0.0,100,35.5666,2.8116
9500,-452.8,0.06,0.0,100,34.6327,2.8874
9600,-22.1,0.31,0.0,100,34.466,2.9014
9700,-478.5,0.11,0.0,100,34.4825,2.9
9800,-489.9,0.04,0.0,100,34.2507,2.9197
9900,-23.4,0.14,0.0,100,32.3944,3.087
10000,-509.4,0.07,0.0,100,0.0,1.272
10100,-438.5,0.17,0.0,100,36.7931,2.7179
10200,-20.3,0.13,0.0,100,35.9252,2.7836
10300,-535.1,0.07,0.0,100,34.6143,2.889
10400,-522.5,0.08,0.0,100,36.6146,2.7312
10500,-13.8,0.08,0.0,100,36.134,2.7675
10600,-553.8,0.1,0.0,100,34.222,2.9221
10700,-435.4,0.1,0.0,100,33.3783,2.996
10800,-18.5,0.05,0.0,100,38.5552,2.5937
10900,-346.4,0.06,0.0,100,35.6468,2.8053
11000,-477.7,0.11,0.0,100,36.9662,2.7052
11100,-11.7,0.07,0.0,100,35.588,2.8099
11200,-387.5,0.07,0.0,100,34.4747,2.9007
11300,-351.5,0.09,0.0,100,34.3283,2.9131
11400,-17.8,0.08,0.0,100,34.9321,2.8627
11500,-344.4,0.07,0.0,100,37.054,2.6988
11600,-479.3,0.09,0.0,100,35.6748,2.8031
11700,-13.8,0.08,0.0,100,35.6373,2.8061
11800,-223.2,0.05,0.0,100,34.2313,2.9213
11900,-296.8,0.08,0.0,100,36.098,2.7702
12000,-18.1,0.11,0.0,100,32.1977,3.1058
12100,-308.2,0.04,0.0,100,35.6018,2.8089
12200,-452.5,0.08,0.0,100,33.3918,2.9948
12300,-9.5,0.05,0.0,100,35.3898,2.8257
12400,-355.5,0.09,0.0,100,36.9707,2.7048
12500,-433.7,0.14,0.0,100,34.9416,2.8619
12600,-21.6,0.06,0.0,100,36.6995,2.7248
12700,-429.6,0.03,0.0,100,33.5146,2.9838
12800,-326.9,0.03,0.0,100,35.5169,2.8156
12900,-14.4,0.04,0.0,100,34.685,2.8831
13000,-534.5,0.1,0.0,100,35.6759,2.803
13100,-285.7,0.05,0.0,100,33.3792,2.9959
13200,-17.4,0.04,0.0,100,35.7185,2.7997
13300,-378.4,0.09,0.0,100,35.7885,2.7942
13400,-473.0,0.07,0.0,100,34.1995,2.924
13500,-12.7,0.07,0.0,100,35.7217,2.7994
13600,-482.4,0.09,0.0,100,33.6722,2.9698
13700,-354.2,0.08,0.0,100,36.807,2.7169
13800,-12.6,0.06,0.0,100,34.7479,2.8779
13900,-452.9,0.06,0.0,100,37.0313,2.7004
14000,-356.3,0.05,0.0,100,36.4611,2.7427
14100,-12.3,0.03,0.0,100,35.9977,2.778
14200,-560.9,0.12,0.0,100,35.6331,2.8064
14300,-346.3,0.04,0.0,100,33.363,2.9973
14400,-14.6,0.06,0.0,100,34.3817,2.9085
14500,-309.5,0.03,0.0,100,35.5744,2.811
14600,-409.3,0.04,0.0,100,33.3331,3.0
14700,-7.4,0.04,0.0,100,36.1047,2.7697
14800,-253.7,0.0,0.0,100,31.9253,3.1844
14900,-249.6,0.07,0.0,100,35.3929,2.8254
15000,-10.7,0.07,0.0,100,35.5044,2.8166
15100,-313.1,0.03,0.0,100,33.5692,2.9789
15200,-321.7,0.12,0.0,100,34.4772,2.9005
15300,-12.6,0.06,0.0,100,35.4704,2.8193
15400,-293.0,0.06,0.0,100,34.5101,2.8977
15500,-454.6,0.08,0.0,100,32.6551,3.0623
15600,-17.7,0.47,0.0,100,35.408,2.8242
15700,-223.8,0.04,0.0,100,33.4718,2.9876
15800,-302.3,0.02,0.0,100,33.2844,3.0044
15900,-17.1,0.51,0.0,100,36.8586,2.7131
16000,-271.6,0.04,0.0,100,33.5965,2.9765
16100,-328.4,0.1,0.0,100,29.1926,3.4255
16200,-8.7,0.07,0.0,100,34.708,2.8812
16300,-309.4,0.06,0.0,100,34.4531,2.9025
16400,-312.9,0.04,0.0,100,36.6905,2.7255
16500,-15.4,0.04,0.0,100,34.7858,2.8747
16600,-234.5,0.07,0.0,100,35.4402,2.8217
16700,-289.7,0.06,0.0,100,31.454,3.1792
16800,-12.3,0.23,0.0,100,37.0892,2.6962
16900,-240.0,0.05,0.0,100,34.2662,2.9183
17000,-318.8,0.11,0.0,100,34.8369,2.8705
17100,-15.3,0.63,0.0,100,36.4739,2.7417
17200,-233.5,0.07,0.0,100,33.2906,3.0039
17300,-235.0,0.09,0.0,100,35.8641,2.7883
17400,-17.2,0.12,0.0,100,35.5735,2.8111
17500,-210.3,0.09,0.0,100,31.6523,3.1593
17600,-301.6,0.17,0.0,100,35.3463,2.8292
17700,-11.3,0.03,0.0,100,35.6715,2.8034
17800,-221.1,0.14,0.0,100,34.8456,2.8698
17900,-437.1,0.07,0.0,100,35.3288,2.8306
18000,-10.4,0.04,0.0,100,34.8089,2.8728
18100,-277.1,0.08,0.0,100,34.5659,2.893
18200,-435.5,0.12,0.0,100,35.4779,2.8187
18300,-14.4,0.04,0.0,100,36.7618,2.7202
18400,-234.6,0.1,0.0,100,33.4882,2.9861
18500,-365.5,0.05,0.0,100,34.553,2.8941
18600,-10.6,0.06,0.0,100,33.5103,2.9842
18700,-226.8,0.02,0.0,100,34.1683,2.9267
18800,-284.6,0.05,0.0,100,33.4118,2.993
18900,-9.7,0.07,0.0,100,34.4019,2.9068
19000,-198.9,0.07,0.0,100,35.6391,2.8059
19100,-395.6,0.04,0.0,100,34.6456,2.8864
19200,-5.3,0.03,0.0,100,35.967,2.7803
19300,-235.9,0.01,0.0,100,34.174,2.9262
19400,-119.8,0.06,0.0,100,36.1445,2.7667
19500,-9.1,0.01,0.0,100,33.2896,3.0039
19600,-218.0,0.02,0.0,100,35.2661,2.8356
19700,-272.5,0.05,0.0,100,34.5438,2.8949
19800,-6.4,0.04,0.0,100,33.6994,2.9674
19900,-236.5,0.07,0.0,100,37.8648,2.641
20000,-224.9,0.06,0.0,100,0.0,1.2177
20100,-9.7,0.07,0.0,100,35.7543,2.7969
20200,-351.9,0.04,0.0,100,33.5419,2.9813
20300,-242.8,0.03,0.0,100,34.4795,2.9003
20400,-19.1,0.31,0.0,100,35.8469,2.7896
20500,-253.8,0.07,0.0,100,35.68,2.8027
20600,-91.3,0.02,0.0,100,36.7462,2.7214
20700,-10.1,0.01,0.0,100,38.8607,2.5733
20800,-253.1,0.05,0.0,100,33.1862,3.0133
20900,-312.9,0.02,0.0,100,35.5159,2.8156
21000,-8.2,0.02,0.0,100,34.4806,2.9002
21100,-255.0,0.02,0.0,100,33.4477,2.9897
21200,-273.2,0.02,0.0,100,34.164,2.9271
21300,-7.2,0.02,0.0,100,33.6798,2.9691
21400,-225.4,0.06,0.0,100,35.3634,2.8278
