env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.0878,-0.1795,0.0197,0.0093
200,38.6647,-4.1469,4.311,5.8852
300,8.9951,-5.8456,1.9944,2.6789
400,2.4941,-4.2335,0.3704,0.463
500,4.6734,-5.4852,1.3181,1.819
600,4.1738,-6.034,1.1759,1.7443
700,3.7093,-5.5699,0.9192,1.3046
800,2.7883,-6.6917,1.1525,1.5177
900,4.3751,-7.3687,1.6435,2.5882
1000,2.3575,-7.1286,0.6277,0.9301
1100,2.2433,-7.6292,0.7548,1.2297
1200,2.2551,-8.2883,2.0218,4.0416
1300,1.7117,-8.1413,5.5153,12.5216
1400,1.7505,-8.8665,1.9654,4.2582
1500,1.8764,-9.3345,0.8628,1.5239
1600,1.422,-9.3573,3.0642,6.9182
1700,1.4165,-10.0705,3.8087,8.4636
1800,1.2742,-10.4397,3.3356,7.2671
1900,0.9972,-10.3045,9.7867,23.0492
2000,1.0603,-10.9504,2.7035,5.9773
2100,0.9799,-11.2332,1.3045,2.8139
2200,0.799,-10.7982,5.6733,13.1372
2300,0.8942,-11.169,3.883,8.6438
2400,1.0349,-11.7258,3.1721,7.0954
2500,0.8323,-11.0503,7.1003,16.5287
2600,0.971,-11.3498,2.1221,4.4766
2700,1.1235,-11.3725,2.0671,4.6114
2800,0.7566,-10.7723,2.3244,5.3202
2900,0.7443,-10.6739,3.6843,8.2469
3000,1.0364,-10.5845,3.0249,5.8817
3100,0.6952,-10.4513,1.6948,3.3667
3200,0.7409,-10.6645,1.7375,3.7057
3300,0.954,-10.5839,2.4003,5.4515
3400,0.8733,-10.4045,3.3364,7.2446
3500,0.907,-10.8349,7.7722,16.3413
3600,2.966,-11.0782,8.0222,18.7523
3700,1.4294,-10.909,2.9242,6.1906
3800,1.0462,-11.2616,1.6314,3.3539
3900,1.1312,-11.2513,2.4395,5.0695
4000,0.9025,-11.4316,0.8033,1.5411
4100,1.7279,-11.5239,2.1955,4.7384
4200,0.9645,-11.8595,1.338,2.5938
4300,0.8536,-11.4975,1.755,3.7176
4400,0.9018,-11.9139,3.0788,6.696
4500,0.9519,-11.9508,1.962,4.0235
4600,0.8173,-11.7414,1.9326,4.3259
4700,1.1112,-11.9063,6.8342,15.7321
4800,1.0746,-12.5066,5.1009,12.3358
4900,0.9562,-12.5321,1.4299,2.8275
5000,0.9765,-12.4782,17.0543,42.2696
5100,1.1775,-12.5406,4.2443,8.9113
5200,0.9596,-12.8095,8.9532,22.2922
5300,0.9449,-12.6585,9.5908,23.2358
5400,0.972,-12.8667,3.4607,7.9958
5500,0.9008,-13.3206,8.2972,20.1835
5600,0.9476,-13.2913,7.0155,16.9687
5700,1.0165,-13.5154,9.0066,22.0758
5800,0.9484,-13.4614,3.3796,7.4021
5900,1.274,-13.5486,5.2203,12.4198
6000,1.386,-13.9118,6.5648,14.4761
6100,1.2355,-13.9548,7.1171,16.0406
6200,1.3388,-14.5103,25.9446,65.4178
6300,1.6321,-14.8001,9.1594,20.7683
6400,1.2876,-14.7109,3.3731,8.2869
6500,1.3552,-15.3371,8.2397,20.9493
6600,1.3571,-15.5524,4.6857,11.4247
6700,1.3742,-15.937,18.3372,45.4959
6800,1.2819,-16.0422,7.6323,18.9934
6900,1.4243,-16.7705,10.4822,26.4568
7000,1.4316,-16.5487,11.4288,28.6534
7100,1.5283,-16.6355,20.9615,52.9331
7200,1.6812,-17.0628,11.2285,27.5908
7300,1.5139,-17.0528,8.3327,18.5688
7400,1.4035,-17.2643,4.5568,10.2324
7500,1.568,-17.4523,12.3864,27.6322
7600,1.5448,-17.892,25.0808,58.1422
7700,1.785,-18.2509,28.1271,63.7042
7800,1.7636,-18.1838,13.1783,30.7851
7900,1.6818,-18.1859,20.0558,53.1138
8000,1.8531,-18.4758,31.6549,77.9262
8100,2.4389,-19.0007,13.9443,31.7121
8200,1.6482,-18.9206,16.8792,41.2613
8300,1.7044,-19.2487,9.3891,22.0554
8400,1.7275,-18.9665,23.8055,61.6459
8500,1.7343,-19.4968,15.4289,36.9225
8600,1.8952,-19.127,22.8546,55.9177
8700,2.5074,-19.6839,15.5999,34.3215
8800,1.7901,-19.5819,16.4415,41.6379
8900,2.0573,-19.53,45.4307,116.5443
9000,1.9236,-19.8258,21.7785,50.3714
9100,1.6878,-19.9203,9.5687,22.5209
9200,1.8281,-20.3586,11.7683,28.6645
9300,2.2225,-20.3302,80.9851,210.8565
9400,2.0954,-19.8385,19.2508,49.1235
9500,17.4931,-20.9235,38.7304,95.6556
9600,7.7678,-21.1972,11.5411,26.0386
9700,5.3834,-21.4041,12.3359,29.0083
9800,4.7512,-21.0647,18.4674,43.638
9900,4.3765,-21.2162,20.0025,44.8328
10000,3.9566,-21.7559,6.3553,14.2922
10100,3.8632,-21.8112,8.798,21.7166
10200,3.7619,-22.198,7.2533,16.6693
10300,3.5876,-22.0193,34.6298,85.5758
10400,3.6099,-22.449,22.997,57.2201
10500,4.7062,-22.1696,13.7698,33.0332
10600,3.3711,-22.0561,11.6224,26.4036
10700,3.428,-23.0595,25.8422,57.5519
10800,3.5856,-22.9353,23.0078,54.354
10900,3.1537,-22.1544,11.1154,24.9997
11000,3.1742,-22.4009,15.729,39.218
11100,3.1076,-23.0641,7.9702,18.1964
11200,2.986,-22.7345,10.2195,23.9531
11300,3.2154,-22.8898,15.8607,41.5366
11400,3.5887,-23.0368,47.2275,120.5218
11500,3.0263,-22.393,28.3,62.1818
11600,3.0972,-22.7826,23.0654,53.3557
11700,3.231,-23.2752,28.7035,74.1977
11800,3.0805,-23.2662,13.1481,32.0552
11900,3.1692,-22.9481,45.9955,112.6909
12000,3.4723,-23.542,22.9505,50.5121
12100,3.0815,-23.4091,24.3896,58.4015
12200,3.0391,-23.2396,15.8109,35.0866
12300,3.0865,-23.1651,21.5762,45.8003
12400,3.0005,-23.1752,27.2775,64.8592
12500,3.1163,-23.7916,29.2538,61.7429
12600,2.9438,-23.162,27.6107,67.6064
12700,3.243,-22.54,57.8969,143.2347
12800,3.5039,-23.707,40.3901,105.5623
12900,3.3929,-23.9911,34.5621,86.7229
13000,3.3047,-22.7404,41.4731,103.6427
13100,3.3461,-23.1126,31.8416,79.1532
13200,3.2269,-23.7575,27.2443,69.2947
13300,2.9122,-22.8208,9.7989,24.0199
13400,2.9963,-23.3339,49.339,122.6654
13500,3.1855,-23.0928,18.1911,40.7506
13600,3.4779,-22.8833,28.4476,67.8135
13700,3.115,-22.9478,17.8358,36.1631
13800,3.1537,-22.854,36.6797,94.0224
13900,3.7834,-23.1037,51.7568,119.7039
14000,4.0928,-23.414,24.7111,61.0882
14100,3.3031,-23.4825,25.1627,62.8933
14200,3.0963,-22.4403,18.0839,43.8472
14300,3.3193,-23.4605,50.7391,129.138
14400,3.6691,-22.6416,41.5255,86.9945
14500,3.2946,-22.7423,24.318,55.243
14600,3.228,-23.1619,31.7139,72.6534
14700,3.4751,-23.3782,83.2101,196.9064
14800,3.5911,-22.6635,78.2655,194.0769
14900,4.4228,-22.8841,37.7571,94.7848
15000,3.3951,-22.9153,15.6472,35.9634
15100,3.4517,-22.9045,64.6494,150.6202
15200,3.4904,-22.8635,40.4802,82.1832
15300,3.2341,-22.878,27.4199,72.717
15400,3.8404,-22.8476,74.0991,179.8171
15500,4.5207,-22.2643,27.7913,63.1831
15600,3.358,-22.3505,27.4637,61.7241
15700,3.2747,-23.032,33.5232,76.1528
15800,3.5282,-22.9604,34.168,70.9601
15900,3.5235,-23.1653,37.454,100.6416
16000,3.6925,-22.3894,66.3377,167.7094
16100,3.9371,-22.6237,52.7222,111.8135
16200,14.7795,-23.1609,46.0444,107.9513
16300,4.9754,-23.1648,26.227,59.1425
16400,3.7795,-22.8148,12.2309,29.7705
16500,3.6947,-22.5662,15.4736,29.4239
16600,3.8055,-22.9861,22.1861,54.1829
16700,3.7518,-22.306,38.7777,92.2113
16800,3.9746,-22.3093,55.1571,124.574
16900,4.4073,-23.0132,64.5875,159.1725
17000,3.9343,-22.7848,41.6933,96.1179
17100,3.8509,-23.0222,18.034,41.7558
17200,3.7215,-22.5024,20.642,52.0483
17300,4.0816,-22.7229,39.5914,96.0233
17400,4.4424,-22.9077,68.0165,172.4256
17500,4.0125,-23.2403,48.5582,119.1841
17600,4.1378,-22.4377,82.727,211.8073
17700,4.646,-23.0293,77.5798,197.8035
17800,4.0753,-23.0843,64.9117,158.2273
17900,3.9876,-22.844,24.8686,61.3262
18000,4.0597,-22.8863,95.4252,238.6771
18100,4.9013,-23.3352,108.0408,260.2131
18200,4.3947,-22.6413,17.5263,40.0608
18300,4.044,-22.8771,46.1174,110.6646
18400,4.0024,-22.9869,17.7617,44.2714
18500,3.9607,-22.149,23.395,47.3164
18600,4.1796,-23.4789,31.5438,77.8715
18700,4.3813,-22.9735,74.0222,193.3896
18800,4.4799,-23.1287,52.0229,134.4576
18900,4.8308,-22.8263,27.1619,67.3188
19000,4.4724,-22.7074,34.5548,85.04
19100,4.2702,-22.8673,134.7349,342.7316
19200,4.3854,-23.2823,94.4745,239.5369
19300,5.2776,-23.2478,88.5475,214.3364
19400,5.0619,-23.7802,38.8315,93.1129
19500,4.6938,-23.399,72.4858,187.4115
19600,4.244,-23.2459,23.3588,56.3414
19700,4.4087,-22.493,27.639,67.2401
19800,5.0302,-23.035,69.8975,162.1535
19900,5.6502,-23.1353,72.5617,179.6599
20000,5.3059,-23.2807,100.1306,260.405
20100,5.9999,-22.5966,83.7653,206.695
20200,5.8604,-23.0583,45.4917,94.5098
20300,4.8538,-22.917,58.3428,145.1194
20400,4.8209,-23.1838,34.896,87.1885
20500,4.498,-22.5444,29.0838,65.7726
20600,4.6405,-22.4563,148.1177,386.1339
20700,5.45,-22.4835,46.6741,106.1118
20800,5.2635,-22.9635,50.0222,126.7788
20900,5.0098,-22.9253,78.2119,178.9583
21000,5.1593,-22.3854,92.9157,234.5474
21100,4.824,-22.667,50.2505,123.0583
21200,5.9557,-22.2421,82.0341,196.9701
21300,5.3476,-22.0879,56.9561,136.5524
21400,6.2979,-21.7566,124.0412,284.1857
21500,5.0146,-22.2766,30.3716,70.0965
21600,4.7329,-22.1394,23.8751,56.4171
21700,4.73,-22.1314,36.7391,82.9719
21800,4.8465,-22.3871,76.2039,192.5882
21900,4.7532,-22.0898,112.2,281.8737
22000,4.9562,-22.1577,94.0173,228.4473
22100,5.8983,-21.4729,35.9946,81.2634
22200,4.9158,-21.9713,94.772,228.7402
22300,4.5331,-22.0481,45.0675,115.0959
22400,4.6767,-22.223,35.7061,93.8326
22500,4.6477,-22.2442,41.5593,97.26
22600,4.93,-21.4933,80.6537,190.9386
22700,4.7741,-21.4444,43.2023,109.2212
22800,4.8802,-21.4641,105.4269,242.6319
22900,5.1155,-21.2762,37.8207,94.1098
23000,4.5808,-21.0384,41.9486,102.3598
23100,4.3939,-21.7099,27.525,64.9292
23200,4.3573,-20.8008,39.443,93.906
23300,4.8517,-20.8356,149.3898,339.3603
23400,5.259,-21.2802,89.6455,224.3456
23500,4.7071,-21.336,67.9239,163.584
23600,4.7589,-20.9887,135.7343,351.9256
23700,5.2293,-21.1843,158.6531,406.4013
23800,4.8151,-20.8774,66.7208,163.8731
23900,4.53,-21.2075,75.2909,189.0476
24000,5.2507,-21.48,40.7773,98.7189
24100,4.6903,-21.2771,138.1964,322.4221
24200,4.7056,-20.9091,63.2617,149.7501
24300,4.9185,-21.0885,79.9984,183.0719
24400,5.9316,-21.3563,278.602,679.9825
24500,6.1148,-20.4874,77.5424,162.8912
24600,4.741,-20.9267,38.0626,95.0054
24700,4.3554,-20.6766,87.614,219.3861
24800,4.3396,-20.3883,52.416,132.5316
24900,5.2825,-20.9244,310.7516,782.3543
25000,6.0509,-21.5681,80.3225,180.7308
25100,4.8591,-20.5742,28.4897,65.3207
25200,4.4854,-21.4698,50.2003,109.1275
25300,4.5865,-21.0236,43.7675,110.515
25400,4.5336,-21.2302,35.0549,84.729
25500,4.5342,-21.241,68.9926,163.4792
25600,4.5163,-21.1178,73.3439,164.0848
25700,4.8381,-21.0994,67.856,148.5784
25800,8.8694,-21.2972,99.4819,230.533
25900,5.3341,-20.8378,23.3329,55.7131
26000,4.5762,-20.5545,32.2307,74.6498
26100,4.6573,-21.3121,44.6206,108.4259
26200,4.4508,-20.9197,43.9506,105.0092
26300,4.631,-21.1807,36.1572,85.9912
26400,4.7986,-21.1755,77.6357,188.8463
26500,5.3748,-21.7477,110.4126,260.6427
26600,4.913,-20.5183,55.4548,126.2772
26700,5.0859,-21.3856,51.1129,120.2661
26800,4.7556,-20.7384,41.8028,95.5049
26900,5.478,-21.3182,67.1236,140.1971
27000,8.5189,-20.6158,57.1059,133.3089
27100,5.4636,-21.629,27.2539,62.0817
27200,4.8846,-21.4853,30.406,67.5269
27300,5.0057,-21.7383,34.9535,80.1933
27400,5.0119,-21.1905,51.7999,104.8175
27500,5.81,-21.7743,124.4851,287.4755
27600,6.0941,-21.7425,34.6084,84.701
27700,5.2155,-21.7261,73.944,171.5607
27800,5.0565,-21.8545,62.0635,146.8387
27900,5.5427,-22.143,65.6362,146.5752
28000,5.6636,-22.5015,52.5971,115.9347
28100,5.7335,-21.9725,83.4558,184.6456
28200,5.503,-22.3177,81.3713,195.6705
28300,6.2289,-22.1385,42.471,97.4487
28400,5.7408,-22.4024,70.786,171.6912
28500,5.3169,-21.7146,64.1109,139.1994
28600,5.4586,-22.3161,81.5921,179.7957
28700,6.0657,-22.5361,108.2602,268.8121
28800,6.6987,-22.183,90.8122,206.9692
28900,6.4301,-22.0848,68.654,163.0888
29000,6.1252,-22.408,131.8901,313.563
29100,6.8514,-22.9215,130.8926,332.0591
29200,5.7078,-22.3662,35.3623,79.2307
29300,5.7427,-22.6704,92.546,220.3052
29400,5.8662,-22.5467,58.0054,138.9228
29500,5.4008,-22.539,39.166,83.1501
29600,5.4779,-22.5864,89.9175,210.7932
29700,6.9335,-22.3083,90.6657,210.0859
29800,6.764,-22.9059,156.6931,389.1568
29900,6.133,-22.5652,80.831,204.9611
30000,8.0839,-22.6393,102.4992,232.6742
30100,6.5169,-22.1841,90.3503,205.622
30200,6.4047,-22.3897,148.9546,332.9714
30300,6.7499,-22.7945,135.9261,309.7303
30400,6.5449,-23.0682,118.3414,287.4616
30500,6.1547,-22.7466,105.99,251.5349
30600,6.6263,-22.4625,98.0285,233.3053
30700,6.4317,-22.991,109.9369,242.9167
30800,6.481,-22.4457,98.3262,245.0934
30900,6.5806,-21.8326,189.3439,477.2932
31000,8.2176,-22.6504,613.1433,1461.7853
31100,19.8795,-22.8876,230.8138,536.9253
31200,9.2867,-23.2973,34.7125,73.6166
31300,6.1664,-23.5788,26.9076,60.6548
31400,5.8677,-22.7251,29.3222,70.9331
31500,5.9715,-23.6424,21.1176,47.7071
31600,5.8439,-23.3296,30.1702,65.9092
31700,6.0916,-23.4065,94.7066,233.203
31800,6.2505,-23.9289,27.6996,56.37
31900,5.9106,-23.3567,49.9804,119.5523
