env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-26.0,0.1,0.0,100,0.0,2.4088
100,-1037.4,0.08,0.0,100,18.5178,5.4002
200,-786.9,0.14,0.0,100,18.4345,5.4246
300,-28.0,0.1,0.0,100,18.2773,5.4713
400,-1034.6,0.1,0.0,100,19.2113,5.2053
500,-898.5,0.08,0.0,100,21.2459,4.7068
600,-19.4,0.14,0.0,100,19.1674,5.2172
700,-985.7,0.11,0.0,100,17.623,5.6744
800,-611.5,0.13,0.0,100,18.4445,5.4217
900,-27.2,0.12,0.0,100,18.5752,5.3835
1000,-914.7001,0.1,0.0,100,18.804,5.318
1100,-768.4,0.19,0.0,100,17.902,5.586
1200,-21.8,0.08,0.0,100,18.9071,5.289
1300,-1028.0,0.12,0.0,100,18.1408,5.5124
1400,-705.7,0.13,0.0,100,17.5381,5.7019
1500,-19.0,0.1,0.0,100,18.4694,5.4144
1600,-934.5,0.13,0.0,100,18.5958,5.3776
1700,-596.2,0.1,0.0,100,17.8438,5.6042
1800,-29.0,0.1,0.0,100,18.5128,5.4017
1900,-981.9,0.12,0.0,100,19.2965,5.1823
2000,-348.5,0.15,0.0,100,18.5155,5.4009
2100,-24.1,0.11,0.0,100,18.1798,5.5006
2200,-869.5,0.12,0.0,100,18.4738,5.4131
2300,-547.1,0.13,0.0,100,18.8719,5.2989
2400,-15.5,0.15,0.0,100,18.8459,5.3062
2500,-951.5001,0.08,0.0,100,18.5144,5.4012
2600,-798.1,0.14,0.0,100,17.881,5.5925
2700,-25.3,0.13,0.0,100,17.5097,5.7111
2800,-856.6,0.09,0.0,100,17.5452,5.6996
2900,-899.4,0.08,0.0,100,17.9108,5.5832
3000,-21.5,0.15,0.0,100,18.1461,5.5108
3100,-906.9001,0.13,0.0,100,18.1937,5.4964
3200,-849.0,0.06,0.0,100,18.217,5.4894
3300,-16.9,0.09,0.0,100,18.4842,5.41
3400,-914.6,0.13,0.0,100,18.2087,5.4919
3500,-669.9,0.11,0.0,100,19.1569,5.22
3600,-21.1,0.11,0.0,100,18.8917,5.2933
3700,-770.3,0.11,0.0,100,18.5126,5.4017
3800,-574.1,0.1,0.0,100,18.2297,5.4856
3900,-14.4,0.14,0.0,100,18.8373,5.3086
4000,-757.4,0.15,0.0,100,17.8478,5.6029
4100,-703.8,0.08,0.0,100,17.5736,5.6904
4200,-22.4,0.14,0.0,100,18.4648,5.4157
4300,-803.6,0.08,0.0,100,18.5137,5.4014
4400,-556.7,0.09,0.0,100,17.6068,5.6796
4500,-18.1,0.11,0.0,100,18.143,5.5118
4600,-942.1,0.14,0.0,100,18.5502,5.3908
4700,-495.9,0.11,0.0,100,18.4604,5.417
4800,-21.2,0.12,0.0,100,17.5664,5.6927
4900,-495.3,0.1,0.0,100,15.8455,6.3109
5000,-466.0,0.08,0.0,100,18.1711,5.5033
5100,-20.9,0.19,0.0,100,17.3318,5.7697
5200,-505.9,0.09,0.0,100,17.845,5.6038
5300,-563.0,0.08,0.0,100,18.5137,5.4014
5400,-21.4,0.14,0.0,100,18.4505,5.4199
5500,-574.4,0.12,0.0,100,18.8535,5.3041
5600,-489.7,0.15,0.0,100,18.2724,5.4727
5700,-24.6,0.06,0.0,100,18.0829,5.5301
5800,-833.5,0.11,0.0,100,18.1945,5.4962
5900,-742.3,0.14,0.0,100,17.5802,5.6882
6000,-18.5,0.15,0.0,100,18.5833,5.3812
6100,-618.8,0.1,0.0,100,18.0791,5.5313
6200,-790.4,0.1,0.0,100,17.2557,5.7952
6300,-15.5,0.15,0.0,100,17.8688,5.5964
6400,-712.0,0.06,0.0,100,17.8357,5.6067
6500,-410.3,0.12,0.0,100,17.5432,5.7002
6600,-18.7,0.17,0.0,100,17.607,5.6796
6700,-606.6,0.16,0.0,100,18.1961,5.4957
6800,-561.2,0.09,0.0,100,17.8156,5.6131
6900,-14.0,0.1,0.0,100,18.1483,5.5102
7000,-648.7001,0.1,0.0,100,18.1771,5.5014
7100,-584.5,0.19,0.0,100,18.1778,5.5012
7200,-13.5,0.15,0.0,100,18.8516,5.3046
7300,-693.8,0.11,0.0,100,18.5341,5.3955
7400,-540.6,0.08,0.0,100,17.9289,5.5776
7500,-18.0,0.1,0.0,100,18.1842,5.4993
7600,-778.2,0.09,0.0,100,17.8683,5.5965
7700,-651.1,0.17,0.0,100,18.7585,5.3309
7800,-18.1,0.11,0.0,100,18.6226,5.3698
7900,-578.5,0.08,0.0,100,18.5326,5.3959
8000,-662.6,0.15,0.0,100,18.0979,5.5255
8100,-9.9,0.09,0.0,100,18.4736,5.4131
8200,-516.5,0.12,0.0,100,18.5714,5.3846
8300,-289.7,0.11,0.0,100,18.2219,5.4879
8400,-18.0,0.1,0.0,100,18.8466,5.306
8500,-667.4,0.1,0.0,100,17.5914,5.6846
8600,-688.3,0.07,0.0,100,18.4576,5.4178
8700,-23.8,0.08,0.0,100,18.5193,5.3998
8800,-473.1,0.09,0.0,100,17.2999,5.7804
8900,-494.8,0.06,0.0,100,18.8149,5.315
9000,-21.6,0.16,0.0,100,18.8521,5.3045
9100,-625.7,0.03,0.0,100,18.5451,5.3923
9200,-633.3,0.06,0.0,100,18.4416,5.4225
9300,-17.0,0.1,0.0,100,18.5714,5.3846
9400,-386.2,0.09,0.0,100,17.5011,5.7139
9500,-388.6,0.11,0.0,100,18.9353,5.2812
9600,-13.4,0.04,0.0,100,19.2058,5.2068
9700,-730.9,0.07,0.0,100,18.1454,5.511
9800,-409.4,0.11,0.0,100,18.5253,5.398
9900,-19.2,0.12,0.0,100,18.5656,5.3863
10000,-715.1,0.17,0.0,100,0.0,2.5154
10100,-479.7,0.08,0.0,100,18.1687,5.504
10200,-18.6,0.06,0.0,100,19.6053,5.1007
10300,-558.4,0.1,0.0,100,17.9281,5.5778
10400,-394.9,0.08,0.0,100,17.7503,5.6337
10500,-13.9,0.09,0.0,100,17.9491,5.5713
10600,-701.1,0.09,0.0,100,17.7671,5.6284
10700,-591.7,0.11,0.0,100,17.3263,5.7716
10800,-16.0,0.1,0.0,100,19.5301,5.1203
10900,-663.2,0.06,0.0,100,18.2294,5.4856
11000,-511.7,0.1,0.0,100,18.8243,5.3123
11100,-20.0,0.1,0.0,100,18.8493,5.3052
11200,-300.3,0.09,0.0,100,17.5851,5.6866
11300,-534.1,0.1,0.0,100,17.2382,5.8011
11400,-20.3,0.03,0.0,100,17.5882,5.6856
11500,-616.8,0.11,0.0,100,18.8052,5.3177
11600,-492.8,0.12,0.0,100,20.8118,4.805
11700,-18.7,0.07,0.0,100,19.5987,5.1024
11800,-610.0,0.16,0.0,100,18.8613,5.3019
11900,-542.8,0.08,0.0,100,18.608,5.374
12000,-21.3,0.03,0.0,100,17.8425,5.6046
12100,-521.5,0.08,0.0,100,17.5461,5.6993
12200,-508.8,0.09,0.0,100,17.7959,5.6193
