env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-23.5,0.15,0.0,100,0.0,2.3744
100,-1032.6,0.1,0.0,100,15.1443,6.6032
200,-806.8,0.16,0.0,100,17.2724,5.7896
300,-21.6,0.06,0.0,100,17.2014,5.8135
400,-947.1,0.09,0.0,100,15.8545,6.3074
500,-627.7,0.14,0.0,100,16.3916,6.1007
600,-18.0,0.1,0.0,100,17.8467,5.6033
700,-1090.7001,0.11,0.0,100,17.5659,5.6929
800,-690.9,0.08,0.0,100,16.6616,6.0018
900,-27.9,0.09,0.0,100,16.9941,5.8844
1000,-1121.3,0.15,0.0,100,16.897,5.9182
1100,-743.0,0.07,0.0,100,18.1479,5.5103
1200,-25.4,0.14,0.0,100,17.282,5.7864
1300,-1006.3,0.08,0.0,100,16.6647,6.0007
1400,-501.5,0.14,0.0,100,17.2579,5.7945
1500,-23.5,0.15,0.0,100,16.3549,6.1144
1600,-1116.5,0.21,0.0,100,16.2028,6.1718
1700,-806.8,0.1,0.0,100,17.1612,5.8271
1800,-26.4,0.14,0.0,100,17.6201,5.6753
1900,-1037.7001,0.13,0.0,100,17.2086,5.811
2000,-801.2,0.05,0.0,100,17.203,5.8129
2100,-18.6,0.16,0.0,100,17.534,5.7032
2200,-1157.7001,0.13,0.0,100,15.6119,6.4054
2300,-707.3,0.11,0.0,100,16.4575,6.0763
2400,-22.9,0.09,0.0,100,17.2551,5.7954
2500,-1119.0,0.14,0.0,100,18.1008,5.5246
2600,-872.2,0.11,0.0,100,17.8595,5.5993
2700,-24.0,0.1,0.0,100,14.3063,6.99
2800,-875.7,0.13,0.0,100,16.3866,6.1025
2900,-733.6,0.13,0.0,100,15.6697,6.3817
3000,-31.6,0.16,0.0,100,17.7778,5.625
3100,-978.9001,0.14,0.0,100,17.3225,5.7728
3200,-752.2,0.2,0.0,100,18.4814,5.4109
3300,-18.4,0.14,0.0,100,18.1854,5.4989
3400,-1155.1001,0.15,0.0,100,18.1977,5.4952
3500,-907.0,0.14,0.0,100,18.0968,5.5258
3600,-21.3,0.13,0.0,100,17.9316,5.5768
3700,-933.1001,0.17,0.0,100,17.2354,5.802
3800,-617.3,0.17,0.0,100,16.6827,5.9942
3900,-18.0,0.1,0.0,100,17.1556,5.829
4000,-959.2001,0.06,0.0,100,17.335,5.7687
4100,-817.3,0.05,0.0,100,18.1146,5.5204
4200,-24.4,0.14,0.0,100,18.5203,5.3995
4300,-1118.7001,0.2,0.0,100,16.4449,6.0809
4400,-766.6,0.31,0.0,100,17.5131,5.71
4500,-68.9,0.19,0.0,100,16.9875,5.8867
4600,-1151.9,0.21,0.0,100,16.5998,6.0242
4700,-927.6,0.16,0.0,100,16.9924,5.885
4800,-43.6,0.16,0.0,100,18.1062,5.523
4900,-1044.2001,0.14,0.0,100,17.0451,5.8668
5000,-643.3,0.14,0.0,100,16.8755,5.9258
5100,-22.9,0.09,0.0,100,17.6222,5.6747
5200,-1010.1,0.18,0.0,100,17.8149,5.6133
5300,-758.1,0.13,0.0,100,18.4506,5.4199
5400,-24.1,0.21,0.0,100,17.6313,5.6717
5500,-1084.5,0.12,0.0,100,17.8136,5.6137
5600,-782.5,0.08,0.0,100,16.992,5.8851
5700,-20.6,0.16,0.0,100,16.3791,6.1053
5800,-997.5,0.1,0.0,100,17.2317,5.8033
5900,-825.9,0.17,0.0,100,17.4998,5.7144
6000,-32.2,0.12,0.0,100,17.3227,5.7728
6100,-1056.9,0.15,0.0,100,17.4879,5.7183
6200,-809.4,0.11,0.0,100,16.9361,5.9045
6300,-20.1,0.11,0.0,100,16.9334,5.9055
6400,-959.6,0.13,0.0,100,17.5462,5.6992
6500,-721.0,0.14,0.0,100,17.5325,5.7037
6600,-30.8,0.08,0.0,100,17.8618,5.5985
6700,-1010.5,0.08,0.0,100,18.2008,5.4943
6800,-810.4,0.18,0.0,100,17.608,5.6793
6900,-17.4,0.14,0.0,100,17.7624,5.6299
7000,-1051.2001,0.12,0.0,100,17.6101,5.6786
7100,-843.3,0.11,0.0,100,18.1765,5.5016
7200,-17.0,0.1,0.0,100,17.8266,5.6096
7300,-756.4,0.1,0.0,100,16.9844,5.8878
7400,-995.2,0.22,0.0,100,17.4901,5.7175
7500,-27.7,0.07,0.0,100,17.5931,5.6841
7600,-967.5001,0.1,0.0,100,17.2612,5.7933
7700,-907.5,0.14,0.0,100,17.2389,5.8008
7800,-32.3,0.13,0.0,100,17.2219,5.8066
7900,-1036.6001,0.1,0.0,100,16.9806,5.8891
8000,-754.0,0.09,0.0,100,17.4596,5.7275
8100,-24.3,0.13,0.0,100,20.8461,4.7971
8200,-1061.0,0.13,0.0,100,18.1594,5.5068
8300,-784.2,0.13,0.0,100,17.34,5.767
8400,-22.9,0.09,0.0,100,18.1069,5.5227
8500,-957.6001,0.1,0.0,100,17.8327,5.6077
8600,-733.3,0.1,0.0,100,17.5535,5.6969
8700,-20.5,0.15,0.0,100,17.2361,5.8018
8800,-1123.2001,0.06,0.0,100,16.666,6.0002
8900,-676.4,0.12,0.0,100,16.3839,6.1036
9000,-24.9,0.09,0.0,100,16.747,5.9712
9100,-898.2,0.17,0.0,100,16.5829,6.0303
9200,-912.6,0.12,0.0,100,17.6448,5.6674
9300,-25.0,0.1,0.0,100,17.5321,5.7038
9400,-1097.1001,0.06,0.0,100,17.1801,5.8207
9500,-684.2,0.13,0.0,100,15.9289,6.2779
9600,-26.3,0.13,0.0,100,17.1987,5.8144
9700,-1059.3,0.17,0.0,100,17.2906,5.7835
9800,-723.9,0.08,0.0,100,16.9455,5.9013
9900,-21.0,0.2,0.0,100,17.4604,5.7273
10000,-1093.7,0.15,0.0,100,0.0,1.3895
10100,-799.4,0.09,0.0,100,18.2527,5.4786
10200,-32.5,0.15,0.0,100,17.5021,5.7136
10300,-923.1001,0.1,0.0,100,16.1143,6.2057
10400,-841.5,0.15,0.0,100,17.597,5.6828
10500,-33.3,0.13,0.0,100,18.0958,5.5261
10600,-1040.3,0.11,0.0,100,16.9317,5.9061
10700,-773.0,0.1,0.0,100,17.0275,5.8728
10800,-27.0,0.1,0.0,100,17.5196,5.7079
10900,-1001.8,0.14,0.0,100,17.2812,5.7866
11000,-875.8,0.07,0.0,100,17.1687,5.8246
11100,-27.4,0.14,0.0,100,17.015,5.8772
11200,-1034.1,0.08,0.0,100,17.8031,5.617
11300,-889.1,0.09,0.0,100,17.0088,5.8793
11400,-32.0,0.1,0.0,100,17.1866,5.8185
11500,-1128.6001,0.1,0.0,100,17.575,5.6899
11600,-517.1,0.06,0.0,100,16.9442,5.9017
11700,-23.5,0.15,0.0,100,17.5406,5.7011
11800,-1106.6001,0.09,0.0,100,17.4875,5.7184
11900,-911.5,0.09,0.0,100,17.0016,5.8818
12000,-23.0,0.1,0.0,100,17.5112,5.7106
12100,-1071.9,0.15,0.0,100,16.6351,6.0114
12200,-727.0,0.09,0.0,100,17.5559,5.6961
12300,-26.9,0.09,0.0,100,18.2451,5.4809
12400,-984.6,0.11,0.0,100,17.5079,5.7117
12500,-898.6,0.12,0.0,100,17.54,5.7013
12600,-25.9,0.09,0.0,100,17.9076,5.5842
12700,-989.1,0.16,0.0,100,17.1881,5.818
12800,-754.5,0.13,0.0,100,17.8617,5.5986
12900,-32.5,0.15,0.0,100,17.5724,5.6907
13000,-1108.1001,0.08,0.0,100,17.8907,5.5895
13100,-557.3,0.25,0.0,100,17.7917,5.6206
13200,-28.3,0.13,0.0,100,18.26,5.4764
13300,-1111.8,0.11,0.0,100,17.5362,5.7025
13400,-937.6,0.07,0.0,100,17.1711,5.8237
13500,-26.3,0.13,0.0,100,16.6639,6.001
13600,-982.6,0.09,0.0,100,16.948,5.9004
13700,-766.2,0.1,0.0,100,17.3166,5.7748
13800,-23.4,0.14,0.0,100,17.7916,5.6206
13900,-1055.3999,0.16,0.0,100,17.555,5.6964
14000,-1000.2,0.16,0.0,100,17.8187,5.6121
14100,-18.6,0.16,0.0,100,17.3009,5.78
14200,-1140.2001,0.15,0.0,100,17.5068,5.7121
14300,-911.9,0.12,0.0,100,17.5523,5.6973
14400,-26.7,0.17,0.0,100,18.5474,5.3916
14500,-1028.1001,0.09,0.0,100,17.2292,5.8041
14600,-813.0,0.03,0.0,100,16.925,5.9084
14700,-24.9,0.09,0.0,100,17.5505,5.6979
14800,-1080.5,0.1,0.0,100,16.4112,6.0934
14900,-893.4,0.12,0.0,100,17.906,5.5847
15000,-15.9,0.19,0.0,100,16.8982,5.9178
15100,-1068.6001,0.14,0.0,100,16.7078,5.9852
15200,-899.8,0.18,0.0,100,17.5382,5.7018
15300,-31.2,0.12,0.0,100,17.8156,5.6131
15400,-1079.2001,0.15,0.0,100,17.2588,5.7942
15500,-609.7,0.13,0.0,100,17.5235,5.7066
