env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,21.8664,-12.6737,-12.7006,-0.3854,3.97,1.0,0.2274,0.1694,0.0007,0.0
200,4358.9567,-220.5346,-220.5843,0.6297,3.9701,1.0,861.5621,1805.0296,0.0052,0.0001
300,645.5448,-356.9502,-357.2134,-1.2475,3.97,1.0,85.021,184.5571,0.0033,0.0001
400,271.5291,-269.3707,-269.586,-1.1077,3.9699,1.0,40.0527,88.1629,0.003,0.0001
500,515.8671,-354.098,-353.9748,-1.5166,3.9702,1.0,41.504,83.6659,0.0028,0.0
600,745.5229,-382.0749,-381.6751,-1.786,3.9703,1.0,89.8292,195.5883,0.0033,0.0
700,549.9529,-372.5565,-372.2861,-2.3458,3.9703,1.0,36.9738,74.3758,0.003,0.0
800,497.9652,-452.5951,-452.2679,-3.2285,3.9702,1.0,31.7867,60.0675,0.0071,0.0001
900,407.5248,-509.3884,-509.179,-4.1723,3.9702,1.0,47.0115,93.9227,0.0074,0.0
1000,324.2877,-530.3434,-529.94,-5.0814,3.9702,1.0,63.2501,165.9111,0.0064,0.0001
1100,360.4307,-624.3832,-624.3301,-6.5029,3.9703,1.0,160.9756,450.2756,0.0131,0.0002
1200,410.4452,-708.5335,-708.5471,-7.8932,3.9701,1.0,833.1173,2160.1612,0.0211,0.0008
1300,339.3835,-729.1798,-729.2646,-8.6872,3.9699,1.0,142.3007,364.1737,0.0159,0.0002
1400,390.9324,-801.4664,-801.4922,-9.9935,3.97,1.0,952.4893,2751.3373,0.0234,0.0004
1500,515.7734,-874.6937,-874.7796,-11.4002,3.9686,1.0,620.6058,1759.1314,0.0427,0.0018
1600,430.1776,-895.3263,-895.3539,-12.1189,3.9679,1.0,634.1306,1944.9531,0.0346,0.0011
1700,478.9255,-996.2119,-996.2341,-13.7361,3.9675,1.0,1310.4568,4331.5657,0.0427,0.0036
1800,558.7671,-1082.6087,-1082.6564,-15.2562,3.9691,1.0,2590.0212,9026.1057,0.0481,0.0025
1900,562.4765,-1123.2316,-1123.2388,-16.149,3.9679,1.0,820.8128,2175.2586,0.0387,0.0015
2000,537.1057,-1222.0319,-1221.993,-17.757,3.9684,1.0,10193.871,33909.8223,0.0438,0.0016
2100,640.6046,-1317.5295,-1317.4915,-19.4363,3.9686,1.0,2469.4439,7974.5131,0.0373,0.0021
2200,529.4631,-1302.8922,-1302.8948,-19.574,3.9697,1.0,3248.1253,11263.0488,0.0318,0.0016
2300,623.5963,-1435.6169,-1435.5163,-21.701,3.9695,1.0,5785.9157,19545.4656,0.0622,0.0034
