env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,20.5672,0.5947,0.581,-4.596,3.9442,1.0155,3.7131,5.2944,0.0011,0.0002
200,87.6634,1.2432,1.2272,-5.3724,3.8302,1.0468,0.9434,0.3903,0.0002,0.0001
300,71.2014,0.5225,0.5179,-4.9201,3.7715,1.0797,0.8688,0.6346,0.0001,0.0
400,54.8585,0.8039,0.7997,-5.8327,3.311,1.1144,1.2234,1.1334,0.0023,0.0007
500,70.2446,0.7011,0.701,-5.3338,3.5836,1.1514,0.5465,0.2129,0.0005,0.0002
600,68.9332,0.4302,0.4287,-5.1184,3.6643,1.189,0.6261,0.4632,0.0007,0.0002
700,60.2907,0.5469,0.5437,-5.6691,3.2807,1.2287,1.3831,2.4699,0.0046,0.0044
800,63.3244,0.6385,0.6346,-5.8612,3.4136,1.271,3.1541,5.646,0.0238,0.0262
900,56.8196,0.8129,0.8443,-6.5245,3.4258,1.3148,6.5888,12.1032,0.0852,0.0792
1000,33.3018,-0.37,-0.2289,-7.1763,2.7344,1.3611,3.1265,4.0842,0.2454,0.2927
1100,20.188,-0.3941,-0.3818,-6.4993,2.4235,1.4124,3.0218,4.4846,0.1039,0.1237
1200,15.536,0.5931,0.59,-6.6476,2.9196,1.4654,2.0138,2.897,0.037,0.0442
1300,12.6242,1.6084,1.6156,-7.9301,2.9611,1.5194,1.953,2.6718,0.0271,0.0149
1400,10.5124,2.293,2.3003,-8.5392,3.124,1.5757,5.3767,10.605,0.1517,0.2559
1500,10.3302,2.4825,2.4879,-8.9308,3.1733,1.6341,11.6259,25.7514,0.2856,0.4456
1600,8.1978,3.5213,3.5235,-10.2311,3.2777,1.6951,4.667,12.5533,0.1403,0.2506
1700,8.0406,4.1029,4.1062,-11.0237,3.3551,1.7588,15.9993,43.9833,0.104,0.1963
1800,8.0947,4.3885,4.3914,-11.4539,3.386,1.8254,24.4857,70.5333,0.1211,0.2471
1900,6.556,5.882,5.8848,-13.256,3.4673,1.8951,8.8926,28.7506,0.1593,0.2807
2000,6.6315,6.2563,6.2591,-13.985,3.4494,1.9681,11.8674,31.2527,0.141,0.2358
2100,6.6789,6.8578,6.8594,-14.7952,3.4315,2.0451,14.3122,38.5135,0.195,0.3952
2200,6.6996,8.2667,8.2678,-16.4672,3.4202,2.1261,13.2283,37.3623,0.1427,0.293
2300,7.8553,9.2907,9.2919,-17.8232,3.376,2.2115,13.9544,39.4474,0.1992,0.3436
2400,9.6625,10.4754,10.4766,-19.335,3.3392,2.3017,47.4029,133.6581,0.5731,1.0498
2500,9.3293,12.0908,12.0909,-21.3025,3.3308,2.3967,34.2469,110.3829,0.0168,0.0191
2600,10.4646,12.7897,12.7902,-22.3137,3.3011,2.4968,17.412,60.9072,0.0211,0.0214
2700,11.8762,14.1021,14.1025,-23.9167,3.3039,2.6023,24.4292,81.1926,0.0858,0.1112
2800,12.4194,16.6928,16.6934,-27.0326,3.3345,2.713,55.7091,151.4829,0.065,0.109
2900,12.9039,17.6512,17.6519,-28.2706,3.331,2.8294,101.5762,263.3575,0.1333,0.2613
3000,14.7544,19.9217,19.9225,-31.0873,3.335,2.952,22.0582,69.424,0.1477,0.2129
3100,15.9277,21.8468,21.8481,-33.6301,3.3102,3.081,172.4945,534.7448,0.2272,0.3753
3200,17.9098,23.7903,23.7922,-36.1141,3.2902,3.217,23.4496,71.8861,0.1734,0.2127
3300,18.2715,26.0235,26.0251,-38.9579,3.3208,3.3603,46.1711,149.9338,0.2723,0.3902
3400,19.8144,28.6796,28.6824,-42.1657,3.3442,3.5106,71.454,211.7977,0.1611,0.2712
3500,21.7089,31.0076,31.0084,-45.0488,3.3698,3.6688,44.9033,124.6407,0.0774,0.1307
3600,25.1122,33.5855,33.5874,-48.2411,3.415,3.8348,49.6045,158.3649,0.228,0.36
3700,26.7107,37.1137,37.1141,-52.4654,3.4531,4.0091,70.0693,222.829,0.1739,0.3163
3800,29.2982,40.1594,40.1586,-56.1564,3.4792,4.1922,115.9509,347.2449,0.1407,0.2289
