env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-27.1,0.11,0.0,100,0.0,1.1289
100,-1025.2001,0.14,0.0,100,16.4426,6.0818
200,-359.2,0.1,0.0,100,16.6395,6.0098
300,-25.8,0.08,0.0,100,16.3921,6.1005
400,-987.7001,0.02,0.0,100,16.4101,6.0938
500,-653.8,0.08,0.0,100,16.4396,6.0829
600,-29.0,0.1,0.0,100,16.8564,5.9325
700,-883.9,0.1,0.0,100,17.2431,5.7994
800,-418.0,0.13,0.0,100,16.4012,6.0971
900,-18.9,0.09,0.0,100,16.957,5.8973
1000,-291.9,0.01,0.0,100,16.4351,6.0845
1100,-371.0,0.02,0.0,100,16.0765,6.2203
1200,-20.9,0.09,0.0,100,16.4694,6.0719
1300,-469.8,0.02,0.0,100,14.6677,6.8177
1400,-409.7,0.06,0.0,100,15.669,6.382
1500,-16.0,0.1,0.0,100,16.3736,6.1074
1600,-439.1,0.03,0.0,100,16.3861,6.1027
1700,-475.5,0.08,0.0,100,16.6862,5.993
1800,-15.4,0.14,0.0,100,16.8736,5.9264
1900,-562.3,0.05,0.0,100,15.6351,6.3959
2000,-459.8,0.1,0.0,100,15.8896,6.2934
2100,-20.7,0.17,0.0,100,16.0976,6.2121
2200,-666.5,0.07,0.0,100,16.2146,6.1673
2300,-542.4,0.09,0.0,100,16.348,6.117
2400,-22.0,0.1,0.0,100,16.4405,6.0825
2500,-452.7,0.1,0.0,100,16.3587,6.113
2600,-453.6,0.09,0.0,100,16.0797,6.219
2700,-17.8,0.08,0.0,100,16.1939,6.1752
2800,-397.3,0.08,0.0,100,16.6816,5.9946
2900,-346.8,0.1,0.0,100,15.8001,6.3291
3000,-17.9,0.09,0.0,100,15.9323,6.2765
3100,-316.1,0.03,0.0,100,16.1068,6.2086
3200,-388.3,0.17,0.0,100,16.1608,6.1878
3300,-24.9,0.09,0.0,100,16.646,6.0075
3400,-293.1,0.06,0.0,100,16.6072,6.0215
3500,-396.3,0.1,0.0,100,16.4827,6.067
3600,-16.9,0.19,0.0,100,16.9241,5.9087
3700,-361.4,0.08,0.0,100,16.6189,6.0172
3800,-445.4,0.07,0.0,100,16.1753,6.1823
3900,-20.8,0.18,0.0,100,17.2062,5.8118
4000,-327.5,0.08,0.0,100,16.426,6.0879
4100,-410.3,0.1,0.0,100,16.595,6.0259
4200,-32.3,0.13,0.0,100,16.6919,5.9909
4300,-490.5,0.09,0.0,100,16.1905,6.1765
4400,-421.9,0.11,0.0,100,16.5984,6.0247
4500,-21.6,0.06,0.0,100,16.6786,5.9957
4600,-494.0,0.07,0.0,100,16.6314,6.0127
4700,-330.5,0.08,0.0,100,16.4398,6.0828
4800,-14.6,0.06,0.0,100,17.49,5.7175
4900,-718.5,0.11,0.0,100,16.7624,5.9657
5000,-281.2,0.12,0.0,100,16.3769,6.1062
5100,-26.2,0.12,0.0,100,16.615,6.0187
5200,-532.4,0.09,0.0,100,15.8509,6.3088
5300,-554.4,0.04,0.0,100,15.4562,6.4699
5400,-31.3,0.13,0.0,100,16.5822,6.0306
5500,-974.1,0.06,0.0,100,15.8793,6.2975
5600,-716.5,0.1,0.0,100,16.7465,5.9714
5700,-25.2,0.12,0.0,100,16.593,6.0266
5800,-665.6,0.08,0.0,100,16.4416,6.0821
5900,-757.3,0.13,0.0,100,16.4287,6.0869
6000,-30.2,0.12,0.0,100,16.0734,6.2215
6100,-1027.7001,0.1,0.0,100,16.1281,6.2003
6200,-560.9,0.09,0.0,100,17.2612,5.7933
6300,-29.0,0.1,0.0,100,16.6714,5.9983
6400,-902.5001,0.11,0.0,100,16.3731,6.1076
6500,-485.7,0.12,0.0,100,16.094,6.2135
6600,-28.8,0.08,0.0,100,16.3957,6.0991
6700,-998.2,0.17,0.0,100,15.9336,6.2761
6800,-566.0,0.19,0.0,100,16.0951,6.2131
6900,-25.1,0.11,0.0,100,16.7156,5.9824
7000,-915.5,0.08,0.0,100,15.3193,6.5277
7100,-614.1,0.17,0.0,100,15.869,6.3016
7200,-21.6,0.16,0.0,100,15.6454,6.3917
7300,-928.3,0.09,0.0,100,16.3858,6.1029
7400,-629.5,0.13,0.0,100,16.7194,5.9811
7500,-26.9,0.09,0.0,100,16.6623,6.0016
7600,-970.1,0.13,0.0,100,16.65,6.006
7700,-684.9,0.09,0.0,100,16.1579,6.1889
7800,-34.1,0.11,0.0,100,16.9055,5.9152
7900,-881.2,0.16,0.0,100,16.6855,5.9932
8000,-861.8,0.19,0.0,100,16.6291,6.0136
8100,-27.4,0.04,0.0,100,16.1865,6.178
8200,-1018.5001,0.12,0.0,100,17.1899,5.8174
8300,-664.5,0.15,0.0,100,16.7055,5.986
8400,-26.7,0.07,0.0,100,16.6821,5.9945
8500,-1013.1,0.17,0.0,100,16.1163,6.2049
8600,-722.5001,0.09,0.0,100,17.1758,5.8222
8700,-27.1,0.11,0.0,100,16.982,5.8886
8800,-966.5001,0.17,0.0,100,16.4159,6.0917
8900,-804.4,0.1,0.0,100,16.1076,6.2083
9000,-20.4,0.14,0.0,100,16.1336,6.1982
9100,-931.4001,0.11,0.0,100,15.9116,6.2847
9200,-690.4,0.13,0.0,100,15.6006,6.41
9300,-19.5,0.15,0.0,100,16.6575,6.0033
9400,-898.2001,0.17,0.0,100,16.3552,6.1143
9500,-727.3,0.15,0.0,100,15.9019,6.2886
9600,-23.2,0.12,0.0,100,16.4313,6.0859
9700,-961.0001,0.17,0.0,100,16.3992,6.0979
9800,-791.4,0.17,0.0,100,16.363,6.1113
9900,-22.8,0.08,0.0,100,16.6219,6.0162
10000,-984.1,0.13,0.0,100,0.0,1.1058
10100,-582.4,0.08,0.0,100,16.6313,6.0128
10200,-34.7,0.07,0.0,100,16.163,6.187
10300,-956.3,0.19,0.0,100,16.1263,6.201
