env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.215,-0.9234,0.4565,0.0176,0.0174
1100,0.0496,-1.2443,0.4784,0.0225,0.0212
1200,0.0648,-1.2643,0.7244,0.0325,0.0319
1300,0.0673,-1.2878,0.529,0.0626,0.0653
1400,0.057,-1.3036,0.6472,0.056,0.0567
1500,0.0464,-1.2935,0.4784,0.0219,0.0198
1600,0.0525,-1.2808,0.5115,0.032,0.0316
1700,0.0476,-1.252,0.4751,0.0411,0.0421
1800,0.0439,-1.2366,0.4798,0.0285,0.0251
1900,0.0505,-1.2409,0.5907,0.0875,0.0858
2000,0.0552,-1.2376,0.5216,0.0478,0.0466
2100,0.059,-1.2309,0.723,0.0399,0.0398
2200,0.0596,-1.2265,0.6638,0.0392,0.0388
2300,0.0583,-1.1905,0.6336,0.0342,0.0328
2400,0.0594,-1.1758,0.8318,0.0878,0.0883
2500,0.0689,-1.1404,0.9067,0.033,0.031
2600,0.0634,-1.1174,0.6509,0.0605,0.0575
2700,0.0649,-1.0872,0.8137,0.0415,0.0423
2800,0.0576,-1.0581,0.7163,0.0426,0.0416
2900,0.0627,-1.0249,0.7615,0.0846,0.091
3000,0.0606,-0.9956,0.8563,0.0674,0.0721
3100,0.0634,-0.9596,0.9439,0.0421,0.0421
3200,0.0668,-0.9313,0.954,0.1272,0.1274
3300,0.0655,-0.8925,0.988,0.0763,0.0766
3400,0.0688,-0.8506,1.0248,0.0666,0.0688
3500,0.0659,-0.8183,0.9714,0.0692,0.0705
3600,0.0673,-0.7853,0.9624,0.0549,0.057
3700,0.0705,-0.7488,0.8867,0.1142,0.1191
3800,0.0665,-0.7007,0.8843,0.0976,0.098
3900,0.0694,-0.6568,0.8481,0.0678,0.0731
4000,0.0638,-0.6116,0.9906,0.0923,0.095
4100,0.0686,-0.5576,1.0832,0.1298,0.1362
4200,0.0678,-0.5052,0.9103,0.115,0.1211
4300,0.0623,-0.4505,1.1298,0.2051,0.2073
4400,0.0684,-0.3886,0.9415,0.0735,0.0776
4500,0.0648,-0.3305,1.088,0.1742,0.1734
4600,0.0692,-0.2754,1.2543,0.0776,0.0769
4700,0.0701,-0.2207,1.0662,0.0993,0.1064
4800,0.071,-0.1588,1.2433,0.0729,0.0748
4900,0.066,-0.0998,0.9428,0.0634,0.0647
5000,0.0742,-0.0347,0.9333,0.1503,0.1559
5100,0.0726,0.034,1.2878,0.0941,0.0969
5200,0.0713,0.0926,1.1488,0.1725,0.1708
5300,0.0767,0.1635,1.0432,0.0683,0.0726
5400,0.069,0.231,1.027,0.1582,0.1567
5500,0.0753,0.291,1.4369,0.1219,0.1236
5600,0.0726,0.3635,1.0838,0.1171,0.1223
5700,0.0725,0.4391,1.0942,0.0792,0.0797
5800,0.0721,0.5215,1.0873,0.0875,0.0862
5900,0.0715,0.5913,1.0066,0.1117,0.1136
6000,0.0742,0.656,1.0799,0.1567,0.1593
6100,0.0738,0.7331,1.3198,0.1095,0.1203
6200,0.0688,0.8145,1.1991,0.1183,0.1238
6300,0.0713,0.8811,1.2387,0.0933,0.0942
6400,0.0696,0.9501,0.9978,0.1924,0.1941
6500,0.0728,1.0221,1.5833,0.1612,0.171
6600,0.0748,1.0988,1.5888,0.0822,0.0883
6700,0.0696,1.1708,1.0429,0.0819,0.0901
6800,0.0716,1.2378,1.5297,0.1846,0.1805
6900,0.072,1.3162,1.186,0.1044,0.1057
7000,0.073,1.3789,1.1599,0.1147,0.1269
7100,0.0787,1.4557,1.2374,0.0723,0.0785
7200,0.0775,1.534,1.0561,0.1939,0.1959
7300,0.0724,1.5907,1.4944,0.1205,0.1238
7400,0.0787,1.673,1.2735,0.1014,0.1017
7500,0.0747,1.7297,1.2459,0.081,0.0888
7600,0.0729,1.7963,1.3694,0.1391,0.151
7700,0.0721,1.8698,1.2426,0.1042,0.1093
7800,0.0703,1.9343,1.1975,0.1288,0.1349
7900,0.0716,2.0047,1.24,0.1196,0.1333
8000,0.0791,2.0873,1.3505,0.1361,0.152
8100,0.0769,2.131,1.5889,0.1905,0.1886
8200,0.0777,2.2147,1.2876,0.1134,0.1165
8300,0.0741,2.2694,1.2839,0.1048,0.116
8400,0.0758,2.3324,1.3274,0.105,0.1212
8500,0.078,2.3973,1.527,0.2039,0.2295
8600,0.0779,2.4538,1.5048,0.1402,0.1444
8700,0.0788,2.5087,1.4449,0.0967,0.095
8800,0.0807,2.5693,1.2836,0.1178,0.1214
8900,0.0804,2.6264,1.7817,0.0998,0.1101
9000,0.0841,2.7009,2.0322,0.0778,0.0787
9100,0.0818,2.7603,1.4028,0.1652,0.1932
9200,0.0814,2.8156,1.7041,0.0925,0.0943
9300,0.0827,2.8791,1.603,0.1578,0.1831
9400,0.0816,2.9232,1.7294,0.2011,0.2176
9500,0.0812,2.9878,1.4653,0.2204,0.2406
9600,0.081,3.0255,1.9975,0.3907,0.4037
9700,0.078,3.0888,1.9543,0.1355,0.1398
9800,0.0807,3.1364,1.8195,0.1457,0.1518
9900,0.0798,3.1908,1.5977,0.1336,0.1415
10000,0.0802,3.2301,2.4847,0.1257,0.13
10100,0.0814,3.283,1.8117,0.0943,0.099
10200,0.0795,3.3235,1.6164,0.1822,0.1873
10300,0.0801,3.3896,1.7881,0.102,0.1086
10400,0.08,3.4383,1.986,0.2495,0.2581
10500,0.0829,3.4845,2.1478,0.1825,0.2069
10600,0.0847,3.5276,1.7789,0.2594,0.3218
10700,0.0832,3.5616,2.1353,0.1722,0.1824
