env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6192,-1.1362,0.2892,0.1168,0.2099
1100,0.5559,-1.929,0.3605,0.1514,0.2961
1200,0.5426,-2.0212,0.5226,0.0252,0.0275
1300,0.5536,-2.0882,0.4554,0.1587,0.3259
1400,0.55,-2.1687,1.1922,0.1506,0.3127
1500,0.5402,-2.2251,0.8272,0.5521,1.3168
1600,0.536,-2.2812,0.8767,0.2107,0.4467
1700,0.5471,-2.3255,1.3775,0.2489,0.554
1800,0.5468,-2.3569,1.3614,0.2195,0.5245
1900,0.5439,-2.3983,1.634,0.5242,1.3207
2000,0.5388,-2.4419,2.265,0.3815,0.9247
2100,0.5276,-2.4754,1.9741,0.3113,0.7583
2200,0.5307,-2.52,2.9651,0.1079,0.1968
2300,0.5244,-2.5599,2.878,0.3874,0.9872
2400,0.5203,-2.6219,5.6444,0.4962,1.3158
2500,0.5342,-2.6384,5.3107,0.4921,1.307
2600,0.535,-2.673,5.1691,0.494,1.3064
2700,0.5394,-2.6963,11.4229,0.4812,1.2962
2800,0.5585,-2.7283,17.3882,0.4874,1.3038
2900,0.5658,-2.7216,17.9502,0.4857,1.3054
3000,0.5641,-2.7695,18.8726,0.48,1.3015
3100,0.5719,-2.786,19.0292,0.4847,1.3039
3200,0.5737,-2.8425,20.5196,0.4802,1.3001
3300,0.5712,-2.9235,20.4267,0.4815,1.3036
3400,0.5766,-2.9807,22.3161,0.4807,1.3056
3500,0.5843,-3.0548,22.8162,0.4762,1.3001
3600,0.5859,-3.0892,24.949,0.4722,1.2958
3700,0.5934,-3.1463,24.582,0.477,1.3006
3800,0.5908,-3.2251,25.1887,0.4807,1.3045
3900,0.5965,-3.2594,24.6308,0.4821,1.3016
4000,0.6015,-3.3894,24.9215,0.4808,1.3074
4100,0.6091,-3.4706,23.35,0.4769,1.2994
4200,0.6067,-3.5327,24.7705,0.4805,1.3057
4300,0.6043,-3.6109,23.8109,0.4842,1.3036
4400,0.6071,-3.6636,24.7299,0.4791,1.3028
4500,0.6222,-3.6985,23.5885,0.4794,1.3101
4600,0.622,-3.7493,24.6045,0.4786,1.306
4700,0.6299,-3.8228,18.1245,0.5142,1.3527
4800,0.6158,-3.8966,11.6559,0.4856,1.3028
4900,0.6185,-3.9806,14.6226,0.4785,1.3056
5000,0.6309,-4.0073,15.054,0.4822,1.3142
5100,0.6318,-4.055,14.6468,0.4833,1.3056
5200,0.6372,-4.1364,14.5537,0.4909,1.3144
5300,0.6261,-4.1652,10.2444,0.491,1.348
5400,0.6241,-4.1936,7.5809,0.4896,1.307
5500,0.6197,-4.2237,9.89,0.4873,1.3264
5600,0.6178,-4.2232,9.7041,0.492,1.2972
5700,0.6082,-4.2564,10.1015,0.4779,1.2833
5800,0.6218,-4.2614,15.017,0.4866,1.3084
5900,0.608,-4.2405,10.9817,0.4824,1.2993
6000,0.6118,-4.2411,8.7559,0.4836,1.2965
6100,0.6111,-4.2537,13.2436,0.481,1.2919
6200,0.6133,-4.2564,16.2886,0.4846,1.3226
6300,0.6121,-4.2571,9.218,0.4879,1.3539
6400,0.6121,-4.2552,17.3735,0.5239,1.3538
6500,0.6098,-4.2538,12.5337,0.4985,1.355
6600,0.6068,-4.2635,13.2333,0.4791,1.303
6700,0.61,-4.2744,16.3696,0.4704,1.2781
6800,0.612,-4.2683,10.9659,0.4814,1.2546
6900,0.6065,-4.2564,7.8896,0.4757,1.3029
7000,0.6143,-4.2585,13.0999,0.5132,1.3071
7100,0.6061,-4.2683,10.3588,0.4852,1.329
7200,0.6061,-4.2733,10.7108,0.4843,1.3136
7300,0.6013,-4.2868,7.8464,0.4555,1.1607
7400,0.6015,-4.2903,11.5891,0.4876,1.2996
7500,0.5977,-4.296,7.3108,0.4924,1.3155
7600,0.5934,-4.3066,8.0209,0.4655,1.2442
7700,0.5927,-4.2834,11.2253,0.4847,1.3561
7800,0.5923,-4.3048,10.0284,0.486,1.3308
7900,0.5945,-4.3247,8.6483,0.4585,1.2815
8000,0.5969,-4.3289,13.1014,0.4705,1.2471
8100,0.5945,-4.3419,14.8689,0.4837,1.3493
8200,0.5961,-4.3335,15.2299,0.4827,1.3188
8300,0.5963,-4.3454,11.7127,0.4734,1.2838
8400,0.5934,-4.3514,15.8064,0.5025,1.3591
8500,0.5912,-4.3535,15.0521,0.4923,1.3444
8600,0.5877,-4.3685,11.5204,0.4878,1.3409
8700,0.5942,-4.3793,15.4767,0.4736,1.3227
8800,0.5959,-4.3896,14.292,0.4793,1.3283
