env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.2389,-1.0125,0.4267,0.018,0.0133
1100,0.0453,-1.1167,0.5494,0.0243,0.0201
1200,0.0609,-1.1283,0.5022,0.0195,0.0148
1300,0.0547,-1.0884,0.3259,0.0187,0.016
1400,0.0588,-1.0587,0.4255,0.0261,0.0207
1500,0.0558,-1.0342,0.375,0.0315,0.0253
1600,0.0532,-0.9986,0.5033,0.0475,0.0379
1700,0.0477,-0.9696,0.4294,0.023,0.0192
1800,0.0493,-0.9258,0.4744,0.0214,0.0167
1900,0.0498,-0.8818,0.4103,0.0304,0.026
2000,0.058,-0.8872,0.4401,0.0304,0.0246
2100,0.0564,-0.882,0.4676,0.0372,0.0297
2200,0.0592,-0.9054,0.5177,0.0288,0.0236
2300,0.0585,-0.8917,0.527,0.033,0.0289
2400,0.0588,-0.8712,0.5318,0.0302,0.0231
2500,0.0566,-0.8696,0.6537,0.0595,0.0517
2600,0.0583,-0.8317,0.5712,0.0755,0.0659
2700,0.0624,-0.7891,0.7942,0.0721,0.0616
2800,0.0595,-0.7645,0.6316,0.0468,0.0407
2900,0.0666,-0.725,0.7356,0.0395,0.0343
3000,0.0564,-0.6825,0.6918,0.1234,0.1024
3100,0.06,-0.6672,0.5965,0.0496,0.0423
3200,0.0619,-0.6535,0.8055,0.0353,0.0332
3300,0.059,-0.6133,0.6227,0.0437,0.0364
3400,0.0674,-0.5975,0.7002,0.0917,0.0761
3500,0.0631,-0.5833,0.76,0.0645,0.0557
3600,0.0639,-0.542,0.759,0.0477,0.0424
3700,0.0626,-0.5142,0.7274,0.0444,0.0397
3800,0.0664,-0.5034,0.8102,0.0435,0.0376
3900,0.067,-0.4598,0.6726,0.052,0.0452
4000,0.0665,-0.4483,0.715,0.0432,0.0368
4100,0.065,-0.4317,0.7248,0.0864,0.0734
4200,0.0705,-0.3896,0.7802,0.0625,0.0541
4300,0.0692,-0.3562,0.8087,0.0897,0.0756
4400,0.0675,-0.2987,0.9682,0.1975,0.1684
4500,0.0658,-0.2722,0.8839,0.0518,0.0461
4600,0.0674,-0.2263,0.7133,0.0447,0.0398
4700,0.0708,-0.2384,0.7747,0.0763,0.0664
4800,0.0724,-0.2018,0.8596,0.0698,0.0618
4900,0.0739,-0.1629,0.8359,0.072,0.0649
5000,0.0716,-0.1505,0.8423,0.0924,0.0818
5100,0.0724,-0.1021,0.8603,0.0743,0.0637
5200,0.0774,-0.0874,0.918,0.0666,0.0591
5300,0.0771,-0.0708,0.801,0.0572,0.0521
5400,0.071,-0.0427,0.6933,0.0737,0.0676
5500,0.071,-0.0011,0.8447,0.068,0.0609
5600,0.0692,0.0264,0.8722,0.0481,0.0424
5700,0.0716,0.0789,0.7136,0.0477,0.0443
5800,0.0733,0.0971,0.786,0.0612,0.0551
5900,0.0706,0.1292,0.7697,0.0791,0.0671
6000,0.0749,0.1545,0.8437,0.0622,0.0561
6100,0.0721,0.2442,0.992,0.076,0.0699
6200,0.0722,0.2792,0.8557,0.0629,0.0581
6300,0.074,0.2646,0.8027,0.058,0.0496
6400,0.0729,0.3317,0.7943,0.0758,0.0693
6500,0.0749,0.3856,0.9808,0.0581,0.0536
6600,0.0767,0.3989,0.983,0.0829,0.0746
6700,0.079,0.4573,0.9527,0.0887,0.079
6800,0.0756,0.5106,0.8554,0.0737,0.0674
6900,0.0734,0.5404,0.9151,0.0689,0.0614
7000,0.0755,0.554,0.9252,0.0839,0.0769
7100,0.0742,0.6202,1.0531,0.0638,0.0577
7200,0.076,0.675,0.8098,0.0633,0.0602
7300,0.0778,0.7107,0.8587,0.0671,0.0612
7400,0.0773,0.7338,0.8403,0.0611,0.0558
