env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6027,-1.1322,1.29,0.2164,0.1899
1100,0.5428,-1.9006,1.8064,0.2769,0.1717
1200,0.5243,-2.0292,1.7697,0.3866,0.479
1300,0.5201,-2.1415,1.8955,0.341,0.2349
1400,0.5248,-2.2467,1.9946,0.333,0.3281
1500,0.5438,-2.3244,1.9675,0.2541,0.2506
1600,0.5295,-2.4562,2.1685,0.3373,0.3894
1700,0.5307,-2.5258,2.1597,0.402,0.3135
1800,0.5345,-2.6189,2.1512,0.4489,0.4252
1900,0.5256,-2.7032,2.2074,0.3612,0.3463
2000,0.5013,-2.7883,2.1596,0.3397,0.4209
2100,0.5375,-2.8446,2.2801,0.4184,0.503
2200,0.5367,-2.9553,2.4409,0.6164,0.9532
2300,0.5162,-3.0394,2.5185,0.3703,0.4404
2400,0.5017,-3.0923,2.5022,0.4943,0.5138
2500,0.5394,-3.1408,2.6988,0.4169,0.4891
2600,0.5137,-3.2328,2.5955,0.483,0.4353
2700,0.5384,-3.2769,2.6693,0.5605,0.6857
2800,0.5288,-3.34,2.584,0.437,0.5787
2900,0.5341,-3.3988,2.8413,0.5526,0.822
3000,0.5154,-3.4578,2.8392,0.4042,0.5727
3100,0.5309,-3.4905,2.6922,0.5096,0.5146
3200,0.5445,-3.5394,2.8056,0.6035,0.863
3300,0.5177,-3.6009,2.8155,0.6374,0.9874
3400,0.531,-3.6494,2.9075,0.5292,0.8674
3500,0.5466,-3.6835,2.8298,0.5276,0.7284
3600,0.5512,-3.7218,2.9127,0.5369,0.8497
3700,0.5485,-3.7691,2.9657,0.4768,0.5503
3800,0.5376,-3.7983,3.0375,0.5206,0.5959
3900,0.5645,-3.8055,3.1739,0.6253,1.0029
4000,0.5528,-3.8691,3.2311,0.6972,1.278
4100,0.5345,-3.9457,3.093,0.4988,0.6118
4200,0.5275,-3.9346,3.1213,0.6326,0.9005
4300,0.5381,-3.9805,3.1385,0.501,0.7296
4400,0.5757,-3.9891,3.3293,0.6411,1.0728
4500,0.5579,-4.0129,3.2851,0.5607,0.7027
4600,0.532,-4.0512,3.0639,0.5617,0.8553
4700,0.5482,-4.0704,3.1885,0.5256,0.8773
4800,0.5439,-4.0946,3.2757,0.5986,0.788
4900,0.5472,-4.1147,3.1615,0.626,0.9707
5000,0.5625,-4.1209,3.4406,0.6484,1.0078
5100,0.5296,-4.149,3.3841,0.6275,0.9376
5200,0.5366,-4.1618,3.2644,0.6346,1.0162
5300,0.5746,-4.1752,3.3273,0.568,0.7769
5400,0.5459,-4.2322,3.2908,0.693,1.2297
5500,0.5556,-4.1983,3.3848,0.5813,0.8318
