env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6281,-1.0761,1.3443,0.3079,0.3309
1100,0.5701,-1.7984,1.7691,0.1876,0.1511
1200,0.5812,-1.9283,1.9448,0.5052,0.4789
1300,0.6018,-2.0352,2.0319,0.4226,0.4381
1400,0.5739,-2.1543,2.0093,0.3686,0.2404
1500,0.5721,-2.3728,2.4023,0.2702,0.2506
1600,0.5817,-2.4495,2.4201,0.3523,0.3769
1700,0.5943,-2.5244,2.3899,0.4787,0.4847
1800,0.5702,-2.6444,2.2489,0.3719,0.4241
1900,0.5762,-2.7466,2.5114,0.366,0.3583
2000,0.6003,-2.8172,2.6011,0.6451,0.889
2100,0.6023,-2.886,2.5844,0.4446,0.4961
2200,0.64,-3.0014,3.1625,0.68,1.018
2300,0.5961,-3.0838,2.7576,0.5506,0.5957
2400,0.6265,-3.1724,2.9069,0.5588,0.6452
2500,0.6165,-3.2579,2.8697,0.4685,0.391
2600,0.6159,-3.3241,2.9084,0.4489,0.4755
2700,0.5999,-3.3796,3.0093,0.3868,0.4411
2800,0.5944,-3.4835,3.0017,0.5352,0.6792
2900,0.6019,-3.5814,3.1254,0.51,0.7042
3000,0.6252,-3.6322,3.0912,0.356,0.4328
3100,0.6079,-3.7077,3.2088,0.6067,0.7624
3200,0.5991,-3.7713,3.4906,0.5375,0.6896
3300,0.6287,-3.8665,3.3246,0.5207,0.5472
3400,0.6187,-3.945,3.6363,0.5413,0.6358
3500,0.6525,-4.0591,3.9405,0.6684,1.0005
3600,0.6357,-4.1789,4.0479,0.5037,0.6073
3700,0.6403,-4.1783,3.5199,0.495,0.5937
3800,0.6538,-4.252,3.7356,0.6076,0.9119
3900,0.5993,-4.3352,3.7643,0.4975,0.542
4000,0.6265,-4.3608,3.8628,0.5759,0.7391
4100,0.6332,-4.4547,3.6873,0.6141,0.8269
4200,0.6225,-4.492,3.7259,0.5663,0.7039
4300,0.6478,-4.5686,3.6735,0.5746,0.8042
4400,0.6669,-4.6282,4.2954,0.5833,0.763
4500,0.6816,-4.6921,3.8829,0.6301,1.0498
4600,0.6638,-4.7363,4.067,0.6806,1.0791
4700,0.7032,-4.7426,3.8993,0.5154,0.5994
4800,0.6447,-4.767,3.8181,0.5074,0.5271
4900,0.685,-4.8125,4.0451,0.4757,0.4657
5000,0.6744,-4.9366,4.585,0.5154,0.5404
5100,0.6484,-4.943,4.1885,0.5045,0.5192
5200,0.6652,-5.021,4.6587,0.7128,1.2549
5300,0.6541,-5.0151,4.3191,0.5166,0.6517
5400,0.6511,-5.0846,4.0005,0.5462,0.9633
5500,0.6819,-5.0867,4.5065,0.5148,0.7314
5600,0.6608,-5.1253,4.2142,0.6019,0.8163
5700,0.6785,-5.1628,4.3287,0.6424,1.0389
5800,0.6714,-5.2176,4.172,0.5001,0.8332
5900,0.6866,-5.2375,4.2268,0.5038,0.5094
6000,0.6818,-5.2359,4.4161,0.4783,0.4707
6100,0.717,-5.2665,4.2807,0.5047,0.5744
6200,0.6603,-5.2816,4.2743,0.6469,1.1007
6300,0.6719,-5.335,4.6439,0.6095,0.8947
6400,0.7284,-5.3617,4.5798,0.6429,0.9852
6500,0.701,-5.368,4.6336,0.4655,0.4483
6600,0.7361,-5.4216,4.9371,0.608,0.9573
6700,0.6986,-5.4247,4.636,0.6805,1.1564
6800,0.66,-5.4617,4.5236,0.5822,0.8059
6900,0.6982,-5.4843,4.5253,0.589,0.8373
7000,0.7312,-5.5074,4.8445,0.5844,0.8234
7100,0.651,-5.5478,4.4939,0.5161,0.6336
7200,0.734,-5.545,4.7407,0.6159,0.9515
7300,0.6929,-5.4858,4.5548,0.5505,0.6491
7400,0.677,-5.5346,4.4708,0.5618,0.877
7500,0.6495,-5.5817,4.4418,0.5726,0.923
7600,0.6623,-5.5869,4.8419,0.5742,0.9043
7700,0.6815,-5.6026,4.5157,0.5293,0.751
7800,0.6857,-5.6596,4.912,0.6261,0.9252
7900,0.7109,-5.6278,4.6976,0.6967,1.2227
8000,0.6887,-5.6519,4.5578,0.5187,0.6244
8100,0.7217,-5.6852,5.0795,0.6415,0.9486
8200,0.6762,-5.7149,4.6213,0.5786,0.8509
8300,0.704,-5.6965,4.6587,0.5395,0.6461
8400,0.6986,-5.721,4.5917,0.6687,1.044
8500,0.6895,-5.7348,4.6958,0.6829,1.1953
8600,0.6779,-5.7314,4.6517,0.5823,0.9026
8700,0.7376,-5.7442,4.7368,0.6169,0.8907
8800,0.73,-5.7578,4.7464,0.6579,1.2235
8900,0.6913,-5.7688,4.7281,0.615,0.9474
9000,0.6876,-5.8002,4.6644,0.5775,0.768
9100,0.6891,-5.7939,4.5897,0.6669,1.099
9200,0.7352,-5.7911,4.8235,0.4803,0.482
9300,0.7278,-5.8105,4.9717,0.6553,1.1777
9400,0.7563,-5.8143,4.8196,0.6125,0.9015
9500,0.732,-5.8581,4.5881,0.613,0.979
9600,0.6807,-5.8568,4.6041,0.5279,0.6975
9700,0.7088,-5.8677,4.5566,0.6717,1.0879
9800,0.6833,-5.8942,4.8291,0.7093,1.2915
9900,0.7475,-5.875,4.5806,0.5569,0.8162
10000,0.7042,-5.9131,4.907,0.6507,1.0493
10100,0.6507,-5.9079,4.5982,0.7138,1.3099
10200,0.7131,-5.9114,4.4477,0.5415,0.7266
10300,0.7342,-5.8894,5.0387,0.5614,0.7316
10400,0.7056,-5.8885,4.5833,0.5864,0.9154
10500,0.6791,-5.9399,4.2423,0.5309,0.6658
10600,0.6603,-5.9528,4.32,0.6056,0.8486
10700,0.6708,-5.9252,4.2653,0.5174,0.6159
10800,0.763,-5.9473,4.882,0.6756,1.1621
10900,0.7001,-5.9812,4.8115,0.6296,0.8961
11000,0.7314,-5.9929,4.5378,0.6293,0.919
11100,0.6929,-5.979,4.531,0.6236,0.8804
11200,0.6785,-5.9965,4.5884,0.5766,0.8237
11300,0.7067,-6.017,4.4878,0.5522,0.9227
11400,0.677,-6.054,4.6882,0.548,0.793
11500,0.7526,-6.0582,4.6108,0.6046,0.9274
11600,0.7043,-6.0853,4.7195,0.5492,0.7134
11700,0.704,-6.0928,4.8618,0.5425,0.7467
11800,0.7504,-6.1199,5.778,0.6189,0.9881
11900,0.7468,-6.1106,4.7963,0.6387,0.9853
12000,0.7451,-6.122,4.7899,0.538,0.7464
12100,0.6991,-6.1621,4.4003,0.6039,0.992
12200,0.7406,-6.1564,4.7631,0.6082,0.9203
12300,0.714,-6.1584,5.1456,0.6488,1.1105
12400,0.7423,-6.1865,4.8101,0.5803,0.8784
12500,0.7113,-6.2726,5.1448,0.5197,0.5998
12600,0.7457,-6.2281,4.8841,0.5631,0.7943
12700,0.7221,-6.2805,5.0323,0.7085,1.2773
12800,0.7299,-6.305,5.1714,0.5227,0.6934
12900,0.6669,-6.3084,4.7605,0.6216,0.9593
13000,0.7279,-6.3126,5.0385,0.6051,0.8015
13100,0.718,-6.3392,4.8253,0.7094,1.2544
13200,0.7545,-6.3752,5.289,0.5709,0.789
13300,0.7357,-6.3673,4.82,0.5858,0.8394
13400,0.6847,-6.3893,4.9852,0.5909,0.8325
13500,0.736,-6.3687,4.8943,0.6274,0.9685
13600,0.7231,-6.4111,5.4344,0.6789,1.1805
13700,0.7476,-6.4243,4.829,0.5883,0.7732
13800,0.7896,-6.4205,4.8768,0.5726,0.7805
13900,0.7278,-6.4702,5.0185,0.4728,0.4981
14000,0.7485,-6.4832,5.1321,0.6976,1.1929
14100,0.7521,-6.525,5.0698,0.5026,0.6516
14200,0.739,-6.5291,5.3356,0.5228,0.7452
14300,0.7322,-6.569,4.8828,0.5662,0.8342
14400,0.7534,-6.5958,5.2954,0.612,0.8586
14500,0.7523,-6.6042,5.3506,0.6828,1.1805
14600,0.8267,-6.612,5.0854,0.5616,0.8476
14700,0.7774,-6.6395,5.0587,0.552,0.8048
14800,0.772,-6.6303,5.1019,0.5971,0.7696
14900,0.7557,-6.6622,5.4266,0.4956,0.5176
15000,0.8246,-6.6261,5.3275,0.5525,0.9601
15100,0.7465,-6.6728,4.806,0.5112,0.5893
15200,0.766,-6.7,5.1531,0.6966,1.2157
15300,0.8114,-6.7039,5.0941,0.5324,0.7087
15400,0.765,-6.7104,5.1301,0.6175,0.8528
15500,0.7985,-6.7399,5.2295,0.5551,0.7602
15600,0.8126,-6.7413,5.5024,0.6553,1.0417
15700,0.7297,-6.7649,5.005,0.5317,0.5779
15800,0.8188,-6.7584,5.3301,0.5135,0.6575
15900,0.7306,-6.7918,4.7832,0.5884,0.8566
16000,0.8534,-6.788,5.3836,0.6368,0.9901
16100,0.8497,-6.8002,5.6471,0.5833,0.9147
16200,0.8103,-6.7856,5.3558,0.5665,0.6932
16300,0.8167,-6.8121,5.1215,0.6398,1.0065
16400,0.8091,-6.8481,5.4541,0.5418,0.7258
16500,0.8075,-6.8513,5.369,0.5523,0.7728
16600,0.7803,-6.8419,5.4389,0.5745,0.7336
16700,0.7744,-6.8715,5.4971,0.5396,0.6816
16800,0.8391,-6.878,5.3648,0.5249,0.6332
16900,0.8138,-6.8804,5.465,0.6824,1.1129
17000,0.8292,-6.9157,5.2693,0.5687,0.793
17100,0.7978,-6.875,5.1942,0.5778,0.9261
17200,0.8215,-6.8921,5.5681,0.5442,0.714
17300,0.8358,-6.9024,5.6392,0.6098,0.8736
17400,0.878,-6.9014,5.4497,0.4679,0.4744
17500,0.8198,-6.9298,5.3754,0.6221,0.9091
17600,0.7889,-6.9215,5.1244,0.5024,0.6043
17700,0.828,-6.9514,5.2889,0.665,1.085
17800,0.7936,-6.9652,5.5006,0.6361,0.9938
17900,0.8445,-6.9299,5.2887,0.5214,0.6041
18000,0.8119,-6.9506,5.4078,0.6746,1.0869
18100,0.8359,-6.9749,5.9913,0.6094,0.8467
18200,0.8215,-6.9803,5.5166,0.5752,0.7763
18300,0.7891,-6.9932,5.6814,0.6172,0.8542
18400,0.7719,-7.0115,5.4042,0.677,1.1138
18500,0.8376,-7.0337,5.1344,0.5383,0.7569
18600,0.8439,-7.0058,5.5901,0.4832,0.4649
18700,0.8318,-7.0244,5.7191,0.6663,1.0983
18800,0.8306,-7.0153,5.4086,0.5953,0.9295
18900,0.8608,-7.0334,5.5532,0.5702,0.7767
19000,0.8624,-7.0294,5.63,0.548,0.7678
19100,0.8934,-7.0221,6.2731,0.6059,0.8275
19200,0.7247,-7.0559,5.1081,0.5212,0.647
19300,0.8105,-7.0306,5.1669,0.6218,0.8969
19400,0.887,-7.0488,5.5953,0.5942,0.8342
19500,0.8347,-7.0484,5.4274,0.5362,0.7391
19600,0.8694,-7.0676,5.5846,0.5628,0.8279
19700,0.8209,-7.0709,5.5637,0.6428,1.0072
19800,0.8001,-7.0455,5.1589,0.6153,0.9186
19900,0.9236,-7.0529,5.8318,0.6328,1.0684
20000,0.8555,-7.0814,5.581,0.5885,0.7797
20100,0.8935,-7.0608,5.8106,0.6678,1.0829
20200,0.8586,-7.0878,5.5029,0.4622,0.4521
20300,0.7921,-7.0842,5.3648,0.5133,0.6558
20400,0.882,-7.0815,5.7918,0.6921,1.1203
20500,0.8771,-7.1048,5.6682,0.4992,0.6032
20600,0.8334,-7.0641,5.5592,0.6398,1.089
20700,0.9355,-7.0501,6.0352,0.5936,0.79
20800,0.8556,-7.0528,5.4439,0.5516,0.7673
20900,0.8464,-7.0242,5.37,0.718,1.3841
21000,0.8141,-7.0483,5.5325,0.6054,1.0772
21100,0.8587,-7.0456,5.3313,0.6136,0.8737
21200,0.8724,-7.0265,5.6051,0.5916,0.8694
21300,0.8503,-6.9991,5.3759,0.5028,0.56
21400,0.8664,-7.0046,5.6803,0.6726,1.0163
21500,0.8087,-7.02,5.3152,0.6139,0.8257
21600,0.8451,-7.0121,5.3999,0.5704,0.7561
21700,0.8263,-6.979,5.4549,0.5416,0.7745
21800,0.9138,-7.0212,5.6289,0.5234,0.6921
21900,0.7771,-7.0278,5.5337,0.6028,0.8869
22000,0.8639,-6.9941,5.6366,0.5253,0.624
22100,0.8336,-7.0215,5.5877,0.6433,1.1158
22200,0.8125,-7.0204,5.2565,0.5839,0.9282
22300,0.8091,-7.0129,5.3764,0.5838,0.872
22400,0.7726,-6.9933,5.0768,0.6689,1.0216
22500,0.8366,-7.0162,5.7017,0.5898,0.8431
22600,0.8337,-6.9752,5.2126,0.7111,1.2583
22700,0.8405,-6.9841,5.3198,0.5291,0.6912
22800,0.8218,-7.011,5.3472,0.6538,1.0333
22900,0.8331,-6.9413,5.3683,0.6496,1.0148
23000,0.782,-7.0118,5.519,0.5502,0.7807
23100,0.7516,-6.9482,4.9906,0.5802,0.7803
23200,0.7767,-6.9737,5.062,0.6435,1.0122
23300,0.78,-6.9038,5.3209,0.542,0.6715
23400,0.7919,-6.9152,5.1722,0.5872,0.7839
23500,0.8009,-6.9436,5.6577,0.5763,0.7248
23600,0.8718,-6.9045,5.5062,0.5909,0.9666
23700,0.7949,-6.8937,5.3588,0.6169,0.9969
23800,0.8509,-6.889,5.1619,0.5668,0.7477
23900,0.878,-6.8713,5.4821,0.6038,0.9278
24000,0.7847,-6.8682,5.0713,0.5396,0.692
24100,0.7582,-6.8409,5.241,0.5973,0.8086
24200,0.7929,-6.8489,5.1493,0.621,0.911
24300,0.8011,-6.8057,5.1538,0.6439,0.9352
24400,0.7731,-6.8024,5.1566,0.695,1.1583
24500,0.7892,-6.7737,4.981,0.6056,0.9005
24600,0.7807,-6.7964,5.3362,0.5381,0.7412
24700,0.7456,-6.7619,4.9997,0.6931,1.2083
24800,0.7327,-6.7561,5.2328,0.6189,0.9479
24900,0.7838,-6.7254,4.9143,0.5291,0.6083
25000,0.872,-6.7224,5.322,0.6898,1.2714
25100,0.839,-6.693,5.1455,0.583,0.8138
25200,0.8011,-6.6793,5.2566,0.5423,0.7056
25300,0.8202,-6.6564,5.2789,0.6419,1.0393
25400,0.8311,-6.6475,5.1875,0.5654,0.8334
25500,0.817,-6.6199,5.1446,0.5332,0.6157
25600,0.7765,-6.5909,5.0404,0.6169,0.9011
25700,0.7981,-6.6163,5.1564,0.5086,0.6482
25800,0.7354,-6.6156,4.9703,0.6022,0.8846
25900,0.7872,-6.5926,5.2526,0.5734,0.867
26000,0.7311,-6.5681,4.7077,0.5309,0.6618
26100,0.765,-6.5301,5.0144,0.6108,0.9142
26200,0.7663,-6.5179,4.9517,0.6908,1.309
26300,0.7601,-6.4746,4.876,0.5426,0.741
26400,0.8207,-6.4528,4.7778,0.5157,0.5483
26500,0.7374,-6.4746,4.4234,0.5557,0.7515
26600,0.7544,-6.4316,5.0272,0.5184,0.6352
26700,0.7402,-6.4559,4.8187,0.7056,1.1451
26800,0.7924,-6.4146,4.9434,0.6264,1.0364
26900,0.7449,-6.3876,4.744,0.5725,0.7611
27000,0.7877,-6.3605,4.7617,0.683,1.269
27100,0.7442,-6.3672,4.828,0.6129,0.9086
27200,0.7456,-6.3385,4.6972,0.4948,0.4536
27300,0.7309,-6.3235,4.3712,0.6831,1.344
27400,0.7282,-6.3323,4.6905,0.5345,0.7018
27500,0.7874,-6.3065,4.6706,0.6355,1.042
27600,0.7523,-6.2869,4.4979,0.536,0.6867
27700,0.7275,-6.2525,4.7938,0.6611,1.0556
27800,0.7457,-6.2558,4.8216,0.5936,0.9744
27900,0.7532,-6.2365,4.6041,0.6843,1.3869
28000,0.6932,-6.2411,4.5222,0.5995,0.8198
28100,0.699,-6.236,4.5208,0.6192,0.939
28200,0.7576,-6.1899,4.7004,0.6981,1.1316
28300,0.7515,-6.1687,4.8197,0.6774,1.1625
28400,0.7131,-6.1709,4.2554,0.5423,0.7022
28500,0.6804,-6.1675,4.4914,0.585,0.811
28600,0.7187,-6.1426,4.5137,0.6062,0.8192
28700,0.7348,-6.1266,4.524,0.6449,1.0536
28800,0.7123,-6.0902,4.304,0.6426,0.9977
28900,0.7408,-6.1078,4.431,0.6674,1.0855
29000,0.725,-6.0911,4.4065,0.5551,0.9019
29100,0.7322,-6.0924,4.4987,0.6147,0.9094
29200,0.7564,-6.0931,4.5637,0.5934,0.8248
29300,0.7113,-6.0717,4.4446,0.5966,0.9146
