env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6046,-0.8366,0.2502,0.0283,0.0336
1100,0.5395,-1.2811,0.1914,0.0298,0.0224
1200,0.551,-1.3533,0.2301,0.0539,0.0835
1300,0.548,-1.446,0.3258,0.0713,0.1268
1400,0.5327,-1.5084,0.4115,0.0422,0.0532
1500,0.5257,-1.5619,0.5401,0.136,0.2649
1600,0.5223,-1.595,0.5702,0.0872,0.1738
1700,0.5139,-1.628,0.459,0.189,0.4118
1800,0.509,-1.665,0.4257,0.0584,0.0867
1900,0.5157,-1.6849,0.6773,0.047,0.0595
2000,0.5146,-1.7117,0.8307,0.0807,0.1564
2100,0.5091,-1.7316,0.7795,0.1036,0.2121
2200,0.5081,-1.7483,0.7025,0.1234,0.2825
2300,0.5036,-1.7772,1.3802,0.1174,0.2743
2400,0.4917,-1.7931,0.9418,0.12,0.2428
2500,0.4885,-1.8145,0.8875,0.2879,0.7096
2600,0.4902,-1.8297,1.3695,0.2643,0.6269
2700,0.4867,-1.8337,1.0579,0.4138,0.9972
2800,0.4951,-1.8497,1.1463,0.1792,0.4169
2900,0.4919,-1.8781,1.1661,0.3324,0.7786
3000,0.4961,-1.9012,1.253,0.2161,0.5347
3100,0.4904,-1.9061,1.6611,0.2795,0.6944
3200,0.4939,-1.9286,1.5606,0.5408,1.3206
3300,0.4926,-1.9393,1.2659,0.1384,0.3395
3400,0.4836,-1.953,1.5206,0.2808,0.7269
3500,0.4846,-1.966,1.6419,0.2008,0.4965
3600,0.4796,-2.0067,1.9493,0.353,0.9193
3700,0.4825,-2.0094,2.1359,0.4794,1.2696
3800,0.4846,-2.036,2.3683,0.4733,1.2627
3900,0.4789,-2.0554,2.3088,0.466,1.2503
4000,0.4752,-2.0586,2.3202,0.2359,0.6135
4100,0.471,-2.0968,3.2194,0.4934,1.3077
4200,0.4652,-2.1074,3.2968,0.492,1.2941
4300,0.4639,-2.1484,2.6089,0.2802,0.7336
4400,0.467,-2.1452,3.3723,0.4905,1.3148
4500,0.4657,-2.1797,3.2568,0.5059,1.3094
4600,0.4621,-2.1906,3.7946,0.4849,1.3042
4700,0.4604,-2.215,3.2341,0.5017,1.3035
4800,0.4623,-2.2153,4.893,0.4728,1.3001
4900,0.4656,-2.2321,5.3972,0.4843,1.2851
5000,0.4673,-2.2378,4.6135,0.4859,1.2918
5100,0.4683,-2.2545,4.2369,0.4744,1.2933
5200,0.472,-2.2774,7.1771,0.4744,1.3259
5300,0.4768,-2.2621,7.1013,0.4959,1.3012
5400,0.4794,-2.2793,6.4035,0.4851,1.3212
5500,0.4812,-2.2692,5.1936,0.3942,1.0809
5600,0.481,-2.2753,6.5776,0.4774,1.2794
5700,0.4855,-2.2842,7.7002,0.4512,1.2721
5800,0.4812,-2.3105,8.7929,0.4859,1.3022
5900,0.4871,-2.3177,9.6986,0.4705,1.2749
6000,0.4925,-2.3206,8.9503,0.4694,1.324
6100,0.4991,-2.3413,9.812,0.4791,1.2936
6200,0.5079,-2.3405,11.9366,0.4682,1.2935
6300,0.5151,-2.3423,12.6787,0.4658,1.3211
6400,0.517,-2.3612,13.2301,0.4693,1.3053
6500,0.5138,-2.3376,13.582,0.4622,1.3067
6600,0.5221,-2.3687,17.8613,0.4606,1.3157
6700,0.5298,-2.3529,22.6531,0.4523,1.2834
6800,0.5268,-2.366,13.2214,0.4691,1.305
6900,0.5249,-2.3954,20.5934,0.4612,1.3319
7000,0.5317,-2.3997,18.8174,0.4566,1.2608
7100,0.5322,-2.3855,22.8482,0.4688,1.3296
7200,0.5422,-2.405,24.847,0.4693,1.3347
7300,0.5402,-2.4128,13.2042,0.4657,1.2848
7400,0.5413,-2.402,14.339,0.472,1.2643
7500,0.5363,-2.4236,18.4225,0.4612,1.3113
7600,0.5419,-2.4264,15.4187,0.461,1.3291
7700,0.5464,-2.4351,16.2066,0.4577,1.2981
7800,0.5475,-2.4326,26.5629,0.46,1.3287
7900,0.5546,-2.4478,25.5858,0.4634,1.3441
8000,0.5517,-2.4412,16.2015,0.4743,1.3144
8100,0.5438,-2.4715,16.2866,0.4846,1.31
8200,0.5443,-2.4564,14.6263,0.4859,1.3034
8300,0.5443,-2.4762,16.1971,0.4616,1.3107
8400,0.5441,-2.4839,18.6013,0.463,1.3288
8500,0.5444,-2.502,18.0822,0.4715,1.3016
8600,0.5432,-2.5044,18.528,0.4658,1.3264
8700,0.5406,-2.5206,21.9588,0.4442,1.2292
8800,0.545,-2.5268,17.4558,0.4686,1.3391
8900,0.5428,-2.5331,18.7134,0.4584,1.3161
9000,0.5406,-2.539,28.814,0.4552,1.297
9100,0.5436,-2.5498,18.0517,0.4862,1.2581
9200,0.5396,-2.562,15.2291,0.4384,1.2649
9300,0.5451,-2.5743,19.9398,0.4552,1.3106
9400,0.5414,-2.5699,16.7011,0.4749,1.3094
9500,0.543,-2.58,18.981,0.4885,1.3063
9600,0.5494,-2.5863,31.1965,0.4562,1.3159
9700,0.5512,-2.6134,27.6625,0.4874,1.3081
9800,0.5443,-2.604,18.4502,0.4584,1.2797
9900,0.5489,-2.612,19.2316,0.4609,1.3042
10000,0.5537,-2.618,22.9798,0.4684,1.3101
10100,0.5546,-2.6313,19.8611,0.4848,1.3103
10200,0.554,-2.6479,21.362,0.4591,1.3218
10300,0.554,-2.6523,21.7491,0.477,1.3125
10400,0.5649,-2.6607,35.2931,0.464,1.3195
10500,0.5565,-2.6782,24.0647,0.476,1.3103
10600,0.5601,-2.6875,27.5697,0.4556,1.3194
10700,0.5559,-2.7035,26.1717,0.4656,1.3254
10800,0.553,-2.6835,21.3842,0.4563,1.2644
10900,0.5602,-2.6809,31.4234,0.4566,1.3295
11000,0.5566,-2.7026,22.1233,0.4652,1.2582
11100,0.5598,-2.6935,21.0275,0.4661,1.3145
11200,0.5536,-2.7321,23.5896,0.4684,1.3068
11300,0.5601,-2.7196,20.2757,0.4665,1.2953
11400,0.5605,-2.738,21.6582,0.4642,1.3323
11500,0.5553,-2.7442,22.1672,0.4592,1.2678
11600,0.5539,-2.7565,21.2298,0.4465,1.3003
11700,0.5595,-2.7812,28.9782,0.4582,1.3282
11800,0.5606,-2.7531,23.7787,0.4437,1.2968
11900,0.5611,-2.7948,25.5896,0.4694,1.2755
12000,0.564,-2.7927,25.7274,0.4648,1.265
12100,0.5674,-2.8199,32.4577,0.4678,1.3352
12200,0.5675,-2.7941,31.1305,0.4678,1.2901
12300,0.5607,-2.8182,25.3786,0.4713,1.3
12400,0.5608,-2.8396,19.5792,0.4795,1.3317
12500,0.5617,-2.8449,38.3411,0.4573,1.3203
12600,0.5666,-2.8684,33.7425,0.4698,1.2754
12700,0.5633,-2.858,28.3467,0.4596,1.2441
12800,0.5626,-2.8787,33.2281,0.4663,1.3237
12900,0.5617,-2.8888,31.4232,0.4653,1.3206
13000,0.5611,-2.8785,22.104,0.4467,1.2837
13100,0.5617,-2.9052,24.7932,0.452,1.3151
13200,0.567,-2.903,38.6515,0.4773,1.3046
13300,0.5635,-2.9264,37.967,0.4638,1.336
13400,0.5678,-2.9362,35.4716,0.4571,1.2738
13500,0.5583,-2.9423,21.1007,0.4627,1.3088
13600,0.5576,-2.9755,23.498,0.4654,1.3347
13700,0.5593,-2.9665,30.2135,0.466,1.3339
13800,0.5592,-2.9506,24.3438,0.464,1.3257
13900,0.5636,-2.9886,31.2211,0.4562,1.3289
14000,0.5619,-3.0027,36.2911,0.4562,1.312
14100,0.5621,-2.9675,39.1352,0.4598,1.3288
14200,0.5588,-2.9881,27.777,0.4775,1.2882
14300,0.5623,-3.0007,28.1493,0.4714,1.3223
14400,0.5604,-3.0206,28.2017,0.458,1.2692
14500,0.5504,-3.0287,22.643,0.4731,1.3292
14600,0.5591,-3.029,37.4648,0.4679,1.2848
14700,0.5521,-3.0684,28.8643,0.4803,1.327
14800,0.5503,-3.0556,20.3608,0.4713,1.3041
14900,0.5484,-3.0664,21.3493,0.4651,1.2836
15000,0.5466,-3.0811,22.3442,0.4449,1.2645
15100,0.5461,-3.0985,24.9595,0.4557,1.3109
15200,0.5471,-3.1097,24.731,0.473,1.3329
15300,0.5489,-3.0812,21.8084,0.4583,1.3056
15400,0.5507,-3.0962,20.6436,0.456,1.2521
15500,0.5498,-3.107,30.0212,0.4613,1.3291
15600,0.5508,-3.1164,30.8806,0.4581,1.3104
15700,0.5459,-3.1308,26.3088,0.4714,1.3243
15800,0.5453,-3.1339,19.5067,0.4619,1.3078
15900,0.5405,-3.1466,20.8872,0.4836,1.3089
16000,0.546,-3.1448,26.4474,0.496,1.3177
16100,0.548,-3.1677,28.9915,0.4665,1.3243
16200,0.5502,-3.1703,32.1282,0.4605,1.2916
16300,0.5445,-3.171,22.5075,0.4916,1.3161
16400,0.5471,-3.17,27.5231,0.4735,1.2863
16500,0.5441,-3.1939,18.7932,0.4708,1.2995
16600,0.5459,-3.1819,21.2334,0.4749,1.3299
16700,0.545,-3.1991,28.0471,0.4343,1.2343
16800,0.5464,-3.195,28.7288,0.4796,1.332
16900,0.5524,-3.2133,36.988,0.461,1.2903
17000,0.5525,-3.2147,24.39,0.4678,1.3212
17100,0.5551,-3.2119,33.9815,0.4633,1.3364
17200,0.5518,-3.2137,31.7076,0.4692,1.2948
17300,0.5476,-3.2053,19.4156,0.467,1.299
17400,0.5481,-3.2198,27.422,0.4471,1.2665
17500,0.5464,-3.2231,25.3306,0.466,1.297
17600,0.5417,-3.2116,20.268,0.4698,1.3355
17700,0.5481,-3.216,29.5659,0.4675,1.3376
17800,0.5478,-3.2266,28.0178,0.4701,1.3299
