env_steps,return,restorations,infiltrations,length,FPS,time
0,-61.45,50,769,100,0.0,0.3827
100,-67.35,51,671,100,448.0304,0.2232
200,-75.9,56,670,100,342.7926,0.2917
300,-67.1,58,502,100,483.6159,0.2068
400,-72.1,55,586,100,504.1461,0.1984
500,-69.1,52,718,100,501.1733,0.1995
600,-61.0,43,828,100,499.736,0.2001
700,-76.4,55,724,100,356.2508,0.2807
800,-67.55,52,643,100,484.2362,0.2065
900,-72.85,53,721,100,487.4717,0.2051
1000,-60.9,51,674,100,3.5721,27.9944
1100,-67.25,51,689,100,23.7805,4.2051
1200,-71.35,57,527,100,23.8194,4.1983
1300,-68.05,53,673,100,24.9401,4.0096
1400,-66.35,43,875,100,23.835,4.1955
1500,-68.6,48,668,100,25.078,3.9876
1600,-60.0,51,616,100,26.2473,3.8099
1700,-72.65,55,609,100,23.2474,4.3016
1800,-73.7,55,726,100,25.6649,3.8964
1900,-69.9,52,706,100,21.3024,4.6943
2000,-80.6,59,652,100,25.5151,3.9192
2100,-75.8,60,564,100,24.4477,4.0904
2200,-55.4,50,572,100,20.4351,4.8935
2300,-60.4,53,612,100,25.6826,3.8937
2400,-64.3,47,698,100,24.9995,4.0001
2500,-58.7,52,590,100,24.9759,4.0039
2600,-72.55,58,631,100,26.3112,3.8007
2700,-66.3,45,806,100,22.7108,4.4032
2800,-70.05,51,685,100,23.2567,4.2998
2900,-51.2,45,572,100,26.2612,3.8079
3000,-60.9,40,878,100,25.0504,3.992
3100,-60.8,59,448,100,25.5843,3.9086
3200,-73.35,55,647,100,25.07,3.9888
3300,-72.2,51,788,100,24.961,4.0062
3400,-72.95,58,627,100,25.0778,3.9876
3500,-67.15,60,491,100,26.2095,3.8154
3600,-78.0,54,656,100,20.4135,4.8987
3700,-75.85,66,537,100,21.7211,4.6038
3800,-73.9,54,642,100,22.2949,4.4853
3900,-60.2,47,700,100,25.6421,3.8998
4000,-59.35,48,607,100,22.1835,4.5079
4100,-57.35,45,807,100,25.6591,3.8973
4200,-67.8,40,920,100,23.2255,4.3056
4300,-67.65,51,737,100,25.5873,3.9082
4400,-63.0,40,908,100,24.4152,4.0958
4500,-72.9,49,790,100,23.2472,4.3016
4600,-66.45,50,693,100,23.3337,4.2857
4700,-66.05,52,589,100,27.7176,3.6078
4800,-75.1,49,802,100,27.0429,3.6978
4900,-75.5,54,690,100,24.4487,4.0902
5000,-70.65,53,697,100,22.7269,4.4001
5100,-53.5,46,602,100,24.9197,4.0129
5200,-78.05,60,641,100,24.9958,4.0007
5300,-72.25,49,861,100,26.2909,3.8036
