env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.4556,-1.01,1.2046,0.3982,0.9094
1100,0.2531,-1.2757,5.8101,0.5511,1.2669
1200,0.2563,-1.2022,2.2487,0.3386,0.7843
1300,0.2566,-1.1607,2.3682,0.5298,1.3086
1400,0.2504,-1.1193,2.8919,0.5331,1.2923
1500,0.2475,-1.0723,4.1866,0.5352,1.2926
1600,0.2616,-0.9937,2.0257,0.3852,0.9125
1700,0.2485,-0.9403,3.3183,0.5454,1.2703
1800,0.237,-0.8654,4.6474,0.5393,1.2969
1900,0.2615,-0.7877,4.5044,0.5372,1.2857
2000,0.2657,-0.7399,4.1059,0.5467,1.306
2100,0.2565,-0.679,6.2729,0.5443,1.2755
2200,0.2484,-0.5698,5.2951,0.5278,1.3155
2300,0.2395,-0.4772,5.528,0.5281,1.2872
2400,0.2297,-0.3741,5.3433,0.5347,1.3015
2500,0.23,-0.3029,7.2099,0.5395,1.2694
2600,0.2356,-0.2129,10.1646,0.529,1.2798
2700,0.2608,-0.1177,8.5653,0.541,1.2684
2800,0.2659,-0.022,9.9035,0.55,1.2663
2900,0.2831,0.0373,8.3023,0.5448,1.2572
3000,0.2845,0.1378,10.9714,0.5162,1.3098
3100,0.2993,0.2352,12.4259,0.5231,1.3053
3200,0.2998,0.3801,11.6716,0.5283,1.3059
3300,0.3141,0.4508,12.9939,0.5112,1.2867
3400,0.3128,0.5569,13.0697,0.5241,1.2653
3500,0.3237,0.7167,16.1837,0.527,1.3016
3600,0.3339,0.8416,15.9506,0.5285,1.2884
3700,0.3576,0.9531,18.6486,0.521,1.2826
3800,0.3514,1.1199,16.7473,0.5181,1.3012
3900,0.3606,1.2268,16.8793,0.5246,1.2559
4000,0.3832,1.4102,19.9332,0.5454,1.2661
4100,0.4175,1.532,21.1876,0.5058,1.3067
4200,0.4203,1.6942,19.78,0.513,1.2547
4300,0.4412,1.8355,27.2975,0.5328,1.2785
4400,0.4539,1.9871,26.9238,0.513,1.2859
4500,0.4878,2.18,28.3393,0.522,1.3016
4600,0.5001,2.3692,25.8756,0.527,1.285
4700,0.5277,2.5333,28.4451,0.5095,1.3163
4800,0.5689,2.6288,33.1113,0.4962,1.2963
4900,0.5669,2.8288,34.9695,0.5204,1.2636
5000,0.5763,2.9991,36.3043,0.5019,1.2806
5100,0.6256,3.1186,39.8268,0.5181,1.2519
5200,0.617,3.3198,39.2232,0.5136,1.288
5300,0.6368,3.5026,43.1287,0.5264,1.2896
5400,0.6902,3.6453,44.9046,0.5375,1.3093
5500,0.6945,3.8138,45.0797,0.5231,1.232
5600,0.713,3.9934,48.157,0.5175,1.2593
5700,0.7251,4.1155,50.1736,0.506,1.2498
5800,0.7162,4.2763,43.3738,0.5277,1.2544
5900,0.7058,4.4899,47.4017,0.5067,1.2585
6000,0.7402,4.5608,52.5346,0.5206,1.2954
6100,0.776,4.6982,50.5303,0.4834,1.2605
6200,0.7903,4.9632,55.0845,0.5258,1.2549
6300,0.8427,5.1521,57.8735,0.5154,1.2761
6400,0.8235,5.3517,61.2139,0.5213,1.2936
6500,0.839,5.5328,56.6517,0.5196,1.2917
6600,0.8681,5.7851,62.1148,0.51,1.2643
6700,0.8873,5.9936,58.9634,0.5093,1.2985
6800,0.9135,6.2441,67.3845,0.54,1.2703
6900,0.8876,6.4146,58.9874,0.513,1.256
7000,0.8699,6.5151,59.8598,0.5235,1.2963
7100,0.9403,6.7551,73.5559,0.5093,1.3024
7200,0.9775,6.8956,68.9831,0.4878,1.2051
7300,1.0095,7.1054,71.9803,0.5191,1.3061
7400,1.0208,7.3286,73.1225,0.5056,1.2403
7500,0.9735,7.4738,66.6118,0.5052,1.2559
7600,1.0188,7.5732,71.0625,0.5197,1.3079
7700,1.0213,7.8346,75.9891,0.5237,1.2864
7800,1.0411,7.9649,71.4937,0.5163,1.2433
7900,1.1157,8.0908,83.3937,0.5331,1.276
8000,1.1621,8.2579,97.4795,0.4968,1.272
8100,1.0825,8.393,70.2559,0.49,1.3227
8200,1.1223,8.6025,84.5922,0.5099,1.2984
8300,1.1636,8.8054,88.8132,0.5112,1.2747
8400,1.3106,9.0033,108.0393,0.4774,1.237
8500,1.1734,9.1679,82.1578,0.4487,1.2048
8600,1.2238,9.2699,89.7192,0.5362,1.2738
8700,1.1571,9.3988,73.7888,0.5232,1.3178
8800,1.1629,9.544,90.1863,0.5085,1.2294
8900,1.1802,9.7958,82.8573,0.5215,1.3
9000,1.2371,9.8633,99.5383,0.5183,1.265
9100,1.2432,10.1419,94.3393,0.5151,1.2815
9200,1.2451,10.2198,90.6139,0.5078,1.266
9300,1.3357,10.4081,110.1367,0.5413,1.2921
9400,1.2493,10.5865,91.7268,0.5278,1.2646
9500,1.3683,10.7582,102.776,0.4769,1.2296
9600,1.3679,10.9765,107.8274,0.5249,1.3054
9700,1.4509,11.2133,112.4191,0.5098,1.2926
9800,1.423,11.3437,98.9116,0.5289,1.2819
9900,1.4229,11.5085,104.2345,0.5133,1.2648
10000,1.4553,11.8039,112.3392,0.5011,1.291
10100,1.6094,12.0091,131.3905,0.5206,1.2425
10200,1.5216,12.1625,115.4144,0.5498,1.2647
10300,1.553,12.3766,118.2038,0.5051,1.2994
10400,1.524,12.6384,123.8202,0.5254,1.3015
10500,1.6306,12.8358,122.5289,0.4981,1.2363
10600,1.6686,13.022,136.8499,0.526,1.2804
10700,1.6525,13.293,128.558,0.5202,1.2741
10800,1.6099,13.3864,126.6399,0.5139,1.3178
10900,1.8028,13.6052,156.5598,0.5149,1.3051
11000,1.6958,13.8635,114.0353,0.4963,1.2614
11100,1.7094,14.051,131.9063,0.5081,1.2501
11200,1.7178,14.2278,136.6857,0.5047,1.3508
11300,1.8401,14.4357,140.8889,0.515,1.2856
11400,1.854,14.5965,147.3405,0.5345,1.2924
11500,1.8801,14.8769,153.6185,0.5147,1.2788
11600,1.8597,15.0365,146.4926,0.5303,1.2942
11700,1.8616,15.316,149.5516,0.5318,1.3118
11800,1.8791,15.5605,143.9414,0.53,1.2569
11900,1.9458,15.687,166.1844,0.5177,1.2586
12000,2.0195,16.0018,157.1433,0.4996,1.3127
12100,2.0596,16.1552,161.9822,0.5155,1.2625
12200,2.0834,16.5257,169.8999,0.4966,1.2983
12300,2.1244,16.6544,172.6897,0.5404,1.2382
12400,2.1596,16.9121,167.9163,0.5224,1.2799
12500,2.1318,17.2618,173.2837,0.5185,1.2631
12600,2.168,17.4783,164.2571,0.5018,1.3322
12700,2.1637,17.7992,155.081,0.5349,1.2621
12800,2.141,17.9759,176.6389,0.5141,1.2758
12900,2.2051,18.2225,194.0516,0.5127,1.2827
13000,2.2893,18.4301,191.134,0.5213,1.2527
13100,2.3999,18.7264,196.6181,0.4877,1.2438
13200,2.4663,19.0232,220.7474,0.518,1.3328
13300,2.6183,19.2013,228.195,0.4854,1.2546
13400,3.1672,19.5753,273.6078,0.5414,1.2357
13500,2.5928,19.7132,224.7454,0.5274,1.2682
13600,2.7118,19.9859,232.3972,0.5397,1.2532
13700,2.8799,20.2069,248.3045,0.5249,1.2839
13800,2.901,20.4707,242.2233,0.5364,1.2831
13900,2.8347,20.7715,230.385,0.5346,1.2651
14000,2.7755,20.915,226.5607,0.5251,1.2548
14100,2.8891,21.2741,254.7669,0.489,1.3259
14200,3.1569,21.4778,247.6795,0.5149,1.3304
14300,2.9766,21.8548,242.0163,0.4798,1.2325
14400,2.9703,22.0149,229.6918,0.4964,1.2827
14500,3.1172,22.1992,264.1114,0.5212,1.3111
14600,3.0932,22.562,240.9508,0.5235,1.2808
14700,3.2106,22.7269,267.0916,0.5266,1.3155
14800,3.5131,23.2128,336.7483,0.5154,1.2648
14900,3.3299,23.3916,266.6988,0.5259,1.3213
