env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.5948,-1.0834,0.3009,0.0813,0.1227
1100,0.5616,-1.8203,0.3709,0.0545,0.0689
1200,0.5635,-1.9207,0.3897,0.1897,0.3851
1300,0.56,-2.0056,0.5914,0.091,0.1445
1400,0.5521,-2.1017,0.4221,0.1002,0.1914
1500,0.5488,-2.1737,0.4472,0.2117,0.4513
1600,0.5551,-2.2395,1.1246,0.07,0.1302
1700,0.5484,-2.3027,0.6523,0.187,0.4088
1800,0.5541,-2.3569,0.6495,0.1925,0.4362
1900,0.5445,-2.4066,0.8318,0.0843,0.1101
2000,0.546,-2.4537,0.8305,0.0556,0.0517
2100,0.5446,-2.5171,0.8022,0.1283,0.2944
2200,0.544,-2.5748,1.597,0.0574,0.1063
2300,0.5438,-2.6567,1.0139,0.2034,0.4985
2400,0.5372,-2.7159,1.4057,0.2398,0.5497
2500,0.5383,-2.7634,1.0046,0.1535,0.3351
2600,0.5326,-2.8206,1.1368,0.3222,0.8164
2700,0.535,-2.8712,1.9846,0.4999,1.3354
2800,0.5404,-2.9277,1.8643,0.3022,0.7924
2900,0.5401,-2.9798,4.4422,0.4449,1.1893
3000,0.544,-3.0213,2.335,0.1653,0.3874
3100,0.5512,-3.0665,2.6105,0.4919,1.3418
3200,0.5473,-3.1041,2.3025,0.149,0.3161
3300,0.55,-3.1502,5.6183,0.487,1.3444
3400,0.5496,-3.1976,4.4517,0.2394,0.5996
3500,0.5386,-3.2413,2.1577,0.2401,0.6259
3600,0.5347,-3.2894,2.8337,0.4836,1.3361
3700,0.5325,-3.3147,4.4697,0.4818,1.3019
3800,0.5349,-3.3418,3.9383,0.4759,1.3285
3900,0.5373,-3.4105,8.0072,0.4784,1.3216
4000,0.5385,-3.4335,8.101,0.4771,1.3374
4100,0.537,-3.481,5.4523,0.478,1.3225
4200,0.5347,-3.5192,4.3697,0.502,1.3283
4300,0.5381,-3.5561,4.0091,0.4696,1.3203
4400,0.5363,-3.5995,4.224,0.473,1.3404
4500,0.5384,-3.6225,8.7084,0.4757,1.3398
4600,0.5338,-3.6691,5.6837,0.4763,1.3053
4700,0.5333,-3.7015,4.7634,0.4759,1.3301
4800,0.5412,-3.7366,14.2469,0.4653,1.3323
4900,0.5515,-3.7647,14.9692,0.4683,1.3335
5000,0.553,-3.7831,8.1592,0.4969,1.2929
5100,0.5515,-3.8064,6.9018,0.4795,1.3289
5200,0.5563,-3.8331,9.8348,0.4804,1.3231
5300,0.5461,-3.8718,7.2515,0.4611,1.3278
5400,0.5582,-3.9044,11.2584,0.4986,1.3609
5500,0.5587,-3.9265,9.4902,0.4723,1.3231
5600,0.5585,-3.9478,9.5989,0.4802,1.3424
5700,0.5589,-3.9762,7.8685,0.4793,1.3253
5800,0.5573,-4.0038,14.827,0.4696,1.3407
5900,0.5586,-4.0245,15.4464,0.4677,1.3347
6000,0.5658,-4.0398,13.0321,0.4747,1.3347
6100,0.5601,-4.0471,9.6012,0.4733,1.3414
6200,0.5617,-4.0615,10.4206,0.4977,1.3209
6300,0.5623,-4.0739,10.624,0.4698,1.344
6400,0.5622,-4.0935,11.1474,0.4657,1.316
6500,0.5612,-4.119,11.8669,0.4659,1.3293
