env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.2213,-1.0738,0.5202,0.0308,0.0307
1100,0.0527,-1.3464,0.5948,0.0421,0.0411
1200,0.0635,-1.3685,0.7246,0.049,0.0487
1300,0.0671,-1.3896,0.7022,0.0475,0.0466
1400,0.0514,-1.4176,0.8018,0.0257,0.0249
1500,0.0548,-1.4133,0.6157,0.0371,0.0351
1600,0.0649,-1.389,0.7955,0.1052,0.1037
1700,0.0632,-1.3845,0.7563,0.0499,0.0475
1800,0.0616,-1.3661,0.5683,0.0603,0.0595
1900,0.0609,-1.3482,0.8849,0.0385,0.0361
2000,0.0594,-1.2947,0.5638,0.0778,0.0752
2100,0.0642,-1.2626,0.6671,0.0464,0.0435
2200,0.0688,-1.2091,0.8131,0.0765,0.0741
2300,0.0639,-1.1497,0.9639,0.1798,0.1743
2400,0.0794,-1.0734,1.6076,0.1437,0.1443
2500,0.0747,-1.0014,0.8865,0.0576,0.0552
2600,0.0702,-0.9369,0.822,0.1198,0.1183
2700,0.072,-0.8428,1.0943,0.1802,0.1773
2800,0.0772,-0.7326,1.0305,0.1257,0.1244
2900,0.0733,-0.6411,0.7465,0.0806,0.0822
3000,0.0743,-0.5392,1.0208,0.1785,0.1733
3100,0.0781,-0.4461,0.8694,0.0834,0.0815
3200,0.073,-0.3422,0.9536,0.076,0.0785
3300,0.0713,-0.246,0.8115,0.1222,0.1184
3400,0.0749,-0.1401,1.0609,0.0785,0.0777
3500,0.0724,-0.0345,0.9924,0.1608,0.1546
3600,0.0799,0.0725,0.8904,0.0522,0.0511
3700,0.0855,0.1913,1.2021,0.1444,0.1419
3800,0.0851,0.3122,0.8418,0.0556,0.055
3900,0.0807,0.4272,1.0904,0.0668,0.0659
4000,0.0774,0.5471,1.516,0.2683,0.2589
4100,0.0865,0.6817,1.2324,0.2241,0.22
4200,0.0854,0.8151,1.1383,0.1655,0.1646
4300,0.0859,0.9496,1.0082,0.0696,0.0685
4400,0.0877,1.0751,1.0432,0.0914,0.0965
4500,0.0815,1.2157,0.9611,0.0809,0.0773
4600,0.083,1.3459,1.1622,0.0625,0.0622
4700,0.0805,1.4981,1.3934,0.1901,0.1834
4800,0.0863,1.6251,1.6404,0.158,0.1631
4900,0.0863,1.7523,1.3621,0.1043,0.1031
5000,0.0879,1.8919,1.2002,0.132,0.1267
5100,0.0921,2.0287,1.3632,0.101,0.1024
5200,0.0896,2.1769,1.1363,0.1395,0.1359
5300,0.0878,2.3066,0.9601,0.1261,0.1295
5400,0.0939,2.4333,1.5561,0.2361,0.2325
5500,0.09,2.5602,1.3146,0.1061,0.1049
5600,0.0902,2.6696,1.4593,0.2263,0.2316
5700,0.093,2.7959,1.4416,0.0869,0.0856
5800,0.0908,2.9401,1.2764,0.0723,0.0698
5900,0.0895,3.058,1.246,0.1064,0.1031
6000,0.0875,3.1691,1.3381,0.1142,0.1153
6100,0.0974,3.2882,1.4323,0.1535,0.1512
6200,0.0971,3.4225,1.4641,0.1198,0.1239
6300,0.0976,3.5482,1.8323,0.1065,0.1063
6400,0.1035,3.6816,1.861,0.1555,0.1576
6500,0.0989,3.7959,1.9133,0.0817,0.0834
6600,0.0991,3.9274,1.9497,0.1638,0.1631
6700,0.0998,4.0398,2.2034,0.1097,0.1196
6800,0.1045,4.1485,1.9623,0.0911,0.0965
6900,0.0984,4.2612,1.6906,0.2523,0.2639
7000,0.0941,4.3522,1.9136,0.1416,0.1447
7100,0.0933,4.4502,2.0645,0.1825,0.1932
7200,0.0975,4.5296,2.0173,0.1127,0.1131
7300,0.1027,4.6339,1.8721,0.204,0.2191
7400,0.1034,4.7175,2.6385,0.1279,0.1305
7500,0.101,4.8038,2.3456,0.2501,0.2664
7600,0.1029,4.8854,2.9147,0.1748,0.1833
7700,0.1049,4.9873,3.9032,0.1072,0.1166
7800,0.1049,5.0608,2.8353,0.2147,0.226
7900,0.1065,5.1412,4.8139,0.1738,0.192
8000,0.1026,5.2266,2.6648,0.1268,0.127
8100,0.1113,5.3113,3.3689,0.2252,0.2465
8200,0.1092,5.3755,3.8761,0.3806,0.4154
8300,0.1081,5.4716,4.832,0.2278,0.2387
8400,0.1054,5.5427,3.3424,0.3689,0.4001
8500,0.1054,5.6234,4.2278,0.2383,0.2584
8600,0.1077,5.6978,4.2194,0.1537,0.1596
8700,0.107,5.7931,4.6557,0.1826,0.197
8800,0.1073,5.8673,3.8509,0.2083,0.2314
8900,0.1079,5.9473,4.2385,0.5706,0.6571
9000,0.1062,6.0133,3.3798,0.2309,0.2628
9100,0.1074,6.0894,5.7138,0.1622,0.1799
9200,0.1097,6.1425,7.933,0.4297,0.4936
9300,0.108,6.2031,9.1404,0.3776,0.4417
9400,0.1078,6.262,7.0108,0.5784,0.6749
9500,0.1109,6.3198,11.7363,0.5587,0.6529
9600,0.1129,6.3804,10.6379,0.5102,0.5937
9700,0.1113,6.4379,5.1432,0.4429,0.5198
9800,0.11,6.4811,6.7226,0.2884,0.3401
9900,0.1101,6.5336,5.8138,0.3918,0.4571
10000,0.1159,6.5774,8.0194,0.5259,0.6356
10100,0.1229,6.6272,18.6111,0.5342,0.6461
10200,0.1151,6.6483,10.5855,0.4222,0.4931
10300,0.1151,6.6887,8.0075,0.2038,0.2432
10400,0.1212,6.7222,15.3621,0.1711,0.1936
10500,0.1171,6.7435,6.7435,0.5434,0.6426
10600,0.1168,6.7918,6.9417,0.2779,0.328
10700,0.1151,6.82,9.5294,0.1922,0.225
10800,0.1138,6.8642,10.6188,0.5146,0.6185
10900,0.1197,6.8921,10.3485,0.4738,0.5821
11000,0.1261,6.905,20.5953,0.5117,0.6129
11100,0.1278,6.939,18.7546,0.4979,0.6032
11200,0.1298,6.9779,19.7538,0.5136,0.6237
11300,0.1464,6.9898,28.9824,0.4894,0.5782
11400,0.1447,7.0023,26.5706,0.3667,0.4272
11500,0.1362,7.0307,9.6537,0.2355,0.2795
11600,0.1392,7.0537,25.0727,0.4781,0.5885
11700,0.1319,7.0801,12.2073,0.2612,0.2873
11800,0.1289,7.0799,14.5068,0.4884,0.5989
11900,0.128,7.1169,12.8222,0.2894,0.3388
12000,0.1287,7.1205,16.2442,0.4682,0.579
12100,0.1317,7.1338,19.4285,0.2444,0.2759
12200,0.1304,7.1336,19.2831,0.277,0.3273
12300,0.1251,7.1565,13.3635,0.481,0.6036
12400,0.1245,7.1731,14.2565,0.4749,0.5845
12500,0.1314,7.2014,23.6158,0.4668,0.5784
12600,0.1282,7.1949,18.9483,0.1776,0.1926
12700,0.1315,7.2014,17.0037,0.4526,0.5635
12800,0.1377,7.2145,38.4663,0.4771,0.5924
12900,0.1345,7.2136,29.8901,0.4646,0.5707
13000,0.1338,7.2262,20.8338,0.4553,0.575
