env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,0.5015,-0.9624,0.0562,0.078
1100,0.3549,-1.341,0.1217,0.2915
1200,0.3629,-1.3701,0.2641,0.6548
1300,0.3606,-1.3805,0.6826,1.6963
1400,0.3763,-1.3923,0.2258,0.5221
1500,0.3584,-1.3928,0.3069,0.7597
1600,0.3751,-1.3826,0.9059,2.4165
1700,0.3642,-1.3823,0.4162,1.059
1800,0.358,-1.3697,0.6075,1.6379
1900,0.3577,-1.3362,0.4183,1.0459
2000,0.3652,-1.2766,0.9675,2.5731
2100,0.4061,-1.2456,0.8345,2.1264
2200,0.3768,-1.2061,0.4266,1.0819
2300,0.3662,-1.1428,0.7275,1.8934
2400,0.3757,-1.0428,1.441,3.7862
2500,0.3794,-0.9753,1.1104,2.9118
2600,0.3617,-0.9089,0.8159,2.1146
2700,0.379,-0.8163,0.6889,1.7961
2800,0.3809,-0.719,1.696,4.483
2900,0.3963,-0.6549,2.6001,6.896
3000,0.3975,-0.5913,1.1241,2.9598
3100,0.4002,-0.5273,4.2816,11.5414
3200,0.4091,-0.5093,0.9772,2.5187
3300,0.4099,-0.4389,1.4872,3.9779
3400,0.4063,-0.4134,2.7716,7.6194
3500,0.3946,-0.373,2.045,5.4252
3600,0.4054,-0.2945,3.6805,9.8377
3700,0.3987,-0.2729,4.4954,11.9429
3800,0.4214,-0.2198,1.0208,2.6049
3900,0.4231,-0.1227,3.3301,8.7915
4000,0.4086,-0.0785,2.9699,7.9385
4100,0.4175,-0.0171,8.8565,24.0088
4200,0.4089,0.0471,1.9561,5.0947
4300,0.4227,0.1302,7.0644,19.0182
4400,0.4494,0.1937,4.7335,12.8076
4500,0.4204,0.1896,1.8392,4.7466
4600,0.4179,0.2301,0.9615,2.4561
4700,0.4174,0.3326,2.6389,6.965
4800,0.4469,0.4106,1.6398,4.2612
4900,0.4247,0.4555,2.8908,7.7288
5000,0.4374,0.4877,12.3911,33.7972
5100,0.4618,0.5563,2.2552,5.9129
5200,0.44,0.5379,3.1632,8.5109
5300,0.4202,0.5473,3.1437,8.1771
5400,0.4357,0.5969,8.3538,22.6121
5500,0.4853,0.5657,4.3978,11.9451
5600,0.4399,0.6223,1.708,4.5191
5700,0.4385,0.651,4.4918,11.6185
5800,0.4536,0.6643,3.7647,10.3286
5900,0.4547,0.7092,3.9877,10.0213
6000,0.4474,0.7752,4.7796,12.8676
6100,0.4581,0.8019,4.0437,10.4698
6200,0.5053,0.883,9.2439,23.2981
6300,0.4563,0.9141,3.07,8.2586
6400,0.4607,0.9749,6.9934,17.6252
6500,0.4819,1.055,3.1038,7.7254
6600,0.4542,1.0655,2.0338,5.4949
6700,0.4666,1.2089,7.3725,19.3613
6800,0.4621,1.2713,6.9676,18.7428
6900,0.4906,1.3694,3.7746,10.064
7000,0.4877,1.4265,8.9376,22.7074
7100,0.4793,1.4588,3.0747,7.8063
7200,0.4637,1.5367,3.5164,8.7565
7300,0.482,1.6677,5.2187,13.7821
7400,0.5143,1.7705,8.0383,21.2669
7500,0.5039,1.8445,2.5814,6.9053
7600,0.4959,1.878,6.9314,18.0901
7700,0.506,1.9704,3.703,9.7139
7800,0.5065,2.187,2.8276,7.3288
7900,0.6033,2.2333,10.1896,26.5366
8000,0.5665,2.3096,3.0784,7.8423
8100,0.5207,2.4119,6.0185,15.2196
8200,0.5796,2.4943,5.3228,14.2023
8300,0.5393,2.6179,8.5693,22.6513
8400,0.5626,2.7147,3.0434,8.238
8500,0.5925,2.7927,4.6144,11.9173
8600,0.6138,2.8522,9.115,23.666
8700,0.6347,2.9667,3.8187,9.7885
8800,0.6039,3.0583,10.8258,28.0051
8900,0.6075,3.1253,8.1901,20.8939
9000,0.6587,3.187,2.3207,5.8387
9100,0.6214,3.2735,9.0215,23.8509
9200,0.669,3.36,17.7284,44.8416
9300,0.6362,3.4686,2.3474,6.0048
9400,0.6509,3.5335,3.5648,8.9461
9500,0.6387,3.6123,4.4957,11.0817
9600,0.6827,3.6745,5.713,14.9383
9700,0.6976,3.7995,5.6261,14.8847
9800,0.7041,3.905,8.523,22.8773
9900,0.7258,3.9451,9.3725,24.5859
10000,0.7364,4.0341,6.0725,16.3849
10100,0.7241,4.0538,4.1379,10.7819
10200,0.7372,4.164,10.2017,26.8526
10300,0.7582,4.2355,8.5289,21.8753
10400,0.7851,4.4007,5.5192,13.8364
10500,0.822,4.4993,10.7469,28.1129
10600,0.7867,4.5662,2.7602,6.7686
10700,0.7864,4.6158,7.9018,21.4386
10800,1.0481,4.7505,11.0749,30.1289
10900,0.8694,4.8454,2.0235,5.1157
11000,0.8781,4.9156,7.0287,18.4492
11100,0.8884,5.0519,8.7141,22.6686
11200,0.8768,5.1984,5.1518,13.4867
11300,0.9379,5.2934,10.6715,27.0899
11400,0.9239,5.3372,5.0239,12.2414
11500,0.9129,5.4465,3.3659,8.3745
11600,0.9526,5.6121,8.5259,22.2809
11700,0.9846,5.7298,12.8534,30.6142
11800,1.1327,5.8443,8.1066,19.6486
11900,1.0111,5.9323,9.4162,23.4693
12000,1.0144,6.0922,11.8395,29.4661
12100,1.0258,6.1816,4.2698,11.1038
12200,1.2734,6.2782,21.4381,55.2626
12300,1.2199,6.3706,4.3151,10.9297
12400,1.0554,6.4887,5.9356,14.5075
12500,1.0806,6.6259,10.0431,25.5862
12600,1.0922,6.7523,7.7558,20.0442
12700,1.2175,6.8501,14.4563,33.8764
12800,1.2495,6.9884,14.6353,35.1006
12900,1.2209,7.1236,8.4017,19.9173
13000,1.2236,7.2202,9.3262,23.6187
13100,1.2552,7.3364,6.9862,18.0067
13200,1.2401,7.4267,10.9832,28.2019
13300,1.2646,7.5099,15.495,38.4365
13400,1.3863,7.6649,9.2773,23.1367
13500,1.3481,7.8147,25.8222,64.594
13600,1.3591,7.9269,9.5437,23.3707
13700,1.3647,8.0156,10.8341,26.524
13800,1.3536,8.104,8.9527,22.3273
13900,1.3504,8.2906,29.4833,74.1394
14000,1.4686,8.4171,12.4501,31.6391
14100,1.6748,8.4867,20.3496,51.3425
14200,1.7638,8.7161,13.1873,32.6746
14300,1.4985,8.8078,5.4887,13.6359
14400,1.4991,8.9781,5.369,13.8572
14500,1.6129,9.1414,6.0151,14.1357
14600,1.6531,9.3173,15.8556,37.6887
14700,1.6536,9.399,9.751,24.6029
14800,1.6605,9.5431,14.156,36.3419
14900,1.8865,9.7051,32.7827,84.7269
15000,1.9417,9.8996,19.3726,47.5438
15100,1.9017,10.0205,7.5238,19.0749
15200,1.8502,10.222,11.5794,26.165
15300,1.9661,10.4143,7.8205,19.1322
15400,2.1925,10.4393,25.5025,63.4648
15500,2.0024,10.6809,7.6511,18.8563
15600,2.0373,10.8659,12.9849,32.7089
15700,2.1594,11.0925,38.3867,101.6271
15800,6.8201,11.0291,16.6583,41.2614
15900,3.0549,11.2716,8.3906,20.5589
16000,2.4555,11.4733,4.9323,12.3922
16100,2.4748,11.6936,22.2271,59.1639
16200,2.4996,11.8387,8.1569,20.058
16300,2.524,12.0126,17.1172,39.8157
16400,2.5602,12.2049,8.0469,19.6962
16500,2.6366,12.4508,19.0686,45.7829
16600,2.6482,12.5416,16.2209,37.5637
16700,2.747,12.8148,6.5079,16.1831
16800,2.8038,13.0587,18.6978,43.6137
16900,2.8209,13.265,8.1128,20.0198
17000,2.8227,13.4444,14.0221,34.9058
17100,2.8874,13.7245,8.8964,21.2392
17200,2.9353,13.8389,15.5433,37.35
17300,2.9867,13.9789,31.1043,79.2754
17400,3.1943,14.269,26.1079,65.8974
17500,3.1271,14.5454,13.7618,34.2129
17600,3.0236,14.6759,14.9844,35.5753
17700,3.0674,15.0021,12.7589,31.1305
17800,3.0812,15.1255,28.554,71.1432
17900,3.2288,15.331,16.2945,40.8537
18000,3.4035,15.6305,19.0536,49.1485
18100,3.3626,15.8194,10.8896,26.5222
18200,3.2164,16.069,25.7522,61.6819
18300,3.2127,16.2034,24.0551,57.9287
18400,3.5107,16.5656,17.2333,45.036
18500,3.3392,16.6845,15.9002,39.6816
18600,3.3232,16.9364,15.1659,38.9922
18700,3.4512,17.1755,18.3028,43.5233
18800,3.4785,17.6049,30.1071,73.627
18900,3.7506,17.8586,27.9756,71.146
19000,3.8727,17.9563,27.6656,67.1164
19100,4.0262,18.2175,14.0076,36.8583
19200,3.6865,18.4514,54.4304,136.6844
