env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,0.5503,-0.9154,0.3764,0.6852
1100,0.4691,-1.2745,0.425,0.7414
1200,0.5145,-1.3138,0.4667,0.8521
1300,0.4989,-1.385,0.5676,1.0898
1400,0.4891,-1.4478,0.6099,1.1003
1500,0.4871,-1.5478,0.2809,0.4408
1600,0.5192,-1.6001,0.3151,0.5835
1700,0.5025,-1.6601,0.4469,0.738
1800,0.4954,-1.7304,0.4849,0.8582
1900,0.5028,-1.7771,0.7406,1.5085
2000,0.5108,-1.8452,0.4929,0.8366
2100,0.5094,-1.8864,0.5387,0.9457
2200,0.5231,-1.919,0.8956,1.9025
2300,0.4996,-1.9696,0.5076,0.9801
2400,0.5259,-2.0316,0.9829,2.0654
2500,0.4991,-2.0805,0.7023,1.4712
2600,0.4769,-2.127,0.6087,1.2599
2700,0.5004,-2.1459,0.6255,1.2068
2800,0.4777,-2.2158,0.5575,1.0178
2900,0.4809,-2.2496,0.4527,0.8515
3000,0.5206,-2.2724,0.4423,0.7557
3100,0.5105,-2.3225,0.8418,1.9229
3200,0.5285,-2.3584,0.7802,1.4222
3300,0.5242,-2.3735,0.371,0.7704
3400,0.5279,-2.4426,0.9521,2.0859
3500,0.5132,-2.4715,0.8609,1.9497
3600,0.5412,-2.5147,1.1954,2.7695
3700,0.5336,-2.5442,1.0241,2.2435
3800,0.5468,-2.5787,0.835,1.9154
3900,0.5179,-2.6184,0.7715,1.6805
4000,0.5421,-2.6429,0.9161,2.0605
4100,0.5217,-2.7053,1.0898,2.5474
4200,0.5369,-2.6945,0.7609,1.7009
4300,0.5591,-2.7732,1.7962,4.2499
4400,0.5423,-2.7712,1.119,2.6476
4500,0.5588,-2.8225,1.2268,2.6544
4600,0.5294,-2.8609,0.873,1.8598
4700,0.5692,-2.8434,1.3486,2.9957
4800,0.5371,-2.8706,1.1762,2.7361
4900,0.5641,-2.9201,0.7685,1.473
5000,0.5624,-2.9372,1.0712,2.5366
5100,0.5448,-2.9881,0.6539,1.2199
5200,0.5666,-2.9988,0.5492,1.1186
5300,0.537,-3.0237,0.6113,1.2174
5400,0.5411,-3.0748,1.2539,2.822
5500,0.5507,-3.0641,0.9595,2.1157
5600,0.5691,-3.0886,0.9507,2.1809
5700,0.5493,-3.1181,0.9622,2.2604
5800,0.5334,-3.1675,1.2679,2.8456
5900,0.5513,-3.1976,1.6859,4.2237
6000,0.5312,-3.1883,0.5582,1.1894
6100,0.5367,-3.213,1.0719,2.5352
6200,0.5527,-3.2276,1.5944,3.7859
6300,0.5595,-3.2598,0.7927,1.5497
6400,0.5713,-3.2718,0.6636,1.3745
6500,0.5638,-3.2699,0.6878,1.3277
6600,0.5693,-3.319,1.3046,2.9812
6700,0.5599,-3.3334,1.306,3.1587
6800,0.5276,-3.3447,1.4313,3.6233
6900,0.5601,-3.3801,1.2099,2.6221
7000,0.5679,-3.3925,0.8758,1.9949
7100,0.5319,-3.4271,1.0287,2.3909
7200,0.5568,-3.4526,1.3022,2.7759
7300,0.5452,-3.4293,1.3258,3.0383
7400,0.5634,-3.4674,0.8723,1.7706
7500,0.5426,-3.4986,0.8586,1.8362
7600,0.5403,-3.5301,0.795,1.7674
7700,0.5397,-3.5678,0.9443,2.2353
7800,0.5277,-3.5427,0.7829,1.8311
7900,0.547,-3.5681,1.7408,4.1201
8000,0.5637,-3.5537,0.739,1.2942
8100,0.5628,-3.5743,0.696,1.3536
8200,0.5548,-3.6177,0.877,1.7628
8300,0.57,-3.6171,0.9211,2.0979
8400,0.5579,-3.6356,0.9144,2.0109
8500,0.5438,-3.6806,0.7929,1.4989
8600,0.5643,-3.661,1.3196,3.2575
8700,0.569,-3.6977,0.7556,1.4171
8800,0.5862,-3.6906,0.8597,1.8306
8900,0.5408,-3.7106,0.7692,1.6311
9000,0.5422,-3.7457,0.8471,1.8306
9100,0.5531,-3.7526,0.788,1.7948
9200,0.5593,-3.7497,0.6244,1.4125
9300,0.546,-3.7993,2.0982,4.9406
9400,0.603,-3.7532,0.6105,1.1029
9500,0.5563,-3.7916,1.3707,3.2798
9600,0.5535,-3.8235,0.9489,1.9604
9700,0.5555,-3.8328,0.9836,2.2638
9800,0.5727,-3.8536,0.6039,1.2079
9900,0.5673,-3.8609,1.0399,2.5064
10000,0.5661,-3.8592,0.7139,1.5223
10100,0.5289,-3.8629,0.9179,2.0934
10200,0.5457,-3.8975,1.0221,2.2641
10300,0.5541,-3.8979,1.055,2.0296
10400,0.5783,-3.9132,1.9831,4.8131
10500,0.5326,-3.9484,0.5718,1.0779
10600,0.5365,-3.9181,1.2035,2.7407
10700,0.5337,-3.9279,0.7298,1.5672
10800,0.5807,-3.9485,0.9318,2.0121
10900,0.5662,-3.9616,1.1605,2.6464
11000,0.563,-3.9689,0.9619,2.2509
11100,0.548,-3.9377,0.9877,2.1475
11200,0.5599,-3.9553,1.2317,2.7283
11300,0.5544,-3.9736,0.8924,1.8747
11400,0.5587,-3.9866,0.7547,1.5667
11500,0.5665,-3.9864,1.0169,2.144
11600,0.5463,-4.0073,0.9559,2.0539
11700,0.5495,-4.0104,0.9517,2.0808
11800,0.5583,-3.9911,0.845,1.7865
11900,0.5484,-4.0169,0.7885,1.4872
12000,0.5609,-3.9879,0.7203,1.4533
12100,0.544,-4.0431,0.9123,1.9542
12200,0.5422,-4.052,0.7592,1.6077
12300,0.5407,-4.0547,1.0142,2.1709
12400,0.5423,-4.0508,0.6374,1.4193
12500,0.5568,-4.087,1.284,2.9488
12600,0.556,-4.0867,1.468,3.5264
12700,0.5371,-4.0782,1.3434,3.1455
12800,0.5676,-4.0687,0.7839,1.5149
12900,0.537,-4.07,0.8185,1.7596
13000,0.5597,-4.0789,2.3467,5.9209
13100,0.5584,-4.0632,0.9275,1.9885
13200,0.5792,-4.0982,0.8944,1.9795
13300,0.5443,-4.08,0.9497,2.0858
13400,0.5467,-4.0889,1.0187,2.3502
13500,0.5856,-4.0952,1.3817,3.2675
13600,0.563,-4.1037,1.4104,3.2953
13700,0.5752,-4.0918,0.8121,1.8732
13800,0.5632,-4.1027,0.9789,2.2827
13900,0.5642,-4.1124,0.8417,1.8015
14000,0.5739,-4.1102,0.6135,1.2187
14100,0.5638,-4.101,0.8753,1.7691
14200,0.5386,-4.1243,0.7388,1.6279
14300,0.5378,-4.1546,0.7302,1.3081
14400,0.5472,-4.1448,0.7727,1.754
14500,0.5345,-4.1361,0.7409,1.6149
14600,0.565,-4.1281,0.7209,1.599
14700,0.58,-4.108,0.7776,1.7626
14800,0.5684,-4.1333,1.1117,2.6836
14900,0.537,-4.1428,1.1598,2.8983
15000,0.5674,-4.1644,0.904,2.1457
15100,0.5554,-4.136,1.0068,2.1657
15200,0.5352,-4.1502,1.1557,2.8206
15300,0.5442,-4.1457,1.0718,2.2901
15400,0.5252,-4.1486,0.8566,1.8088
15500,0.5375,-4.1212,0.9888,1.9762
15600,0.5492,-4.1365,0.7073,1.5003
15700,0.5328,-4.1593,1.0676,2.759
15800,0.5554,-4.1374,1.212,2.985
15900,0.5418,-4.1707,1.0279,2.3994
16000,0.5573,-4.1541,1.1012,2.5142
16100,0.5673,-4.1503,0.8051,1.8931
16200,0.537,-4.1409,0.783,1.6451
16300,0.5693,-4.1207,1.1496,2.4576
16400,0.5481,-4.1143,1.1494,2.7733
16500,0.5689,-4.1218,0.6154,1.3615
16600,0.5325,-4.1328,0.9177,2.1427
16700,0.5058,-4.1396,1.7804,4.6764
16800,0.5535,-4.1239,0.972,2.2406
16900,0.5514,-4.0909,0.7431,1.6321
17000,0.5333,-4.1176,0.6349,1.4791
17100,0.5446,-4.0824,1.2937,3.0811
17200,0.5315,-4.0666,0.771,1.6428
17300,0.5269,-4.0849,1.326,3.0064
17400,0.5633,-4.0764,1.1942,2.6575
17500,0.5329,-4.0818,0.6739,1.5227
17600,0.5226,-4.0606,0.7353,1.5659
17700,0.524,-4.0633,0.7982,1.7253
17800,0.5101,-4.0306,0.7435,1.6219
17900,0.5373,-4.0493,1.5041,3.6397
18000,0.5195,-4.0712,0.7135,1.4903
18100,0.5118,-4.0599,0.8681,1.743
18200,0.5209,-4.029,0.6453,1.3541
18300,0.5111,-4.0146,0.528,1.0121
18400,0.5019,-4.0339,1.3073,3.2797
18500,0.5163,-4.0076,0.8434,1.8126
18600,0.5194,-4.026,0.8123,1.7571
18700,0.5312,-3.9966,0.7003,1.4347
18800,0.544,-4.0033,0.6729,1.2654
18900,0.5413,-3.9883,0.6717,1.3178
19000,0.5353,-4.0065,1.3128,3.3359
19100,0.5387,-3.9711,0.9128,2.0907
19200,0.4973,-3.9929,1.049,2.67
19300,0.5029,-3.9635,0.764,1.8905
19400,0.5223,-3.9444,0.9129,2.011
19500,0.5079,-3.9737,0.5993,1.2293
19600,0.507,-3.944,0.6573,1.3581
19700,0.508,-3.9111,0.6617,1.3058
19800,0.5149,-3.9109,0.9723,2.1829
19900,0.5184,-3.9065,0.6599,1.3524
20000,0.5057,-3.8989,0.9783,2.1852
20100,0.5265,-3.898,0.7359,1.6588
20200,0.5449,-3.8623,0.7583,1.6716
20300,0.5092,-3.861,0.6701,1.3199
20400,0.5242,-3.849,0.973,2.1147
20500,0.5183,-3.8372,0.7751,1.5876
20600,0.518,-3.8324,0.5839,1.2023
20700,0.5196,-3.8125,0.8543,1.9675
20800,0.5117,-3.8082,0.5713,1.2295
