env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-26.2,0.12,0.0,100,0.0,0.8736
100,-985.7001,0.1,0.0,100,122.2663,0.8179
200,-970.7,0.16,0.0,100,127.7132,0.783
300,-28.7,0.17,0.0,100,140.6439,0.711
400,-1110.5,0.1,0.0,100,122.2985,0.8177
500,-640.9,0.14,0.0,100,113.3942,0.8819
600,-20.2,0.12,0.0,100,144.9136,0.6901
700,-1125.4001,0.17,0.0,100,121.8288,0.8208
800,-829.3,0.13,0.0,100,111.9995,0.8929
900,-25.5,0.15,0.0,100,140.2202,0.7132
1000,-940.3,0.17,0.0,100,1.695,58.9969
1100,-676.3,0.09,0.0,100,13.004,7.69
1200,-22.9,0.19,0.0,100,12.8022,7.8112
1300,-1109.6001,0.11,0.0,100,12.9921,7.697
1400,-759.5,0.15,0.0,100,12.5013,7.9992
1500,-27.2,0.12,0.0,100,11.6531,8.5814
1600,-915.6,0.07,0.0,100,12.0433,8.3034
1700,-658.1,0.09,0.0,100,12.1757,8.2131
1800,-22.2,0.12,0.0,100,12.5214,7.9863
1900,-1107.4,0.09,0.0,100,8.924,11.2058
2000,-713.0,0.13,0.0,100,7.6906,13.0029
2100,-24.3,0.13,0.0,100,7.8142,12.7972
2200,-1020.6001,0.09,0.0,100,7.584,13.1857
2300,-755.4,0.13,0.0,100,6.3288,15.8009
2400,-28.0,0.1,0.0,100,6.3285,15.8016
2500,-1076.0,0.18,0.0,100,6.6652,15.0032
2600,-708.3,0.12,0.0,100,6.7053,14.9136
2700,-18.3,0.13,0.0,100,7.303,13.6929
2800,-1107.9,0.15,0.0,100,7.1438,13.9981
2900,-683.0,0.1,0.0,100,6.941,14.4072
3000,-35.8,0.08,0.0,100,7.3068,13.686
3100,-948.2001,0.11,0.0,100,7.4562,13.4117
3200,-830.6,0.06,0.0,100,7.2474,13.798
3300,-30.2,0.12,0.0,100,7.2433,13.8059
3400,-1045.1001,0.17,0.0,100,7.4144,13.4872
3500,-804.1,0.09,0.0,100,7.1971,13.8945
3600,-24.0,0.1,0.0,100,7.0425,14.1996
3700,-1028.6001,0.19,0.0,100,7.2965,13.7051
3800,-749.1,0.08,0.0,100,7.5147,13.3073
3900,-25.7,0.07,0.0,100,7.748,12.9066
4000,-925.2001,0.08,0.0,100,7.518,13.3013
4100,-929.6,0.11,0.0,100,6.9891,14.3081
4200,-18.4,0.14,0.0,100,7.7015,12.9845
4300,-983.6,0.1,0.0,100,7.5195,13.2987
4400,-748.4,0.1,0.0,100,7.1458,13.9942
4500,-31.8,0.08,0.0,100,7.3553,13.5957
4600,-1109.1001,0.15,0.0,100,7.4557,13.4126
4700,-711.7,0.09,0.0,100,7.5829,13.1875
4800,-17.4,0.14,0.0,100,7.5608,13.2262
4900,-1027.2001,0.15,0.0,100,7.589,13.177
5000,-560.4,0.16,0.0,100,6.9899,14.3064
5100,-18.6,0.06,0.0,100,7.4591,13.4065
5200,-1001.7001,0.11,0.0,100,7.4669,13.3924
5300,-660.1,0.13,0.0,100,7.3532,13.5996
5400,-23.7,0.17,0.0,100,7.8155,12.7952
5500,-1029.4,0.11,0.0,100,7.8008,12.8192
5600,-684.7,0.11,0.0,100,7.2524,13.7885
5700,-21.2,0.12,0.0,100,7.3987,13.5158
5800,-935.2001,0.15,0.0,100,7.5338,13.2735
5900,-896.8,0.2,0.0,100,6.9379,14.4137
6000,-26.7,0.17,0.0,100,7.5165,13.3041
6100,-1112.4001,0.08,0.0,100,7.3006,13.6974
6200,-749.8,0.15,0.0,100,7.631,13.1044
6300,-33.8,0.08,0.0,100,7.4691,13.3885
6400,-1033.1001,0.17,0.0,100,7.2477,13.7974
6500,-701.2,0.09,0.0,100,7.2962,13.7058
6600,-25.8,0.08,0.0,100,7.4573,13.4097
6700,-961.8,0.15,0.0,100,7.4668,13.3926
6800,-559.6,0.09,0.0,100,7.639,13.0908
6900,-17.7,0.07,0.0,100,7.994,12.5094
7000,-1015.7,0.09,0.0,100,7.1441,13.9976
7100,-756.0,0.16,0.0,100,7.1466,13.9927
7200,-15.5,0.15,0.0,100,7.0875,14.1093
7300,-1006.0,0.14,0.0,100,7.4155,13.4852
7400,-775.5,0.11,0.0,100,7.5107,13.3144
7500,-26.8,0.18,0.0,100,7.4599,13.405
7600,-989.3,0.06,0.0,100,7.0483,14.1877
7700,-554.6,0.15,0.0,100,7.1919,13.9045
7800,-20.7,0.17,0.0,100,7.3049,13.6894
7900,-788.5001,0.18,0.0,100,7.4514,13.4203
8000,-781.8,0.11,0.0,100,7.5286,13.2826
8100,-19.6,0.16,0.0,100,7.4585,13.4076
8200,-1012.0001,0.17,0.0,100,7.2525,13.7883
8300,-750.1,0.09,0.0,100,7.183,13.9217
8400,-23.1,0.11,0.0,100,7.3639,13.5798
8500,-864.0,0.07,0.0,100,6.9903,14.3056
8600,-554.6,0.1,0.0,100,7.4604,13.4042
8700,-18.5,0.15,0.0,100,7.6931,12.9987
8800,-785.3,0.09,0.0,100,7.3015,13.6959
8900,-622.7001,0.06,0.0,100,7.0434,14.1978
9000,-27.9,0.09,0.0,100,7.5776,13.1968
9100,-856.4,0.03,0.0,100,7.3421,13.6201
9200,-770.9,0.13,0.0,100,7.1453,13.9952
9300,-30.1,0.11,0.0,100,7.6412,13.087
9400,-1019.6001,0.11,0.0,100,7.5117,13.3125
9500,-529.0,0.11,0.0,100,7.198,13.8928
9600,-22.8,0.08,0.0,100,7.5736,13.2038
9700,-864.3,0.08,0.0,100,6.998,14.2899
9800,-548.2,0.08,0.0,100,7.35,13.6055
9900,-30.1,0.11,0.0,100,7.5189,13.2999
10000,-983.8,0.1,0.0,100,0.0,4.4912
10100,-592.0,0.13,0.0,100,7.2966,13.705
10200,-23.4,0.14,0.0,100,7.297,13.7042
10300,-605.8,0.16,0.0,100,7.3965,13.52
10400,-873.9,0.11,0.0,100,7.3082,13.6833
10500,-21.9,0.09,0.0,100,8.2584,12.1089
10600,-894.9,0.14,0.0,100,7.418,13.4807
10700,-622.7,0.17,0.0,100,7.5703,13.2096
10800,-21.9,0.09,0.0,100,7.3048,13.6896
10900,-1001.4001,0.09,0.0,100,7.4594,13.4059
11000,-554.4,0.1,0.0,100,7.0346,14.2154
11100,-21.2,0.12,0.0,100,7.0951,14.0942
11200,-961.0001,0.06,0.0,100,7.1419,14.002
11300,-793.7,0.13,0.0,100,7.6338,13.0996
11400,-21.0,0.1,0.0,100,7.4123,13.491
11500,-1011.2001,0.14,0.0,100,7.7497,12.9037
11600,-478.6,0.12,0.0,100,7.1863,13.9154
11700,-21.2,0.12,0.0,100,7.0922,14.0999
11800,-920.1,0.06,0.0,100,7.2013,13.8863
11900,-719.4,0.11,0.0,100,7.2986,13.7012
12000,-23.9,0.09,0.0,100,7.3596,13.5877
12100,-885.6,0.09,0.0,100,7.5659,13.2172
12200,-700.5,0.18,0.0,100,7.2004,13.8881
12300,-31.0,0.1,0.0,100,7.298,13.7024
12400,-778.3,0.07,0.0,100,6.7606,14.7916
12500,-632.8,0.13,0.0,100,7.4493,13.4241
12600,-24.9,0.09,0.0,100,7.3027,13.6936
12700,-968.6,0.19,0.0,100,7.4082,13.4986
12800,-795.1,0.04,0.0,100,7.5276,13.2844
12900,-26.3,0.13,0.0,100,7.194,13.9004
13000,-993.8,0.12,0.0,100,6.99,14.3062
13100,-515.3,0.15,0.0,100,7.3998,13.5139
13200,-17.7,0.07,0.0,100,7.6951,12.9953
13300,-974.5001,0.09,0.0,100,7.5239,13.291
13400,-792.4,0.13,0.0,100,7.5193,13.2992
13500,-21.8,0.18,0.0,100,7.5222,13.294
13600,-919.5,0.1,0.0,100,7.2877,13.7217
13700,-667.0,0.15,0.0,100,6.948,14.3926
13800,-24.4,0.14,0.0,100,7.1434,13.9989
13900,-892.6,0.14,0.0,100,7.3478,13.6096
14000,-626.5,0.05,0.0,100,7.5216,13.2951
14100,-17.0,0.2,0.0,100,7.7584,12.8893
14200,-879.1,0.19,0.0,100,7.3577,13.5912
14300,-511.1,0.05,0.0,100,7.2465,13.7997
14400,-26.2,0.12,0.0,100,6.9448,14.3993
14500,-876.7,0.1,0.0,100,7.2965,13.7052
14600,-558.4,0.12,0.0,100,7.5222,13.2941
14700,-27.1,0.11,0.0,100,7.4563,13.4115
14800,-905.8,0.05,0.0,100,7.1389,14.0077
14900,-750.6,0.09,0.0,100,7.4134,13.4892
15000,-24.9,0.09,0.0,100,7.4054,13.5036
15100,-1008.4001,0.11,0.0,100,7.0899,14.1046
15200,-625.8,0.07,0.0,100,7.0416,14.2014
15300,-23.3,0.13,0.0,100,7.3074,13.6847
15400,-885.7001,0.12,0.0,100,7.5776,13.1968
15500,-856.7,0.15,0.0,100,7.5673,13.2147
15600,-26.8,0.08,0.0,100,7.6322,13.1024
15700,-1072.4,0.11,0.0,100,7.3063,13.6868
15800,-406.1,0.08,0.0,100,7.4041,13.506
15900,-24.1,0.11,0.0,100,7.1452,13.9953
16000,-805.9,0.07,0.0,100,7.2977,13.7029
16100,-726.2,0.11,0.0,100,7.3518,13.602
16200,-30.4,0.14,0.0,100,7.2485,13.7959
16300,-940.1001,0.11,0.0,100,7.0372,14.2101
16400,-665.4,0.07,0.0,100,7.0453,14.194
16500,-18.5,0.15,0.0,100,7.6343,13.0988
16600,-1010.8,0.04,0.0,100,7.0877,14.1089
16700,-419.6,0.1,0.0,100,7.5196,13.2985
16800,-21.7,0.07,0.0,100,7.4688,13.3891
16900,-811.5,0.1,0.0,100,7.4435,13.4345
17000,-667.1,0.17,0.0,100,7.1564,13.9735
17100,-19.3,0.13,0.0,100,7.4086,13.4978
17200,-831.5001,0.1,0.0,100,7.4593,13.4061
17300,-680.7,0.13,0.0,100,7.255,13.7837
17400,-19.8,0.08,0.0,100,7.403,13.5081
17500,-718.3,0.06,0.0,100,7.466,13.3941
17600,-774.5,0.13,0.0,100,7.1911,13.906
17700,-25.9,0.09,0.0,100,7.4581,13.4083
17800,-702.4,0.12,0.0,100,7.0471,14.1903
17900,-499.9,0.06,0.0,100,7.1843,13.9192
18000,-27.0,0.1,0.0,100,7.7052,12.9782
18100,-807.4,0.09,0.0,100,7.5061,13.3224
18200,-640.8,0.09,0.0,100,7.2562,13.7812
18300,-20.6,0.16,0.0,100,7.4085,13.498
18400,-877.6,0.1,0.0,100,7.3553,13.5956
18500,-712.0,0.13,0.0,100,6.9339,14.4219
18600,-31.1,0.11,0.0,100,7.4174,13.4818
18700,-841.2,0.05,0.0,100,7.1904,13.9075
18800,-662.3,0.12,0.0,100,7.467,13.3922
18900,-18.4,0.04,0.0,100,6.7993,14.7074
19000,-781.9,0.13,0.0,100,7.303,13.6931
19100,-535.7,0.12,0.0,100,6.8863,14.5217
19200,-28.1,0.11,0.0,100,7.1544,13.9775
19300,-834.0,0.13,0.0,100,7.9919,12.5127
19400,-424.1,0.13,0.0,100,7.2497,13.7937
19500,-29.2,0.12,0.0,100,7.5811,13.1907
19600,-755.8,0.15,0.0,100,7.3523,13.6012
19700,-558.7,0.17,0.0,100,7.1394,14.0068
19800,-18.2,0.12,0.0,100,7.3025,13.694
19900,-805.9,0.08,0.0,100,7.398,13.5172
20000,-677.4,0.13,0.0,100,0.0,4.5861
20100,-16.6,0.06,0.0,100,7.1297,14.0258
20200,-991.4,0.1,0.0,100,7.2553,13.7831
20300,-322.2,0.1,0.0,100,7.4098,13.4956
20400,-19.8,0.08,0.0,100,6.9938,14.2984
20500,-874.5,0.09,0.0,100,7.45,13.4229
20600,-593.5,0.06,0.0,100,7.3538,13.5985
20700,-23.1,0.11,0.0,100,7.8836,12.6845
20800,-781.9,0.12,0.0,100,7.4078,13.4994
20900,-533.9,0.12,0.0,100,7.3509,13.6038
21000,-22.3,0.13,0.0,100,7.4142,13.4876
21100,-822.6,0.1,0.0,100,7.0882,14.1079
21200,-556.3,0.09,0.0,100,6.9345,14.4206
21300,-28.4,0.14,0.0,100,7.5897,13.1758
21400,-615.1,0.15,0.0,100,7.5164,13.3043
21500,-646.4,0.04,0.0,100,7.4105,13.4943
21600,-26.9,0.09,0.0,100,7.1858,13.9163
21700,-879.2001,0.09,0.0,100,7.1501,13.9859
21800,-526.4,0.14,0.0,100,7.1899,13.9084
21900,-19.4,0.14,0.0,100,7.4086,13.4978
