env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,18.6791,-6.0139,1.038,1.0795
1100,3.2216,-10.0997,1.6379,2.2085
1200,3.9659,-10.5869,5.6531,9.8106
1300,3.0235,-10.6335,1.2296,1.7485
1400,2.9992,-11.9255,1.2932,2.2078
1500,4.152,-12.4628,0.9669,1.4731
1600,3.8533,-11.9881,1.8416,3.2611
1700,4.2903,-13.0689,2.7018,3.627
1800,4.6981,-13.9167,1.0562,1.3592
1900,4.438,-13.5978,3.3014,5.8132
2000,4.7189,-14.5712,3.0126,5.2867
2100,5.1289,-14.9134,17.0759,32.287
2200,4.5724,-14.3301,3.3973,5.4204
2300,4.6755,-15.461,5.5999,11.1887
2400,5.2634,-15.948,13.494,28.0151
2500,4.9161,-16.0182,11.1961,27.6119
2600,4.7017,-16.7019,6.8413,16.2123
2700,5.2987,-17.3948,28.5357,74.18
2800,4.9626,-16.8389,7.8478,19.3425
2900,5.422,-18.5579,17.2948,43.1932
3000,5.4553,-18.8347,7.3905,18.2324
3100,5.1645,-18.7169,3.3565,6.611
3200,5.1893,-19.2374,5.5159,12.3023
3300,6.0407,-19.4956,26.0029,63.7552
3400,5.5287,-19.1778,8.3483,18.656
3500,5.4631,-20.0013,24.5486,59.8277
3600,6.3458,-20.9245,11.8989,25.0501
3700,5.6868,-20.3758,16.8312,40.9703
3800,5.8171,-21.1324,58.7513,150.2446
3900,5.998,-20.9541,36.1235,92.8675
4000,5.6929,-20.7081,59.5428,151.1129
4100,5.952,-20.7877,11.7006,27.5156
4200,5.6357,-20.6978,11.0187,22.6009
4300,5.3741,-20.4566,21.2854,52.9616
4400,5.4033,-20.9367,33.2564,69.9849
4500,5.8571,-21.0284,108.8752,287.6191
4600,5.0707,-20.2057,14.2969,33.9514
4700,5.2196,-20.3096,58.0806,151.1998
4800,4.9717,-19.8918,23.6481,57.6583
4900,4.7633,-19.84,8.9617,21.428
5000,4.7359,-20.0053,40.3031,103.2345
5100,4.4668,-19.5514,89.479,235.702
5200,4.0523,-18.5622,44.7691,116.4054
5300,4.0978,-18.9565,17.5011,44.1112
5400,4.3664,-18.9091,205.7668,536.994
5500,3.786,-17.8989,57.2913,150.5382
5600,3.5643,-18.2298,24.8304,64.3864
5700,3.48,-18.2316,9.3877,22.7325
5800,3.1189,-17.1767,16.9109,43.4784
5900,3.2823,-16.9368,21.0477,54.4206
6000,3.3993,-17.2928,99.2906,260.9599
6100,3.1654,-16.3088,34.0488,89.791
6200,3.0276,-16.3294,34.9828,83.7166
6300,3.1399,-15.7903,31.0481,75.7137
