env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-26.2,0.12,0.0,100,0.0,0.1257
100,-985.7,0.1,0.0,100,674.6877,0.1482
200,-970.7001,0.16,0.0,100,673.9159,0.1484
300,-28.7,0.17,0.0,100,788.6135,0.1268
400,-1110.5001,0.1,0.0,100,690.091,0.1449
500,-640.9,0.14,0.0,100,691.136,0.1447
600,-20.2,0.12,0.0,100,841.9558,0.1188
700,-1125.4,0.17,0.0,100,708.4853,0.1411
800,-829.3,0.13,0.0,100,535.5192,0.1867
900,-25.5,0.15,0.0,100,805.8407,0.1241
1000,-1027.2001,0.07,0.0,100,23.6935,4.2206
1100,-710.3,0.13,0.0,100,125.9264,0.7941
1200,-23.8,0.08,0.0,100,144.2081,0.6934
1300,-1108.1001,0.07,0.0,100,137.3072,0.7283
1400,-629.6,0.06,0.0,100,138.4647,0.7222
1500,-22.6,0.16,0.0,100,143.1803,0.6984
1600,-1020.4,0.09,0.0,100,130.0352,0.769
1700,-726.2,0.14,0.0,100,138.2589,0.7233
1800,-17.6,0.16,0.0,100,85.7114,1.1667
1900,-883.6,0.11,0.0,100,140.6358,0.7111
2000,-851.8,0.13,0.0,100,130.4871,0.7664
2100,-21.9,0.09,0.0,100,134.0918,0.7458
2200,-1037.1001,0.15,0.0,100,127.9556,0.7815
2300,-503.0001,0.09,0.0,100,128.7926,0.7764
2400,-19.9,0.09,0.0,100,139.0,0.7194
2500,-931.7,0.09,0.0,100,124.1449,0.8055
2600,-769.6,0.12,0.0,100,74.9306,1.3346
2700,-25.2,0.12,0.0,100,133.9594,0.7465
2800,-1047.1,0.1,0.0,100,132.3435,0.7556
2900,-602.8,0.13,0.0,100,130.9063,0.7639
3000,-26.2,0.12,0.0,100,138.893,0.72
3100,-784.6,0.11,0.0,100,132.2871,0.7559
3200,-635.5,0.1,0.0,100,137.0779,0.7295
3300,-30.2,0.12,0.0,100,141.0439,0.709
3400,-1030.6001,0.13,0.0,100,130.188,0.7681
3500,-996.1,0.09,0.0,100,133.937,0.7466
3600,-18.3,0.13,0.0,100,133.0274,0.7517
3700,-981.1,0.15,0.0,100,123.4817,0.8098
3800,-915.7,0.08,0.0,100,128.044,0.781
3900,-26.9,0.09,0.0,100,140.4227,0.7121
4000,-892.3,0.08,0.0,100,133.8245,0.7473
4100,-810.7,0.11,0.0,100,126.7563,0.7889
4200,-20.1,0.11,0.0,100,130.7438,0.7649
4300,-1142.5,0.18,0.0,100,138.8267,0.7203
4400,-708.2,0.16,0.0,100,129.0129,0.7751
4500,-15.2,0.22,0.0,100,137.2347,0.7287
4600,-1017.2999,0.05,0.0,100,125.1448,0.7991
4700,-945.0001,0.12,0.0,100,130.0669,0.7688
4800,-26.9,0.09,0.0,100,137.0591,0.7296
4900,-1075.3,0.18,0.0,100,123.2343,0.8115
5000,-587.3,0.13,0.0,100,130.3057,0.7674
5100,-24.7,0.07,0.0,100,141.2003,0.7082
