env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,23.0736,-6.3574,4.4093,2.2657
1100,5.1699,-9.6854,8.6006,7.2098
1200,5.6424,-10.1806,4.6168,1.4816
1300,4.8497,-9.8672,9.7677,8.7112
1400,5.1834,-10.1783,12.2727,10.2554
1500,6.1754,-10.5817,17.1093,15.9459
1600,6.4401,-10.2647,21.3074,21.2702
1700,6.719,-10.7789,10.0359,8.1846
1800,6.2222,-10.8263,9.9577,7.4632
1900,5.4074,-10.8145,10.9693,6.3407
2000,5.5544,-11.0202,14.1567,12.9434
2100,5.6327,-11.3747,7.1891,3.7327
2200,5.1803,-10.8687,7.1611,2.9377
2300,5.8892,-10.9147,12.2539,9.1725
2400,5.5094,-10.8451,8.1128,3.7256
2500,5.0561,-10.4777,5.3171,2.8812
2600,5.1538,-10.7903,8.2764,6.2806
2700,5.59,-10.643,17.172,15.83
2800,4.9648,-10.4775,11.3341,9.9408
2900,4.7871,-10.1595,12.3749,11.1474
3000,6.343,-10.3768,8.4602,6.0323
3100,5.4531,-10.1461,13.8168,13.3205
3200,6.1831,-10.3272,15.2542,12.2576
3300,6.3077,-10.128,12.8075,11.4398
3400,5.9166,-10.0421,11.6657,8.513
3500,5.5165,-10.0492,16.141,17.356
3600,5.5,-10.0736,27.3688,27.9632
3700,5.5534,-9.7579,6.7455,4.388
3800,5.2323,-9.8152,8.1322,4.9711
3900,4.7755,-10.0881,6.4731,4.0218
4000,5.2993,-9.8179,11.9168,12.2852
4100,4.7729,-9.8415,17.251,18.9776
4200,4.5903,-9.8435,9.8418,8.4571
4300,4.5207,-9.562,4.9027,3.2627
4400,4.6758,-9.4868,6.1617,5.0331
4500,4.4565,-9.7439,12.6457,13.4535
4600,4.3862,-9.5,12.1963,14.3254
4700,4.6399,-9.633,10.3452,8.7057
4800,4.9795,-9.6686,13.3992,16.0686
4900,4.3302,-9.6069,18.3217,21.3642
5000,4.3928,-9.3865,13.181,14.3087
5100,4.1281,-9.425,11.5389,11.647
5200,3.8885,-9.4179,15.0842,17.3132
5300,4.1109,-9.465,12.7148,13.6962
5400,4.1571,-8.9928,7.7805,7.1692
5500,3.691,-9.2904,10.4299,12.688
5600,3.8918,-9.317,5.1032,4.7435
5700,3.9575,-9.2294,6.7964,6.9374
5800,4.0336,-9.1773,8.0136,6.3419
5900,4.0008,-8.8912,10.3157,10.4537
6000,3.7942,-9.3409,9.7415,10.7252
6100,3.6554,-9.0501,11.2838,8.1384
6200,3.6482,-9.0345,8.6303,10.212
6300,3.7134,-8.9652,12.7253,17.063
6400,3.7352,-8.9434,15.8142,20.6973
6500,3.5512,-9.0697,12.9045,17.1584
6600,3.7019,-9.1522,13.6148,15.8284
6700,3.4176,-9.0967,6.2245,5.6691
6800,3.061,-9.0938,11.8019,14.7676
6900,3.5201,-9.3035,7.2962,5.8483
7000,3.26,-9.1323,10.9361,11.0419
7100,3.3297,-8.9334,10.1861,12.4394
7200,3.295,-9.1116,11.8718,16.9445
7300,3.1834,-8.696,22.379,29.1582
7400,3.4095,-9.0814,13.4952,20.2171
7500,3.2801,-8.6182,10.9117,14.8976
7600,2.8254,-8.5979,19.1498,26.668
7700,2.9321,-8.9322,6.1599,4.4525
7800,3.5655,-9.0966,23.5141,34.7196
7900,2.8583,-8.9139,6.8595,7.9983
8000,2.7162,-8.6544,13.1431,17.2575
8100,3.0345,-8.7874,17.5202,23.5237
8200,2.7043,-8.7201,14.5639,17.4139
8300,2.9137,-8.8808,19.3957,23.3352
8400,2.6336,-9.0451,10.4246,15.3221
8500,3.0214,-8.8634,15.7456,20.2729
8600,3.0337,-8.6714,15.1476,20.7736
8700,3.0814,-8.534,4.8751,5.248
8800,2.8174,-9.0624,10.4685,13.7178
8900,3.0264,-8.3112,19.2823,27.9122
9000,3.1747,-8.5896,10.798,12.2943
9100,3.1443,-8.3784,5.6964,5.1935
9200,2.8745,-8.594,7.5284,5.858
9300,2.6676,-8.6862,12.6121,17.856
9400,2.9996,-8.4889,13.7144,19.2459
9500,2.852,-8.8083,8.162,7.5083
9600,2.8798,-9.1538,21.8361,35.6034
9700,2.7063,-8.8432,15.3652,22.3324
9800,2.6562,-8.6019,7.2811,7.4729
9900,2.799,-8.5455,22.8094,31.2141
10000,2.5459,-8.3931,8.5989,8.2585
10100,2.8017,-8.7315,8.0429,9.4782
10200,2.859,-8.573,15.0493,22.0346
10300,2.7876,-8.6959,13.4814,18.634
10400,2.7865,-8.6822,6.8393,12.7214
10500,2.8566,-8.7596,6.4254,6.4259
10600,2.7616,-8.6764,18.8157,28.9071
10700,2.8907,-8.8294,8.2587,9.4717
10800,3.1895,-8.5779,22.3079,29.4764
10900,2.9,-8.5523,10.279,15.7395
11000,3.1723,-8.4137,10.8417,13.6596
11100,2.8332,-8.8677,7.5745,9.4557
11200,3.0779,-8.609,19.315,30.0637
11300,3.1126,-8.6049,12.4677,18.852
11400,3.315,-8.6842,9.2285,14.8944
11500,3.0579,-8.7452,15.2541,19.5078
11600,3.038,-8.3991,9.4701,14.9874
11700,3.136,-8.7784,12.5236,17.3528
11800,2.9891,-8.6206,15.9561,22.6094
11900,2.7879,-8.7178,9.9309,16.7805
12000,3.1849,-8.8998,22.3311,34.3216
12100,3.0893,-8.9156,12.485,18.3857
12200,3.2465,-8.6359,7.0203,8.8869
12300,3.3556,-8.8344,15.6466,24.1139
12400,2.8475,-8.6443,18.5504,29.7702
12500,3.3758,-8.7848,6.5139,9.6725
12600,3.249,-8.8326,12.0935,10.1261
12700,3.5254,-8.6547,14.3235,18.5261
12800,3.5618,-8.7363,21.055,31.1073
12900,3.5753,-8.7403,6.9301,8.9888
13000,3.4371,-9.0769,8.3233,12.5831
13100,3.2314,-8.9196,9.19,11.8118
13200,3.5907,-9.0367,41.8476,64.5072
13300,3.2506,-9.2638,10.9264,14.1503
13400,3.1448,-9.098,9.3979,14.0373
13500,3.4319,-9.5698,16.3174,26.1346
13600,3.385,-9.4108,16.2728,23.1861
13700,3.3207,-9.0656,17.6202,27.1271
13800,3.5322,-9.2946,10.4825,14.1911
13900,3.417,-9.4242,29.1974,44.6114
14000,3.2178,-9.2781,7.5081,8.5837
14100,3.2023,-9.4991,18.1248,30.4079
14200,3.2648,-9.4387,11.9462,19.2422
14300,3.6451,-9.6038,26.1537,38.1536
14400,2.8755,-9.3652,8.5687,10.0884
14500,3.3034,-9.4186,10.5623,14.3351
14600,3.3011,-9.3827,8.2575,9.3854
14700,3.1018,-9.3152,9.1152,12.903
14800,3.0898,-9.837,11.8822,18.1087
14900,3.4856,-9.7776,29.4944,43.9156
15000,3.2118,-10.2584,8.4003,11.414
15100,3.4071,-9.8934,26.7481,44.8128
15200,3.4785,-10.1508,17.9314,22.9677
15300,3.2898,-9.8714,10.7279,15.5213
15400,3.4886,-9.7239,12.1777,19.9592
15500,3.4013,-9.9365,16.0408,22.8898
15600,2.7983,-10.0308,7.2033,8.2309
15700,3.3811,-10.0665,11.3799,15.1855
15800,3.9785,-10.3046,15.0751,24.4236
