env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-18.3,0.13,0.0,100,0.0,9.2969
100,-825.8,0.12,0.0,100,5.4653,18.2973
200,-773.9,0.09,0.0,100,5.262,19.004
300,-22.0,0.1,0.0,100,5.4334,18.4045
400,-993.0001,0.17,0.0,100,5.4351,18.3989
500,-671.9,0.13,0.0,100,5.2329,19.1097
600,-20.7,0.07,0.0,100,4.8103,20.7889
700,-809.9,0.07,0.0,100,5.3183,18.803
800,-690.1,0.13,0.0,100,5.4375,18.3907
900,-27.5,0.15,0.0,100,5.4945,18.2001
1000,-1073.8,0.11,0.0,100,5.3452,18.7085
1100,-762.0,0.13,0.0,100,5.4084,18.4896
1200,-15.1,0.11,0.0,100,5.1787,19.3098
1300,-1138.9,0.11,0.0,100,5.3182,18.8033
1400,-840.2,0.08,0.0,100,5.2935,18.891
1500,-28.8,0.08,0.0,100,5.2339,19.1061
1600,-956.8,0.1,0.0,100,5.0529,19.7907
1700,-629.4,0.11,0.0,100,5.2339,19.1062
1800,-26.5,0.15,0.0,100,5.5563,17.9977
1900,-975.5001,0.09,0.0,100,5.3746,18.6061
2000,-569.7,0.08,0.0,100,5.4061,18.4975
2100,-14.2,0.12,0.0,100,5.7151,17.4976
2200,-1073.5,0.1,0.0,100,5.4343,18.4017
2300,-693.3,0.13,0.0,100,5.2054,19.2109
2400,-20.8,0.08,0.0,100,5.4382,18.3885
2500,-420.1,0.1,0.0,100,5.5553,18.0007
2600,-429.3,0.1,0.0,100,5.5853,17.9041
2700,-25.7,0.07,0.0,100,5.8461,17.1055
2800,-943.2001,0.08,0.0,100,5.4644,18.3003
2900,-756.4,0.07,0.0,100,5.6494,17.701
3000,-27.8,0.08,0.0,100,5.8167,17.1917
3100,-940.3,0.08,0.0,100,5.92,16.8918
3200,-711.2,0.12,0.0,100,5.5558,17.9994
3300,-16.9,0.09,0.0,100,5.314,18.8181
3400,-682.4,0.09,0.0,100,5.7508,17.3888
3500,-619.6,0.14,0.0,100,5.35,18.6917
3600,-23.2,0.12,0.0,100,4.9964,20.0144
3700,-803.6,0.13,0.0,100,5.3518,18.6854
3800,-746.1,0.12,0.0,100,5.6774,17.6138
3900,-17.0,0.1,0.0,100,5.3204,18.7957
4000,-881.2001,0.07,0.0,100,5.6527,17.6906
4100,-509.6,0.12,0.0,100,5.7464,17.4022
4200,-20.8,0.08,0.0,100,5.5255,18.098
4300,-505.5,0.12,0.0,100,5.5854,17.9038
4400,-543.4,0.1,0.0,100,5.4066,18.4959
4500,-23.0,0.1,0.0,100,5.4894,18.2168
4600,-821.2001,0.04,0.0,100,5.3783,18.5933
4700,-611.0,0.15,0.0,100,5.266,18.9898
4800,-20.7,0.17,0.0,100,5.7802,17.3004
4900,-720.5,0.09,0.0,100,5.0225,19.9105
5000,-627.2,0.05,0.0,100,5.4374,18.3911
5100,-20.8,0.18,0.0,100,5.8098,17.2124
5200,-784.5001,0.1,0.0,100,5.2924,18.8951
5300,-565.5,0.09,0.0,100,5.5571,17.9951
5400,-27.1,0.11,0.0,100,5.3749,18.6052
5500,-718.5,0.12,0.0,100,5.4973,18.1906
5600,-502.5,0.12,0.0,100,5.6444,17.7167
