env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.0769,-0.1475,0.015,0.0061
200,39.6569,-4.0927,6.2125,6.7985
300,10.4878,-6.4653,0.8034,0.8093
400,3.3476,-4.683,0.5492,0.4852
500,3.8698,-5.7693,0.7005,0.6921
600,3.6255,-6.8032,0.67,0.5995
700,2.7479,-6.4325,0.615,0.5239
800,3.6992,-7.4535,0.8725,0.8944
900,3.4318,-8.1727,1.0534,1.1714
1000,2.6149,-7.996,0.7967,0.9903
1100,2.8054,-8.567,3.086,4.2853
1200,2.5846,-8.5614,0.6715,0.713
1300,1.7118,-8.5223,3.6434,6.7953
1400,1.906,-9.4222,1.7675,2.8001
1500,1.8153,-9.7143,1.281,1.787
1600,1.4667,-9.4329,0.5726,0.687
1700,1.501,-9.9634,7.0607,13.9576
1800,1.9279,-9.7082,9.4453,19.0359
1900,1.2951,-9.4149,4.9265,10.0044
2000,1.4288,-9.8581,7.8347,16.7179
2100,1.519,-9.8866,1.3144,2.2693
2200,1.2863,-9.8655,0.8708,1.6168
2300,1.258,-9.9299,1.7472,3.0304
2400,1.3649,-10.4661,16.7161,32.4429
2500,1.0629,-9.7608,3.6483,7.168
2600,1.2982,-10.1655,3.9442,7.0922
2700,1.4192,-10.4708,5.2264,10.9518
2800,1.0413,-10.0552,8.2673,18.1598
2900,1.0416,-10.4044,3.8707,8.5628
3000,2.3786,-10.2872,1.6987,3.0994
3100,1.1011,-10.2556,0.8028,1.2427
3200,1.1887,-10.4939,2.1821,4.5523
3300,1.3474,-10.5309,3.3543,6.8826
3400,1.1589,-10.3251,2.4157,5.2481
3500,1.1511,-10.4992,2.1689,3.888
3600,1.2652,-10.7599,5.16,9.5726
3700,1.0635,-10.5907,3.0632,6.9249
3800,1.0937,-10.4913,4.4336,10.2189
3900,1.3114,-10.5475,14.0839,24.1723
4000,1.0215,-10.2144,5.0877,10.5608
4100,1.0908,-10.657,6.617,14.1702
4200,1.0217,-10.7258,2.4679,5.447
4300,0.9102,-10.4149,9.1174,15.9106
4400,1.0131,-11.1809,5.448,10.4727
4500,1.1045,-10.9851,5.7717,12.9421
4600,0.9323,-10.6202,13.3799,28.078
4700,1.1293,-11.2868,3.4084,8.0541
4800,1.1108,-11.0583,2.9527,5.9919
4900,1.0422,-11.2573,13.7328,32.3444
5000,1.1946,-11.4802,4.0477,9.068
5100,1.1016,-11.5851,4.5538,10.4756
5200,1.0965,-11.589,11.7819,27.1915
5300,1.1117,-11.8328,5.4887,11.283
5400,1.365,-11.9408,5.0274,10.9307
5500,1.1817,-12.1145,6.7061,15.0133
5600,1.2246,-12.4021,6.9793,15.6136
5700,1.7037,-12.52,12.1978,27.8069
5800,1.2835,-12.6003,3.5098,7.5411
5900,1.2472,-12.8734,4.3625,10.0963
6000,1.5296,-13.1822,15.6187,37.4213
6100,1.4414,-13.32,26.3254,59.3363
6200,1.5217,-13.3204,18.1742,41.5359
6300,1.5101,-13.6976,5.4942,12.051
6400,1.4909,-13.8198,21.164,50.6316
6500,1.8833,-14.1685,21.0969,48.6179
6600,1.5282,-14.1186,9.5637,21.4041
6700,1.3999,-13.9257,10.0503,22.3409
6800,1.7076,-15.0054,7.9654,16.3865
6900,1.848,-14.9094,40.3807,87.0265
7000,1.8063,-15.0445,19.0238,41.4201
7100,1.7887,-15.0493,31.7543,73.3639
