env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.1758,-0.0339,0.0565,0.0138
200,60.6484,-1.1197,5.0309,4.4314
300,28.6679,-5.8976,5.6972,7.7838
400,16.5789,-5.2466,4.7414,6.8029
500,8.0767,-6.4019,1.7093,2.0896
600,4.7587,-6.9502,0.7848,0.8685
700,3.2391,-6.2677,0.6952,0.8186
800,3.6251,-7.0395,0.6221,0.8597
900,3.7067,-7.7307,0.4749,0.5322
1000,3.3308,-7.5277,0.8582,1.3193
1100,3.8532,-8.1155,0.8119,0.8206
1200,4.0965,-8.3955,1.2762,2.0882
1300,3.395,-8.3728,0.8372,1.0994
1400,3.7349,-9.2871,1.1924,1.4571
1500,4.4921,-9.8498,4.7945,8.3582
1600,4.0647,-9.7859,3.7084,6.7063
1700,4.2644,-10.3802,1.7807,2.4405
1800,4.8737,-10.705,3.0487,5.1496
1900,4.0649,-10.8371,3.1239,7.3503
2000,4.0182,-11.2204,7.1662,11.4379
2100,4.0477,-11.7544,10.7005,26.1223
2200,3.5857,-11.7085,17.0707,42.3195
2300,4.0454,-12.4184,6.1375,13.9935
2400,4.1837,-13.2034,7.7674,19.1561
2500,3.3327,-12.3443,9.8197,23.5528
2600,3.7647,-13.5081,7.0687,17.4547
2700,3.6051,-13.5576,14.7604,36.3684
2800,3.3751,-13.6929,14.8811,36.6088
2900,3.4638,-14.3141,14.5998,35.8568
3000,3.8889,-14.4569,34.699,81.5889
3100,3.3662,-13.959,2.8248,4.6845
3200,3.3108,-14.4,59.4207,146.1756
3300,3.23,-14.4284,3.5323,6.1662
3400,3.0524,-14.3448,7.0014,16.2235
3500,2.9902,-14.4321,5.0288,9.4799
3600,3.3177,-14.5,10.761,25.8341
3700,2.8436,-13.878,12.4377,29.4495
3800,2.8466,-14.198,6.0645,14.0516
3900,2.7356,-13.7937,7.3602,15.5189
4000,2.5146,-13.3399,4.4242,9.396
4100,2.4459,-13.3004,9.2248,22.0398
4200,2.536,-13.1403,5.2981,11.056
4300,2.2076,-12.38,21.6983,52.6287
4400,2.2669,-12.5758,32.938,82.7134
4500,2.164,-12.1517,4.141,8.5045
4600,1.9175,-11.5166,2.2152,4.2017
4700,2.0138,-11.8794,10.2637,24.7025
4800,1.937,-11.3752,4.4272,9.3868
4900,1.7414,-11.0681,9.641,22.5705
5000,1.9172,-11.0699,7.5786,14.2946
