env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-24.0,0.1,0.0,100,0.0,0.9464
100,-1101.7001,0.11,0.0,100,83.8329,1.1929
200,-650.2,0.13,0.0,100,99.2585,1.0075
300,-21.9,0.19,0.0,100,100.4472,0.9956
400,-1105.2001,0.1,0.0,100,92.3859,1.0824
500,-642.6,0.1,0.0,100,91.75,1.0899
600,-22.8,0.08,0.0,100,98.0287,1.0201
700,-969.6,0.08,0.0,100,89.9516,1.1117
800,-802.8,0.13,0.0,100,91.9081,1.088
900,-20.1,0.11,0.0,100,93.0436,1.0748
1000,-979.3,0.1,0.0,100,100.4091,0.9959
1100,-773.5,0.11,0.0,100,98.5298,1.0149
1200,-28.1,0.11,0.0,100,99.9861,1.0001
1300,-947.2001,0.11,0.0,100,98.7541,1.0126
1400,-543.7,0.18,0.0,100,94.1452,1.0622
1500,-20.8,0.18,0.0,100,99.5738,1.0043
1600,-869.1,0.09,0.0,100,95.1513,1.051
1700,-627.2,0.12,0.0,100,95.3604,1.0487
1800,-23.0,0.1,0.0,100,98.2346,1.018
1900,-916.6001,0.1,0.0,100,99.3747,1.0063
2000,-624.7,0.13,0.0,100,100.4281,0.9957
2100,-21.1,0.11,0.0,100,102.849,0.9723
2200,-998.3,0.15,0.0,100,99.9652,1.0004
2300,-720.7,0.1,0.0,100,98.6221,1.014
2400,-19.1,0.21,0.0,100,99.5719,1.0043
2500,-919.6,0.12,0.0,100,71.8243,1.3923
2600,-693.5,0.11,0.0,100,96.8076,1.033
2700,-26.0,0.1,0.0,100,94.6801,1.0562
2800,-910.2001,0.07,0.0,100,98.2065,1.0183
2900,-683.3,0.09,0.0,100,98.016,1.0202
3000,-31.2,0.12,0.0,100,100.3139,0.9969
3100,-918.9,0.05,0.0,100,93.9867,1.064
3200,-251.0,0.1,0.0,100,97.3324,1.0274
3300,-29.3,0.13,0.0,100,96.1031,1.0406
3400,-883.4001,0.07,0.0,100,88.2072,1.1337
3500,-570.7001,0.03,0.0,100,89.0721,1.1227
3600,-19.2,0.12,0.0,100,98.0874,1.0195
3700,-893.9,0.03,0.0,100,92.4728,1.0814
3800,-607.7,0.08,0.0,100,96.9724,1.0312
3900,-22.9,0.09,0.0,100,101.7286,0.983
4000,-858.1,0.09,0.0,100,98.6281,1.0139
4100,-725.8,0.11,0.0,100,91.7228,1.0902
4200,-23.7,0.07,0.0,100,97.7181,1.0234
4300,-892.5,0.13,0.0,100,91.1428,1.0972
4400,-581.5,0.09,0.0,100,93.5809,1.0686
4500,-24.5,0.15,0.0,100,93.6576,1.0677
4600,-724.0,0.12,0.0,100,97.8958,1.0215
4700,-444.8,0.19,0.0,100,98.3666,1.0166
4800,-20.5,0.05,0.0,100,100.2525,0.9975
4900,-768.2,0.08,0.0,100,97.6414,1.0242
5000,-499.3,0.11,0.0,100,94.2379,1.0611
5100,-22.5,0.15,0.0,100,98.4525,1.0157
5200,-826.9,0.12,0.0,100,97.433,1.0264
5300,-569.6,0.09,0.0,100,93.9288,1.0646
5400,-24.0,0.1,0.0,100,96.8116,1.0329
5500,-711.4,0.07,0.0,100,90.9555,1.0994
5600,-486.5,0.09,0.0,100,93.3111,1.0717
5700,-22.0,0.1,0.0,100,98.3581,1.0167
5800,-892.0001,0.15,0.0,100,95.0868,1.0517
5900,-610.0,0.06,0.0,100,98.3742,1.0165
6000,-24.8,0.08,0.0,100,98.9552,1.0106
6100,-570.3,0.05,0.0,100,91.9054,1.0881
6200,-663.9,0.1,0.0,100,95.4526,1.0476
6300,-22.4,0.04,0.0,100,94.4612,1.0586
6400,-720.8,0.08,0.0,100,91.7139,1.0904
6500,-568.2,0.11,0.0,100,95.1746,1.0507
6600,-11.7,0.17,0.0,100,95.3695,1.0486
6700,-653.5,0.11,0.0,100,97.5753,1.0249
6800,-545.2,0.11,0.0,100,98.0303,1.0201
6900,-15.4,0.14,0.0,100,91.1432,1.0972
7000,-756.1,0.13,0.0,100,95.152,1.051
7100,-499.9,0.11,0.0,100,97.8358,1.0221
7200,-28.0,0.1,0.0,100,99.4182,1.0059
7300,-700.7,0.11,0.0,100,96.449,1.0368
7400,-461.7,0.06,0.0,100,95.5171,1.0469
7500,-24.2,0.12,0.0,100,97.9956,1.0205
7600,-701.1,0.1,0.0,100,98.4099,1.0162
7700,-633.3,0.14,0.0,100,95.4353,1.0478
7800,-16.9,0.19,0.0,100,103.9249,0.9622
7900,-930.6,0.11,0.0,100,79.6808,1.255
8000,-523.1,0.08,0.0,100,95.368,1.0486
8100,-20.0,0.1,0.0,100,68.4959,1.4599
8200,-470.3,0.1,0.0,100,50.3983,1.9842
8300,-386.7,0.09,0.0,100,23.8405,4.1945
8400,-26.1,0.11,0.0,100,25.0062,3.999
8500,-428.7,0.14,0.0,100,33.3411,2.9993
8600,-373.3,0.12,0.0,100,43.448,2.3016
8700,-17.0,0.2,0.0,100,46.9361,2.1306
8800,-497.5,0.13,0.0,100,33.5481,2.9808
8900,-467.4,0.11,0.0,100,47.185,2.1193
9000,-16.2,0.12,0.0,100,38.8723,2.5725
9100,-755.5,0.19,0.0,100,35.7022,2.801
9200,-492.9,0.09,0.0,100,45.489,2.1983
9300,-21.5,0.05,0.0,100,21.7376,4.6003
9400,-814.2,0.17,0.0,100,19.6026,5.1014
9500,-558.8,0.12,0.0,100,15.6474,6.3908
9600,-19.5,0.15,0.0,100,18.4808,5.411
9700,-617.9,0.08,0.0,100,27.8221,3.5943
9800,-554.5,0.1,0.0,100,39.6118,2.5245
9900,-20.7,0.17,0.0,100,44.0474,2.2703
10000,-851.8,0.14,0.0,100,0.0,0.5302
10100,-571.4,0.07,0.0,100,90.6495,1.1032
10200,-17.1,0.11,0.0,100,99.4495,1.0055
10300,-491.4,0.1,0.0,100,93.1987,1.073
10400,-374.5,0.1,0.0,100,93.8216,1.0659
10500,-11.3,0.13,0.0,100,45.1199,2.2163
10600,-587.2,0.16,0.0,100,53.1678,1.8808
10700,-430.5,0.05,0.0,100,88.8033,1.1261
10800,-16.9,0.09,0.0,100,96.9537,1.0314
10900,-522.0,0.06,0.0,100,91.6054,1.0916
11000,-258.1,0.08,0.0,100,93.9008,1.065
11100,-19.6,0.06,0.0,100,98.2363,1.018
11200,-389.7,0.09,0.0,100,96.42,1.0371
11300,-553.6,0.09,0.0,100,93.0907,1.0742
11400,-18.9,0.09,0.0,100,97.9489,1.0209
11500,-717.5,0.09,0.0,100,94.1187,1.0625
11600,-461.0,0.08,0.0,100,95.7656,1.0442
11700,-18.6,0.16,0.0,100,88.5273,1.1296
11800,-481.2,0.16,0.0,100,45.0401,2.2202
11900,-458.1,0.14,0.0,100,97.2155,1.0286
12000,-15.3,0.13,0.0,100,99.8866,1.0011
12100,-487.4,0.08,0.0,100,93.4309,1.0703
12200,-521.5,0.16,0.0,100,91.7931,1.0894
12300,-24.1,0.11,0.0,100,98.7897,1.0123
12400,-419.2,0.06,0.0,100,97.3521,1.0272
12500,-345.7,0.09,0.0,100,95.5828,1.0462
12600,-16.0,0.1,0.0,100,97.3981,1.0267
12700,-508.6,0.1,0.0,100,96.4881,1.0364
12800,-532.1,0.13,0.0,100,94.6737,1.0563
12900,-12.0,0.1,0.0,100,98.6082,1.0141
13000,-348.9,0.13,0.0,100,96.4482,1.0368
13100,-639.5,0.11,0.0,100,93.5868,1.0685
13200,-18.9,0.09,0.0,100,93.3457,1.0713
13300,-408.6,0.1,0.0,100,97.1141,1.0297
13400,-290.2,0.08,0.0,100,93.9393,1.0645
13500,-19.4,0.14,0.0,100,97.5411,1.0252
13600,-276.0,0.01,0.0,100,93.3239,1.0715
13700,-436.6,0.16,0.0,100,96.6069,1.0351
13800,-28.9,0.09,0.0,100,99.3319,1.0067
13900,-304.2,0.07,0.0,100,93.6841,1.0674
14000,-393.7,0.04,0.0,100,96.0964,1.0406
14100,-14.5,0.05,0.0,100,99.6031,1.004
14200,-265.3,0.1,0.0,100,94.3204,1.0602
14300,-399.9,0.06,0.0,100,90.3412,1.1069
14400,-21.7,0.07,0.0,100,98.5523,1.0147
14500,-398.4,0.09,0.0,100,90.7447,1.102
14600,-360.8,0.13,0.0,100,92.9117,1.0763
14700,-16.9,0.09,0.0,100,98.3831,1.0164
14800,-409.7,0.11,0.0,100,92.9902,1.0754
14900,-323.7,0.12,0.0,100,95.077,1.0518
15000,-16.5,0.15,0.0,100,99.1921,1.0081
15100,-367.9,0.07,0.0,100,94.5822,1.0573
15200,-245.4,0.11,0.0,100,92.8913,1.0765
15300,-14.4,0.14,0.0,100,98.9855,1.0103
15400,-208.8,0.05,0.0,100,90.5312,1.1046
15500,-492.8,0.04,0.0,100,96.0836,1.0408
15600,-19.2,0.22,0.0,100,99.1875,1.0082
15700,-513.2,0.08,0.0,100,92.5839,1.0801
15800,-367.3,0.15,0.0,100,92.5033,1.081
15900,-27.0,0.2,0.0,100,96.5331,1.0359
16000,-390.5,0.12,0.0,100,92.2197,1.0844
16100,-423.5,0.12,0.0,100,86.042,1.1622
16200,-16.4,0.14,0.0,100,42.4083,2.358
16300,-432.3,0.09,0.0,100,85.2435,1.1731
16400,-314.2,0.09,0.0,100,40.5034,2.4689
16500,-12.9,0.09,0.0,100,65.3043,1.5313
16600,-351.1,0.07,0.0,100,89.1033,1.1223
16700,-395.5,0.08,0.0,100,94.7503,1.0554
16800,-14.7,0.07,0.0,100,95.3007,1.0493
16900,-231.0,0.08,0.0,100,92.9957,1.0753
17000,-282.2,0.09,0.0,100,92.8733,1.0767
17100,-10.7,0.17,0.0,100,97.5437,1.0252
17200,-273.0,0.06,0.0,100,94.1272,1.0624
17300,-314.1,0.08,0.0,100,95.2611,1.0497
17400,-16.3,0.33,0.0,100,95.3231,1.0491
17500,-225.7,0.03,0.0,100,65.5027,1.5267
17600,-502.2,0.07,0.0,100,28.3108,3.5322
17700,-12.6,0.06,0.0,100,51.2872,1.9498
17800,-285.1,0.07,0.0,100,58.5567,1.7077
17900,-320.2,0.04,0.0,100,61.6131,1.623
18000,-12.8,0.08,0.0,100,89.7833,1.1138
