env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.2041,-0.0447,0.0705,0.0238
200,55.8283,-1.4374,3.2747,1.7914
300,29.9215,-5.5069,2.4783,3.1807
400,20.8793,-4.5083,4.7113,7.9194
500,8.6123,-6.1204,1.1932,1.4938
600,6.2489,-6.5492,1.1464,1.1653
700,5.8612,-5.9859,0.7473,0.6642
800,5.1776,-7.049,1.93,2.3288
900,5.8545,-7.602,1.7028,2.2581
1000,4.808,-7.3285,1.3155,1.3449
1100,5.6964,-8.214,0.9885,0.9917
1200,5.7948,-8.8288,0.7117,0.8246
1300,5.1184,-8.6123,0.8206,1.0641
1400,6.0349,-9.4045,6.2838,11.8508
1500,5.5057,-10.0289,5.2103,8.299
1600,4.7382,-9.9606,3.3389,6.1835
1700,4.8011,-10.8219,4.8808,11.001
1800,4.7093,-11.7127,3.0328,4.5738
1900,4.0844,-11.7452,3.9423,8.0132
2000,4.3184,-12.6726,6.8894,14.7212
2100,5.106,-12.7833,6.8403,11.4108
2200,3.9339,-12.4852,3.9551,8.5677
2300,4.5034,-13.2853,2.6207,5.3178
2400,5.195,-13.7214,8.2141,19.2412
2500,4.3336,-13.5691,8.758,21.575
2600,4.5778,-14.2652,45.5029,116.6587
2700,4.7171,-14.736,17.865,32.2764
2800,4.0872,-14.0983,8.0035,15.9307
2900,4.058,-14.5071,16.4623,38.225
3000,3.9941,-14.9169,63.8894,155.8461
3100,3.599,-14.8579,13.6533,32.4367
3200,3.8906,-15.3462,10.0192,21.4032
3300,3.8022,-15.1919,69.4132,166.5757
3400,3.5691,-14.6981,23.1764,59.0481
3500,3.6448,-15.1144,43.3265,111.2929
3600,3.4343,-15.1354,12.1445,29.6462
3700,3.1186,-14.3983,7.7827,16.3289
3800,2.9797,-14.4716,7.7655,18.4174
3900,2.9998,-14.0803,86.1805,224.6532
4000,2.9122,-13.8673,117.546,256.7737
4100,2.7596,-13.6136,14.9343,33.8628
4200,2.7608,-13.7045,13.1598,33.3802
4300,2.4461,-12.9534,11.8096,30.2916
4400,2.6723,-12.8301,18.5999,42.2821
4500,2.7696,-12.4798,11.2445,23.1452
4600,2.5022,-12.1202,5.6893,11.5457
4700,2.6283,-11.5955,16.2576,41.0661
4800,2.807,-11.6521,23.0137,55.5259
4900,2.6809,-11.4784,25.0139,54.3862
5000,2.5211,-11.0464,10.8909,25.5743
5100,2.4707,-10.7612,10.0154,21.7482
5200,2.3674,-10.6507,19.2228,48.0145
5300,2.2281,-10.289,41.1538,99.6278
5400,2.3087,-10.19,7.2798,16.9293
5500,2.2706,-10.25,18.0391,44.841
5600,2.1913,-9.9008,30.4135,76.0194
5700,2.2722,-10.0289,15.5926,40.0779
5800,2.068,-9.6676,24.8501,64.1913
5900,2.0975,-9.7799,14.4889,33.8248
6000,2.1334,-9.6987,7.8283,17.5789
6100,2.0721,-9.6246,55.0323,142.42
6200,2.2586,-9.7556,18.7828,46.693
6300,2.0547,-10.011,13.2017,32.5758
6400,1.9393,-9.7127,13.124,32.0129
6500,2.099,-10.1104,9.7221,21.0353
6600,2.1731,-10.2412,8.9741,22.3538
6700,1.9829,-10.4043,12.8249,27.1142
6800,1.9887,-10.4324,10.8313,23.7605
6900,2.1044,-10.8972,10.3589,23.7527
7000,1.9868,-10.7638,9.796,22.7125
7100,2.038,-10.8692,18.8968,44.3208
7200,2.1568,-11.1139,12.7076,30.3548
7300,2.0819,-11.1594,11.8799,27.5293
7400,3.0183,-11.3918,67.3552,170.2936
7500,2.4186,-11.5836,12.356,29.4883
7600,2.2787,-11.8314,23.9301,54.3295
7700,2.3222,-12.1472,4.8769,10.1817
7800,2.4348,-12.1633,11.9235,26.3251
7900,2.3491,-12.3211,16.4112,33.6596
8000,2.5304,-12.5157,43.0335,108.917
8100,2.4915,-12.775,11.2573,23.5588
8200,2.3729,-12.9514,23.834,57.993
8300,2.4347,-13.0297,10.1688,23.253
8400,2.4542,-13.3264,14.2753,36.8771
8500,2.4205,-13.5466,28.2815,67.4042
8600,2.4879,-13.5382,13.1159,30.9049
8700,2.5371,-13.9207,14.0623,32.4848
8800,2.5366,-14.3572,8.1757,17.6253
8900,2.6032,-14.0814,17.9164,45.1317
9000,2.7458,-14.3932,28.8124,70.5588
9100,2.6504,-14.3791,7.9268,18.6993
9200,2.7148,-15.0167,12.1694,30.3187
9300,2.7346,-15.0124,11.1126,28.0977
9400,2.6628,-14.8062,27.7185,71.593
9500,2.7564,-15.4914,45.6257,106.6199
9600,2.9859,-15.7035,16.715,39.623
9700,2.8064,-15.676,16.9136,40.3363
9800,2.8108,-15.5629,15.5904,38.3033
9900,3.1564,-15.918,61.5741,137.9573
10000,3.0068,-15.9999,13.9773,29.5603
10100,2.932,-16.0983,19.6162,48.2442
10200,3.0905,-16.8341,5.8156,12.9936
10300,3.0882,-16.8503,11.2762,25.3124
10400,3.216,-16.9975,32.1277,81.277
10500,3.2353,-17.5929,17.4337,36.9882
10600,3.3135,-17.2749,33.0949,75.6818
10700,3.1888,-17.5751,13.9383,34.2347
10800,3.5205,-17.6467,47.6962,118.4858
10900,3.4524,-17.7268,20.888,46.3577
11000,3.4196,-17.8353,54.9852,142.8515
11100,3.5065,-18.0924,31.7967,80.6097
11200,3.4381,-18.284,20.9978,47.8252
11300,3.51,-18.5219,38.8406,95.1454
11400,3.7626,-18.3133,57.6073,142.5192
11500,3.7704,-19.0855,44.3057,109.2688
11600,3.9046,-18.9976,42.9286,105.1765
11700,3.769,-19.262,37.1446,92.4707
11800,3.8591,-19.2963,49.4966,121.2168
11900,3.9531,-19.3483,42.1941,106.8603
12000,4.0997,-19.5486,116.4312,288.6478
12100,4.287,-19.9609,39.4392,99.3683
12200,4.1147,-20.1084,27.7602,65.8572
12300,4.7618,-20.3215,197.5546,458.2766
12400,6.4739,-19.9976,58.3185,128.0497
12500,4.354,-20.5015,10.7594,25.2751
12600,4.3256,-20.1886,25.7124,66.4009
12700,4.2512,-20.0718,117.057,285.9736
12800,4.4453,-20.9194,27.0705,68.4743
12900,4.3426,-20.5767,42.6319,100.9462
