env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-24.0,0.1,0.0,100,0.0,2.4758
100,-1101.7001,0.11,0.0,100,33.3411,2.9993
200,-650.4,0.15,0.0,100,37.1281,2.6934
300,-21.9,0.19,0.0,100,39.2479,2.5479
400,-1105.2001,0.1,0.0,100,37.5691,2.6618
500,-909.5,0.1,0.0,100,33.2671,3.006
600,-24.8,0.08,0.0,100,35.3668,2.8275
700,-930.7001,0.08,0.0,100,28.5727,3.4999
800,-799.5,0.12,0.0,100,38.4123,2.6033
900,-23.1,0.11,0.0,100,37.5822,2.6608
1000,-817.4,0.1,0.0,100,37.9792,2.633
1100,-472.8,0.09,0.0,100,38.5124,2.5966
1200,-28.0,0.1,0.0,100,36.9618,2.7055
1300,-947.2001,0.11,0.0,100,40.2514,2.4844
1400,-540.4,0.18,0.0,100,40.1944,2.4879
1500,-20.8,0.18,0.0,100,39.6083,2.5247
1600,-839.1,0.09,0.0,100,36.1119,2.7692
1700,-772.1,0.19,0.0,100,37.1681,2.6905
1800,-22.0,0.1,0.0,100,38.3366,2.6085
1900,-893.5,0.1,0.0,100,37.1382,2.6926
2000,-657.2,0.12,0.0,100,35.7398,2.798
2100,-21.1,0.11,0.0,100,41.1256,2.4316
2200,-996.3001,0.15,0.0,100,37.4129,2.6729
2300,-839.0,0.08,0.0,100,36.9249,2.7082
2400,-19.0,0.2,0.0,100,36.8375,2.7146
2500,-814.6,0.11,0.0,100,35.9433,2.7822
2600,-600.3,0.11,0.0,100,35.7131,2.8001
2700,-24.1,0.11,0.0,100,38.3837,2.6053
2800,-889.1001,0.07,0.0,100,38.3426,2.6081
2900,-453.7,0.09,0.0,100,35.7414,2.7979
3000,-30.2,0.12,0.0,100,37.1677,2.6905
3100,-834.0,0.05,0.0,100,38.0994,2.6247
3200,-520.5,0.09,0.0,100,38.4171,2.603
3300,-28.3,0.13,0.0,100,35.8247,2.7914
3400,-818.4001,0.07,0.0,100,37.0017,2.7026
3500,-586.8,0.02,0.0,100,36.8733,2.712
3600,-18.2,0.12,0.0,100,38.5029,2.5972
3700,-753.9,0.03,0.0,100,35.6817,2.8026
3800,-507.5,0.07,0.0,100,35.8822,2.7869
3900,-23.8,0.18,0.0,100,38.4262,2.6024
4000,-700.8,0.08,0.0,100,36.8263,2.7155
4100,-621.3,0.12,0.0,100,37.3656,2.6763
4200,-21.7,0.07,0.0,100,38.3291,2.609
4300,-731.5001,0.12,0.0,100,38.3217,2.6095
4400,-620.0,0.09,0.0,100,37.1841,2.6893
4500,-23.3,0.13,0.0,100,39.9321,2.5043
4600,-575.8,0.1,0.0,100,37.4899,2.6674
4700,-602.4,0.18,0.0,100,36.9973,2.7029
4800,-17.4,0.04,0.0,100,38.0075,2.6311
4900,-526.3,0.07,0.0,100,28.7598,3.4771
5000,-562.4,0.11,0.0,100,37.053,2.6988
5100,-21.5,0.15,0.0,100,38.4699,2.5994
5200,-640.8,0.1,0.0,100,38.1121,2.6238
5300,-565.1,0.09,0.0,100,37.1487,2.6919
5400,-21.0,0.1,0.0,100,38.6027,2.5905
5500,-591.5,0.07,0.0,100,37.1294,2.6933
5600,-568.0,0.09,0.0,100,38.1308,2.6226
5700,-20.9,0.09,0.0,100,37.4033,2.6736
5800,-773.9,0.14,0.0,100,39.5067,2.5312
5900,-574.3,0.05,0.0,100,34.8134,2.8725
6000,-22.5,0.05,0.0,100,35.4739,2.819
6100,-499.1,0.04,0.0,100,33.3986,2.9941
6200,-583.2,0.08,0.0,100,33.4128,2.9929
6300,-19.4,0.04,0.0,100,36.8336,2.7149
6400,-501.7,0.06,0.0,100,34.7821,2.875
6500,-351.4,0.08,0.0,100,37.0099,2.702
6600,-11.5,0.15,0.0,100,38.6185,2.5894
6700,-538.7,0.11,0.0,100,38.2259,2.616
6800,-414.2,0.11,0.0,100,36.9188,2.7087
6900,-13.3,0.13,0.0,100,39.8654,2.5084
7000,-558.0,0.12,0.0,100,35.8407,2.7901
7100,-628.4,0.11,0.0,100,36.9126,2.7091
7200,-23.9,0.09,0.0,100,35.7049,2.8007
7300,-448.1,0.1,0.0,100,36.108,2.7695
7400,-436.0,0.04,0.0,100,37.8522,2.6419
7500,-14.1,0.11,0.0,100,38.7994,2.5774
7600,-526.4,0.07,0.0,100,37.0501,2.699
7700,-514.7,0.14,0.0,100,37.0801,2.6969
7800,-13.0,0.1,0.0,100,37.1678,2.6905
7900,-662.4,0.08,0.0,100,38.2368,2.6153
8000,-466.6,0.08,0.0,100,37.2256,2.6863
8100,-17.7,0.07,0.0,100,38.0594,2.6275
8200,-463.9,0.08,0.0,100,36.0026,2.7776
8300,-501.0,0.14,0.0,100,38.3941,2.6046
8400,-19.1,0.11,0.0,100,38.77,2.5793
8500,-327.7,0.13,0.0,100,36.601,2.7322
8600,-466.7,0.19,0.0,100,37.1445,2.6922
8700,-14.6,0.06,0.0,100,38.4542,2.6005
8800,-416.4,0.1,0.0,100,38.1801,2.6192
8900,-670.7,0.09,0.0,100,35.937,2.7826
9000,-16.0,0.1,0.0,100,34.8072,2.873
9100,-653.2,0.15,0.0,100,36.6115,2.7314
9200,-511.7,0.08,0.0,100,35.7724,2.7955
9300,-16.5,0.05,0.0,100,38.3871,2.605
9400,-704.9,0.22,0.0,100,36.9265,2.7081
9500,-560.4,0.3,0.0,100,37.3044,2.6807
9600,-19.1,0.41,0.0,100,38.6745,2.5857
9700,-573.9,0.1,0.0,100,36.6414,2.7292
9800,-510.9,0.14,0.0,100,37.0987,2.6955
9900,-20.2,0.42,0.0,100,36.9961,2.703
10000,-502.4,0.07,0.0,100,0.0,1.2228
10100,-460.1,0.09,0.0,100,36.8564,2.7132
10200,-17.6,0.46,0.0,100,35.9527,2.7814
10300,-562.3,0.17,0.0,100,34.3991,2.9071
10400,-422.9,0.2,0.0,100,36.8981,2.7102
10500,-12.0,0.4,0.0,100,35.7145,2.8
10600,-482.7,0.21,0.0,100,35.8537,2.7891
10700,-397.9,0.1,0.0,100,37.1302,2.6932
10800,-13.5,0.05,0.0,100,41.4074,2.415
10900,-576.7,0.05,0.0,100,34.6528,2.8858
11000,-482.2,0.06,0.0,100,36.7724,2.7194
11100,-16.5,0.05,0.0,100,37.1222,2.6938
11200,-360.8,0.04,0.0,100,37.0437,2.6995
11300,-602.8,0.12,0.0,100,34.505,2.8981
11400,-12.7,0.07,0.0,100,41.5148,2.4088
11500,-550.5,0.07,0.0,100,38.9345,2.5684
11600,-357.3,0.05,0.0,100,36.9659,2.7052
11700,-16.3,0.13,0.0,100,37.2338,2.6857
11800,-537.0,0.13,0.0,100,36.5044,2.7394
11900,-500.9,0.08,0.0,100,37.1144,2.6944
12000,-12.6,0.06,0.0,100,37.1434,2.6923
12100,-469.5,0.08,0.0,100,37.2081,2.6876
12200,-413.1,0.14,0.0,100,36.8837,2.7112
12300,-21.0,0.1,0.0,100,37.3984,2.6739
12400,-339.7,0.03,0.0,100,36.6693,2.7271
12500,-364.8,0.06,0.0,100,38.2176,2.6166
12600,-12.8,0.08,0.0,100,36.9798,2.7042
12700,-532.6,0.1,0.0,100,37.0181,2.7014
12800,-366.1,0.07,0.0,100,34.6273,2.8879
12900,-10.8,0.08,0.0,100,35.7076,2.8005
13000,-344.9,0.12,0.0,100,34.9442,2.8617
13100,-366.4,0.08,0.0,100,37.8698,2.6406
13200,-10.5,0.05,0.0,100,37.2656,2.6834
13300,-536.3,0.09,0.0,100,35.5121,2.8159
13400,-332.7,0.04,0.0,100,37.1506,2.6917
13500,-11.9,0.09,0.0,100,34.7762,2.8755
13600,-372.8,0.0,0.0,100,34.0386,2.9378
13700,-465.5,0.09,0.0,100,36.3036,2.7546
13800,-24.7,0.17,0.0,100,37.8653,2.6409
13900,-188.2,0.06,0.0,100,35.7023,2.8009
