env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.0769,-0.1475,0.015,0.0061
200,39.6569,-4.0927,6.2125,6.7985
300,10.4878,-6.4653,0.8034,0.8093
400,3.3476,-4.683,0.5492,0.4852
500,3.8264,-5.7728,0.7103,0.7239
600,3.6108,-6.8043,0.6086,0.5532
700,2.7539,-6.4277,0.6742,0.5892
800,3.2142,-7.4562,0.5388,0.5379
900,3.1813,-8.1932,0.8778,0.9351
1000,2.483,-8.0358,1.1746,1.6467
1100,2.421,-8.5776,1.2269,1.2324
1200,2.9282,-9.1275,0.6929,0.6641
1300,1.7304,-8.8927,1.7902,2.1349
1400,1.6435,-9.7481,0.748,0.7332
1500,2.1673,-10.2022,2.8142,5.0641
1600,1.618,-10.0579,1.0961,2.0103
1700,1.6171,-10.7709,2.1059,3.3732
1800,1.7636,-10.8294,5.9175,11.2107
1900,1.3171,-10.5875,1.7171,3.3072
2000,1.3599,-11.0098,1.1792,1.5208
2100,1.587,-11.1797,1.6099,2.9058
2200,1.2914,-11.0419,1.6307,2.7641
2300,1.2602,-10.8967,3.9964,8.0962
2400,1.1605,-11.0121,2.0523,4.45
2500,0.8998,-10.0608,1.4921,3.1244
2600,0.9906,-10.5899,1.9496,3.9123
2700,1.0111,-10.6215,6.9956,13.1647
2800,0.8535,-10.1404,1.7747,3.1587
2900,1.0014,-10.3954,8.0827,17.4106
3000,1.0733,-10.3608,2.1049,4.4845
3100,0.8324,-10.2712,1.946,4.2678
3200,0.9411,-10.4469,1.7926,3.4233
3300,0.8791,-10.5698,1.0782,1.9885
3400,0.76,-10.3238,1.1552,2.3589
3500,0.888,-10.6629,10.1659,24.8567
3600,0.9641,-10.673,2.9712,6.6963
3700,0.7311,-10.4848,2.2689,4.9789
3800,0.7586,-10.4756,1.4915,2.8126
3900,0.8806,-10.5393,2.083,3.8491
4000,0.7704,-10.4385,3.4862,7.8211
4100,0.9024,-10.5518,21.9573,39.1294
4200,1.0833,-10.6641,5.9993,11.9421
4300,0.8196,-10.2973,6.1722,11.8614
4400,0.7818,-10.7384,2.2641,5.4888
4500,1.0347,-10.7842,3.9512,7.621
4600,0.7337,-10.3441,5.7312,12.2101
4700,0.8365,-10.9362,3.2677,6.6073
4800,0.9212,-10.7005,3.3458,6.8934
4900,0.758,-10.6911,4.0357,9.5324
5000,0.889,-10.8668,2.0883,4.125
5100,0.9014,-10.8542,3.4452,6.6455
5200,0.822,-10.8631,3.1462,7.1413
5300,0.8629,-11.0105,4.5606,8.3357
5400,0.9601,-11.1187,5.2982,11.1055
5500,0.7847,-11.0558,9.3992,22.0758
5600,0.7944,-11.3708,2.3868,4.5653
5700,0.8574,-11.3272,5.8351,11.3054
5800,0.8519,-11.5443,8.1383,18.537
5900,0.9044,-11.427,4.1109,9.131
6000,0.9091,-11.9721,6.3765,13.1722
6100,0.9867,-12.063,7.7152,17.2814
6200,0.8685,-11.8952,3.1298,5.7493
6300,0.8891,-11.916,3.0968,5.9153
6400,0.8102,-12.0602,2.5815,6.099
6500,1.0336,-12.0797,5.8256,13.0191
6600,1.1044,-12.5729,7.6188,17.0242
6700,0.9326,-12.3628,6.8001,14.0416
6800,1.2037,-12.7996,14.697,35.2628
6900,1.2169,-13.0594,7.0294,15.5328
7000,1.0699,-12.9839,11.7426,25.4017
7100,1.1035,-13.4007,6.4587,14.6263
