env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-18.3,0.13,0.0,100,0.0,2.6072
100,-825.8,0.12,0.0,100,17.8364,5.6065
200,-773.9,0.09,0.0,100,18.1967,5.4955
300,-22.0,0.1,0.0,100,18.8339,5.3096
400,-993.0001,0.17,0.0,100,18.2086,5.4919
500,-671.9,0.13,0.0,100,17.5423,5.7005
600,-20.7,0.07,0.0,100,18.5826,5.3814
700,-809.9,0.07,0.0,100,18.1364,5.5138
800,-690.1,0.13,0.0,100,18.4626,5.4164
900,-27.5,0.15,0.0,100,17.8744,5.5946
1000,-1073.8,0.11,0.0,100,17.9308,5.577
1100,-762.0,0.13,0.0,100,17.193,5.8163
1200,-15.1,0.11,0.0,100,18.1531,5.5087
1300,-1138.9,0.11,0.0,100,18.1691,5.5039
1400,-840.2,0.08,0.0,100,17.5962,5.6831
1500,-28.8,0.08,0.0,100,18.4952,5.4068
1600,-956.8,0.1,0.0,100,18.5316,5.3962
1700,-629.4,0.11,0.0,100,17.8668,5.597
1800,-26.5,0.15,0.0,100,18.8047,5.3178
1900,-975.5001,0.09,0.0,100,18.2566,5.4775
2000,-569.7,0.08,0.0,100,18.1364,5.5138
2100,-14.2,0.12,0.0,100,18.85,5.305
2200,-1073.5,0.1,0.0,100,18.2615,5.476
2300,-693.3,0.13,0.0,100,18.1528,5.5088
2400,-20.8,0.08,0.0,100,18.5176,5.4003
2500,-638.1,0.1,0.0,100,17.8927,5.5889
2600,-642.0,0.1,0.0,100,18.8063,5.3174
2700,-25.7,0.07,0.0,100,18.5471,5.3917
2800,-942.2001,0.08,0.0,100,17.5667,5.6926
2900,-764.5,0.07,0.0,100,17.4848,5.7192
3000,-27.8,0.08,0.0,100,17.8887,5.5901
3100,-937.1,0.08,0.0,100,17.8715,5.5955
3200,-755.0,0.12,0.0,100,17.8515,5.6018
3300,-16.9,0.09,0.0,100,17.8391,5.6057
3400,-680.4,0.09,0.0,100,16.6695,5.999
3500,-550.8,0.14,0.0,100,17.8093,5.615
3600,-23.2,0.12,0.0,100,19.3119,5.1782
3700,-796.3,0.13,0.0,100,17.5593,5.695
3800,-848.5,0.12,0.0,100,16.6522,6.0052
3900,-17.0,0.1,0.0,100,17.818,5.6123
4000,-870.2001,0.07,0.0,100,18.54,5.3937
4100,-546.3,0.12,0.0,100,18.1628,5.5058
4200,-20.8,0.08,0.0,100,18.4988,5.4057
4300,-585.4,0.12,0.0,100,17.839,5.6057
4400,-575.5,0.1,0.0,100,17.9357,5.5755
4500,-23.0,0.1,0.0,100,18.1984,5.495
4600,-821.1001,0.04,0.0,100,17.7674,5.6283
4700,-535.3,0.15,0.0,100,17.5634,5.6936
4800,-20.3,0.13,0.0,100,18.2372,5.4833
4900,-689.5,0.08,0.0,100,17.7901,5.6211
5000,-495.6,0.02,0.0,100,17.8575,5.5999
5100,-20.5,0.15,0.0,100,17.3199,5.7737
5200,-929.5001,0.1,0.0,100,17.762,5.63
5300,-553.0,0.1,0.0,100,17.899,5.5869
5400,-27.1,0.11,0.0,100,18.9159,5.2866
5500,-641.3,0.11,0.0,100,17.7693,5.6277
5600,-577.4,0.13,0.0,100,17.6042,5.6805
5700,-23.4,0.14,0.0,100,17.249,5.7974
5800,-831.4,0.17,0.0,100,16.9611,5.8959
5900,-547.4,0.15,0.0,100,18.1647,5.5052
6000,-18.3,0.13,0.0,100,18.1496,5.5098
6100,-448.6,0.11,0.0,100,17.5821,5.6876
6200,-507.9,0.16,0.0,100,17.7799,5.6243
6300,-25.1,0.11,0.0,100,17.3028,5.7794
6400,-677.4,0.12,0.0,100,20.0097,4.9976
6500,-742.8,0.09,0.0,100,18.8222,5.3129
6600,-23.1,0.11,0.0,100,17.5778,5.689
6700,-908.7001,0.11,0.0,100,18.1419,5.5121
6800,-609.3,0.07,0.0,100,17.8547,5.6008
6900,-21.1,0.11,0.0,100,18.5157,5.4008
7000,-901.8,0.12,0.0,100,17.8492,5.6025
7100,-470.8,0.13,0.0,100,17.8558,5.6004
7200,-19.5,0.05,0.0,100,17.9387,5.5745
7300,-824.8,0.11,0.0,100,17.4838,5.7196
7400,-430.6,0.09,0.0,100,16.6634,6.0012
7500,-25.4,0.04,0.0,100,18.2012,5.4942
7600,-916.9,0.13,0.0,100,17.5065,5.7122
7700,-591.1,0.11,0.0,100,17.555,5.6964
7800,-24.3,0.13,0.0,100,17.898,5.5872
7900,-671.5,0.06,0.0,100,18.1595,5.5068
8000,-558.5,0.11,0.0,100,18.2363,5.4836
8100,-22.7,0.07,0.0,100,18.4759,5.4125
8200,-890.9001,0.07,0.0,100,18.1738,5.5024
8300,-529.3,0.06,0.0,100,18.8889,5.2941
8400,-10.3,0.13,0.0,100,18.508,5.4031
8500,-561.6,0.11,0.0,100,17.2505,5.7969
8600,-520.2,0.1,0.0,100,18.2338,5.4843
8700,-21.7,0.17,0.0,100,18.8178,5.3141
8800,-673.6,0.19,0.0,100,18.1228,5.5179
8900,-580.8,0.14,0.0,100,18.1675,5.5043
9000,-17.0,0.1,0.0,100,18.8754,5.2979
9100,-696.1,0.16,0.0,100,17.866,5.5972
9200,-308.6,0.07,0.0,100,17.6188,5.6758
9300,-16.6,0.06,0.0,100,18.1713,5.5032
9400,-715.1,0.16,0.0,100,18.1455,5.511
9500,-401.0,0.09,0.0,100,17.2626,5.7929
9600,-20.1,0.11,0.0,100,17.5741,5.6902
9700,-568.7,0.1,0.0,100,18.0834,5.5299
9800,-503.1,0.1,0.0,100,17.9412,5.5738
9900,-25.1,0.11,0.0,100,18.5028,5.4046
10000,-567.0,0.15,0.0,100,0.0,2.6124
10100,-292.0,0.03,0.0,100,17.6144,5.6772
10200,-15.3,0.13,0.0,100,18.8186,5.3139
10300,-560.4,0.12,0.0,100,17.8361,5.6066
