env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-27.9,0.09,0.0,100,0.0,1.0043
100,-1102.6001,0.11,0.0,100,17.8034,5.6169
200,-662.7,0.14,0.0,100,17.2081,5.8112
300,-22.1,0.11,0.0,100,17.596,5.6831
400,-1031.4001,0.08,0.0,100,17.5726,5.6907
500,-691.5,0.09,0.0,100,17.2565,5.7949
600,-17.5,0.15,0.0,100,17.4595,5.7275
700,-1084.8,0.1,0.0,100,17.6117,5.678
800,-701.1,0.19,0.0,100,17.2441,5.7991
900,-24.1,0.11,0.0,100,17.5196,5.7079
1000,-1022.7,0.13,0.0,100,17.4896,5.7177
1100,-867.7001,0.11,0.0,100,17.8922,5.589
1200,-23.6,0.16,0.0,100,17.5964,5.683
1300,-696.3,0.16,0.0,100,17.4529,5.7297
1400,-561.0,0.12,0.0,100,17.0241,5.874
1500,-29.4,0.14,0.0,100,17.8472,5.6031
1600,-965.9,0.12,0.0,100,17.2386,5.8009
1700,-843.9,0.11,0.0,100,17.2132,5.8095
1800,-23.0,0.1,0.0,100,17.5087,5.7114
1900,-1047.7001,0.11,0.0,100,16.727,5.9784
2000,-638.7,0.15,0.0,100,16.9509,5.8994
2100,-22.7,0.17,0.0,100,17.5497,5.6981
2200,-981.8,0.14,0.0,100,17.4645,5.7259
2300,-640.4,0.07,0.0,100,17.8608,5.5989
2400,-16.5,0.15,0.0,100,17.2625,5.7929
2500,-1044.8,0.11,0.0,100,16.9673,5.8937
2600,-855.4,0.15,0.0,100,16.941,5.9028
2700,-31.3,0.13,0.0,100,17.2458,5.7985
2800,-991.9,0.16,0.0,100,17.2773,5.7879
2900,-580.0,0.11,0.0,100,17.468,5.7247
3000,-23.3,0.13,0.0,100,17.912,5.5829
3100,-1094.8,0.13,0.0,100,17.519,5.7081
3200,-731.3,0.09,0.0,100,17.8285,5.609
3300,-23.1,0.11,0.0,100,17.0461,5.8665
3400,-1066.6,0.12,0.0,100,17.7929,5.6202
3500,-783.1,0.1,0.0,100,16.7159,5.9823
3600,-21.6,0.16,0.0,100,17.5376,5.7021
3700,-1109.1001,0.16,0.0,100,17.5393,5.7015
3800,-882.5,0.16,0.0,100,17.1884,5.8179
3900,-23.1,0.11,0.0,100,17.5633,5.6937
4000,-1084.5,0.09,0.0,100,17.5982,5.6824
4100,-742.2,0.12,0.0,100,17.7925,5.6204
4200,-22.0,0.1,0.0,100,18.1928,5.4967
4300,-1000.4,0.08,0.0,100,17.2168,5.8083
4400,-791.7,0.08,0.0,100,16.9898,5.8859
4500,-24.0,0.1,0.0,100,17.2226,5.8063
4600,-1104.0,0.13,0.0,100,17.8056,5.6162
4700,-940.0,0.07,0.0,100,17.9145,5.5821
4800,-17.1,0.11,0.0,100,16.6175,6.0178
4900,-942.5001,0.08,0.0,100,16.6659,6.0003
5000,-681.6,0.11,0.0,100,16.4844,6.0663
5100,-21.2,0.12,0.0,100,17.4385,5.7344
5200,-1023.2001,0.15,0.0,100,17.6475,5.6665
5300,-872.2,0.07,0.0,100,17.8153,5.6132
5400,-22.2,0.12,0.0,100,16.7017,5.9874
5500,-994.8,0.13,0.0,100,17.4993,5.7145
5600,-986.8,0.15,0.0,100,17.2859,5.7851
5700,-24.2,0.12,0.0,100,16.6432,6.0085
5800,-1021.8,0.1,0.0,100,16.371,6.1084
5900,-1008.0,0.09,0.0,100,16.7123,5.9836
6000,-20.1,0.11,0.0,100,16.659,6.0028
6100,-1028.0001,0.15,0.0,100,16.635,6.0114
6200,-841.4,0.08,0.0,100,16.6446,6.008
6300,-14.8,0.08,0.0,100,16.9653,5.8944
6400,-1085.0001,0.13,0.0,100,16.9895,5.886
6500,-879.9,0.07,0.0,100,17.1841,5.8193
6600,-20.0,0.1,0.0,100,17.5484,5.6985
6700,-1066.6001,0.1,0.0,100,17.6076,5.6794
6800,-757.5,0.16,0.0,100,17.1524,5.8301
6900,-23.0,0.1,0.0,100,17.2713,5.79
7000,-1021.9,0.14,0.0,100,17.2006,5.8138
7100,-828.5,0.08,0.0,100,17.6516,5.6652
7200,-14.8,0.18,0.0,100,17.2069,5.8116
7300,-920.1,0.15,0.0,100,16.9235,5.9089
7400,-776.7,0.11,0.0,100,17.2682,5.791
7500,-18.9,0.09,0.0,100,18.2034,5.4935
7600,-945.3,0.09,0.0,100,17.4982,5.7149
7700,-719.0,0.09,0.0,100,16.9087,5.9141
7800,-16.9,0.09,0.0,100,17.3315,5.7699
7900,-1075.2001,0.16,0.0,100,16.3885,6.1018
8000,-822.9,0.07,0.0,100,17.2172,5.8082
8100,-24.7,0.17,0.0,100,16.9277,5.9075
8200,-1125.7001,0.1,0.0,100,16.9557,5.8977
8300,-719.3,0.13,0.0,100,18.1493,5.5099
8400,-21.8,0.18,0.0,100,17.27,5.7904
8500,-957.2001,0.15,0.0,100,17.9215,5.5799
8600,-997.5,0.16,0.0,100,18.1056,5.5231
8700,-21.4,0.14,0.0,100,20.8427,4.7978
8800,-881.0,0.15,0.0,100,17.8502,5.6022
8900,-841.6,0.11,0.0,100,16.9629,5.8952
9000,-19.7,0.17,0.0,100,17.2377,5.8012
9100,-1105.0,0.13,0.0,100,18.4897,5.4084
9200,-783.5,0.15,0.0,100,17.8827,5.592
9300,-22.1,0.11,0.0,100,16.7141,5.983
9400,-967.7001,0.14,0.0,100,17.76,5.6306
9500,-729.8,0.09,0.0,100,18.1754,5.502
9600,-20.2,0.12,0.0,100,17.6257,5.6735
9700,-1099.7001,0.2,0.0,100,17.1923,5.8166
9800,-547.8,0.08,0.0,100,17.2314,5.8034
9900,-19.5,0.15,0.0,100,17.0227,5.8745
10000,-972.0,0.22,0.0,100,0.0,1.3001
10100,-773.1,0.09,0.0,100,16.9563,5.8975
10200,-14.5,0.15,0.0,100,17.8082,5.6154
10300,-989.8,0.12,0.0,100,17.8817,5.5923
10400,-850.9,0.19,0.0,100,17.5484,5.6985
10500,-22.5,0.15,0.0,100,17.1911,5.817
10600,-1070.6001,0.2,0.0,100,16.4292,6.0867
10700,-678.3,0.13,0.0,100,16.6431,6.0085
10800,-23.0,0.2,0.0,100,16.4259,6.0879
10900,-909.5,0.1,0.0,100,16.3449,6.1181
11000,-897.7999,0.13,0.0,100,16.9476,5.9006
11100,-18.7,0.17,0.0,100,17.5774,5.6891
11200,-1083.1001,0.13,0.0,100,17.5238,5.7065
11300,-884.2,0.17,0.0,100,17.5265,5.7057
11400,-17.6,0.16,0.0,100,18.1906,5.4973
11500,-998.2,0.16,0.0,100,17.2956,5.7818
11600,-804.3,0.15,0.0,100,16.641,6.0093
11700,-12.4,0.24,0.0,100,17.5508,5.6977
11800,-1003.9,0.21,0.0,100,17.2934,5.7825
11900,-1023.5,0.2,0.0,100,18.1199,5.5188
12000,-16.8,0.18,0.0,100,17.2671,5.7914
12100,-1087.3,0.17,0.0,100,16.4072,6.0949
12200,-637.9,0.14,0.0,100,18.1467,5.5106
12300,-18.8,0.18,0.0,100,17.587,5.686
12400,-1033.4,0.16,0.0,100,17.2135,5.8094
12500,-766.4,0.23,0.0,100,16.6142,6.019
12600,-11.5,0.15,0.0,100,17.3162,5.7749
12700,-1138.8,0.13,0.0,100,17.1857,5.8188
12800,-963.3,0.19,0.0,100,17.2119,5.8099
12900,-14.0,0.2,0.0,100,17.6064,5.6797
13000,-1139.7001,0.19,0.0,100,17.4891,5.7179
13100,-814.0,0.13,0.0,100,17.2399,5.8005
13200,-13.3,0.13,0.0,100,17.2845,5.7855
